Episode,Total Reward
1,-228.91653609275818
2,-532.9676635377109
3,-257.73916302993894
4,-406.858988721855
5,-593.8657995760441
6,-288.7372570252046
7,-399.9843213558197
8,-278.84047758579254
9,-375.3779674321413
10,-303.3261439204216
11,-110.4100671778433
12,-408.0817619264126
13,-191.6277164965868
14,-221.9006505664438
15,-314.979030251503
16,-269.2735262872884
17,-257.25696654315107
18,-179.14890627749264
19,-349.9116950351745
20,-576.3904332816601
21,-484.0308836400509
22,-75.90658916160464
23,-289.9282946437597
24,-267.3472343189642
25,-260.3361155167222
26,-265.9546999335289
27,-15.808068176615052
28,-159.15475122630596
29,-261.94688922166824
30,-208.3376892961096
31,-365.75492240116
32,-15.429442951921374
33,-405.3326393663883
34,-324.12050345912576
35,-334.9265341386199
36,-313.2002305686474
37,-324.3958899527788
38,-147.0483456570655
39,-807.322895526886
40,-309.0546594411135
41,-968.6255965232849
42,-224.06793535128236
43,-238.1269563138485
44,-381.90763662196696
45,-234.29308231547475
46,-225.34793253988028
47,-400.37694758176804
48,-409.1345117986202
49,-49.803041718900204
50,-391.4903313666582
51,-245.3732678759843
52,-225.9599929684773
53,-122.46208141744137
54,-340.6605740468949
55,-213.21405974961817
56,-281.12255861982703
57,-627.0387386083603
58,-197.90734827518463
59,-173.65042075701058
60,-336.23830819129944
61,-311.32267718669027
62,-358.3401131015271
63,-321.3937533367425
64,-288.8959813108668
65,-258.01906463038176
66,-495.84941655397415
67,-256.0275965142064
68,-431.1644216179848
69,-374.17670994997025
70,-415.0817567706108
71,-342.0178629308939
72,-429.3922309577465
73,-221.50769908726215
74,-218.35905977152288
75,-699.3854401111603
76,-265.31337237358093
77,-416.32259415462613
78,-301.3744546175003
79,-339.6255432963371
80,-463.68525187671185
81,-222.97882315143943
82,-326.5883698053658
83,-460.19481801986694
84,-294.18411883711815
85,-384.10098898410797
86,-253.30605056881905
87,-330.19191929139197
88,-447.00362527370453
89,-324.3350704908371
90,-485.14466923475266
91,-247.30269393324852
92,-362.7340312823653
93,-157.0061189280823
94,-314.48681201040745
95,-458.20432060956955
96,-213.02902844874188
97,-446.15806248784065
98,-157.37324177194387
99,-129.87569864711259
100,-328.08718366152607
101,-275.87270844966406
102,-222.31394080870086
103,-407.31992253661156
104,-579.0696480572224
105,-588.1984091792256
106,-603.8682054877281
107,-495.48110996186733
108,-417.2579179722816
109,-260.062665437581
110,-250.57993945665658
111,-497.72100457549095
112,-497.2103734612465
113,-349.9473688323051
114,-465.7660279124975
115,-479.4794593527913
116,-290.52018487243913
117,-284.9799377024174
118,-278.21491861343384
119,-372.78910544514656
120,-266.4447687314823
121,-263.55441767536104
122,-465.30480593442917
123,-375.9084495007992
124,-244.19996551278746
125,-312.8993036597967
126,-369.7200284153223
127,-334.0862653851509
128,-282.4861617013812
129,-369.9452995657921
130,-465.5395891070366
131,-374.0997620820999
132,-278.09255562722683
133,-321.96105740219355
134,-234.14579178858548
135,-223.95905119134113
136,-312.18571723252535
137,-170.891401655972
138,-300.8601656779647
139,-89.74982166104019
140,-359.6710959970951
141,-237.14680672995746
142,-121.07764349132776
143,-264.90665608644485
144,-276.7716306615621
145,-283.18624305492267
146,-179.7052059933194
147,-451.9943793453276
148,-338.8871628344059
149,-449.9800394773483
