Episode,Total Reward
1,-257.27066108584404
2,-314.1575441658497
3,-450.4015430212021
4,-90.44608068466187
5,-341.7982144355774
6,-506.38838413357735
7,53.506391793489456
8,-381.23216289281845
9,-319.9759729504585
10,-459.0837772190571
11,-332.61376562714577
12,-140.11167261004448
13,-381.67639952898026
14,-203.6611919105053
15,-443.11553709208965
16,-369.5274701565504
17,58.35468427836895
18,-461.114820510149
19,-412.20792327821255
20,-315.7473513484001
21,-448.43245193362236
22,-305.4284599721432
23,-270.09351855516434
24,-2.389798332005739
25,-365.9891156554222
26,-1.677713967859745
27,-382.8317056298256
28,-332.08873450756073
29,-421.16711512207985
30,-412.00485479831696
31,-355.13175025582314
32,-138.77374720573425
33,-486.5032251775265
34,-316.3815748989582
35,-143.83641788363457
36,-271.47215634584427
1,-298.61009418964386
2,-222.54138320684433
3,-329.86001609265804
4,-276.8776385486126
5,-340.4088254570961
6,-296.8935472667217
7,-312.21256694197655
8,-371.0183513611555
9,-298.57869359850883
10,-152.76737117767334
11,-241.4678353369236
12,-365.87687492370605
13,-384.23515367507935
14,-423.48275393247604
15,-359.2099432647228
16,-286.61718568205833
17,-179.13628369569778
18,-248.3239408135414
19,-347.9311030805111
20,-517.765180170536
21,-437.21238642930984
22,-452.0925576388836
23,-368.02913066744804
24,-167.90025427937508
25,-287.5354300737381
26,-429.71149772405624
27,7.0367943197488785
28,-361.2863102555275
29,-214.95326671004295
30,-228.08703491091728
31,119.89979460835457
32,-293.6045936346054
33,-367.50330750644207
34,-395.4419918656349
35,-187.195160895586
36,-227.0638499110937
37,-281.81080996990204
38,-267.1435729265213
39,16.150932997465134
40,-270.78807686269283
41,11.126382410526276
42,162.55244597792625
43,-198.76671713590622
44,-228.90060664713383
45,-304.09416300058365
46,-321.7238282561302
47,-177.8207097351551
48,-328.8441237062216
49,-231.4557569026947
50,-215.7879201322794
51,-237.88548827171326
52,-280.1140705049038
53,-46.21013495326042
54,-215.79796835780144
55,-257.46237578988075
56,-53.50382813811302
57,-164.34869208931923
58,-155.38886508345604
59,71.55044995248318
60,-160.3272685110569
61,-207.4694585353136
62,-240.17156466841698
63,-169.6724492609501
64,-238.0832204669714
65,-166.87648385763168
66,-198.064732670784
67,-219.32331466674805
68,-158.92009210586548
69,-206.53471821546555
70,-190.9351305961609
71,-129.11783522367477
72,0.45196110010147095
73,337.22971603274345
74,-175.06081745028496
75,-201.68065339326859
76,-288.84314239025116
77,-352.0544290840626
78,-242.62745314836502
79,-348.3771820962429
80,-99.00946080684662
81,-532.6368953287601
82,-276.01698619127274
83,-363.996320605278
84,-409.88510796427727
85,-300.5625556707382
86,-477.201234921813
87,-306.02130818367004
88,-167.79925429821014
89,-448.5668571293354
90,-491.46417981386185
91,-321.4582113325596
92,-464.974897056818
93,-461.5895231962204
94,-415.3770763576031
95,-627.0024205595255
96,-488.0413017272949
1,-404.42188487946987
2,-338.5382824242115
3,-326.3708921968937
4,-326.8176434636116
5,-11.447817891836166
6,-387.3179085254669
7,-359.59934678673744
8,-288.40301164984703
9,-340.5604448020458
10,-373.8476609289646
11,-425.22296568751335
12,-319.5776689350605
13,-367.8780997991562
14,-480.00166979432106
15,-359.1340007483959
16,-201.06008532643318
17,-257.2681802511215
18,-448.1594966650009
19,-169.83393186330795
20,-288.2628825902939
21,-197.96651402115822
22,-310.9034204632044
23,-325.9402277469635
24,-480.82398107647896
25,-320.32948602735996
26,30.376972377300262
27,-442.6339705735445
28,-268.88924807310104
29,-363.97030007839203
30,-323.34677654504776
31,-102.4182471036911
32,-335.0010891854763
33,-388.96909803152084
34,-300.9065804183483
35,49.918443471193314
36,-589.5668056160212
37,-518.7081350684166
38,-527.222116202116
39,-372.7046918272972
40,-322.4774270951748
41,-351.26058000326157
42,-138.51353299617767
43,64.349694237113
44,-430.906237334013
45,-467.90762066841125
46,-398.6572929918766
47,-305.85790050029755
48,-429.8913906812668
49,-241.22339114546776
50,-428.43352711200714
51,-554.2153072953224
52,-357.62729957699776
53,-342.25314170122147
54,-315.37314718961716
55,-434.9452118873596
56,-415.1042729318142
57,-382.6481626033783
58,-200.03868120908737
59,-461.37247690558434
60,-370.2477131485939
61,-496.2650126218796
62,-300.5105466246605
63,-210.3026893734932
