Episode,Total Reward
1,-140.73000214248896
2,-157.21000177413225
3,-142.0900021120906
4,-135.97000224888325
5,-149.0900019556284
6,-107.43999759852886
7,-131.65000234544277
8,-135.7700022533536
9,-115.81000269949436
10,-145.89000202715397
11,-131.0100023597479
12,-100.37000304460526
13,-104.09000296145678
14,-137.01000222563744
15,-164.85000160336494
16,-107.73000288009644
17,-136.61000223457813
18,-187.0900011062622
19,-146.53000201284885
20,-97.23999782651663
21,-174.49000138789415
22,-127.45000243932009
23,-161.8900016695261
24,-138.09000220149755
25,-111.29000280052423
26,-107.43999759852886
27,-246.01000202447176
28,-131.37000235170126
29,-24.639999449253082
30,-123.97000251710415
31,-113.85000274330378
32,-105.61000292748213
33,-24.650000154972076
34,-152.89000187069178
35,-208.3300006315112
36,-125.65000247955322
37,-137.05000222474337
38,-123.13000253587961
39,-102.83999770134687
40,-274.37000139057636
41,-165.93000157922506
42,7.709994539618492
43,-161.8900016695261
44,-105.0500029399991
45,-106.8399976119399
46,-108.83999756723642
47,-117.77000265568495
48,-145.77000202983618
49,-70.23999843001366
50,-139.65000216662884
51,-170.65000147372484
52,-92.23999793827534
53,-98.83999779075384
54,-108.7300028577447
55,-190.93000102043152
56,-112.65000277012587
57,-141.1700021326542
58,-121.61000256985426
59,-147.57000198960304
60,-90.37000326812267
61,-128.81000240892172
62,-124.45000250637531
63,-208.05000287294388
64,-125.93000247329473
65,-162.53000165522099
66,-181.05000124126673
67,-190.8900010213256
68,-111.21000280231237
69,-132.37000232934952
70,-136.13000224530697
71,-112.1700027808547
72,-113.73000274598598
73,-170.53000147640705
74,-115.2100027129054
75,-151.57000190019608
76,-181.09000124037266
77,-107.83999758958817
78,-133.09000231325626
79,-202.73000299185514
80,-116.45000268518925
81,-124.25000251084566
82,-101.23999773710966
83,-114.17000273615122
84,-96.23999784886837
85,-121.57000257074833
86,-97.33000311255455
87,-154.8900018259883
88,-168.33000152558088
89,-131.21000235527754
90,-156.41000179201365
91,-133.69000229984522
92,-161.53000167757273
93,-99.8399977684021
94,-114.9300027191639
95,-104.03999767452478
96,-233.1300023123622
97,-98.83999779075384
98,-210.3300028219819
99,-151.81000189483166
