Episode,Total Reward
1,-834.7612472772598
2,-810.3704870566726
3,-824.3465667292476
4,-155.44459441304207
5,-615.3349020161077
6,-857.4628264866769
7,-709.3843137873337
8,-327.54291081056
9,-801.5154198557138
10,-911.6787433996797
11,-1008.5568672306836
12,-800.787639811635
13,-1096.920831238851
14,-727.3161984216422
15,-800.8992491066456
16,-1010.8142616003752
17,-704.7952063935809
18,-798.4737070947886
19,-802.7919087409973
20,-1067.3606243282557
21,-815.6150996312499
22,-461.03576073795557
23,-798.5265540480614
24,-694.4550568521954
25,-800.2780962735415
26,-801.4350880384445
27,-801.0916622728109
28,-839.080650433898
29,-898.6111859381199
30,-1098.0903566535562
31,296.99547406286
32,-1047.7455621119589
33,-800.2990426048636
34,-812.0261082351208
35,-800.4152774959803
36,-799.1424211710691
37,-210.0949398651719
38,-883.7965078391135
39,-702.5462516932748
40,-197.3629164211452
41,-615.2810157433942
42,-752.1183894984424
43,-1096.1334410551935
44,-820.2221012935042
45,-716.5196095071733
46,-659.2569641819209
47,-183.4175306223333
48,-799.8372119665146
49,-709.9941959548742
50,-369.5446361154318
51,-630.7523703747258
52,15.926794357597828
53,-812.6125200241804
54,-802.6776008233428
55,-798.849181547761
56,-798.8433431535959
57,-410.1841946579516
58,-1036.7719572726637
59,23.973589085042477
60,-801.9810430258512
61,-801.811693713069
62,-774.2416126523167
63,-798.9350291788578
64,-932.2900662757456
65,-799.5545576587319
66,-640.5740879270306
67,-758.0922386161983
68,-1098.2549686674029
69,-120.05107945948839
70,-244.9902886711061
71,-799.7328399419785
72,-673.2617788976349
73,-1098.3806536570191
74,-798.8408311977983
75,-715.1484231967479
76,-612.5147265204232
77,-989.0402957759798
78,-1026.9645033888519
79,-1061.5792007781565
80,-844.1373554393649
81,89.54703260958195
82,-883.8037960901856
83,-862.0713898055255
84,-801.1648086607456
85,-797.7754453420639
86,-84.77929040789604
87,-683.1754485894999
88,-805.4733614474535
89,-798.5126594305038
90,68.99019104242325
91,-637.261973300745
92,-742.4401156362146
93,-684.667128271147
94,-1091.6991224586964
95,-1095.9135135356337
96,-798.3744946941733
97,-812.5036577582359
98,-650.6508973814853
99,-643.69743912171
100,-1092.2073807641864
101,-889.0921590179205
102,-1073.2262740898877
103,-412.0099240820855
104,-864.7311665825546
105,-798.5488562658429
106,-638.7087003875015
107,-1043.439149517566
108,304.63066114485264
109,-800.9203344658017
110,-620.9900786985099
111,-684.4904592662642
112,-804.7281742990017
113,-806.746780872345
114,-832.8157278969884
115,-798.4714268743992
116,-646.2952736239313
117,-935.3001199290156
118,307.0571513026953
119,237.28230687230825
120,-803.5965109020472
121,-799.2998587340117
122,-192.665135525167
123,-798.3360728621483
124,-1036.039256034419
125,-811.6869950816035
126,-1054.1444068681449
127,-182.3693549707532
128,-835.9404245838523
129,-400.47764177434146
130,-131.14585849270225
131,-389.830754943192
132,307.6856904551387
133,-1033.7048636935651
134,-224.21345926448703
135,305.2942795678973
136,-834.274598672986
137,-594.5277215701062
138,-1025.8634301312268
139,-1068.7086697798222
140,-805.7958741039038
141,-797.6650624424219
142,-1076.3807913195342
143,-686.485382106679
144,305.4571995586157
145,-808.3939510136843
146,-908.0842682942748
147,305.6775868460536
148,90.26839868724346
149,-799.3986526951194
150,-797.3777710720897
151,-799.3917291983962
152,-868.7742380984128
