Episode,Total Reward
1,-971.9342928677797
1,-686.1019662041217
2,-1668.0589744016934
3,-695.9817120537627
4,-498.1140303358552
5,-814.0809001475573
6,-818.6857703775167
7,-1410.1019653454423
8,-561.8597199506185
9,-511.833244221285
10,-734.9391740160063
11,-312.6373248398886
12,-844.8620010588784
13,-497.41068529337645
14,-349.71928936894983
15,-1266.2132228463888
16,-1035.7659033238888
17,-1586.8214542660862
18,-1303.141130335629
19,-1031.9161050766706
20,-880.8333690719155
21,-802.6825914382935
22,-498.0262139455299
23,-498.4908187673427
24,-619.6495531052351
25,-366.2394389025867
26,-1061.65557295084
27,-509.95737098669633
28,-347.0878849451583
29,-640.9619999155402
30,-311.37764803273603
31,-713.4419384300709
32,-625.6580538377166
33,-887.1137867420912
34,-464.0418823286891
35,-917.8838231191039
36,-768.3954948913306
37,-603.5447855474195
38,-678.1365252151681
39,-507.99551486968994
40,-884.7969590127468
41,-383.45178753568325
42,-423.3842977322638
43,-812.070124722668
44,-455.469657180598
45,-641.7105084103532
46,-390.97787430882454
47,-429.36366382369306
48,-389.025648707699
49,-484.5381084867986
50,-1143.6857429412194
51,-855.093192378059
52,-663.0013082996011
53,-572.7492308923975
54,-383.7837811970676
55,-494.43256317055784
56,-1455.743332915008
57,-492.00501003535464
58,-1273.6319169274066
59,-673.6593738383453
60,-1227.788172342116
61,-1194.5182726308703
62,-516.0790651198477
63,-323.21940481709316
64,-481.8033578218892
65,-838.1093084155582
66,-890.4667417143937
67,-762.3906830848427
68,-661.4368495894596
69,-1019.8025176804513
70,-383.93042548699304
71,-861.3941545814159
72,-768.8396461005323
73,-328.6010251211701
74,-748.1449755746871
75,-685.1309876189916
76,-403.67745677689345
77,-340.8829437904933
78,-457.0495360938148
79,-372.8399346905644
80,-401.6008349750191
81,-412.99633431696566
82,-839.7891032684711
83,-794.4849549322389
84,-429.35523204199853
85,-599.3484049806139
86,-857.0335251805955
87,-1034.3983460069576
88,-418.04496881511295
89,-548.9669811598142
90,-462.4815058440581
91,-567.4728154972254
92,-566.5861651413143
93,-528.3206159486508
94,-625.4958677056857
95,-498.6812017481425
96,-615.6488517477701
97,-534.6325884379621
98,-560.441298036254
99,-527.3482210683869
100,-463.1616724659689
101,-1580.9970956498291
102,-1636.7926067272201
103,-1669.0698317051865
104,-1627.210137434362
105,-1524.6236484948313
106,-1507.6798884121235
107,-1512.0470988303423
108,-1026.6581202870584
109,-1591.6308333133347
110,-1343.4654045067728
111,-1680.648883913178
112,-1692.2654388449155
113,-1689.4829504480367
114,-1657.7844698586268
115,-1678.566568729293
116,-1645.21411006758
117,-1681.3835730673745
118,-1668.7780483877286
119,-1583.5995422924752
120,-1577.8184546176344
121,-1607.6698700329289
122,-1491.1241141997743
123,-1540.25173061667
124,-1693.0998753356544
125,-1547.6787691097707
126,-1457.3975975445428
127,-1479.104744502576
128,-1491.9493195936084
129,-1490.1660603435594
130,-1590.1210836931132
131,-1645.8562540709972
132,-1499.838582511642
133,-1618.4100166107528
134,-1554.0792345525697
135,-1558.642280317028
136,-1507.0404494088652
137,-1679.5327292856819
138,-1556.1720982775496
139,-1574.8406182527542
140,-1555.158759244252
141,-1472.6893821494887
142,-1449.4593131521833
143,-1516.0204125930904
144,-1445.670150582504
145,-1616.573458986124
146,-1483.9104509642348
147,-1479.1552732358687
148,-1569.3352851028321
149,-1642.9505367167294
150,-1503.307843325194
151,-1550.3219624171034
152,-1481.8898092966992
153,-1478.1880642714095
154,-1433.5858020831365
155,-1499.523049898271
156,-1543.2337325455155
157,-1492.1927775610238
158,-1529.4952005436644
159,-1522.472157250042
160,-1505.433125957963
161,-1279.0155884651467
162,-1634.0239969149989
163,-1745.672996471636
164,-1486.9633894796425
165,-1519.0840974325838
166,-1645.4720691244584
167,-1562.0666835252196
168,-1593.4317279359984
169,-1707.6845549226273
