Episode,Total Reward
1,-1017.5466693891212
2,-1016.9477041161153
3,-1016.417585786432
4,-1025.2335080313496
5,-1019.6247380939312
6,-1022.2894097814569
7,-1021.7867712527514
8,-1013.6372358007357
9,-1017.3676028554328
10,-1057.7468243278563
11,-1038.4348386023194
12,-1036.7660355614498
13,-1025.8145878310315
14,-1058.7561587183736
15,-1032.3448283988982
16,-1031.4694278817624
17,-1019.3558204057626
18,-1043.727325802669
19,-1015.4920556591824
20,-1029.2987665841356
21,-1011.104337161174
22,-1046.4775985442102
23,-1056.7429195730947
24,-1022.6622104761191
25,-1028.930381709244
26,-1014.1845720647834
27,-1012.4611195302568
28,-1027.7872687792405
29,-1049.6886199135333
30,-1041.7227506041527
31,-1077.166659691371
32,-1028.693656272022
33,-1025.4937023194507
34,-1018.1092136343941
35,-1062.442227509804
36,-1015.485491479747
37,-1072.3554938570596
38,-1049.7131567050237
39,-1055.0504891676828
40,-1025.268050795421
41,-1016.2443789727986
42,-1064.689042059239
43,-1043.1290114270523
44,-1015.3713099821471
45,-1014.1949765067548
46,-1019.5535584960598
47,-1058.6213582875207
48,-1037.4481691187248
49,-1043.7004753071815
50,-1012.6909319870174
51,-1043.0498282071203
52,-1010.124610544648
53,-1015.4979234476632
54,-1016.9641966024647
55,-1039.157333807787
56,-1047.483064379543
57,-1041.7946104165167
58,-1034.8433504996356
59,-1020.9111056211405
60,-1021.8820847643074
61,-1022.0867241583765
62,-1015.4686180806602
63,-1049.9968105247244
64,-1017.3872822197154
65,-1024.074222936295
66,-1018.6878830499481
67,-1017.2962702794466
68,-1016.9142315131612
69,-1034.1909702336416
70,-1047.6758989091031
71,-1053.5559151587076
72,-1036.9615655371454
73,-1014.5979082044214
74,-1044.8937454605475
75,-1051.8496047258377
76,-1035.643477864287
77,-1027.4652633853257
78,-1046.2659925357439
79,-1054.5071182716638
80,-1028.7159636719152
81,-1046.921801568009
82,-1015.4840007005259
83,-1080.1015384308994
84,-1031.9616046353476
85,-1023.4645343903103
86,-1041.0538990981877
87,-1020.142380669713
88,-1014.3943758867681
89,-1031.8154949606396
90,-1019.9290637956001
91,-1036.5775583218783
92,-1096.7480469467118
93,-1025.234843143262
94,-1007.7888091842178
95,-1254.736573468428
96,-1049.2521251598373
97,-1037.2317262310535
98,-1014.5983261880465
99,-1019.1255937297828
100,-1055.66379297385
101,-1002.8978502568789
102,-1004.4693400237884
103,-1014.4118739074911
104,-1012.9697025592905
105,-1018.3259201346664
106,-1061.6673161435174
107,-1034.4598160116002
108,-1004.7292230390794
109,-1012.1348439271969
110,-1062.7749869334511
111,-1008.6080859006615
112,-1003.871647591528
113,-1009.5470817312598
114,-1029.1719378754497
115,-1020.2135250676947
116,-1003.5981642184779
117,-1001.9619854844641
118,-1013.7143944402487
119,-1001.7316770916805
120,-1007.530498747954
121,-1073.7626374771935
122,-1018.5856988853775
123,-1035.0311504774727
124,-1059.588515930358
125,-1022.1048665854614
126,-1018.3939820732921
127,-1039.3712836955674
128,-1012.1460033426993
129,-1021.7296426121611
130,-1004.5270163207315
131,-1006.7835563389235
132,-1002.1895321300253
133,-1006.1097762059653
134,-1003.1689964027682
135,-1003.4340784135275
136,-1035.6712140308227
137,-1005.9261825523572
138,-1014.3107569817766
139,-1023.2490753449965
140,-1013.8338321333285
141,-1016.3012158751881
142,-1023.3999811959802
143,-1004.5343804652803
144,-1015.1626298725605
145,-1051.0625095674768
146,-1022.5494125729892
147,-1003.8895705891046
148,-1011.0902238975104
149,-1010.8387376379687
150,-1007.5309217217728
151,-1004.4926009615883
152,-1020.0973724965006
153,-1025.0370826416183
154,-1001.1254766316388
155,-1005.8341180318967
156,-1016.8899854365736
157,-1010.4161704787984
158,-1014.9728253525391
159,-1024.72458912199
160,-1003.3361309272332
161,-1008.1414267104119
162,-1008.9384941212775
163,-1010.459098954685
164,-1037.259372908622
165,-1062.749088073695
166,-1043.4624936790206
167,-1036.9123996021226
168,-1045.165310148428
169,-1003.5478632224258
170,-1013.9366313779756
171,-1001.9190817372873
172,-1039.083996157162
173,-1001.3911829665303
174,-1051.0878490926698
175,-1010.0232631096151
176,-1005.7988605419523
177,-1002.441884229891
178,-1004.1948865573213
179,-1001.8591056251898
180,-1014.8727803267539
181,-1014.5717999728222
182,-1023.668727930577
183,-1008.4761577164754
184,-1009.028572013136
185,-1018.1868633925915
186,-1003.1673574901652
187,-1006.2469999161549
188,-1017.4925181661747
189,-1011.4351034909487
190,-1003.4819767531881
191,-1007.7812431911007
192,-1008.0382052497007
193,-1042.2692799670622
194,-1010.2636115239002
195,-1014.4645936443485
196,-1018.8373067841167
197,-1008.6729959899094
198,-1011.3387657098938
199,-1010.0090971607715
200,-1014.3302676589228
201,-1029.275834494154
202,-1015.4707400512416
203,-1047.2820856273174
204,-1051.5705410744995
205,-1020.842467840761
206,-1022.9514918262139
207,-1039.9738509077579
208,-1034.492274619639
209,-1240.027193652466
210,-1065.6707348134369
211,-1017.6034359270707
212,-1052.240162144415
213,-1056.186096411664
214,-1096.6590646482073
215,-1030.841703474056
216,-1131.4708199426532
217,-1090.9382740333676
218,-1051.1985777774826
219,-1034.1933227702975
220,-1052.9706325424195
221,-1106.9329274836928
222,-1285.7986356168985
223,-1059.5065432745032
224,-1044.3261414002627
225,-1158.0492922118865
226,-1025.910869453568
227,-1022.1236008405685
228,-1058.2768191844225
229,-1028.025325150229
230,-1119.7631475538947
231,-1040.511378491763
232,-1044.3010047143325
233,-1035.962886316236
234,-1020.535734849982
235,-1151.2409963859245
236,-1018.6664126776159
237,-1023.2071973495185
238,-1036.804433944635
239,-1096.9289544592611
240,-1012.6879990035668
241,-1028.192248384934
242,-1058.6398446094245
243,-1033.8799877911806
244,-1030.691407861188
245,-1061.949061631225
246,-1082.7815485256724
247,-1020.8484506164677
248,-1039.0317301806062
249,-1061.0987341052387
250,-1553.7518609259278
251,-1129.6587887331843
252,-1019.0947320638224
253,-1126.328885272611
254,-1184.2785618221387
255,-1125.220632393146
256,-1012.7017389424145
257,-1113.7118009435944
258,-1032.4759197449312
259,-1035.7949962476268
260,-1022.0542276524939
261,-1022.8063785345294
262,-1028.7842807069537
263,-1017.778171765618
264,-1024.4105758690275
265,-1023.2986495392397
266,-1030.599895904772
267,-1184.1084062107839
268,-1111.349194069393
269,-1029.8524261265993
270,-1025.4237508345395
271,-1070.5116650555283
272,-1114.751520943828
273,-1049.6934631781187
274,-1118.2870774958283
275,-1041.5769448098727
276,-1283.8752611405216
277,-1020.64223591052
278,-1454.9763735858724
279,-1077.4653828400187
280,-1032.1378264753148
281,-1022.3268975475803
282,-1016.6946840686724
283,-1043.4977137930691
284,-1069.3063330599107
285,-1042.0658049583435
286,-1025.6211046036333
287,-1064.1949996170588
288,-1046.5905371187255
289,-1089.686359256506
290,-1116.4430375881493
291,-1302.4632264198735
292,-1117.2490124334581
293,-1034.9056470980868
294,-1050.3139806804247
295,-1104.5037924582139
296,-1069.9241644351278
297,-1056.416408694815
298,-1349.4408251084387
299,-1090.8091871393844
300,-1105.2921716967903
301,-1015.727316530887
302,-1022.5564481914043
