Episode,Total Reward
1,-1019.5427728556097
2,-1027.2777362745255
3,-1106.49305100739
4,-1029.6776356939226
5,-1020.1746815368533
6,-1017.3770464546978
7,-1015.5088094472885
8,-1028.4463402591646
9,-1018.6410934105515
10,-1019.2961188666523
11,-1014.3897452298552
12,-1025.344484783709
13,-1070.7516415454447
14,-1102.6528469026089
15,-1018.4784992970526
16,-1047.0860299915075
17,-1075.9345159549266
18,-1028.0064596235752
19,-1009.8635237496346
20,-1038.7005650606006
21,-1012.9983275458217
22,-1016.8647351395339
23,-1007.4254635367543
24,-1036.0115816034377
25,-1015.5092215016484
26,-1034.2823346853256
27,-1039.3425091430545
28,-1081.8884746078402
29,-1134.5232395436615
30,-1047.378878004849
31,-1172.5419452153146
32,-1024.3445065505803
33,-1010.6658423766494
34,-1014.8858486525714
35,-1016.0420465376228
36,-1022.1956800743937
37,-1032.370300322771
38,-1065.4144114721566
39,-1011.741757068783
40,-1073.7628887742758
41,-1027.094539474696
42,-1014.3114712312818
43,-1031.1508129220456
44,-1023.9262896645814
45,-1024.299545172602
46,-1009.7970662005246
47,-1015.7010695319623
48,-1019.3118858635426
49,-1019.5662927217782
50,-1020.3329413887113
51,-1119.009225487709
52,-1050.7405643323436
53,-1013.9594698604196
54,-1030.710969723761
55,-1016.0265169274062
56,-1008.0474632475525
57,-1029.6351217273623
58,-1016.8429044210352
59,-1115.8631899636239
60,-1007.8962084557861
61,-1139.1346635818481
62,-1053.9447449874133
63,-1020.5469410512596
64,-1094.5972582865506
65,-1061.4907095748931
66,-1109.2505007255822
67,-1018.6460126498714
68,-1102.8326551672071
69,-1031.8364723138511
70,-1016.1635455768555
71,-1013.1274292059243
72,-1318.725954560563
73,-1017.8092945422977
74,-1236.9547866564244
75,-1012.0262089809403
76,-1061.7417517751455
77,-1036.1322408989072
78,-1008.6264332570136
79,-1169.523322507739
80,-1063.524095794186
81,-1016.924194181338
82,-1153.0146573111415
83,-1023.672599837184
84,-1101.9896638151258
85,-1273.656776022166
86,-1014.9968169033527
87,-1014.5370939783752
88,-1013.0474192947149
89,-1064.7016806527972
90,-1033.8375324904919
91,-1020.3375136330724
92,-1053.5520366802812
93,-1020.2702772542834
94,-1023.4973519518971
95,-1015.0626436807215
96,-1013.579664234072
97,-1028.5997755397111
98,-1010.873036339879
99,-1026.6379263289273
100,-1007.0855458360165
101,-1019.9617688264698
102,-1009.6129206381738
103,-1093.582977451384
104,-1008.4799184426665
105,-1011.324873605743
106,-1010.5100138280541
107,-1014.5175745636225
108,-1016.1002367248293
109,-1010.4497649073601
110,-1014.9143388271332
111,-1024.863749364391
112,-1040.556685263291
113,-1017.4534960333258
114,-1014.4102228784468
115,-1210.7684675008059
116,-1014.6641913838685
117,-1010.5857010670006
118,-1009.5394649319351
119,-1013.0363950002939
120,-1015.9870770778507
121,-1011.3705790694803
122,-1011.6762162987143
123,-1011.1618252452463
124,-1020.5148443300277
125,-1018.6887849234045
126,-1018.5837535317987
127,-1052.8622792735696
128,-1012.2909789122641
129,-1113.3392866291106
130,-1013.715784067288
131,-1008.0489272009581
132,-1010.342742934823
133,-1013.063532050699
134,-1013.3206263333559
135,-1012.3632635902613
136,-1012.4942971225828
137,-1009.1008410509676
138,-1063.1943989973515
139,-1013.9893648589205
140,-1042.7888187859207
141,-1023.1292670238763
142,-1007.8564981650561
143,-1077.0745318401605
144,-1007.219378080219
145,-1011.771309427917
146,-1032.471466537565
147,-1012.9435708578676
148,-1007.5846117436886
149,-1022.5123464451171
150,-1008.8659925442189
151,-1095.7081890925765
152,-1010.8214313853532
153,-1098.7570873778313
154,-1014.7114988267422
155,-1008.9574411120266
156,-1009.9851006143726
157,-1112.4541533626616
158,-1093.0529913045466
159,-1010.7576140193269
160,-1029.2825753036886
161,-1031.0966812241822
162,-1009.1903469972312
163,-1010.104114593938
164,-1012.2367066610605
165,-1013.5255147200078
166,-1017.0959418767598
167,-1013.1598928812891
168,-1029.3212306220084
169,-1012.8957549631596
170,-1072.4311231337488
171,-1005.3141592666507
172,-1009.4421058446169
173,-1034.1665050978772
174,-1064.1155317609664
175,-1010.9310968481004
176,-1009.3756099157035
177,-1062.1062400117517
178,-1013.4044077470899
179,-1012.9364513121545
180,-1022.136471895501
181,-1012.2515520621091
182,-1009.9660366177559
183,-1011.2712331190705
184,-1008.5303911846131
185,-1015.9758539851755
186,-1015.9676898177713
187,-1013.426054675132
188,-1009.4630267210305
189,-1052.16908653453
190,-1009.2870877608657
191,-1013.5078160390258
192,-1097.4494608864188
193,-1006.7712694145739
194,-1076.5559068974108
195,-1013.2713018096983
196,-1053.1517413333058
197,-1013.2439354024827
198,-1052.859397644177
199,-1091.456733390689
200,-1013.2956568188965
201,-1697.0272751003504
202,-1089.7067296039313
203,-1027.5037340857089
204,-1125.6689617391676
205,-1037.6249818000942
206,-1056.1341112740338
207,-1036.0083943959326
208,-1210.7242529187351
209,-1101.0295591205359
210,-1041.2543907407671
211,-1070.3532618116587
212,-1255.1811255142093
213,-1185.19427090697
214,-1063.7219365648925
215,-1019.5893609561026
216,-1473.5579805262387
217,-1021.8817171007395
218,-1054.8541333824396
219,-1070.752241903916
220,-1029.3700922150165
221,-1094.0443847049028
222,-1193.869634449482
223,-1047.7072973325849
224,-1030.902727311477
225,-1066.3616817556322
226,-1023.601045589894
227,-1027.836360078305
228,-1105.879127997905
229,-1032.0444040484726
230,-1105.9898463226855
231,-1023.3508075717837
232,-1022.9242587164044
233,-1084.2200113032013
234,-1053.352960202843
235,-1052.1077842954546
236,-1123.997851960361
237,-2162.1261063553393
238,-1040.0716785173863
239,-1093.1027827374637
240,-1254.6712412144989
241,-1034.4575376622379
242,-1048.4424146972597
243,-1271.4568836055696
244,-1042.7411015182734
245,-1071.6525151263922
246,-1065.357131369412
247,-1146.6912813782692
248,-1021.5205208975822
249,-1016.5432031452656
250,-1106.126160768792
251,-1325.2697854973376
252,-1063.2512173410505
253,-1020.9387254472822
254,-1114.9898879230022
255,-1112.438428197056
256,-1039.1793356705457
257,-1023.6331653632224
258,-1027.191483385861
259,-1017.3081514257938
260,-1091.9583854340017
261,-1279.8627001345158
262,-1167.054739434272
263,-1130.9241378940642
264,-1159.085746254772
265,-1025.0145205426961
266,-1033.4739546105266
267,-1020.9038574807346
268,-1274.3654162418097
269,-1033.1598835028708
270,-1071.5036997124553
271,-1076.030467696488
272,-1073.417899288237
273,-1031.6658754553646
274,-1193.4502654075623
275,-1221.8893751762807
276,-1018.8043413758278
277,-1047.4852346479893
278,-1063.3906498607248
279,-1023.9703315496445
280,-1033.6897529624403
281,-1025.6812362428755
282,-1139.4357668533921
283,-1075.1509113311768
284,-1202.0447719376534
285,-1135.5970560647547
286,-1140.8419978059828
287,-1035.3062943816185
288,-1015.6728266701102
289,-1029.6281107980758
290,-1145.7473900374025
291,-1022.0814079791307
292,-1045.793728478253
293,-1307.1275150813162
294,-1044.5496897473931
295,-1015.6818509697914
296,-1025.0863650199026
297,-1050.99735141173
298,-1080.0762632582337
299,-1424.7919988967478
300,-1396.3539905063808
301,-1009.9224036857486
302,-1074.4573349896818
303,-1028.8897618353367
304,-1067.372832218185
305,-1008.6482371538877
306,-1008.2403273396194
307,-1024.691657813266
308,-1019.9389444552362
309,-1032.233885984635
310,-1027.5678425133228
311,-1011.5785361491144
312,-1004.8040094282478
313,-1039.4525402113795
314,-1033.1428980454803
315,-1025.0272499509156
316,-1043.9140203669667
317,-1013.1941960789263
318,-1011.3816437516361
319,-1018.8073174738092
320,-1278.1922969259322
321,-1024.2602087520063
322,-1011.065725358203
323,-1011.1931928312406
324,-1017.9480401426554
325,-1128.6473401095718
326,-1071.1545557826757
327,-1010.8624308668077
328,-1119.584074866958
329,-1097.6279907561839
330,-1055.608692811802
331,-1052.1359838787466
332,-1149.0725911322515
333,-1034.173309713602
334,-1016.1794336140156
335,-1046.5892291255295
336,-1014.2298054303974
337,-1053.72411352396
338,-1007.9400755725801
339,-1060.8580536376685
340,-1016.2216887567192
341,-1005.5670340098441
342,-1019.8982639089227
343,-1034.0964418035
344,-1045.2069049794227
345,-1007.769960694015
346,-1065.534434888512
347,-1050.7253506537527
348,-1024.308129181387
349,-1006.361149314791
350,-1024.5400414168835
351,-1010.1604251619428
352,-1006.2247862759978
353,-1008.50323297875
354,-1024.700717072934
355,-1031.3509630020708
356,-1016.2580792047083
357,-1158.56136796996
358,-1105.4850033819675
359,-1005.9235424846411
360,-1026.158810801804
361,-1094.9643106982112
362,-1047.4613149743527
363,-1050.0027646943927
364,-1022.2102817166597
365,-1039.3644752763212
366,-1025.8428948260844
367,-996.8938455237076
368,-1041.420993771404
369,-1015.3563793487847
370,-1017.8893875274807
371,-1019.1472169237677
372,-1065.0977350305766
373,-1014.7800676748157
374,-1032.6345327626914
375,-1017.3858663924038
376,-1036.6997471116483
377,-1011.1551030802075
378,-1100.4228146728128
379,-1012.0506748184562
380,-1009.4163795895875
381,-1025.4660498052835
382,-1017.0330196823925
383,-1080.4666261812672
384,-1027.1008338388056
385,-1062.7708257641643
386,-1051.2980234008282
387,-1017.6094010155648
388,-1009.1199518349022
389,-1093.273535810411
390,-1145.5311041362584
391,-1092.2314682081342
392,-1032.1319340076298
393,-1097.1942194048315
394,-1271.7665976602584
395,-1052.9563409108669
396,-1007.5450075711124
397,-1008.4190547429025
398,-1058.6348516591825
399,-1084.6462479680777
400,-1009.9521992672235
401,-1012.6982194781303
402,-1032.607390705496
403,-1029.4209006708115
404,-1293.9989868625998
405,-1031.0828908123076
406,-1017.4681521113962
407,-1019.5440221875906
408,-1170.6098652053624
409,-1559.3051693607122
410,-1095.6407971568406
