Episode,Total Reward
1,-105.1700029373169
2,-94.08999860286713
3,-201.93000300973654
4,-200.6900030374527
5,-199.01000307500362
6,-200.5700030401349
7,-198.77000308036804
8,-99.81000305712223
9,-104.61000294983387
10,-108.45000286400318
11,-92.00999864935875
12,-203.17000298202038
13,-106.29000291228294
14,-91.52999866008759
15,-105.69000292569399
16,-106.21000291407108
17,-107.410002887249
18,-100.5700030401349
19,-200.6900030374527
20,-98.89000307768583
21,-202.6900029927492
22,-199.93000305444002
23,-103.29000297933817
24,-196.8500031232834
25,-93.29000320285559
26,-196.05000314116478
27,-194.29000318050385
28,-102.05000300705433
29,-103.08999840170145
30,-100.05000305175781
31,-102.37000299990177
32,-107.25000289082527
33,-97.01000311970711
34,-207.45000288635492
35,-97.97000309824944
36,-90.0899986922741
37,-110.57000281661749
38,-90.0899986922741
39,-99.93000305444002
40,-94.45000317692757
41,-94.69000317156315
42,-204.7700029462576
43,-107.2900028899312
44,-108.81000285595655
45,-195.45000315457582
46,-100.53000304102898
47,-88.6900033056736
48,-84.04999882727861
49,-198.7300030812621
50,-98.53000308573246
51,-198.77000308036804
52,-200.33000304549932
53,-99.97000305354595
54,-201.13000302761793
55,-98.37000308930874
56,-99.73000305891037
57,-98.69000308215618
58,-96.5699985474348
59,-199.13000307232141
60,-99.05000307410955
61,-97.69000310450792
62,-109.29000284522772
63,-100.41000304371119
64,-101.69000301510096
65,-97.9300030991435
66,-204.530002951622
67,-98.49000308662653
68,-200.25000304728746
69,-96.53000313043594
70,-100.49000304192305
71,-103.17000298202038
72,-97.44999852776527
73,-93.60999861359596
74,-99.41000306606293
75,-101.73000301420689
76,-94.81000316888094
77,-195.1700031608343
78,-201.4900030195713
79,-101.33000302314758
80,-99.93000305444002
81,-99.53000306338072
82,-101.05000302940607
83,-92.32999864220619
84,-107.01000289618969
85,-100.53000304102898
86,-100.09000305086374
87,-201.93000300973654
88,-207.9300028756261
89,-95.2900031581521
90,-197.69000310450792
91,-202.05000300705433
92,-193.69000624120235
93,-103.49000297486782
1,-300.49776273965836
2,-99.07844763994217
3,-120.30258466303349
4,-99.47839914262295
5,-113.37502805888653
6,-90.39000034332275
7,-362.34103395044804
8,-98.33091105520725
9,-151.5759728103876
10,-225.02085629105568
11,-175.46203431487083
12,-128.91204783320427
13,-258.9983780235052
14,-86.77328352630138
15,-275.6500145047903
16,-100.12042845785618
17,-225.93967333436012
18,-200.5771378427744
19,-265.5430532991886
20,-240.70431858301163
21,-89.06750340759754
22,-117.02209240198135
23,-101.59470660984516
24,-136.96429407596588
25,-84.41000056266785
26,-150.7079458385706
27,-110.37864553928375
28,-92.77058616280556
29,-89.7508454322815
30,-97.97702242434025
31,-400.40894988179207
32,-145.29573756456375
33,-103.21631282567978
34,-99.72379511594772
35,-227.46548357605934
36,-164.78227169811726
37,-227.9362803697586
38,-103.81070920825005
39,-219.0634204596281
40,-251.32145169377327
41,-324.07767267525196
42,-98.96602304279804
43,-189.32428769767284
44,-438.40897649526596
45,-222.3957120925188
46,-62.207715570926666
47,-945.0772043913603
48,-98.52198354899883
49,-193.91867661476135
50,-98.99020609259605
51,-202.09874840080738
52,-82.8500006198883
53,-98.57922722399235
54,-171.6874839514494
55,-96.61828657984734
56,-225.23808412253857
57,-104.03933402895927
58,-207.3521164804697
59,-170.13756436109543
60,-172.0854959487915
61,-226.8225240111351
62,-104.91012373566628
63,-105.44166354835033
64,-104.17027722299099
65,-130.63756689429283
66,-203.4816946387291
67,-89.77412635087967
68,-65.69000124931335
69,-147.68919269740582
70,-104.03279411792755
71,-186.9420649856329
72,-201.1651172041893
73,-198.3969102203846
74,-103.33087515830994
75,-128.19429476559162
76,-151.3773605376482
77,-87.27000045776367
78,-114.66450175642967
79,-101.2332305163145
80,-248.6247373521328
81,-240.7889362871647
82,-187.3365517258644
83,-162.2402943968773
84,-121.42958752810955
85,-122.68139854073524
86,-90.65000033378601
87,-105.12192267179489
88,-73.49699358642101
89,-79.21000075340271
90,-160.566624507308
91,-191.57304812967777
92,-181.56166656315327
