Episode,Total Reward
1,-1038.792844871059
2,-1013.7841346552595
3,-1055.0940344054252
4,-1024.2882737545297
5,-1034.8408795408905
6,-1077.4829944022931
7,-1036.3415214931592
8,-1017.0193202840164
9,-1054.736916128546
10,-1022.6698452103883
11,-1021.4147155843675
12,-1074.4213247122243
13,-1027.5865560448729
14,-1062.871634433046
15,-998.751626342535
16,-1026.7772217150778
17,-1028.879364839173
18,-1016.6610313765705
19,-1020.6061996701173
20,-1001.7909086383879
21,-1163.064952573739
22,-1025.3201957978308
23,-1022.4075531475246
24,-1016.7292898148298
25,-1019.1922134868801
26,-1000.4597129095346
27,-1042.217545811087
28,-1036.697993380949
29,-1033.9242510143667
30,-1037.3620765972883
31,-1043.703269728343
32,-1045.9869942218065
33,-1019.3232532925904
34,-1033.8124377466738
35,-1021.3543546865694
36,-1001.1024611883331
37,-1058.0778873395175
38,-1042.9567324686795
39,-1026.5511993626133
40,-1001.5153031237423
41,-999.5886135115288
42,-999.2533329057042
43,-1023.8027320867404
44,-1056.6508155036718
45,-1113.700041994336
46,-1028.165306323208
47,-1014.0987428631634
48,-1051.381405904889
49,-1001.6420003529638
50,-1023.1239953804761
51,-1000.5242815907113
52,-1024.640735759982
53,-1106.979578398168
54,-1023.9167377147824
55,-1020.571026833728
56,-1039.003064834047
57,-1045.22790033184
58,-1030.0714808236808
59,-1025.2130129355937
60,-1013.6740136034787
61,-1032.5428627207875
62,-1025.4594849571586
63,-1024.0132632530294
64,-1013.1046490008011
65,-1023.7202513087541
66,-1017.5697683859617
67,-1032.0824305284768
68,-1034.977906940505
69,-1033.13886266388
70,-1024.488347874023
71,-1024.500936070457
72,-1089.701002350077
73,-1035.5912034772336
74,-1030.454909492284
75,-1084.8942525945604
76,-1024.169422486797
77,-1029.8993621896952
78,-1025.2547632567585
79,-1001.0258669527248
80,-1034.2581943916157
81,-1035.5093541919487
82,-1018.1106601841748
83,-1031.4255906306207
84,-1025.8934627138078
85,-1033.5319149037823
86,-1036.1645892735396
87,-1019.5015910100192
88,-1046.0892478739843
89,-1016.8822053065524
90,-1015.7272070664912
91,-1082.1815794408321
92,-1037.842057146423
93,-1032.4417505711317
94,-1019.6885997392237
95,-1018.35212966986
96,-1014.5019710306078
97,-1035.1758619006723
98,-1023.762608201243
99,-1054.7393737118691
100,-1041.193244355265
101,-1000.5980854425579
102,-1024.044437863864
103,-1040.798239024356
104,-1042.8289115857333
105,-1034.821053472464
106,-1087.3976635353174
107,-1078.404309168458
108,-1143.2610503230244
109,-1002.7404158283025
110,-1001.4851970272139
111,-1056.0756323281676
112,-1001.8923847898841
113,-999.7824805853888
114,-1000.6831824993715
115,-1003.2515567165101
116,-1040.5000540539622
117,-1040.375271063298
118,-1038.78800416179
119,-1001.5180341433734
120,-1060.8983905762434
121,-1033.529346165713
122,-1026.0467983279377
123,-1022.5783085301518
124,-1051.1166925865691
125,-1032.2761300848797
126,-1122.4045094121248
127,-1043.0721971169114
128,-1027.6478044688702
129,-1033.94745215874
130,-1040.2739022835158
131,-1038.2040775436908
132,-1030.9054061931092
133,-1063.2558526331559
134,-1002.9814658090472
135,-1063.959128011018
136,-1001.751821687445
137,-1030.3545373380184
138,-1028.0482295621186
139,-1070.5711461342871
140,-1033.5055682146922
141,-1069.239830785431
142,-1028.7029544734396
143,-1061.264480237849
144,-1021.1700399443507
145,-1046.1956414468586
146,-1182.2390770297498
147,-1052.5935730412893
148,-1046.1924343814608
149,-1024.2915475778282
150,-1029.9753239429556
151,-1037.5491177104414
152,-1185.6723434999585
153,-1060.863353177905
154,-1101.5500912480056
155,-1043.8523523453623
156,-1003.1876689423807
157,-1187.2296286737546
158,-1024.7338512539864
159,-1001.5490332879126
160,-1036.3856292553246
161,-1033.0975050893612
162,-1057.5163033027202
163,-1032.6232692804188
164,-1083.644043410197
165,-1025.6830279268324
166,-1119.297273658216
167,-1022.692217271775
168,-1063.5625589061528
169,-1034.6872583087534
170,-1047.6039564292878
171,-1030.97049340792
172,-1025.421759555582
173,-1045.7369913556613
174,-1037.8171403221786
175,-1039.9473790647462
176,-1026.1927269776352
177,-1001.2453679144382
178,-1034.6118605821393
179,-1036.1113640116528
180,-1033.4317367313488
181,-1039.3030690262094
182,-1026.153778783657
183,-1025.3746036132798
184,-1040.4315044248942
185,-1002.1616261936724
186,-1023.9722038842738
187,-1028.1222453087394
188,-1127.212785974145
189,-1029.1512152166106
190,-1053.7329204096459
191,-1020.3665444678627
192,-1001.6368580248673
193,-1032.4074798971415
194,-1032.3018413912505
195,-1043.2209594072774
196,-1033.0058178342879
197,-1122.5981347821653
198,-1035.7644238071516
199,-1054.3055367600173
200,-1031.1910797059536
201,-1334.6914680227637
202,-1017.9708029497415
203,-1041.4189833728597
204,-1014.8001145012677
205,-1000.7745207166299
206,-1025.5206417115405
207,-1000.4818771090358
208,-1001.3961940072477
209,-1021.3899825010449
