Episode,Total Reward
1,-6748.487248429854
2,-2361.248504872172
3,-5741.662880511023
4,-6602.800471759252
5,-1002.0444415494421
6,-7102.355017211288
7,-6383.415643303928
8,-1000.5949486515601
9,-5945.125919529237
10,-7312.362006898969
11,-1006.2335080469347
12,-6146.85316338297
13,-6188.20042488171
14,-4610.030398489471
15,-1003.5540699297562
16,-6398.106899016071
17,-6639.2510771350935
18,-6935.565556849011
19,-6944.461778436089
20,-1000.9147822773666
21,-7059.881992598064
22,-7227.150615454128
23,-6427.1973621833895
24,-6424.339564202615
25,-6944.329425928649
26,-6792.058105138276
27,-7406.061773076188
28,-6894.549847059185
29,-1834.9297569306796
30,-6794.926344718413
31,-7820.864673065022
32,-1000.5871800315217
33,-4347.110275516519
34,-5615.299427566351
35,-6406.3862201184675
36,-1003.4736358206719
37,-6756.1032638796605
38,-3414.337557528168
39,-7094.295361280165
40,-6345.26947176698
41,-6963.791800843494
42,-2135.9638125808287
43,-1003.2593852321152
44,-6998.335550037329
45,-6200.84958763991
46,-6696.781706816517
47,-6976.61718642947
48,-6200.579095157824
49,-1438.7670405870304
50,-6172.071723338915
51,-1001.0166786411864
52,-6990.217082461633
53,-6134.5600764378905
54,-6694.609195319135
55,-6237.067078172971
56,-7319.811989383306
57,-7128.742978432216
58,-1469.8536187950522
59,-1001.5726282299147
60,-6715.823245137464
61,-6127.846667251608
62,-7022.728548297207
63,-6471.546303258132
64,-1003.9441638310382
65,-1005.8679393595085
66,-7352.98395241853
67,-7328.336629688627
68,-7069.926102908561
69,-5604.508207520557
70,-6614.523515475506
71,-7025.863925492275
72,-1004.2599806068465
73,-1001.0863328814739
74,-1006.9509224513895
75,-4804.860328168143
76,-3038.7151325931773
77,-6632.58125320822
78,-2478.353784858282
79,-1612.3688374068588
80,-6707.30864424468
81,-5915.822020239662
82,-6367.787898671813
83,-1401.2157522961497
84,-6851.765530095843
85,-1003.2039194717072
86,-2095.479027035475
87,-3441.038233688101
88,-6494.7377107176
89,-1001.9869406134821
90,-6402.544808950857
91,-6993.940177380107
92,-1002.3151501410757
93,-6216.672569230606
94,-7096.601928562857
95,-6815.918947275728
96,-6183.206366518047
97,-3854.6573567907326
98,-7103.630694039282
99,-6926.321162955661
100,-6193.830661104963
101,-2604.198331402469
102,-2553.5965866508486
103,-3425.5979601188883
104,-2614.654183959734
105,-2219.1714982034828
106,-2675.9580073134966
107,-2030.2670671516098
108,-2823.386189381941
109,-2693.593502933625
110,-2828.620035592321
111,-2167.0464599784464
112,-3566.750037001446
113,-1000.1993334627477
114,-3020.806004837388
115,-2838.525217037648
116,-2735.71090875924
117,-2847.2362335654907
118,-2891.0449835188265
119,-1000.0779117737475
120,-999.9224530720458
121,-2858.6415625494374
122,-3140.1703410884365
123,-1212.8511034521216
124,-2743.7190575446807
125,-3013.222850403108
126,-1000.5766705085989
127,-3324.8707920226298
128,-999.8353504142724
129,-3174.934156962765
130,-1017.686194928363
131,-3288.790529575199
132,-2509.1911188208614
133,-3391.3949303595
134,-1000.0424726220081
135,-2673.3483300659573
136,-3132.452666472178
137,-3217.5422552145246
138,-3074.6075287810672
139,-2968.6011974442963
140,-1000.459559998475
141,-2444.248348701163
142,-3105.6965194448712
143,-2838.2105966582894
144,-2522.72745028144
145,-999.8812700578128
146,-2793.077628341882
147,-3431.6918474466947
148,-2922.3455735112366
149,-1000.0465408759192
150,-3428.700961650233
151,-2179.680066787376
152,-2812.6833306745284
153,-2950.2495173344723
154,-1000.0309005043528
155,-2152.742545931076
156,-2105.6668545189023
157,-2518.9476757536177
158,-2546.2609707488737
159,-2520.776938818395
160,-1000.4123084502062
161,-3586.105893819911
162,-3228.0527866423
163,-1000.8022711974918
164,-1000.0934703914245
165,-3088.5121395009046
166,-3133.3180178347975
167,-3125.750541127636
168,-2524.0938995048637
169,-2889.1093588797085
170,-999.9307857232052
171,-2418.1561518760864
172,-1000.1061228999461
173,-1000.0789834464931
174,-1508.4889512438353
175,-2178.6379024835915
176,-1258.9912400352769
177,-2856.675611980114
178,-2617.255320136748
179,-1000.3331588133879
180,-3950.9068790888414
181,-3455.595590215584
182,-2760.9373221303613
183,-1452.2497194825628
184,-2285.4374686731026
185,-2456.76231396181
186,-2836.4441024108055
187,-999.9621170150349
188,-3123.607994883394
189,-2651.3156179919606
190,-1000.398856420361
191,-2097.685896729876
192,-2421.717440441251
193,-2790.6587352314964
194,-3387.44465776952
195,-1158.092114296609
196,-3004.031242405181
197,-2929.7521643305663
198,-1000.1603715511155
199,-2743.878202066757
200,-2926.3304084328847
201,-2839.165131352085
202,-3396.151859828431
203,-1000.2486816574819
204,-1000.2987734505441
205,-2976.900760444414
206,-2839.6450838585733
207,-3100.1490759716544
208,-2476.6101087958086
209,-2649.476181352511
210,-999.8973808214068
211,-2995.224561162584
212,-2592.8253089948557
213,-1000.1821722835739
214,-999.9723793479207
215,-3564.3064818085277
216,-1952.220455830684
217,-2981.030251864111
218,-3862.1874256930205
219,-999.9337072175549
220,-1000.0411090305934
221,-3326.0383702334657
222,-2847.919912321493
223,-3041.236774698831
224,-3171.9866466620006
225,-3493.9036127328873
226,-3309.341253964696
227,-3605.5189901263075
228,-2034.283560474796
229,-3312.845255821245
230,-1000.4945362748695
231,-2991.1528448197714
232,-3629.6489420187136
233,-1000.0637939575245
234,-2998.943411621556
235,-3880.8659232342834
236,-2768.159997643903
237,-3416.6421336850617
238,-3457.0062165618583
239,-999.9051060609054
240,-1000.087792932376
241,-3203.513278321043
242,-1000.0070732061868
243,-3117.7738597246935
244,-3142.554445316113
245,-3358.761325334199
246,-4201.710281426087
247,-3337.36012713518
248,-3696.0050319790607
249,-2953.5466365177417
250,-1272.370819383068
251,-999.8092911210842
252,-1000.1947091060865
253,-1719.8721406416735
254,-1000.2680196483852
255,-3593.4050196656026
256,-1000.0648961525758
257,-2788.493759612262
258,-4104.698044826509
259,-999.8603024084605
260,-2949.854611278992
261,-2794.1548777798307
262,-3744.7071088552475
263,-3630.3079107501544
264,-3029.534671652131
265,-1335.543326471001
266,-3572.664503581924
267,-1126.207497207506
268,-3210.937055338989
269,-3148.7714745475387
270,-2640.1806429484277
271,-3226.006320132874
272,-1621.4151098006914
273,-1001.2095070626092
274,-3125.136829412222
275,-3493.637733547366
276,-2714.2119488622993
277,-3316.4927039141767
278,-3362.5944863897485
279,-2816.9005727734366
280,-1004.2684020663146
281,-2957.4317989181727
282,-1000.2486258171266
283,-1000.2709163889958
284,-2943.5645510083996
285,-2639.494825420421
286,-2873.536912392825
287,-1098.079043792066
288,-2248.7227162710915
289,-2579.558496130863
290,-3382.358029484858
291,-3255.197315912068
292,-3024.5098085823
293,-1007.3152876000386
294,-1000.0670951724751
295,-2401.293618910371
296,-1345.5502464449964
297,-3341.178408908425
298,-999.8557567647658
299,-3355.1486759481013
300,-999.8854687920507
301,-1039.6017698425712
302,-2629.587512588827
303,-999.578464099206
304,-3664.1307494002394
305,-2603.0166319366544
306,-2140.0407627080567
307,-2856.018917944224
308,-3786.7927613281645
309,-3022.496681375429
310,-1147.729673053429
311,-999.8536141063087
312,-3042.6583525966853
313,-1123.4033644572764
314,-3191.168184106238
315,-2822.1227189181373
316,-3608.897479524836
317,-3481.9654025874333
318,-2960.85363405892
319,-1551.8552181813866
320,-3249.8366549732164
321,-1000.2346333990572
322,-3014.035271536093
323,-3280.6181407597032
324,-2960.305503363721
325,-999.8718112460338
326,-2722.714938513702
327,-3841.2859984142706
328,-2532.41325261374
329,-3095.143754336379
330,-3284.6557511626743
331,-3336.4583701819647
332,-2811.153836696889
333,-3943.6652028368553
334,-3580.4510323652066
335,-3395.9494910901412
336,-3296.552637693472
337,-3266.2631287207478
338,-3040.701459604712
339,-2981.1279585091397
340,-1879.3126972983591
341,-999.7913750046864
342,-2120.7448077549925
343,-3406.273014527047
344,-1000.1188182450715
345,-3409.0142165221623
346,-2770.181890834454
347,-3183.1565815359354
348,-1253.3084543501027
349,-1277.8954263264313
350,-3005.569529408589
351,-3146.5646811582083
352,-999.9238100860966
353,-1502.7902106493711
354,-2638.929697813437
355,-3244.547783885617
356,-3054.909672078211
357,-2952.420985390432
358,-3182.7688588887104
359,-3588.0124167829235
360,-3467.8924820288084
361,-3016.197918204125
362,-3553.8835306449982
363,-3158.5704187516385
364,-2180.274426690721
365,-3386.197225907352
366,-3123.0572469634935
367,-3074.854861859698
368,-3670.611981560942
369,-1022.5713409148157
370,-3469.4038576979656
371,-3203.79224995384
372,-2430.0434286855307
373,-3257.488265156455
374,-3336.7641015308836
375,-1917.349101847969
376,-2616.3891881024465
377,-1004.6882912227884
378,-2870.1691457382403
379,-1010.7376975622028
380,-2855.5381563398987
381,-3143.1076182851684
382,-2666.5268760416657
383,-2788.6742475841893
384,-3372.1207295074128
385,-2562.3064348975313
386,-3478.378995671548
387,-3063.528273599688
388,-3674.4467234557524
389,-3295.873266328126
390,-2941.1491983397864
391,-999.7807728950866
392,-3591.724406004563
393,-4092.0485124954284
394,-3546.7860973794013
395,-3234.1500872225333
396,-1147.088262973819
397,-3003.3766648275778
398,-3331.740577257704
399,-999.6112284366973
400,-2142.626448113937
401,-8120.737359061837
402,-8424.11023738562
403,-1508.630309171509
404,-1004.589389130575
405,-8870.225234043784
406,-8782.708487884607
407,-9645.591338700615
408,-8997.3414851157
409,-8793.34691830352
410,-6316.351891536266
411,-1003.2982908412814
412,-8447.302875859896
413,-8397.169893396072
414,-1010.44409898296
415,-8590.21548581263
416,-8176.789245812222
417,-8958.763917596545
418,-8820.922126112506
419,-8511.201686283108
420,-1057.088845467195
421,-8662.452046494
422,-8285.617228413932
423,-8245.198678222485
424,-1048.7732069068588
425,-8443.551880602132
426,-7443.52241109265
427,-8612.562511128373
428,-2643.5269991426903
429,-8524.778755915817
430,-8708.032017023215
431,-2447.873993465677
432,-8578.019808746642
433,-1388.4447644306929
434,-1006.0787065010518
435,-7172.510004479438
436,-7285.876189340837
437,-8719.66935345321
438,-8434.765796894208
439,-8331.01643860899
440,-8544.276156805456
441,-2032.5979852825403
442,-8213.229261995293
443,-8213.736009484157
444,-8342.385571458843
445,-9022.983565669681
446,-4474.257040459663
447,-8912.666841291808
448,-8381.975957166404
449,-8322.339122893289
450,-8019.804988664109
451,-8234.78134213062
452,-1008.4053128003143
453,-8100.163583303802
454,-8338.110719150864
455,-8589.199012595695
456,-1372.556183136534
457,-8823.468980748235
458,-9080.676814151346
459,-7949.513468024321
460,-9028.803017916856
461,-8064.644743885845
462,-8709.406927747652
463,-8300.972348956857
464,-6247.60696935188
465,-7711.2035063626245
466,-8337.526126836427
467,-8359.894558362663
468,-7782.961427435279
469,-8612.185418255569
470,-8763.795379524818
471,-9172.704368340783
472,-8275.327501040883
473,-8458.435845863074
474,-3667.5306341219693
475,-8401.736971788108
476,-8583.81985544553
477,-8229.08168734028
478,-8747.3338769353
479,-7950.707899425179
480,-8524.641950027872
481,-8692.350436368492
482,-8748.703176834155
483,-8222.239745023195
484,-4852.693261233158
485,-8974.108198427595
486,-4453.961742453743
487,-9404.544765327591
488,-8035.15584237095
489,-8883.072589078605
490,-8412.137374040205
491,-8437.772106057964
492,-7653.855836871429
493,-8874.452197701365
494,-8424.287625211291
495,-8269.226610018393
496,-8528.018981155008
497,-8786.782300180756
498,-8347.586506115273
499,-8253.961773407646
500,-8168.128165903501
501,-7999.313000855967
