demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no
noisy,0.2,0.0,0.21600974604131382,1,0.5,1.0,4.390583786396064,
noisy,0.29000000000000004,0.0,0.29405110539329016,1,0.5,1.0,6.0888893790827625,
noisy,0.38,0.0,0.40005374303027813,1,0.5,1.0,8.436753363246877,
noisy,0.47000000000000003,0.0,0.4737012240793792,1,0.5,1.0,9.770785699990883,
noisy,0.56,0.0,0.5697474287452939,1,0.5,1.0,10.003631900548891,
noisy,0.6499999999999999,0.0,0.6641551202078279,1,0.5,1.0,10.004724792027245,
noisy,0.74,0.0,0.73331876734568,1,0.5,1.0,10.003963376487647,
noisy,0.8300000000000001,0.0,0.8318393442027104,1,0.5,1.0,10.005944935916341,
noisy,0.9199999999999999,0.0,0.9303191274411571,1,0.5,1.0,10.004121413376007,
noisy,1.01,0.0,1.0292215292358264,1,0.5,1.0,10.008366997364973,
noisy,1.0999999999999999,0.0,1.1099266725585533,1,0.5,1.0,10.004875101676424,
noisy,1.19,0.0,1.1986090101332405,1,0.5,1.0,10.00513640077376,
noisy,1.28,0.0,1.2889961986464005,1,0.5,1.0,10.007605906564494,
noisy,1.3699999999999999,0.0,1.3486420653273585,1,0.5,1.0,10.013077506600952,
noisy,1.46,0.0,1.4787634016576157,1,0.5,1.0,10.013775283239381,
noisy,1.5499999999999998,0.0,1.541765298037392,1,0.5,1.0,10.014179474451158,
noisy,1.64,0.0,1.6180624659765783,1,0.5,1.0,10.013615755079996,
noisy,1.73,0.0,1.6738700877432873,1,0.5,1.0,10.014719673332293,
noisy,1.8199999999999998,0.0,1.759552389245201,1,0.5,1.0,10.008867709261413,
noisy,1.91,0.0,1.6184946659831188,1,0.5,0.6666666666666666,10.012942719426494,
noisy,2.0,0.0,1.5355625139661477,1,0.5,0.3333333333333333,10.006494529036202,
noisy,0.2,0.0,0.21747938101691566,2,0.5,1.0,4.744065139255637,
noisy,0.29000000000000004,0.0,0.2906754379209696,2,0.5,1.0,5.891863813307288,
noisy,0.38,0.0,0.39356960284114684,2,0.5,1.0,7.9613957026620605,
noisy,0.47000000000000003,0.0,0.4709970282867874,2,0.5,1.0,9.660076716806271,
noisy,0.56,0.0,0.567725852007078,2,0.5,1.0,10.002927019992097,
noisy,0.6499999999999999,0.0,0.6530661707144718,2,0.5,1.0,10.003788976701248,
noisy,0.74,0.0,0.7467299221945579,2,0.5,1.0,10.00661714700598,
noisy,0.8300000000000001,0.0,0.8343122969293901,2,0.5,1.0,10.004670194661577,
noisy,0.9199999999999999,0.0,0.9331735456299253,2,0.5,1.0,10.00474439650462,
noisy,1.01,0.0,1.039200547069384,2,0.5,1.0,10.005644465828613,
noisy,1.0999999999999999,0.0,1.1166116232717318,2,0.5,1.0,10.010568736985356,
noisy,1.19,0.0,1.2096630605295207,2,0.5,1.0,10.011257970623468,
noisy,1.28,0.0,1.2745361062385743,2,0.5,1.0,10.00891157879169,
noisy,1.3699999999999999,0.0,1.354630235626459,2,0.5,1.0,10.007373296937613,
noisy,1.46,0.0,1.443254542465806,2,0.5,1.0,10.009111399459123,
noisy,1.5499999999999998,0.0,1.5061474354844098,2,0.5,1.0,10.006859558983802,
noisy,1.64,0.0,1.6246909166425603,2,0.5,1.0,10.011405656455553,
noisy,1.73,0.0,1.6834500138643955,2,0.5,1.0,10.00538033730087,
noisy,1.8199999999999998,0.0,1.7503391359460225,2,0.5,1.0,10.012212132624748,
noisy,1.91,0.0,1.835134716394796,2,0.5,1.0,10.016247068239235,
noisy,2.0,0.0,1.726067725019439,2,0.5,0.6666666666666666,10.008643282212017,
noisy,0.2,0.0,0.2205856295731586,3,0.5,1.0,4.5174721246558684,
noisy,0.29000000000000004,0.0,0.2987756206701233,3,0.5,1.0,6.0522689647875625,
noisy,0.38,0.0,0.38771629894770115,3,0.5,1.0,7.8249543142758915,
noisy,0.47000000000000003,0.0,0.471345452382659,3,0.5,1.0,9.67093793723303,
noisy,0.56,0.0,0.5647098099631851,3,0.5,1.0,10.004447536254782,
noisy,0.6499999999999999,0.0,0.6504833074982406,3,0.5,1.0,10.005070008167234,
