demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.249046911308654,1,0.25,1.0,5.065338528367383,,234.0
noisy,0.29000000000000004,0.0,0.33798606835535033,1,0.25,1.0,6.80690999682291,,381.0
noisy,0.38,0.0,0.42297579636065397,1,0.25,1.0,8.807028698431173,,400.0
noisy,0.47000000000000003,0.0,0.514946751396325,1,0.25,1.0,10.003079040001799,,422.0
noisy,0.56,0.0,0.5986381343272202,1,0.25,1.0,10.000967110986823,,475.0
noisy,0.6499999999999999,0.0,0.6724455748763308,1,0.25,1.0,10.004830031313055,,395.0
noisy,0.74,0.0,0.7675284108693612,1,0.25,1.0,10.007202101630417,,398.0
noisy,0.8300000000000001,0.0,0.8518202861642764,1,0.25,1.0,10.006415978083178,,419.0
noisy,0.9199999999999999,0.0,0.9428439592587715,1,0.25,1.0,10.00746584915291,,325.0
noisy,1.01,0.0,1.028722573632696,1,0.25,1.0,10.005531761148543,,345.0
noisy,1.0999999999999999,0.0,1.1115679121259028,1,0.25,1.0,10.000624601002402,,296.0
noisy,1.19,0.0,1.181914305083797,1,0.25,1.0,10.005881343161878,,280.0
noisy,1.28,0.0,1.2749663247891847,1,0.25,1.0,10.012241260608622,,335.0
noisy,1.3699999999999999,0.0,1.3640938551261013,1,0.25,1.0,10.012967938531713,,245.0
noisy,1.46,0.0,1.4425962644677888,1,0.25,1.0,10.012397889246175,,251.0
noisy,1.5499999999999998,0.0,1.5215225042610545,1,0.25,1.0,10.011417101621968,,257.0
noisy,1.64,0.0,1.5985030911118459,1,0.25,1.0,10.010894969372455,,216.0
noisy,1.73,0.0,1.680094663241147,1,0.25,1.0,10.015297308098868,,222.0
noisy,1.8199999999999998,0.0,1.7512815198660194,1,0.25,1.0,10.008871950575857,,212.0
noisy,1.91,0.0,1.8295930997928884,1,0.25,1.0,10.01723591726027,,218.0
noisy,2.0,0.0,1.9113740468029148,1,0.25,1.0,10.013904551992242,,198.0
noisy,0.2,0.0,0.2523762482699265,2,0.25,1.0,5.191527574882234,,294.0
noisy,0.29000000000000004,0.0,0.3386274662862256,2,0.25,1.0,6.8886432722324935,,300.0
noisy,0.38,0.0,0.4206845062623517,2,0.25,1.0,8.54244971173911,,273.0
noisy,0.47000000000000003,0.0,0.5098701347746282,2,0.25,1.0,10.003307746458132,,473.0
noisy,0.56,0.0,0.5936601640077696,2,0.25,1.0,10.002383095433313,,504.0
noisy,0.6499999999999999,0.0,0.6811174709755882,2,0.25,1.0,10.005754139938178,,402.0
noisy,0.74,0.0,0.7628967169194829,2,0.25,1.0,10.005555858950174,,420.0
noisy,0.8300000000000001,0.0,0.8539794821002656,2,0.25,1.0,10.006283857235912,,404.0
noisy,0.9199999999999999,0.0,0.9397818765689925,2,0.25,1.0,10.003747820284644,,366.0
noisy,1.01,0.0,1.0265024763102304,2,0.25,1.0,10.008521329604951,,345.0
noisy,1.0999999999999999,0.0,1.1118760566305474,2,0.25,1.0,10.00861259376894,,283.0
noisy,1.19,0.0,1.1869009038516474,2,0.25,1.0,10.009902766023782,,277.0
noisy,1.28,0.0,1.2656436708747765,2,0.25,1.0,10.009575491228405,,267.0
noisy,1.3699999999999999,0.0,1.36829382812691,2,0.25,1.0,10.005120120244555,,291.0
noisy,1.46,0.0,1.4493335908795804,2,0.25,1.0,10.012717227808785,,261.0
noisy,1.5499999999999998,0.0,1.5194236504848935,2,0.25,1.0,10.006221050314354,,244.0
noisy,1.64,0.0,1.6009100821240667,2,0.25,1.0,10.014719075633295,,232.0
noisy,1.73,0.0,1.6809133056321912,2,0.25,1.0,10.012790261914517,,223.0
noisy,1.8199999999999998,0.0,1.7499288538407172,2,0.25,1.0,10.014686619333876,,211.0
noisy,1.91,0.0,1.8301084888172792,2,0.25,1.0,10.016030210447068,,202.0
noisy,2.0,0.0,1.9068206140861284,2,0.25,1.0,10.013080688879764,,183.0
