demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0.239700633869863,,,1,,,85.0
rotation,0.29000000000000004,-15.0,0.31782540031958645,,,1,,,75.0
rotation,0.38,-15.0,0.3351691754790259,,,1,,,123.0
rotation,0.47000000000000003,-15.0,0.4977815804996054,,,1,,,16.0
rotation,0.56,-15.0,0.5419283699249268,,,1,,,83.0
rotation,0.6499999999999999,-15.0,0.6072904280075696,,,1,,,59.0
rotation,0.74,-15.0,0.7329350349227809,,,1,,,19.0
rotation,0.8300000000000001,-15.0,0.8061028833991905,,,1,,,63.0
rotation,0.9199999999999999,-15.0,0.8794213005797237,,,1,,,77.0
rotation,1.01,-15.0,1.0008428227458714,,,1,,,23.0
rotation,1.0999999999999999,-15.0,0.0,,,0,,,21.0
rotation,1.19,-15.0,1.1040491130288865,,,1,,,38.0
rotation,1.28,-15.0,1.2484154315382179,,,1,,,49.0
rotation,1.3699999999999999,-15.0,1.3508890999717946,,,1,,,57.0
rotation,1.46,-15.0,1.4030403522337325,,,1,,,41.0
rotation,1.5499999999999998,-15.0,1.519362179587706,,,1,,,56.0
rotation,1.64,-15.0,1.590798161741846,,,1,,,44.0
rotation,1.73,-15.0,1.6501199792961223,,,1,,,40.0
rotation,1.8199999999999998,-15.0,1.7209432141488543,,,1,,,81.0
rotation,1.91,-15.0,1.8068610710964197,,,1,,,64.0
rotation,2.0,-15.0,1.8953699465529918,,,1,,,56.0
rotation,0.2,-14.0,0.0,,,0,,,108.0
rotation,0.29000000000000004,-14.0,0.3232593492524337,,,1,,,70.0
rotation,0.38,-14.0,0.46194694231967687,,,1,,,22.0
rotation,0.47000000000000003,-14.0,0.5324993515681418,,,1,,,54.0
rotation,0.56,-14.0,0.5372723291580027,,,1,,,61.0
rotation,0.6499999999999999,-14.0,0.5952080527142395,,,1,,,55.0
rotation,0.74,-14.0,0.7366994076629699,,,1,,,66.0
rotation,0.8300000000000001,-14.0,0.7986880957769618,,,1,,,58.0
rotation,0.9199999999999999,-14.0,0.9224382687195725,,,1,,,30.0
rotation,1.01,-14.0,0.9674777692326817,,,1,,,65.0
rotation,1.0999999999999999,-14.0,0.0,,,0,,,18.0
rotation,1.19,-14.0,1.2060605316923914,,,1,,,33.0
rotation,1.28,-14.0,1.265642662148358,,,1,,,39.0
rotation,1.3699999999999999,-14.0,1.3433998605023918,,,1,,,62.0
rotation,1.46,-14.0,1.4216801013220515,,,1,,,43.0
rotation,1.5499999999999998,-14.0,1.4543812316465081,,,1,,,37.0
rotation,1.64,-14.0,1.6032915116185036,,,1,,,53.0
rotation,1.73,-14.0,1.6709665203515438,,,1,,,58.0
rotation,1.8199999999999998,-14.0,1.727970414455048,,,1,,,60.0
rotation,1.91,-14.0,1.812896606744238,,,1,,,51.0
rotation,2.0,-14.0,1.9042851655874455,,,1,,,47.0
rotation,0.2,-13.0,0.22512737651500697,,,1,,,133.0
rotation,0.29000000000000004,-13.0,0.3564564557826622,,,1,,,55.0
rotation,0.38,-13.0,0.5296236496474038,,,1,,,108.0
rotation,0.47000000000000003,-13.0,0.4686480813305071,,,1,,,9.0
rotation,0.56,-13.0,0.5908866105510211,,,1,,,28.0
rotation,0.6499999999999999,-13.0,0.635905848126245,,,1,,,65.0
rotation,0.74,-13.0,0.7207486417542807,,,1,,,78.0
rotation,0.8300000000000001,-13.0,0.8463038997589051,,,1,,,16.0
rotation,0.9199999999999999,-13.0,0.9470763707482611,,,1,,,20.0
rotation,1.01,-13.0,1.003407819784848,,,1,,,72.0
rotation,1.0999999999999999,-13.0,1.0809603087762467,,,1,,,54.0
rotation,1.19,-13.0,1.1872286788859718,,,1,,,27.0
rotation,1.28,-13.0,1.2583335065638803,,,1,,,36.0
rotation,1.3699999999999999,-13.0,1.3515343786258882,,,1,,,49.0
rotation,1.46,-13.0,1.384565085888439,,,1,,,48.0
rotation,1.5499999999999998,-13.0,1.487136729513944,,,1,,,51.0
rotation,1.64,-13.0,1.5936268014947992,,,1,,,43.0
rotation,1.73,-13.0,1.675489115799004,,,1,,,39.0
rotation,1.8199999999999998,-13.0,1.726524341666274,,,1,,,51.0
rotation,1.91,-13.0,1.771596105536218,,,1,,,44.0
rotation,2.0,-13.0,1.8953988509706885,,,1,,,77.0
rotation,0.2,-12.0,0.21380585853372103,,,1,,,114.0
rotation,0.29000000000000004,-12.0,0.33474861196500827,,,1,,,100.0
rotation,0.38,-12.0,0.44534478484335666,,,1,,,26.0
rotation,0.47000000000000003,-12.0,0.0,,,0,,,35.0
rotation,0.56,-12.0,0.567547976101374,,,1,,,91.0
rotation,0.6499999999999999,-12.0,0.6188048198733463,,,1,,,74.0
rotation,0.74,-12.0,0.7114975478535678,,,1,,,67.0
rotation,0.8300000000000001,-12.0,0.8280817755004919,,,1,,,30.0
rotation,0.9199999999999999,-12.0,0.9107971079642826,,,1,,,19.0
rotation,1.01,-12.0,1.0139355325358281,,,1,,,32.0
rotation,1.0999999999999999,-12.0,1.0676378324658764,,,1,,,35.0
rotation,1.19,-12.0,1.1707460529656004,,,1,,,40.0
rotation,1.28,-12.0,1.2475747566169786,,,1,,,51.0
rotation,1.3699999999999999,-12.0,1.3442838073346588,,,1,,,51.0
rotation,1.46,-12.0,1.436288648993685,,,1,,,58.0
rotation,1.5499999999999998,-12.0,1.508894494640785,,,1,,,52.0
rotation,1.64,-12.0,1.601182904754432,,,1,,,34.0
rotation,1.73,-12.0,1.6766753513138146,,,1,,,49.0
rotation,1.8199999999999998,-12.0,1.7202733409743016,,,1,,,68.0
rotation,1.91,-12.0,1.8101152244285714,,,1,,,61.0
rotation,2.0,-12.0,1.900834708745756,,,1,,,69.0
rotation,0.2,-11.0,0.2577695098451047,,,1,,,86.0
rotation,0.29000000000000004,-11.0,0.3712629067984569,,,1,,,22.0
rotation,0.38,-11.0,0.4096337796054507,,,1,,,18.0
rotation,0.47000000000000003,-11.0,0.5393606657708295,,,1,,,97.0
rotation,0.56,-11.0,0.5947093318236197,,,1,,,23.0
rotation,0.6499999999999999,-11.0,0.6381083774924655,,,1,,,16.0
rotation,0.74,-11.0,0.7514324405281618,,,1,,,24.0
rotation,0.8300000000000001,-11.0,0.8289638314106945,,,1,,,24.0
rotation,0.9199999999999999,-11.0,0.915120572589542,,,1,,,29.0
rotation,1.01,-11.0,1.0060903529668184,,,1,,,40.0
rotation,1.0999999999999999,-11.0,1.084696163379099,,,1,,,33.0
rotation,1.19,-11.0,1.118517608562092,,,1,,,34.0
rotation,1.28,-11.0,1.2503721603189633,,,1,,,33.0
rotation,1.3699999999999999,-11.0,1.3294670861025362,,,1,,,50.0
rotation,1.46,-11.0,1.407264807534682,,,1,,,58.0
rotation,1.5499999999999998,-11.0,1.4870284253830688,,,1,,,61.0
rotation,1.64,-11.0,1.579295312586689,,,1,,,62.0
rotation,1.73,-11.0,1.6797107322521516,,,1,,,62.0
rotation,1.8199999999999998,-11.0,1.7313240772247867,,,1,,,79.0
rotation,1.91,-11.0,1.8145282716634494,,,1,,,87.0
rotation,2.0,-11.0,1.9104362823664893,,,1,,,49.0
