Episode,Total Reward,Termination Step
1,-90.95498657226562,16
2,-101.48453521728516,49
3,-89.40433502197266,20
4,-93.12080383300781,10
5,-59.62669372558594,59
6,-86.12684631347656,30
7,-92.37042999267578,11
8,-93.58344268798828,27
9,-87.00518035888672,33
10,-91.67788696289062,13
11,-77.7488784790039,45
12,-80.32140350341797,28
13,-73.08992004394531,95
14,-69.07809448242188,42
15,-93.44230651855469,42
16,-83.8525390625,27
17,-90.77252197265625,17
18,-88.71190643310547,18
19,-95.3818130493164,40
20,-91.64488983154297,25
21,-87.31403350830078,28
22,-94.7836685180664,10
23,-82.23432922363281,40
24,-76.09693908691406,53
25,-94.40149688720703,23
26,-83.97830200195312,24
27,-81.91461181640625,22
28,-83.1280517578125,32
29,-81.80484008789062,32
30,-88.69878387451172,36
31,-80.31282043457031,39
32,-85.42850494384766,33
33,-93.58769226074219,10
34,-86.86270904541016,24
35,-95.54100799560547,9
36,-96.67401885986328,32
37,-86.21591186523438,32
38,-91.21914672851562,23
39,-91.86751556396484,12
40,-90.64776611328125,13
41,-92.78572845458984,29
42,-91.65252685546875,15
43,-79.93901062011719,35
44,-82.04373931884766,29
45,-83.77054595947266,39
46,-93.02677154541016,32
47,-54.11736297607422,84
48,-92.96846008300781,12
49,-99.58753967285156,57
50,-90.01234436035156,19
51,-88.7942886352539,22
52,-93.60287475585938,11
53,-91.09004974365234,31
54,-95.5546646118164,59
55,-85.41585540771484,49
56,-82.63606262207031,47
57,-77.96737670898438,33
58,-89.524169921875,13
59,-92.0883560180664,10
60,-94.91291809082031,25
61,-91.59423828125,25
62,-91.40533447265625,13
63,-90.82918548583984,10
64,-119.5599136352539,144
65,-95.2116928100586,37
66,-90.25025939941406,53
67,-93.38080596923828,31
68,-90.61121368408203,12
69,-93.93244934082031,69
70,-88.72379302978516,12
71,-104.76617431640625,44
72,-88.06732177734375,32
73,-77.53292083740234,43
74,-87.86515808105469,36
75,-72.02591705322266,71
76,-85.8624038696289,20
77,-112.87834930419922,60
78,-89.14900207519531,26
79,-94.4448471069336,34
80,-86.5166244506836,14
81,-87.58738708496094,14
82,-91.45110321044922,12
83,-87.18115997314453,26
84,-102.57015991210938,75
85,-81.4316177368164,28
86,-93.70247650146484,24
87,-93.23945617675781,13
88,-94.25009155273438,31
89,-92.83612823486328,10
90,-90.5087661743164,18
91,-85.64483642578125,82
92,-95.78417205810547,28
93,-92.89268493652344,18
94,-95.32547760009766,25
95,-92.31261444091797,14
96,-87.3171157836914,28
97,-70.36677551269531,69
98,-77.93060302734375,25
99,-79.00112915039062,30
100,-86.18453979492188,32
101,-76.46141815185547,31
102,-86.09088134765625,42
103,-93.36922454833984,23
104,-80.28440856933594,38
105,-87.33097076416016,32
106,-87.05007934570312,33
107,-85.06561279296875,24
108,-88.9624252319336,30
109,-86.87513732910156,23
110,-84.75084686279297,29
111,-86.92543029785156,56
112,-97.3600845336914,30
113,-80.8914566040039,23
114,-88.90094757080078,22
115,-90.32865142822266,15
116,-95.97702026367188,30
117,-87.08584594726562,27
118,-100.35528564453125,66
119,-89.60084533691406,27
120,-74.71112823486328,58
121,-93.9371337890625,9
122,-91.41941833496094,38
123,-87.2417221069336,24
124,-110.45860290527344,61
125,-85.84683990478516,23
126,-93.39901733398438,9
127,-69.57916259765625,61
128,-94.47605895996094,22
129,-77.48310852050781,63
130,-89.46156311035156,80
131,-92.906982421875,39
132,-96.12103271484375,31
133,-89.27344512939453,32
134,-104.28097534179688,53
135,-80.55387115478516,33
136,-86.29362487792969,23
137,-89.7522964477539,13
138,-77.06333923339844,52
139,-75.04034423828125,45
140,-86.99980163574219,26
141,-92.39493560791016,22
142,-88.20115661621094,27
143,-91.86038208007812,32
144,-88.87969207763672,44
145,-92.76150512695312,14
146,-94.11254119873047,7
147,-93.09325408935547,68
148,-71.3193588256836,33
149,-91.53640747070312,36
150,-84.59070587158203,50
151,-77.24198913574219,40
152,-89.14111328125,38
153,-92.76067352294922,29
154,-79.2803955078125,41
155,-94.42484283447266,31
156,-88.22492980957031,40
157,-89.91311645507812,40
158,-83.17831420898438,23
159,-90.81083679199219,13
160,-89.84192657470703,35
161,-66.95547485351562,54
162,-86.03689575195312,16
163,-91.74897766113281,14
164,-95.33261108398438,31
165,-86.16560363769531,27
166,-90.49227142333984,54
167,-84.65086364746094,17
168,-88.02919006347656,29
169,-90.78792572021484,26
170,-92.05073547363281,13
171,-88.35018157958984,39
172,-95.13202667236328,23
173,-94.6533203125,38
174,-85.90731811523438,33
175,-83.799072265625,30
176,-90.6620101928711,16
177,-71.87678527832031,51
178,-87.90592956542969,25
179,-80.86366271972656,35
180,-77.76051330566406,40
181,-89.75627136230469,34
182,-83.7236557006836,44
183,-91.40074920654297,10
184,-44.78437423706055,67
185,-89.2336654663086,32
186,-85.229736328125,33
187,-93.1629409790039,9
188,-93.34980010986328,10
189,-82.30699157714844,38
190,-66.13627624511719,60
191,-87.70777130126953,25
192,-87.30122375488281,18
193,-91.65406799316406,14
194,-80.80741119384766,27
195,-72.8101806640625,74
196,-80.69239807128906,31
197,-94.88296508789062,28
198,-95.51632690429688,52
199,-83.40866088867188,30
200,-88.37033081054688,18
201,-91.75032043457031,12
202,-89.19560241699219,39
203,-90.98087310791016,16
204,-84.48239135742188,23
205,-84.8858413696289,28
206,-93.02471923828125,8
207,-95.71414947509766,7
208,-83.58038330078125,18
209,-85.60991668701172,37
210,-90.14315032958984,16
211,-90.4888687133789,13
212,-91.48651885986328,28
213,-91.69808197021484,13
214,-93.61619567871094,37
215,-84.28116607666016,21
216,-103.48084259033203,60
217,-93.00819396972656,15
218,-83.20869445800781,38
219,-87.35639953613281,46
220,-84.85409545898438,22
221,-93.73228454589844,20
222,-96.6619644165039,25
223,-73.46683502197266,53
224,-83.40902709960938,35
225,-85.93482208251953,30
226,-90.68685913085938,15
227,-90.4739990234375,28
228,-86.72940063476562,24
229,-91.14257049560547,18
230,-96.09050750732422,30
231,-92.0512924194336,11
232,-88.96214294433594,21
233,-95.62509155273438,32
234,-85.01463317871094,54
235,-88.97555541992188,22
236,-84.61360168457031,23
237,-87.64305877685547,62
238,-86.95083618164062,33
239,-92.11912536621094,10
240,-81.4658203125,22
241,-92.59037780761719,8
242,-90.25777435302734,20
243,-80.38695526123047,35
244,-86.96113586425781,20
245,-93.73976135253906,11
246,-71.15265655517578,48
247,-86.1026611328125,19
248,-84.64334869384766,34
249,-82.88846588134766,39
250,-80.02312469482422,53
251,-89.33380889892578,11
252,-93.74337005615234,28
253,-76.51864624023438,43
254,-92.64336395263672,14
255,-91.2801284790039,11
256,-91.47746276855469,16
257,-89.17268371582031,14
258,-91.78246307373047,14
259,-91.02184295654297,34
260,-90.77318572998047,16
261,-86.6328353881836,29
262,-90.32659912109375,13
263,-88.78517150878906,28
264,-83.41268157958984,46
265,-92.99244689941406,16
266,-88.86753845214844,18
267,-91.34650421142578,15
268,-87.48809051513672,20
269,-85.10065460205078,41
270,-98.55706024169922,55
271,-85.71878051757812,22
272,-76.49113464355469,43
273,-94.12506866455078,11
274,-102.07917785644531,51
275,-93.66795349121094,13
276,-88.86772918701172,20
277,-92.21629333496094,93
278,-92.44258880615234,17
279,-83.22492980957031,45
280,-90.7322998046875,42
281,-92.14667510986328,29
282,-92.3010025024414,48
283,-90.62699890136719,34
284,-82.00828552246094,32
285,-68.950927734375,55
286,-98.4781494140625,56
287,-92.78495788574219,42
288,-90.8823013305664,29
289,-93.30613708496094,21
290,-85.08103942871094,23
291,-94.13723754882812,51
292,-92.7321548461914,26
293,-84.92938995361328,30
294,-88.2857666015625,54
295,-92.93795776367188,25
296,-90.314453125,16
297,-79.13307189941406,30
298,-94.0179443359375,28
299,-86.3036117553711,28
300,-102.95143127441406,49
301,-73.69187927246094,33
302,-92.7070541381836,9
303,-90.1410903930664,14
304,-97.91804504394531,53
305,-84.28277587890625,34
306,-80.30496978759766,66
307,-90.30598449707031,40
308,-88.32179260253906,20
309,-94.13671875,49
310,-87.23225402832031,13
311,-88.52127075195312,23
312,-87.81014251708984,24
313,-91.80152893066406,25
314,-88.57273864746094,16
315,-93.17586517333984,9
316,-81.12191009521484,33
317,-83.5471420288086,42
318,-87.12010192871094,21
319,-85.3584976196289,35
320,-95.36688995361328,28
321,-95.40203857421875,25
322,-96.34646606445312,35
323,-83.07987213134766,41
324,-80.00442504882812,26
325,-94.47433471679688,34
326,-89.31229400634766,60
327,-90.12024688720703,19
328,-87.03551483154297,36
329,-75.77865600585938,38
330,-87.67021942138672,27
331,-91.1978530883789,18
332,-92.25657653808594,34
333,-91.33612060546875,14
334,-85.88748168945312,32
335,-90.76443481445312,67
336,-87.71795654296875,41
337,-81.01176452636719,35
338,-94.82476043701172,30
339,-91.40628814697266,23
340,-90.10496520996094,32
341,-93.57212829589844,8
342,-95.64707946777344,28
343,-64.78179931640625,47
344,-88.65816497802734,20
345,-83.76985931396484,27
346,-88.08809661865234,21
347,-88.85235595703125,32
348,-93.30049133300781,13
349,-93.84423065185547,8
350,-93.6519775390625,11
351,-91.37097930908203,29
352,-94.75920867919922,26
353,-93.26336669921875,11
354,-64.1392822265625,69
355,-92.2948989868164,13
356,-81.5438461303711,28
357,-102.13996887207031,54
358,-89.88871765136719,17
359,-86.77051544189453,19
360,-86.4519271850586,23
361,-78.29519653320312,51
362,-82.06600189208984,32
363,-88.77780151367188,30
364,-77.78977966308594,29
365,-70.2767562866211,40
366,-65.8611831665039,54
367,-88.04468536376953,20
368,-87.48413848876953,23
369,-87.32418060302734,12
370,-94.04202270507812,28
371,-90.62785339355469,12
372,-92.7342758178711,9
373,-72.13211059570312,36
374,-56.6794319152832,153
375,-90.65802764892578,20
376,-88.48918914794922,46
377,-89.99308776855469,59
378,-93.89948272705078,26
379,-96.89857482910156,29
380,-84.980712890625,29
381,-93.98683166503906,32
382,-92.64026641845703,21
383,-84.74707794189453,19
384,-97.34329986572266,26
385,-93.74687957763672,39
386,-89.68355560302734,13
387,-94.2402114868164,34
388,-88.23865509033203,31
389,-73.76969909667969,49
390,-90.13944244384766,14
391,-87.7254867553711,20
392,-89.3326644897461,14
393,-95.00079345703125,7
394,-98.34867858886719,67
395,-88.7081298828125,15
396,-77.52175903320312,41
397,-85.07868194580078,61
398,-78.25890350341797,39
399,-76.77574920654297,72
400,-92.287841796875,46
401,-89.69508361816406,34
402,-80.15937805175781,32
403,-89.41218566894531,28
404,-86.81816101074219,36
405,-84.56951904296875,36
406,-88.52123260498047,42
407,-89.64498901367188,15
408,-104.61080932617188,81
409,-90.60791015625,31
410,-89.14530181884766,28
411,-91.92884826660156,32
412,-75.28356170654297,38
413,-87.09405517578125,14
414,-89.28089904785156,20
415,-78.83297729492188,51
416,-88.96929931640625,20
417,-83.73372650146484,32
418,-92.7220687866211,12
419,-87.22101593017578,28
420,-96.28914642333984,38
421,-99.01402282714844,50
422,-94.24079132080078,28
423,-102.04692077636719,76
424,-94.72561645507812,33
425,-97.6126708984375,55
426,-92.58731079101562,35
427,-89.88944244384766,28
428,-90.11434936523438,30
429,-92.71879577636719,31
430,-66.91515350341797,61
431,-98.49019622802734,34
432,-88.66458129882812,25
433,-89.58818054199219,27
434,-101.06869506835938,55
435,-92.99652862548828,13
436,-93.03436279296875,46
437,-91.26819610595703,45
438,-84.18002319335938,23
439,-77.41104125976562,55
440,-94.07005310058594,29
441,-72.2323989868164,45
442,-90.10926818847656,34
443,-85.1927261352539,38
444,-94.75633239746094,27
445,-88.25248718261719,21
446,-92.6592788696289,37
447,-95.8434829711914,38
448,-84.31788635253906,16
449,-91.01617431640625,11
450,-95.14075469970703,29
451,-91.05673217773438,13
452,-92.96814727783203,11
453,-88.16622161865234,27
454,-94.84625244140625,28
455,-84.4647216796875,32
456,-95.0503921508789,49
457,-85.09812927246094,36
458,-86.81069946289062,14
459,-105.25495910644531,54
460,-98.05158996582031,26
461,-84.263671875,32
462,-93.62748718261719,12
463,-95.4350814819336,25
