demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,symmetry index,steps taken
noisy,0.2,0.0,0.1608156052539434,1,0.25,1.0,3.4823399288430545,,,299.0
noisy,0.29000000000000004,0.0,0.22010080860553458,1,0.25,1.0,4.463819755845692,,,437.0
noisy,0.38,0.0,0.3137526565787563,1,0.25,1.0,6.3656104103592375,,,448.0
noisy,0.47000000000000003,0.0,0.4179383474150544,1,0.25,1.0,8.568670220195393,,,472.0
noisy,0.56,0.0,0.5095419569275901,1,0.25,1.0,9.904032318272845,,,607.0
noisy,0.6499999999999999,0.0,0.62005597536785,1,0.25,1.0,9.903213253832087,,,420.0
noisy,0.74,0.0,0.7063986249525517,1,0.25,1.0,9.905600000275633,,,404.0
noisy,0.8300000000000001,0.0,0.7679830294175978,1,0.25,1.0,9.908938616674616,,,315.0
noisy,0.9199999999999999,0.0,0.8857675430100883,1,0.25,1.0,9.908336696309435,,,313.0
noisy,1.01,0.0,0.9901582041001403,1,0.25,1.0,9.910283229793775,,,338.0
noisy,1.0999999999999999,0.0,1.0509858182173648,1,0.25,1.0,9.91008062440785,,,275.0
noisy,1.19,0.0,1.1255847571860083,1,0.25,1.0,9.910086201419702,,,256.0
noisy,1.28,0.0,1.1779348984308087,1,0.25,1.0,9.911419365200134,,,228.0
noisy,1.3699999999999999,0.0,1.2738314378722009,1,0.25,1.0,9.912131059214225,,,213.0
noisy,1.46,0.0,1.362693743621077,1,0.25,1.0,9.908736247822253,,,198.0
noisy,1.5499999999999998,0.0,1.4059617802870177,1,0.25,1.0,9.913478055984024,,,161.0
noisy,1.64,0.0,1.474806826520111,1,0.25,1.0,9.916819126629655,,,128.0
noisy,1.73,0.0,1.4869055846823633,1,0.25,1.0,9.911668444091681,,,179.0
noisy,1.8199999999999998,0.0,1.5688144082627111,1,0.25,1.0,9.916469905007775,,,154.0
noisy,1.91,0.0,1.6410019461815963,1,0.25,1.0,9.918865226213107,,,147.0
noisy,2.0,0.0,1.6556965225584264,1,0.25,1.0,9.916450490931984,,,116.0
noisy,0.2,0.0,0.024172236769810184,2,0.25,1.0,0.5296331804737588,,,648.0
noisy,0.29000000000000004,0.0,0.015624805587847448,2,0.25,1.0,0.4563701729348671,,,632.0
noisy,0.38,0.0,0.006698709508104486,2,0.25,0.6666666666666666,0.37312831168372246,,,617.0
noisy,0.47000000000000003,0.0,-0.01229958945734238,2,0.25,0.0,0.0,,,507.0
noisy,0.56,0.0,0.01472777303709844,2,0.25,0.6666666666666666,0.7097937316949596,,,562.0
noisy,0.6499999999999999,0.0,0.0051953146298132835,2,0.25,0.6666666666666666,0.33161183068544303,,,496.0
noisy,0.74,0.0,0.01321167152900178,2,0.25,1.0,0.4903620001055819,,,507.0
noisy,0.8300000000000001,0.0,0.0201583257447517,2,0.25,0.6666666666666666,0.7415219180909021,,,563.0
noisy,0.9199999999999999,0.0,-0.03832979591920236,2,0.25,0.3333333333333333,0.09205961299186151,,,467.0
noisy,1.01,0.0,-0.08244637038549561,2,0.25,0.0,0.0,,,423.0
noisy,1.0999999999999999,0.0,-0.0669851724384647,2,0.25,0.0,0.0,,,375.0
noisy,1.19,0.0,-0.11447162605060013,2,0.25,0.0,0.0,,,348.0
noisy,1.28,0.0,-0.11049845116215866,2,0.25,0.0,0.0,,,339.0
noisy,1.3699999999999999,0.0,-0.08052987916559566,2,0.25,0.0,0.0,,,393.0
noisy,1.46,0.0,-0.0888619340057305,2,0.25,0.0,0.0,,,388.0
noisy,1.5499999999999998,0.0,-0.08317456230572202,2,0.25,0.0,0.0,,,444.0
noisy,1.64,0.0,-0.1387439983941171,2,0.25,0.0,0.0,,,414.0
noisy,1.73,0.0,-0.13457672343150726,2,0.25,0.0,0.0,,,392.0
noisy,1.8199999999999998,0.0,-0.12195469421918737,2,0.25,0.0,0.0,,,441.0
noisy,1.91,0.0,-0.15723000911192164,2,0.25,0.0,0.0,,,413.0
noisy,2.0,0.0,-0.11034832054343702,2,0.25,0.0,0.0,,,380.0
noisy,0.2,0.0,0.020129254449098948,3,0.25,1.0,0.44690607778554003,,,587.0
noisy,0.29000000000000004,0.0,0.02291324887080358,3,0.25,1.0,0.5395497466353261,,,575.0
noisy,0.38,0.0,0.011213251191815453,3,0.25,1.0,0.29659671683218364,,,619.0
noisy,0.47000000000000003,0.0,0.026609848664897486,3,0.25,1.0,0.7168590165374727,,,576.0
noisy,0.56,0.0,0.024255765191631046,3,0.25,1.0,0.5818282015347634,,,556.0
noisy,0.6499999999999999,0.0,0.01221978860876432,3,0.25,0.6666666666666666,0.663148850820323,,,555.0
noisy,0.74,0.0,0.012193965924856817,3,0.25,1.0,0.26031520989890355,,,559.0
noisy,0.8300000000000001,0.0,0.01249806840841342,3,0.25,0.6666666666666666,0.6577760190019616,,,518.0
noisy,0.9199999999999999,0.0,-0.01611388856676765,3,0.25,0.0,0.0,,,424.0
noisy,1.01,0.0,-0.033830064457427006,3,0.25,0.0,0.0,,,438.0
noisy,1.0999999999999999,0.0,-0.0577199359899625,3,0.25,0.0,0.0,,,405.0
noisy,1.19,0.0,-0.08601574686152356,3,0.25,0.0,0.0,,,402.0
noisy,1.28,0.0,-0.11186847780145075,3,0.25,0.0,0.0,,,383.0
noisy,1.3699999999999999,0.0,-0.08455269059312531,3,0.25,0.0,0.0,,,369.0
noisy,1.46,0.0,-0.08402787566359231,3,0.25,0.0,0.0,,,299.0
noisy,1.5499999999999998,0.0,-0.09017582799368411,3,0.25,0.0,0.0,,,390.0
noisy,1.64,0.0,-0.07729543830509795,3,0.25,0.0,0.0,,,417.0
noisy,1.73,0.0,-0.10175280582144096,3,0.25,0.0,0.0,,,430.0
noisy,1.8199999999999998,0.0,-0.05382126100079188,3,0.25,0.0,0.0,,,361.0
noisy,1.91,0.0,-0.07111366685871462,3,0.25,0.0,0.0,,,405.0
noisy,2.0,0.0,-0.12287048295073137,3,0.25,0.0,0.0,,,396.0
noisy,0.2,0.0,0.020313309932401487,4,0.25,1.0,0.520641795022533,,,638.0
noisy,0.29000000000000004,0.0,0.023561466501735923,4,0.25,1.0,0.5054027114016726,,,571.0
noisy,0.38,0.0,0.015431201168670791,4,0.25,1.0,0.5464239059242307,,,628.0
noisy,0.47000000000000003,0.0,-0.013013576515436496,4,0.25,0.0,0.0,,,531.0
noisy,0.56,0.0,0.0051919868523369675,4,0.25,0.6666666666666666,0.3483586436316445,,,511.0
noisy,0.6499999999999999,0.0,0.026008407332330688,4,0.25,1.0,0.6973890316288907,,,551.0
noisy,0.74,0.0,-0.00745292690625584,4,0.25,0.0,0.0,,,545.0
noisy,0.8300000000000001,0.0,0.02178733154028123,4,0.25,1.0,0.7187678817135763,,,560.0
noisy,0.9199999999999999,0.0,-0.014200317577116211,4,0.25,0.0,0.0,,,391.0
noisy,1.01,0.0,-0.014979416093430365,4,0.25,0.0,0.0,,,336.0
noisy,1.0999999999999999,0.0,-0.013490208130387185,4,0.25,0.0,0.0,,,457.0
noisy,1.19,0.0,-0.018432663842157086,4,0.25,0.0,0.0,,,332.0
noisy,1.28,0.0,-0.01482272422515942,4,0.25,0.0,0.0,,,352.0
noisy,1.3699999999999999,0.0,-0.014077442607291704,4,0.25,0.0,0.0,,,378.0
noisy,1.46,0.0,-0.012666420033886102,4,0.25,0.0,0.0,,,330.0
noisy,1.5499999999999998,0.0,-0.017069690593604556,4,0.25,0.0,0.0,,,369.0
noisy,1.64,0.0,-0.014022299750346032,4,0.25,0.0,0.0,,,374.0
noisy,1.73,0.0,-0.013019762167629302,4,0.25,0.0,0.0,,,359.0
noisy,1.8199999999999998,0.0,-0.037031904088067336,4,0.25,0.0,0.0,,,387.0
noisy,1.91,0.0,-0.012774514899117443,4,0.25,0.0,0.0,,,289.0
noisy,2.0,0.0,-0.04581993678620582,4,0.25,0.0,0.0,,,314.0
noisy,0.2,0.0,0.023536451332503084,5,0.25,1.0,0.544841203358606,,,587.0
noisy,0.29000000000000004,0.0,0.02512279213804908,5,0.25,1.0,0.5525507779530994,,,586.0
noisy,0.38,0.0,0.0011231707949818745,5,0.25,0.6666666666666666,0.19249045095527054,,,518.0
noisy,0.47000000000000003,0.0,-0.0024864026647095374,5,0.25,0.3333333333333333,0.283158513630229,,,513.0
noisy,0.56,0.0,0.023603070710233234,5,0.25,1.0,0.5814626949108926,,,585.0
noisy,0.6499999999999999,0.0,0.026768659093276987,5,0.25,1.0,0.6056229467430794,,,517.0
noisy,0.74,0.0,-0.005002446333062876,5,0.25,0.3333333333333333,0.06261158195059785,,,495.0
noisy,0.8300000000000001,0.0,0.02588233481425783,5,0.25,1.0,0.6956273520616354,,,603.0
noisy,0.9199999999999999,0.0,-0.010279984222287717,5,0.25,0.0,0.0,,,446.0
noisy,1.01,0.0,0.0033736476231965577,5,0.25,0.3333333333333333,0.7203199439310667,,,433.0
noisy,1.0999999999999999,0.0,-0.010616482018718024,5,0.25,0.0,0.0,,,351.0
noisy,1.19,0.0,-0.011194338020674356,5,0.25,0.0,0.0,,,374.0
noisy,1.28,0.0,-0.011084257959910769,5,0.25,0.0,0.0,,,397.0
noisy,1.3699999999999999,0.0,-0.010608797668766013,5,0.25,0.0,0.0,,,369.0
noisy,1.46,0.0,-0.009599303187576498,5,0.25,0.0,0.0,,,283.0
noisy,1.5499999999999998,0.0,-0.010302947356559808,5,0.25,0.0,0.0,,,329.0
noisy,1.64,0.0,-0.011110493891723491,5,0.25,0.0,0.0,,,411.0
noisy,1.73,0.0,-0.011568250474623678,5,0.25,0.0,0.0,,,345.0
noisy,1.8199999999999998,0.0,-0.0003492146665192211,5,0.25,0.3333333333333333,0.39704577180687023,,,226.0
noisy,1.91,0.0,-0.011092779623348875,5,0.25,0.0,0.0,,,292.0
noisy,2.0,0.0,-0.012070955234961192,5,0.25,0.0,0.0,,,346.0
noisy,0.2,0.0,0.018313202724709477,6,0.25,1.0,0.5189253537917661,,,663.0
noisy,0.29000000000000004,0.0,0.02063892578622301,6,0.25,1.0,0.5317069274244784,,,624.0
noisy,0.38,0.0,0.010067795662297313,6,0.25,0.6666666666666666,0.5648025583630981,,,585.0
noisy,0.47000000000000003,0.0,0.004243596987070542,6,0.25,0.6666666666666666,0.3188725656958557,,,603.0
noisy,0.56,0.0,0.025242010749450917,6,0.25,1.0,0.6787507504331028,,,538.0
noisy,0.6499999999999999,0.0,0.010306260083567415,6,0.25,0.6666666666666666,0.6994296290460588,,,567.0
noisy,0.74,0.0,0.019149223177955216,6,0.25,1.0,0.6912019372256591,,,534.0
noisy,0.8300000000000001,0.0,0.01603455800932967,6,0.25,1.0,0.41775325491468995,,,556.0
noisy,0.9199999999999999,0.0,0.006294792202377153,6,0.25,0.6666666666666666,0.30316620693109136,,,533.0
noisy,1.01,0.0,-0.008943605178994988,6,0.25,0.0,0.0,,,495.0
noisy,1.0999999999999999,0.0,-0.0031860792036142414,6,0.25,0.3333333333333333,0.20546430573330685,,,503.0
noisy,1.19,0.0,-0.009370976206683873,6,0.25,0.0,0.0,,,378.0
noisy,1.28,0.0,-0.008733042682480851,6,0.25,0.0,0.0,,,441.0
noisy,1.3699999999999999,0.0,-0.002792963475444079,6,0.25,0.3333333333333333,0.18941954164175404,,,389.0
noisy,1.46,0.0,-0.007893845800279102,6,0.25,0.0,0.0,,,301.0
noisy,1.5499999999999998,0.0,-0.009415688400212738,6,0.25,0.0,0.0,,,335.0
noisy,1.64,0.0,-0.009063805941237674,6,0.25,0.0,0.0,,,350.0
noisy,1.73,0.0,-0.008539613735638376,6,0.25,0.0,0.0,,,376.0
noisy,1.8199999999999998,0.0,-0.009211038692217278,6,0.25,0.0,0.0,,,305.0
noisy,1.91,0.0,-0.007142549883613503,6,0.25,0.0,0.0,,,410.0
noisy,2.0,0.0,-0.008712632249006409,6,0.25,0.0,0.0,,,309.0
noisy,0.2,0.0,0.014133387309550341,7,0.25,0.6666666666666666,0.6019165496322096,,,690.0
noisy,0.29000000000000004,0.0,0.023585691752339506,7,0.25,1.0,0.5811779045950197,,,629.0
noisy,0.38,0.0,0.016235455037571563,7,0.25,0.6666666666666666,0.603772863546134,,,543.0
noisy,0.47000000000000003,0.0,0.014652932795944588,7,0.25,0.6666666666666666,0.6024473277035979,,,554.0
noisy,0.56,0.0,0.007203981928288461,7,0.25,0.6666666666666666,0.3868809993632471,,,536.0
noisy,0.6499999999999999,0.0,0.024817325416816038,7,0.25,1.0,0.7332384025008231,,,563.0
noisy,0.74,0.0,0.002457332338507732,7,0.25,0.3333333333333333,0.5821776307226748,,,483.0
noisy,0.8300000000000001,0.0,0.003293757046262813,7,0.25,0.3333333333333333,0.5726459881425485,,,446.0
noisy,0.9199999999999999,0.0,-0.00831214835213325,7,0.25,0.0,0.0,,,482.0
noisy,1.01,0.0,0.00632906431610824,7,0.25,0.3333333333333333,0.6739509237637864,,,561.0
noisy,1.0999999999999999,0.0,-0.00819826636012212,7,0.25,0.0,0.0,,,481.0
noisy,1.19,0.0,-0.00919503840792605,7,0.25,0.0,0.0,,,363.0
noisy,1.28,0.0,-0.007945792943478192,7,0.25,0.0,0.0,,,401.0
noisy,1.3699999999999999,0.0,-0.008743776022544435,7,0.25,0.0,0.0,,,484.0
noisy,1.46,0.0,-0.008256691183778126,7,0.25,0.0,0.0,,,351.0
noisy,1.5499999999999998,0.0,-0.007203973409031643,7,0.25,0.0,0.0,,,360.0
noisy,1.64,0.0,-0.00765999952683202,7,0.25,0.0,0.0,,,359.0
noisy,1.73,0.0,-0.006717459226202607,7,0.25,0.0,0.0,,,362.0
noisy,1.8199999999999998,0.0,-0.0068954269622610006,7,0.25,0.0,0.0,,,309.0
noisy,1.91,0.0,-0.0057935687889384725,7,0.25,0.0,0.0,,,305.0
noisy,2.0,0.0,-0.008008664645384961,7,0.25,0.0,0.0,,,344.0
noisy,0.2,0.0,0.018012729608893684,8,0.25,1.0,0.5412870892736736,,,651.0
noisy,0.29000000000000004,0.0,0.02227107130420536,8,0.25,1.0,0.5626080193525885,,,627.0
noisy,0.38,0.0,0.003228131423911242,8,0.25,0.3333333333333333,0.32808798867779465,,,568.0
