demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.13133216694444017,1,0.25,1.0,2.893934644903988,,265.0
noisy,0.29000000000000004,0.0,0.213790766929568,1,0.25,1.0,4.423536073693668,,288.0
noisy,0.38,0.0,0.2739278364419,1,0.25,1.0,6.160325714706744,,360.0
noisy,0.47000000000000003,0.0,0.31454816088429854,1,0.25,1.0,7.9479906624787455,,405.0
noisy,0.56,0.0,0.4266268667344602,1,0.25,1.0,9.119360164884313,,267.0
noisy,0.6499999999999999,0.0,0.5598475195678344,1,0.25,1.0,10.005518761158974,,291.0
noisy,0.74,0.0,0.6412081294470721,1,0.25,1.0,10.003920089455194,,310.0
noisy,0.8300000000000001,0.0,0.7263208880356729,1,0.25,1.0,10.007176561261069,,316.0
noisy,0.9199999999999999,0.0,0.8096922251498886,1,0.25,1.0,10.00856480147958,,325.0
noisy,1.01,0.0,0.8187310616484439,1,0.25,1.0,10.007951844415004,,317.0
noisy,1.0999999999999999,0.0,0.8951633565161554,1,0.25,1.0,10.002807294498442,,251.0
noisy,1.19,0.0,0.9376951442473976,1,0.25,1.0,10.00943518432591,,261.0
noisy,1.28,0.0,1.0147348625669628,1,0.25,1.0,10.00559273040464,,245.0
noisy,1.3699999999999999,0.0,1.1769136398499993,1,0.25,1.0,10.001479846054869,,272.0
noisy,1.46,0.0,1.2454389451326,1,0.25,1.0,10.008826804755108,,225.0
noisy,1.5499999999999998,0.0,1.2995433413195845,1,0.25,1.0,10.00746791873186,,190.0
noisy,1.64,0.0,1.4138112133889245,1,0.25,1.0,10.01197491240354,,215.0
noisy,1.73,0.0,1.4516866737754546,1,0.25,1.0,10.019103210401788,,205.0
noisy,1.8199999999999998,0.0,1.5321843321380786,1,0.25,0.6666666666666666,10.012454942559968,,188.0
noisy,1.91,0.0,1.5845750104473406,1,0.25,1.0,10.01240515076126,,180.0
noisy,2.0,0.0,1.646464977849428,1,0.25,0.6666666666666666,10.006079159886495,,84.0
noisy,0.2,0.0,0.12844545498080742,2,0.25,1.0,2.9414912459322187,,257.0
noisy,0.29000000000000004,0.0,0.2170614566035323,2,0.25,1.0,4.483958371944805,,310.0
noisy,0.38,0.0,0.26461437575418945,2,0.25,1.0,5.872886205851277,,395.0
noisy,0.47000000000000003,0.0,0.3166875520900087,2,0.25,1.0,7.490054422743084,,398.0
noisy,0.56,0.0,0.43036906786086054,2,0.25,1.0,9.051919590731531,,393.0
noisy,0.6499999999999999,0.0,0.5463533069208285,2,0.25,1.0,10.00229721205247,,431.0
noisy,0.74,0.0,0.6415768583837602,2,0.25,1.0,10.002566516499469,,384.0
noisy,0.8300000000000001,0.0,0.7215310013545704,2,0.25,1.0,10.00592094072466,,244.0
noisy,0.9199999999999999,0.0,0.7517839911171952,2,0.25,1.0,10.003533508715394,,330.0
noisy,1.01,0.0,0.8924822814594394,2,0.25,1.0,10.008568205825792,,267.0
noisy,1.0999999999999999,0.0,0.9264888524629157,2,0.25,1.0,10.00369877702398,,254.0
noisy,1.19,0.0,1.0003518928670747,2,0.25,1.0,10.009519347015965,,241.0
noisy,1.28,0.0,1.050959196338319,2,0.25,1.0,10.007509911606018,,278.0
noisy,1.3699999999999999,0.0,1.2012494640334583,2,0.25,1.0,10.013100083847355,,235.0
noisy,1.46,0.0,1.2090834233431798,2,0.25,1.0,10.007585434764843,,260.0
noisy,1.5499999999999998,0.0,1.284823884355757,2,0.25,1.0,10.009066415233804,,197.0
noisy,1.64,0.0,1.410846099397207,2,0.25,1.0,10.008405222096336,,192.0
noisy,1.73,0.0,1.455210785520829,2,0.25,0.6666666666666666,10.00588743286826,,77.0
noisy,1.8199999999999998,0.0,1.5404077514189065,2,0.25,0.6666666666666666,10.001622847337478,,182.0
noisy,1.91,0.0,1.5591538002442353,2,0.25,0.3333333333333333,10.011063659948345,,82.0
noisy,2.0,0.0,1.600490306636389,2,0.25,0.6666666666666666,10.008696189671012,,169.0
noisy,0.2,0.0,0.1433723751418212,3,0.25,1.0,3.041473386714143,,227.0
noisy,0.29000000000000004,0.0,0.22117687009292542,3,0.25,1.0,4.74017375855538,,293.0
noisy,0.38,0.0,0.2959769039486475,3,0.25,1.0,6.052052339370323,,369.0
noisy,0.47000000000000003,0.0,0.28855865331554204,3,0.25,1.0,6.74747344323448,,314.0
noisy,0.56,0.0,0.44787873423879115,3,0.25,1.0,9.548247444640287,,358.0
noisy,0.6499999999999999,0.0,0.5481685723015574,3,0.25,1.0,10.005354941951621,,319.0
noisy,0.74,0.0,0.6352597274980346,3,0.25,1.0,10.00225875593864,,403.0
noisy,0.8300000000000001,0.0,0.7249155964537479,3,0.25,1.0,10.003876659676877,,294.0
noisy,0.9199999999999999,0.0,0.7735631454608104,3,0.25,1.0,10.00676217964915,,312.0
noisy,1.01,0.0,0.8152644432819317,3,0.25,1.0,10.005287302059177,,323.0
noisy,1.0999999999999999,0.0,0.8858275788924725,3,0.25,0.6666666666666666,10.00554658582198,,310.0
noisy,1.19,0.0,0.9943797397161672,3,0.25,1.0,10.005696851057,,256.0
noisy,1.28,0.0,1.0830831020900662,3,0.25,1.0,10.008485064956394,,233.0
noisy,1.3699999999999999,0.0,1.2013283465763156,3,0.25,1.0,10.003578615220679,,243.0
noisy,1.46,0.0,1.2416647099293547,3,0.25,1.0,10.01411204904551,,249.0
noisy,1.5499999999999998,0.0,1.3236374337109098,3,0.25,1.0,10.008305540050934,,224.0
noisy,1.64,0.0,1.37590461610848,3,0.25,1.0,10.000075552119975,,207.0
noisy,1.73,0.0,1.4845010909843246,3,0.25,1.0,10.010102902267773,,203.0
noisy,1.8199999999999998,0.0,1.504903946102644,3,0.25,1.0,10.012344526448159,,172.0
noisy,1.91,0.0,1.6029669629086667,3,0.25,1.0,10.010096621565122,,172.0
noisy,2.0,0.0,1.613181323233186,3,0.25,0.3333333333333333,10.002628830260253,,94.0
noisy,0.2,0.0,0.13745424626706423,4,0.25,1.0,2.7806961097555227,,297.0
noisy,0.29000000000000004,0.0,0.20806381569893287,4,0.25,1.0,4.55494826062931,,287.0
noisy,0.38,0.0,0.23478244503789447,4,0.25,1.0,5.832232148582334,,303.0
noisy,0.47000000000000003,0.0,0.274723156765781,4,0.25,1.0,7.743680992278702,,319.0
noisy,0.56,0.0,0.43055009287084056,4,0.25,0.6666666666666666,8.821469998082081,,408.0
noisy,0.6499999999999999,0.0,0.5427179530523979,4,0.25,1.0,10.001946477924362,,342.0
noisy,0.74,0.0,0.6191018179494728,4,0.25,0.6666666666666666,10.003093648128367,,295.0
noisy,0.8300000000000001,0.0,0.7211009502642282,4,0.25,1.0,10.00556950703047,,309.0
noisy,0.9199999999999999,0.0,0.7742141461357704,4,0.25,0.6666666666666666,10.00165691012411,,347.0
noisy,1.01,0.0,0.8509742804496204,4,0.25,0.6666666666666666,10.00040085218047,,337.0
noisy,1.0999999999999999,0.0,0.8827362087881787,4,0.25,0.3333333333333333,10.004177338133335,,150.0
noisy,1.19,0.0,0.9822328169890614,4,0.25,0.3333333333333333,10.003042394806892,,268.0
noisy,1.28,0.0,1.0689899765245499,4,0.25,1.0,10.005440306865106,,234.0
noisy,1.3699999999999999,0.0,1.207847911455146,4,0.25,1.0,10.009318221919251,,223.0
noisy,1.46,0.0,1.2233547973277146,4,0.25,1.0,10.007853217474015,,225.0
noisy,1.5499999999999998,0.0,1.3440271820577774,4,0.25,0.3333333333333333,10.000457984837796,,202.0
noisy,1.64,0.0,1.3477496860321736,4,0.25,1.0,10.00523851945065,,194.0
noisy,1.73,0.0,1.4917747067740617,4,0.25,0.3333333333333333,10.000550863093597,,188.0
noisy,1.8199999999999998,0.0,1.5362549386224575,4,0.25,0.3333333333333333,10.011857295385072,,172.0
noisy,1.91,0.0,1.6079724293139617,4,0.25,0.3333333333333333,10.000651029167008,,160.0
noisy,2.0,0.0,1.616504941290976,4,0.25,0.3333333333333333,10.007625922790744,,116.0
noisy,0.2,0.0,0.13970913686089229,5,0.25,1.0,3.060046185205017,,229.0
noisy,0.29000000000000004,0.0,0.22633302618929466,5,0.25,1.0,4.681782328458699,,284.0
noisy,0.38,0.0,0.2547767703316375,5,0.25,1.0,5.463055039605929,,348.0
noisy,0.47000000000000003,0.0,0.23177191579771816,5,0.25,1.0,5.0273085895001275,,318.0
noisy,0.56,0.0,0.42620543647112213,5,0.25,0.3333333333333333,8.476563949694672,,337.0
noisy,0.6499999999999999,0.0,0.5204613425655372,5,0.25,0.0,7.780284423766392,,285.0
noisy,0.74,0.0,0.6453027339758552,5,0.25,0.0,7.917996928304964,,206.0
noisy,0.8300000000000001,0.0,0.7271059247764894,5,0.25,0.0,8.385568490734293,,204.0
noisy,0.9199999999999999,0.0,0.7648006104709951,5,0.25,0.0,7.5426737879781784,,256.0
noisy,1.01,0.0,0.8757966082833061,5,0.25,0.3333333333333333,10.003806183555865,,318.0
noisy,1.0999999999999999,0.0,0.887003417280345,5,0.25,0.0,6.052355966326982,,163.0
noisy,1.19,0.0,0.9880156503653469,5,0.25,0.3333333333333333,10.004156811496156,,263.0
noisy,1.28,0.0,1.087791241473029,5,0.25,0.0,8.047224620356952,,186.0
noisy,1.3699999999999999,0.0,1.1852792412022533,5,0.25,0.0,8.280698640854338,,159.0
noisy,1.46,0.0,1.267458663903902,5,0.25,0.0,8.431990719078813,,188.0
noisy,1.5499999999999998,0.0,1.3236142512833924,5,0.25,0.0,8.818350795568474,,180.0
noisy,1.64,0.0,1.3179805069332993,5,0.25,0.3333333333333333,9.99905681103646,,189.0
noisy,1.73,0.0,1.438376571126981,5,0.25,0.3333333333333333,10.011583314649094,,185.0
noisy,1.8199999999999998,0.0,1.4650308269680374,5,0.25,0.3333333333333333,10.00122627145161,,180.0
noisy,1.91,0.0,1.5668270547245673,5,0.25,0.0,7.465089182414032,,129.0
noisy,2.0,0.0,1.6169977455463742,5,0.25,0.0,8.149029274191438,,91.0
noisy,0.2,0.0,0.13732182186113082,6,0.25,1.0,2.862791560747769,,246.0
noisy,0.29000000000000004,0.0,0.21267933336792075,6,0.25,1.0,4.418401191525882,,301.0
noisy,0.38,0.0,0.2834893566270755,6,0.25,1.0,5.784385856040665,,416.0
noisy,0.47000000000000003,0.0,0.26652190456344643,6,0.25,1.0,6.925826394149267,,379.0
noisy,0.56,0.0,0.4171960586118301,6,0.25,0.0,7.354686234712463,,300.0
noisy,0.6499999999999999,0.0,0.5304752861903308,6,0.25,0.0,6.3763973879676765,,231.0
noisy,0.74,0.0,0.6406610947629706,6,0.25,0.0,5.534263585907696,,177.0
noisy,0.8300000000000001,0.0,0.7212023429114357,6,0.25,0.0,7.342303177058338,,201.0
noisy,0.9199999999999999,0.0,0.8091190042230147,6,0.25,0.0,7.7330870020611195,,199.0
noisy,1.01,0.0,0.8668178538514738,6,0.25,0.0,7.451924158144275,,241.0
noisy,1.0999999999999999,0.0,0.881643701051901,6,0.25,0.0,7.309293870937785,,183.0
noisy,1.19,0.0,0.9895085488404108,6,0.25,0.0,7.409970253895329,,196.0
noisy,1.28,0.0,1.0405946346746289,6,0.25,0.0,6.891474215198086,,148.0
noisy,1.3699999999999999,0.0,1.1676077344948426,6,0.25,0.0,8.410451715619667,,205.0
noisy,1.46,0.0,1.1845594381055544,6,0.25,0.0,7.683864874842923,,150.0
noisy,1.5499999999999998,0.0,1.2692997688270216,6,0.25,0.0,6.260064747268421,,129.0
noisy,1.64,0.0,1.3140965046870936,6,0.25,0.0,7.486485397576328,,149.0
noisy,1.73,0.0,1.3958068724746184,6,0.25,0.3333333333333333,10.000942887641216,,123.0
noisy,1.8199999999999998,0.0,1.4781691825792225,6,0.25,0.0,8.339524426311009,,56.0
noisy,1.91,0.0,1.5670976370326024,6,0.25,0.3333333333333333,10.00605181192989,,167.0
noisy,2.0,0.0,1.6112829355249891,6,0.25,0.0,7.455894006626141,,73.0
noisy,0.2,0.0,0.13471904354974876,7,0.25,1.0,2.735555666429157,,271.0
noisy,0.29000000000000004,0.0,0.22091334414539124,7,0.25,1.0,4.790916379859036,,296.0
noisy,0.38,0.0,0.26285083950778637,7,0.25,0.6666666666666666,5.896189011773106,,368.0
noisy,0.47000000000000003,0.0,0.22787001960726241,7,0.25,1.0,5.4954391007672,,289.0
noisy,0.56,0.0,0.4213453088375187,7,0.25,0.0,6.322467960799744,,181.0
noisy,0.6499999999999999,0.0,0.5510138609063345,7,0.25,0.0,4.984605139831099,,176.0
noisy,0.74,0.0,0.6307318820165707,7,0.25,0.0,5.460945463432411,,173.0
noisy,0.8300000000000001,0.0,0.6946319548304359,7,0.25,0.0,5.517599764026621,,157.0
noisy,0.9199999999999999,0.0,0.7994636855541729,7,0.25,0.0,6.68039846796157,,191.0
noisy,1.01,0.0,0.8567109007017963,7,0.25,0.0,7.271314931726695,,210.0
noisy,1.0999999999999999,0.0,0.8985331366269399,7,0.25,0.0,6.304796934373965,,199.0
noisy,1.19,0.0,0.9175853590332294,7,0.25,0.0,6.403624525277267,,192.0
noisy,1.28,0.0,1.040301763443974,7,0.25,0.0,6.076796661228024,,130.0
noisy,1.3699999999999999,0.0,1.1316936739786116,7,0.25,0.0,5.454789065157499,,133.0
noisy,1.46,0.0,1.2171125173380795,7,0.25,0.0,7.151567057267554,,160.0
noisy,1.5499999999999998,0.0,1.2527153784947058,7,0.25,0.0,6.259457461891374,,126.0
noisy,1.64,0.0,1.2984601057455152,7,0.25,0.0,6.399897010822238,,115.0
noisy,1.73,0.0,1.4509034492730961,7,0.25,0.0,6.301216938623536,,107.0
noisy,1.8199999999999998,0.0,1.462440924524196,7,0.25,0.0,5.46286148743635,,98.0
noisy,1.91,0.0,1.540127102704097,7,0.25,0.0,6.302779931507244,,106.0
