demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0,,,0,,,25.0
rotation,0.29000000000000004,-15.0,0.0860864070383936,,,1,,,23.0
rotation,0.38,-15.0,0.2455028618827193,,,1,,,19.0
rotation,0.47000000000000003,-15.0,0.3591706915438883,,,1,,,27.0
rotation,0.56,-15.0,0.4660475895864285,,,1,,,24.0
rotation,0.6499999999999999,-15.0,0.5860499315668712,,,1,,,30.0
rotation,0.74,-15.0,0.6730334502684295,,,1,,,32.0
rotation,0.8300000000000001,-15.0,0.755748281694649,,,1,,,41.0
rotation,0.9199999999999999,-15.0,0.8602498456704643,,,1,,,34.0
rotation,1.01,-15.0,0.9497672237828175,,,1,,,42.0
rotation,1.0999999999999999,-15.0,1.0456426268822032,,,1,,,64.0
rotation,1.19,-15.0,1.2905679416962033,,,1,,,66.0
rotation,1.28,-15.0,1.2996908108993965,,,1,,,43.0
rotation,1.3699999999999999,-15.0,1.3102501086986054,,,1,,,53.0
rotation,1.46,-15.0,1.390498032278721,,,1,,,67.0
rotation,1.5499999999999998,-15.0,1.5112239560617515,,,1,,,59.0
rotation,1.64,-15.0,1.6021026499461026,,,1,,,81.0
rotation,1.73,-15.0,1.6880111095906039,,,1,,,37.0
rotation,1.8199999999999998,-15.0,1.719164516489311,,,1,,,61.0
rotation,1.91,-15.0,1.824728735292791,,,1,,,66.0
rotation,2.0,-15.0,2.0096912079311635,,,1,,,38.0
rotation,0.2,-14.0,0.03571357236601866,,,1,,,17.0
rotation,0.29000000000000004,-14.0,0.1867508074189673,,,1,,,5.0
rotation,0.38,-14.0,0.31398773359072757,,,1,,,44.0
rotation,0.47000000000000003,-14.0,0.37067054746329364,,,1,,,13.0
rotation,0.56,-14.0,0.44123483563715143,,,1,,,31.0
rotation,0.6499999999999999,-14.0,0.5976375663797865,,,1,,,51.0
rotation,0.74,-14.0,0.6890345130515924,,,1,,,34.0
rotation,0.8300000000000001,-14.0,0.7669255678444203,,,1,,,46.0
rotation,0.9199999999999999,-14.0,0.9023189269424723,,,1,,,44.0
rotation,1.01,-14.0,0.9368011058383843,,,1,,,44.0
rotation,1.0999999999999999,-14.0,1.030034075453397,,,1,,,45.0
rotation,1.19,-14.0,1.1874389390522582,,,1,,,48.0
rotation,1.28,-14.0,1.2146335186282702,,,1,,,71.0
rotation,1.3699999999999999,-14.0,1.3346010701901996,,,1,,,74.0
rotation,1.46,-14.0,1.384650400903568,,,1,,,65.0
rotation,1.5499999999999998,-14.0,1.4876476344904528,,,1,,,59.0
