demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.12521667966736755,1,0.25,1.0,2.7800426383549404,,275.0
noisy,0.29000000000000004,0.0,0.17814480877259775,1,0.25,1.0,3.8023886638345292,,277.0
noisy,0.38,0.0,0.2718055333125693,1,0.25,1.0,5.826011683227184,,190.0
noisy,0.47000000000000003,0.0,0.3415299355787573,1,0.25,1.0,7.117813999102414,,211.0
noisy,0.56,0.0,0.4260727718010217,1,0.25,1.0,9.244630279344154,,276.0
noisy,0.6499999999999999,0.0,0.5438575359630696,1,0.25,1.0,10.003748156245388,,167.0
noisy,0.74,0.0,0.6340030519709426,1,0.25,1.0,10.005560107477027,,116.0
noisy,0.8300000000000001,0.0,0.7081426592803489,1,0.25,1.0,10.007421864299076,,191.0
noisy,0.9199999999999999,0.0,0.8351024994997197,1,0.25,1.0,10.001560782946228,,160.0
noisy,1.01,0.0,0.9433947285387508,1,0.25,1.0,10.003403080201103,,93.0
noisy,1.0999999999999999,0.0,1.0238332869603302,1,0.25,1.0,10.00447833994753,,76.0
noisy,1.19,0.0,1.134100766321111,1,0.25,1.0,10.006102771836462,,69.0
noisy,1.28,0.0,1.1563637330052368,1,0.25,1.0,10.004628094378816,,75.0
noisy,1.3699999999999999,0.0,1.1862150193058334,1,0.25,1.0,10.004946022453522,,88.0
noisy,1.46,0.0,1.317271664781663,1,0.25,1.0,10.011745167781227,,54.0
noisy,1.5499999999999998,0.0,1.4041314359448192,1,0.25,1.0,10.01325652057676,,61.0
noisy,1.64,0.0,1.422050217070599,1,0.25,1.0,10.011860606129435,,64.0
noisy,1.73,0.0,1.5149593555142056,1,0.25,1.0,10.01466980009751,,57.0
noisy,1.8199999999999998,0.0,1.3021498096924002,1,0.25,0.6666666666666666,10.001969559672192,,84.0
noisy,1.91,0.0,1.0090384003865207,1,0.25,0.3333333333333333,10.015794876078091,,23.0
noisy,2.0,0.0,0.7400800012852695,1,0.25,0.0,0.9113548987156219,,10.0
noisy,0.2,0.0,0.11420490761214265,2,0.25,1.0,2.3704247871946955,,294.0
noisy,0.29000000000000004,0.0,0.18037886087449975,2,0.25,1.0,3.7081222085089918,,303.0
noisy,0.38,0.0,0.28577509380799876,2,0.25,1.0,6.36063184404788,,129.0
noisy,0.47000000000000003,0.0,0.2898740320635597,2,0.25,1.0,6.509942944686202,,345.0
noisy,0.56,0.0,0.47295703599773264,2,0.25,1.0,9.886880220088782,,223.0
noisy,0.6499999999999999,0.0,0.5260976821249913,2,0.25,1.0,10.003319131255102,,290.0
noisy,0.74,0.0,0.6124675485752176,2,0.25,1.0,10.003211197392424,,300.0
noisy,0.8300000000000001,0.0,0.6953492849529396,2,0.25,1.0,10.004973482556986,,211.0
noisy,0.9199999999999999,0.0,0.8432213481624348,2,0.25,1.0,10.007341376698406,,95.0
noisy,1.01,0.0,0.933942050023504,2,0.25,1.0,10.003868972783733,,90.0
noisy,1.0999999999999999,0.0,1.049908883956039,2,0.25,1.0,10.008344344130899,,78.0
noisy,1.19,0.0,1.0736192543185796,2,0.25,1.0,10.005761882404826,,68.0
noisy,1.28,0.0,1.1760237669785274,2,0.25,1.0,10.01036475265253,,80.0
noisy,1.3699999999999999,0.0,1.1918738484346634,2,0.25,1.0,10.010998688665968,,130.0
noisy,1.46,0.0,1.3091904229600386,2,0.25,1.0,10.007347257559669,,85.0
noisy,1.5499999999999998,0.0,1.3678730852602647,2,0.25,1.0,10.004445627406445,,76.0
noisy,1.64,0.0,1.4351418312119602,2,0.25,1.0,10.005367900077768,,50.0
noisy,1.73,0.0,1.4453510877028222,2,0.25,1.0,10.01202339964481,,72.0
noisy,1.8199999999999998,0.0,1.2659376292988203,2,0.25,0.3333333333333333,10.01402772650492,,47.0
noisy,1.91,0.0,1.3817390662370634,2,0.25,0.3333333333333333,10.011450575987412,,15.0
noisy,2.0,0.0,1.1590890680004644,2,0.25,0.3333333333333333,10.015700935194216,,79.0
noisy,0.2,0.0,0.11576851378009823,3,0.25,1.0,2.4169357169295966,,343.0
noisy,0.29000000000000004,0.0,0.1737077830290444,3,0.25,1.0,3.6031341687641056,,310.0
noisy,0.38,0.0,0.26770510729410973,3,0.25,1.0,5.884879231842872,,161.0
noisy,0.47000000000000003,0.0,0.3128494205594296,3,0.25,1.0,6.398753657516392,,359.0
noisy,0.56,0.0,0.4426305105091304,3,0.25,1.0,9.767470349270845,,193.0
noisy,0.6499999999999999,0.0,0.5192094385648368,3,0.25,1.0,10.003183418265278,,326.0
noisy,0.74,0.0,0.6332712764052827,3,0.25,1.0,10.004236071516905,,151.0
noisy,0.8300000000000001,0.0,0.6894048743527256,3,0.25,1.0,10.006183953486321,,259.0
noisy,0.9199999999999999,0.0,0.8348864188805608,3,0.25,1.0,10.00628285617168,,81.0
noisy,1.01,0.0,0.925193053226371,3,0.25,1.0,10.005557601584131,,96.0
noisy,1.0999999999999999,0.0,1.0589829452655073,3,0.25,1.0,10.004470667546467,,76.0
noisy,1.19,0.0,1.1227604263887223,3,0.25,1.0,10.003301103692094,,65.0
noisy,1.28,0.0,1.1762687646042442,3,0.25,1.0,10.002588346937245,,83.0
noisy,1.3699999999999999,0.0,1.2142000531234276,3,0.25,1.0,10.009542839566127,,92.0
noisy,1.46,0.0,1.2924811052392533,3,0.25,1.0,10.00904693209364,,91.0
noisy,1.5499999999999998,0.0,1.3922819390081662,3,0.25,1.0,10.0118080008132,,60.0
noisy,1.64,0.0,1.4459121187499404,3,0.25,1.0,10.014340705534186,,74.0
noisy,1.73,0.0,1.364336897009454,3,0.25,0.6666666666666666,10.013429815117176,,60.0
noisy,1.8199999999999998,0.0,1.2223632481155533,3,0.25,0.3333333333333333,10.011136403171301,,18.0
