demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0.1834469935321271,,,1,,,42.0
rotation,0.29000000000000004,-15.0,0.28284348310574897,,,1,,,81.0
rotation,0.38,-15.0,0.3465782166266432,,,1,,,48.0
rotation,0.47000000000000003,-15.0,0.6025901562988506,,,1,,,33.0
rotation,0.56,-15.0,0.5238617919839937,,,1,,,46.0
rotation,0.6499999999999999,-15.0,0.5698991694595612,,,1,,,47.0
rotation,0.74,-15.0,0.6826369418563519,,,1,,,50.0
rotation,0.8300000000000001,-15.0,0.6822748130114972,,,1,,,51.0
rotation,0.9199999999999999,-15.0,0.889708209782634,,,1,,,48.0
rotation,1.01,-15.0,0.9785853589264558,,,1,,,46.0
rotation,1.0999999999999999,-15.0,1.2595452170527504,,,1,,,36.0
rotation,1.19,-15.0,1.2940104250200883,,,1,,,35.0
rotation,1.28,-15.0,1.1492584718865844,,,1,,,38.0
rotation,1.3699999999999999,-15.0,1.239608100886254,,,1,,,36.0
rotation,1.46,-15.0,1.3981510035337592,,,1,,,37.0
rotation,1.5499999999999998,-15.0,1.5402585628308547,,,1,,,35.0
rotation,1.64,-15.0,1.6245088122229578,,,1,,,34.0
rotation,1.73,-15.0,1.6706718560448952,,,1,,,31.0
rotation,1.8199999999999998,-15.0,1.6408267696398262,,,1,,,26.0
rotation,1.91,-15.0,1.7938688721974205,,,1,,,30.0
rotation,2.0,-15.0,1.8746874691465403,,,1,,,33.0
rotation,0.2,-14.0,0.1947708286076857,,,1,,,65.0
rotation,0.29000000000000004,-14.0,0.2751433430831954,,,1,,,63.0
rotation,0.38,-14.0,0.3570843374367689,,,1,,,50.0
rotation,0.47000000000000003,-14.0,0.6157795877122115,,,1,,,32.0
rotation,0.56,-14.0,0.46834011980250323,,,1,,,62.0
rotation,0.6499999999999999,-14.0,0.6003456980403479,,,1,,,38.0
rotation,0.74,-14.0,0.6478517081631541,,,1,,,63.0
rotation,0.8300000000000001,-14.0,0.6537668042645762,,,1,,,60.0
rotation,0.9199999999999999,-14.0,0.876977813023114,,,1,,,43.0
rotation,1.01,-14.0,1.0079832944641538,,,1,,,49.0
rotation,1.0999999999999999,-14.0,1.0903185228597048,,,1,,,37.0
rotation,1.19,-14.0,1.2523069488020389,,,1,,,42.0
rotation,1.28,-14.0,1.3049443262255707,,,1,,,32.0
rotation,1.3699999999999999,-14.0,1.2850910392821169,,,1,,,32.0
rotation,1.46,-14.0,1.3345494056245224,,,1,,,43.0
rotation,1.5499999999999998,-14.0,1.4560264306411093,,,1,,,36.0
rotation,1.64,-14.0,1.587573995569917,,,1,,,29.0
rotation,1.73,-14.0,1.6446588622057678,,,1,,,30.0
rotation,1.8199999999999998,-14.0,1.7242892549533597,,,1,,,23.0
rotation,1.91,-14.0,1.8180753774913916,,,1,,,31.0
rotation,2.0,-14.0,1.899494838393542,,,1,,,35.0
rotation,0.2,-13.0,0.19348495221828643,,,1,,,53.0
rotation,0.29000000000000004,-13.0,0.25527368395090533,,,1,,,53.0
rotation,0.38,-13.0,0.3953880684467396,,,1,,,48.0
rotation,0.47000000000000003,-13.0,0.36836118591289013,,,1,,,46.0
rotation,0.56,-13.0,0.4662233172999006,,,1,,,52.0
rotation,0.6499999999999999,-13.0,0.575894999340519,,,1,,,36.0
rotation,0.74,-13.0,0.6102402252455917,,,1,,,36.0
rotation,0.8300000000000001,-13.0,0.6912145341526778,,,1,,,54.0
rotation,0.9199999999999999,-13.0,0.835708371278788,,,1,,,39.0
rotation,1.01,-13.0,0.9428427314309239,,,1,,,48.0
rotation,1.0999999999999999,-13.0,1.0389841784139058,,,1,,,37.0
rotation,1.19,-13.0,1.1410401866462534,,,1,,,33.0
rotation,1.28,-13.0,1.2167285073004879,,,1,,,40.0
rotation,1.3699999999999999,-13.0,1.2735285499131541,,,1,,,28.0
rotation,1.46,-13.0,1.3023314644384227,,,1,,,40.0
rotation,1.5499999999999998,-13.0,1.4832933157415404,,,1,,,21.0
rotation,1.64,-13.0,1.5681538675638151,,,1,,,28.0
rotation,1.73,-13.0,1.6143327641171703,,,1,,,29.0
rotation,1.8199999999999998,-13.0,1.6290231961702784,,,1,,,33.0
rotation,1.91,-13.0,1.7422550462004427,,,1,,,31.0
rotation,2.0,-13.0,1.8904064171322756,,,1,,,33.0
rotation,0.2,-12.0,0.18301371927568685,,,1,,,41.0
rotation,0.29000000000000004,-12.0,0.20525913464249954,,,1,,,43.0
rotation,0.38,-12.0,0.3027742458084859,,,1,,,43.0
rotation,0.47000000000000003,-12.0,0.3833388812334518,,,1,,,45.0
rotation,0.56,-12.0,0.4993362258645809,,,1,,,71.0
rotation,0.6499999999999999,-12.0,0.5150117162973143,,,1,,,45.0
rotation,0.74,-12.0,0.588126222754227,,,1,,,63.0
rotation,0.8300000000000001,-12.0,0.6911261574592461,,,1,,,63.0
rotation,0.9199999999999999,-12.0,0.8923087724646502,,,1,,,38.0
rotation,1.01,-12.0,0.9384844150283472,,,1,,,33.0
rotation,1.0999999999999999,-12.0,1.047858984769687,,,1,,,30.0
rotation,1.19,-12.0,1.1454699965343214,,,1,,,35.0
rotation,1.28,-12.0,1.2106127597389842,,,1,,,36.0
rotation,1.3699999999999999,-12.0,1.2410120977693153,,,1,,,43.0
rotation,1.46,-12.0,1.3631957977000013,,,1,,,25.0
rotation,1.5499999999999998,-12.0,1.4051091819430213,,,1,,,33.0
rotation,1.64,-12.0,1.5654671188222877,,,1,,,30.0
rotation,1.73,-12.0,1.6363807790012679,,,1,,,32.0
rotation,1.8199999999999998,-12.0,1.6011258876768546,,,1,,,42.0
rotation,1.91,-12.0,1.766016666443018,,,1,,,32.0
rotation,2.0,-12.0,1.815009658994561,,,1,,,31.0
rotation,0.2,-11.0,0.17212385488077428,,,1,,,45.0
rotation,0.29000000000000004,-11.0,0.2478324110464948,,,1,,,59.0
rotation,0.38,-11.0,0.33460328565987824,,,1,,,63.0
rotation,0.47000000000000003,-11.0,0.44058510092172126,,,1,,,31.0
rotation,0.56,-11.0,0.44169706306686723,,,1,,,42.0
rotation,0.6499999999999999,-11.0,0.5882272021146746,,,1,,,38.0
rotation,0.74,-11.0,0.6071884472319605,,,1,,,55.0
rotation,0.8300000000000001,-11.0,0.6221257355184936,,,1,,,58.0
rotation,0.9199999999999999,-11.0,0.7724075833884559,,,1,,,36.0
rotation,1.01,-11.0,0.9891317708838215,,,1,,,30.0
rotation,1.0999999999999999,-11.0,1.0743567856471075,,,1,,,29.0
rotation,1.19,-11.0,1.1332338568322682,,,1,,,34.0
rotation,1.28,-11.0,1.1448214813825555,,,1,,,47.0
rotation,1.3699999999999999,-11.0,1.216740552569527,,,1,,,33.0
rotation,1.46,-11.0,1.3072361845019944,,,1,,,34.0
rotation,1.5499999999999998,-11.0,1.4645422056070572,,,1,,,26.0
rotation,1.64,-11.0,1.5549532113380415,,,1,,,24.0
rotation,1.73,-11.0,1.582829300143273,,,1,,,30.0
rotation,1.8199999999999998,-11.0,1.6379313476538517,,,1,,,34.0
rotation,1.91,-11.0,1.7405562158168246,,,1,,,39.0
rotation,2.0,-11.0,1.7454145181342116,,,1,,,32.0
rotation,0.2,-10.0,0.198740891032492,,,1,,,53.0
rotation,0.29000000000000004,-10.0,0.2367972074808924,,,1,,,47.0
rotation,0.38,-10.0,0.2933546114845876,,,1,,,51.0
rotation,0.47000000000000003,-10.0,0.5189758703030974,,,1,,,19.0
rotation,0.56,-10.0,0.5042512658371437,,,1,,,24.0
rotation,0.6499999999999999,-10.0,0.5335997173956466,,,1,,,25.0
rotation,0.74,-10.0,0.6291398012881905,,,1,,,37.0
rotation,0.8300000000000001,-10.0,0.6968175912877456,,,1,,,40.0
rotation,0.9199999999999999,-10.0,0.9330980728758194,,,1,,,23.0
rotation,1.01,-10.0,0.9262798111480461,,,1,,,27.0
rotation,1.0999999999999999,-10.0,1.0651754289810167,,,1,,,36.0
rotation,1.19,-10.0,1.1458351621138763,,,1,,,26.0
rotation,1.28,-10.0,1.1844289848812102,,,1,,,36.0
rotation,1.3699999999999999,-10.0,1.1554261578470075,,,1,,,39.0
rotation,1.46,-10.0,1.3093236209458539,,,1,,,37.0
rotation,1.5499999999999998,-10.0,1.4252911384844353,,,1,,,23.0
rotation,1.64,-10.0,1.5932638675128015,,,1,,,28.0
rotation,1.73,-10.0,1.6331544813978207,,,1,,,25.0
rotation,1.8199999999999998,-10.0,1.6379803722289432,,,1,,,32.0
rotation,1.91,-10.0,1.7611087865514718,,,1,,,28.0
rotation,2.0,-10.0,1.7566244327484417,,,1,,,29.0
rotation,0.2,-9.0,0.18398372266438598,,,1,,,51.0
rotation,0.29000000000000004,-9.0,0.2320956940512703,,,1,,,40.0
rotation,0.38,-9.0,0.28484929958124455,,,1,,,48.0
rotation,0.47000000000000003,-9.0,0.5076583692137054,,,1,,,31.0
rotation,0.56,-9.0,0.45383199596152995,,,1,,,63.0
rotation,0.6499999999999999,-9.0,0.5303727242443478,,,1,,,35.0
rotation,0.74,-9.0,0.6145388234289243,,,1,,,25.0
rotation,0.8300000000000001,-9.0,0.7255179820218483,,,1,,,49.0
rotation,0.9199999999999999,-9.0,0.8578255231421101,,,1,,,39.0
rotation,1.01,-9.0,0.9271462073455069,,,1,,,30.0
rotation,1.0999999999999999,-9.0,1.038022019920013,,,1,,,35.0
rotation,1.19,-9.0,1.0992307323278936,,,1,,,33.0
rotation,1.28,-9.0,1.1874390936320671,,,1,,,31.0
rotation,1.3699999999999999,-9.0,1.1866516334760668,,,1,,,59.0
rotation,1.46,-9.0,1.3363150200304663,,,1,,,30.0
rotation,1.5499999999999998,-9.0,1.4374383243945825,,,1,,,38.0
rotation,1.64,-9.0,1.5166886775688713,,,1,,,21.0
rotation,1.73,-9.0,1.5961568865020082,,,1,,,33.0
rotation,1.8199999999999998,-9.0,1.6433905671974456,,,1,,,42.0
rotation,1.91,-9.0,1.7167980126198348,,,1,,,39.0
rotation,2.0,-9.0,1.7592888542414862,,,1,,,23.0
rotation,0.2,-8.0,0.16185095337824076,,,1,,,37.0
rotation,0.29000000000000004,-8.0,0.22055603124148646,,,1,,,30.0
rotation,0.38,-8.0,0.26053731363328797,,,1,,,33.0
rotation,0.47000000000000003,-8.0,0.34767359753109045,,,1,,,42.0
rotation,0.56,-8.0,0.4039064086051724,,,1,,,61.0
rotation,0.6499999999999999,-8.0,0.5518671164080028,,,1,,,30.0
rotation,0.74,-8.0,0.6002611761207629,,,1,,,62.0
rotation,0.8300000000000001,-8.0,0.6584016475877273,,,1,,,41.0
rotation,0.9199999999999999,-8.0,0.8385950414560476,,,1,,,31.0
rotation,1.01,-8.0,0.9221738835227645,,,1,,,33.0
rotation,1.0999999999999999,-8.0,1.016671709653898,,,1,,,30.0
rotation,1.19,-8.0,1.083035187400661,,,1,,,43.0
rotation,1.28,-8.0,1.2096450955397817,,,1,,,27.0
rotation,1.3699999999999999,-8.0,1.2323905633454957,,,1,,,29.0
rotation,1.46,-8.0,1.3255667266943294,,,1,,,32.0
rotation,1.5499999999999998,-8.0,1.3967898175315432,,,1,,,35.0
rotation,1.64,-8.0,1.5675822370962098,,,1,,,27.0
rotation,1.73,-8.0,1.6337771998373458,,,1,,,30.0
rotation,1.8199999999999998,-8.0,1.609114079032656,,,1,,,33.0
rotation,1.91,-8.0,1.692682701104685,,,1,,,33.0
rotation,2.0,-8.0,1.7240644327113988,,,1,,,32.0
rotation,0.2,-7.0,0.13608640049865564,,,1,,,57.0
rotation,0.29000000000000004,-7.0,0.18582420923013507,,,1,,,44.0
rotation,0.38,-7.0,0.27249653144142644,,,1,,,67.0
rotation,0.47000000000000003,-7.0,0.36419937803460595,,,1,,,31.0
rotation,0.56,-7.0,0.4242295860818641,,,1,,,53.0
rotation,0.6499999999999999,-7.0,0.523935356882121,,,1,,,28.0
rotation,0.74,-7.0,0.6244070763722251,,,1,,,39.0
rotation,0.8300000000000001,-7.0,0.6817788465527079,,,1,,,48.0
rotation,0.9199999999999999,-7.0,0.8338234578126054,,,1,,,35.0
rotation,1.01,-7.0,0.8868031168549182,,,1,,,29.0
rotation,1.0999999999999999,-7.0,1.0052129479416445,,,1,,,35.0
rotation,1.19,-7.0,1.1684378938899969,,,1,,,33.0
rotation,1.28,-7.0,1.2142061500573647,,,1,,,29.0
rotation,1.3699999999999999,-7.0,1.2685510625107232,,,1,,,32.0
rotation,1.46,-7.0,1.319025298384252,,,1,,,24.0
rotation,1.5499999999999998,-7.0,1.4660624678838536,,,1,,,33.0
rotation,1.64,-7.0,1.4842516153611436,,,1,,,23.0
rotation,1.73,-7.0,1.6015175115414324,,,1,,,25.0
rotation,1.8199999999999998,-7.0,1.6016085651638365,,,1,,,32.0
rotation,1.91,-7.0,1.6745155123992614,,,1,,,31.0
rotation,2.0,-7.0,1.721815775154645,,,1,,,32.0
rotation,0.2,-6.0,0.14043972283594944,,,1,,,55.0
rotation,0.29000000000000004,-6.0,0.17806901340489034,,,1,,,38.0
rotation,0.38,-6.0,0.30576298705228594,,,1,,,37.0
rotation,0.47000000000000003,-6.0,0.4063394565255966,,,1,,,24.0
rotation,0.56,-6.0,0.47294724208693323,,,1,,,37.0
rotation,0.6499999999999999,-6.0,0.5483744245716317,,,1,,,42.0
rotation,0.74,-6.0,0.634287579920291,,,1,,,33.0
rotation,0.8300000000000001,-6.0,0.6899595006066391,,,1,,,45.0
rotation,0.9199999999999999,-6.0,0.8201738706375483,,,1,,,32.0
rotation,1.01,-6.0,0.8748986939984107,,,1,,,30.0
rotation,1.0999999999999999,-6.0,1.096842440736755,,,1,,,23.0
rotation,1.19,-6.0,1.1414502681481746,,,1,,,27.0
rotation,1.28,-6.0,1.179792821290447,,,1,,,23.0
rotation,1.3699999999999999,-6.0,1.2043231303092516,,,1,,,30.0
rotation,1.46,-6.0,1.2946123993525342,,,1,,,31.0
rotation,1.5499999999999998,-6.0,1.3767272933260817,,,1,,,26.0
rotation,1.64,-6.0,1.4741540303194747,,,1,,,34.0
rotation,1.73,-6.0,1.5577108780487787,,,1,,,34.0
rotation,1.8199999999999998,-6.0,1.5298482251301797,,,1,,,36.0
rotation,1.91,-6.0,1.6659480059204157,,,1,,,43.0
rotation,2.0,-6.0,0.0,,,0,,,22.0
rotation,0.2,-5.0,0.14637425683320862,,,1,,,57.0
rotation,0.29000000000000004,-5.0,0.16208219524870746,,,1,,,56.0
rotation,0.38,-5.0,0.26716805840616104,,,1,,,27.0
rotation,0.47000000000000003,-5.0,0.3953154339154894,,,1,,,23.0
rotation,0.56,-5.0,0.4220209561134156,,,1,,,36.0
rotation,0.6499999999999999,-5.0,0.5408760544479737,,,1,,,47.0
rotation,0.74,-5.0,0.579728538689241,,,1,,,22.0
rotation,0.8300000000000001,-5.0,0.6499129924865673,,,1,,,70.0
rotation,0.9199999999999999,-5.0,0.8085850726686957,,,1,,,37.0
rotation,1.01,-5.0,0.9275141097360918,,,1,,,29.0
rotation,1.0999999999999999,-5.0,1.0204338430220747,,,1,,,29.0
rotation,1.19,-5.0,1.0683952552766136,,,1,,,35.0
rotation,1.28,-5.0,1.188216799637001,,,1,,,32.0
rotation,1.3699999999999999,-5.0,1.218408538965409,,,1,,,22.0
rotation,1.46,-5.0,1.3150235449795098,,,1,,,42.0
rotation,1.5499999999999998,-5.0,1.3742463811561614,,,1,,,26.0
rotation,1.64,-5.0,1.4458480536040808,,,1,,,29.0
rotation,1.73,-5.0,1.5360155578938575,,,1,,,31.0
rotation,1.8199999999999998,-5.0,1.5759361752575856,,,1,,,27.0
rotation,1.91,-5.0,1.616703721057296,,,1,,,40.0
rotation,2.0,-5.0,1.665957863547874,,,1,,,38.0
rotation,0.2,-4.0,0.12434567250114875,,,1,,,49.0
rotation,0.29000000000000004,-4.0,0.18968291209883037,,,1,,,41.0
rotation,0.38,-4.0,0.2833789844157156,,,1,,,13.0
rotation,0.47000000000000003,-4.0,0.4111608428786539,,,1,,,30.0
rotation,0.56,-4.0,0.4202788230715508,,,1,,,52.0
rotation,0.6499999999999999,-4.0,0.5419177594706569,,,1,,,54.0
rotation,0.74,-4.0,0.6366485780699483,,,1,,,35.0
rotation,0.8300000000000001,-4.0,0.6545248307036725,,,1,,,65.0
rotation,0.9199999999999999,-4.0,0.8200879357608429,,,1,,,31.0
rotation,1.01,-4.0,0.968578712471377,,,1,,,30.0
rotation,1.0999999999999999,-4.0,1.0339054733919542,,,1,,,26.0
rotation,1.19,-4.0,1.1131996849369115,,,1,,,34.0
rotation,1.28,-4.0,1.1534893880728434,,,1,,,28.0
rotation,1.3699999999999999,-4.0,1.197069669301984,,,1,,,35.0
rotation,1.46,-4.0,1.281663109630578,,,1,,,36.0
rotation,1.5499999999999998,-4.0,1.3676859877485503,,,1,,,26.0
rotation,1.64,-4.0,1.4416760779729383,,,1,,,27.0
rotation,1.73,-4.0,1.5059265785269558,,,1,,,28.0
rotation,1.8199999999999998,-4.0,1.5937184635225432,,,1,,,34.0
rotation,1.91,-4.0,1.6326596909703504,,,1,,,40.0
rotation,2.0,-4.0,0.0,,,0,,,20.0
rotation,0.2,-3.0,0.1202440824902329,,,1,,,40.0
rotation,0.29000000000000004,-3.0,0.18487768832650464,,,1,,,41.0
rotation,0.38,-3.0,0.24363473163833302,,,1,,,46.0
rotation,0.47000000000000003,-3.0,0.3427551494987473,,,1,,,35.0
rotation,0.56,-3.0,0.42198827907747,,,1,,,40.0
rotation,0.6499999999999999,-3.0,0.5404028986291092,,,1,,,24.0
rotation,0.74,-3.0,0.5973844098505139,,,1,,,31.0
rotation,0.8300000000000001,-3.0,0.6657863735922535,,,1,,,50.0
rotation,0.9199999999999999,-3.0,0.8017819944377224,,,1,,,39.0
rotation,1.01,-3.0,0.8974050347915808,,,1,,,28.0
rotation,1.0999999999999999,-3.0,1.0255129165061743,,,1,,,30.0
rotation,1.19,-3.0,1.0907252074475529,,,1,,,25.0
rotation,1.28,-3.0,1.1883158224491193,,,1,,,28.0
rotation,1.3699999999999999,-3.0,1.2113156091344865,,,1,,,35.0
rotation,1.46,-3.0,1.2564548698087044,,,1,,,30.0
rotation,1.5499999999999998,-3.0,1.3400295478519375,,,1,,,32.0
rotation,1.64,-3.0,1.3894057226276713,,,1,,,31.0
rotation,1.73,-3.0,1.4434861061903312,,,1,,,30.0
rotation,1.8199999999999998,-3.0,1.575957675535601,,,1,,,36.0
rotation,1.91,-3.0,1.6104265337306796,,,1,,,40.0
rotation,2.0,-3.0,1.6392502551105366,,,1,,,34.0
rotation,0.2,-2.0,0.10604537557122472,,,1,,,53.0
rotation,0.29000000000000004,-2.0,0.17212628651453488,,,1,,,44.0
rotation,0.38,-2.0,0.2394218954256605,,,1,,,25.0
rotation,0.47000000000000003,-2.0,0.42670741179496585,,,1,,,20.0
rotation,0.56,-2.0,0.46409361841126423,,,1,,,70.0
rotation,0.6499999999999999,-2.0,0.5269961785599637,,,1,,,29.0
rotation,0.74,-2.0,0.6176738804954981,,,1,,,45.0
rotation,0.8300000000000001,-2.0,0.6669503972001879,,,1,,,39.0
rotation,0.9199999999999999,-2.0,0.8221848735489125,,,1,,,32.0
rotation,1.01,-2.0,0.904045347798625,,,1,,,33.0
rotation,1.0999999999999999,-2.0,1.0303566706766822,,,1,,,35.0
rotation,1.19,-2.0,1.1047720468133397,,,1,,,29.0
rotation,1.28,-2.0,1.127555727304297,,,1,,,34.0
rotation,1.3699999999999999,-2.0,1.2080673482254263,,,1,,,33.0
rotation,1.46,-2.0,1.2662723716587558,,,1,,,41.0
rotation,1.5499999999999998,-2.0,1.3385374479687424,,,1,,,29.0
rotation,1.64,-2.0,1.3522218012942766,,,1,,,27.0
rotation,1.73,-2.0,1.4606721427183824,,,1,,,31.0
