Episode,Total Reward,Termination Step
1,-79.71165466308594,42
2,-93.02229309082031,29
3,-87.02095794677734,22
4,-88.8580093383789,34
5,-99.43401336669922,35
6,-89.9694595336914,25
7,-94.01846313476562,11
8,-94.46607208251953,20
9,-93.39257049560547,29
10,-73.17083740234375,46
11,-83.65337371826172,29
12,-80.33422088623047,20
13,-96.52608489990234,34
14,-96.19670867919922,37
15,-91.89385986328125,14
16,-93.72726440429688,34
17,-79.94445037841797,24
18,-85.67778778076172,13
19,-88.4880599975586,22
20,-81.92501068115234,22
21,-95.03820037841797,27
22,-94.34404754638672,10
23,-72.70136260986328,36
24,-107.5990982055664,74
25,-87.43083190917969,27
26,-93.84261322021484,12
27,-95.6600112915039,42
28,-83.08526611328125,23
29,-94.28335571289062,9
30,-65.35845947265625,38
31,-89.93791961669922,18
32,-91.53897857666016,14
33,-84.99827575683594,27
34,-88.55144500732422,22
35,-93.6211166381836,10
36,-88.73783111572266,30
37,-95.04383850097656,33
38,-84.02114868164062,33
39,-76.02439880371094,46
40,-89.15826416015625,19
41,-95.7406997680664,28
42,-78.13510131835938,26
43,-90.95110321044922,35
44,-91.39771270751953,33
45,-94.52547454833984,35
46,-94.53939056396484,11
47,-89.9726791381836,11
48,-88.20308685302734,24
49,-60.46110534667969,123
50,-92.92341613769531,12
51,-88.72754669189453,20
52,-84.3194351196289,28
53,-88.94058227539062,10
54,-93.32108306884766,32
55,-88.62635803222656,17
56,-93.15634155273438,9
57,-89.02889251708984,25
58,-92.11801147460938,21
59,-90.56658935546875,16
60,-89.4223861694336,23
61,-95.87413787841797,46
62,-82.54946899414062,49
63,-88.38716888427734,18
64,-95.26165771484375,26
65,-75.21024322509766,38
66,-88.6010513305664,23
67,-87.4921646118164,30
68,-72.2564468383789,36
69,-90.62498474121094,28
70,-90.42642211914062,36
71,-93.80087280273438,47
72,-87.93925476074219,25
73,-96.4599838256836,34
74,-92.25242614746094,10
75,-82.61363983154297,29
76,-95.73612976074219,8
77,-92.35692596435547,35
78,-85.39936065673828,36
79,-89.07595825195312,16
80,-93.8890380859375,37
81,-95.42422485351562,7
82,-86.44049072265625,29
