demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,symmetry index,steps taken
noisy,0.2,0.0,0.14328823653367917,1,0.25,1.0,3.2361847670019417,,,479.0
noisy,0.29000000000000004,0.0,0.16121174085605228,1,0.25,1.0,3.4025588262662763,,,407.0
noisy,0.38,0.0,0.29462913144504893,1,0.25,1.0,7.088396374028504,,,233.0
noisy,0.47000000000000003,0.0,0.3802709979706251,1,0.25,1.0,9.901183711837813,,,381.0
noisy,0.56,0.0,0.41293681986756264,1,0.25,1.0,9.166003158240038,,,301.0
noisy,0.6499999999999999,0.0,0.5538186873617419,1,0.25,1.0,9.90483149972452,,,275.0
noisy,0.74,0.0,0.6211083046017867,1,0.25,1.0,9.906014424491742,,,263.0
noisy,0.8300000000000001,0.0,0.7281248091197793,1,0.25,1.0,9.907362515533631,,,248.0
noisy,0.9199999999999999,0.0,0.8162113732208315,1,0.25,1.0,9.906787146013082,,,90.0
noisy,1.01,0.0,0.9063931627433187,1,0.25,1.0,9.908155666959393,,,80.0
noisy,1.0999999999999999,0.0,1.0450572921130188,1,0.25,1.0,9.904019577354383,,,94.0
noisy,1.19,0.0,1.0988813301602152,1,0.25,1.0,9.906756377999654,,,46.0
noisy,1.28,0.0,1.1747182266031961,1,0.25,1.0,9.908836537709817,,,52.0
noisy,1.3699999999999999,0.0,1.2658307721064352,1,0.25,1.0,9.91081165394593,,,48.0
noisy,1.46,0.0,1.383366125280442,1,0.25,1.0,9.916437216195952,,,40.0
noisy,1.5499999999999998,0.0,1.4233339001358143,1,0.25,1.0,9.910134617449181,,,34.0
noisy,1.64,0.0,1.490418410521145,1,0.25,1.0,9.910132330630892,,,45.0
noisy,1.73,0.0,1.556336645214915,1,0.25,1.0,9.915933908708709,,,37.0
noisy,1.8199999999999998,0.0,1.590599323138952,1,0.25,1.0,9.914630205824649,,,39.0
noisy,1.91,0.0,1.3944838096022767,1,0.25,0.6666666666666666,9.91428914221304,,,48.0
noisy,2.0,0.0,1.7209722534093013,1,0.25,1.0,9.916641775588046,,,48.0
noisy,0.2,0.0,-0.023278736153002102,2,0.25,0.0,0.0,,,692.0
noisy,0.29000000000000004,0.0,-0.029290883519838207,2,0.25,0.0,0.0,,,605.0
noisy,0.38,0.0,-0.023533872266932838,2,0.25,0.0,0.0,,,592.0
noisy,0.47000000000000003,0.0,-0.041450105256527245,2,0.25,0.0,0.0,,,646.0
noisy,0.56,0.0,-0.03463843351227216,2,0.25,0.0,0.0,,,679.0
noisy,0.6499999999999999,0.0,-0.0389420499348064,2,0.25,0.0,0.0,,,697.0
noisy,0.74,0.0,-0.03560984382192129,2,0.25,0.0,0.0,,,575.0
noisy,0.8300000000000001,0.0,-0.04761363209773009,2,0.25,0.0,0.0,,,604.0
noisy,0.9199999999999999,0.0,-0.054751865759494,2,0.25,0.0,0.0,,,607.0
noisy,1.01,0.0,-0.046613625102097885,2,0.25,0.0,0.0,,,558.0
noisy,1.0999999999999999,0.0,-0.04632582016373283,2,0.25,0.0,0.0,,,528.0
noisy,1.19,0.0,-0.048470319187947065,2,0.25,0.0,0.0,,,487.0
noisy,1.28,0.0,-0.05052666401685624,2,0.25,0.0,0.0,,,538.0
noisy,1.3699999999999999,0.0,-0.0398791438864467,2,0.25,0.0,0.0,,,498.0
noisy,1.46,0.0,-0.061129871037728545,2,0.25,0.0,0.0,,,459.0
noisy,1.5499999999999998,0.0,-0.03363195804219141,2,0.25,0.0,0.0,,,469.0
