demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.1693649252941729,1,0.25,1.0,3.9235338148820094,,289.0
noisy,0.29000000000000004,0.0,0.17033270569566258,1,0.25,1.0,3.607025886837881,,417.0
noisy,0.38,0.0,0.2256133245080336,1,0.25,1.0,4.716495719929904,,362.0
noisy,0.47000000000000003,0.0,0.39129705678932664,1,0.25,1.0,8.895550748899897,,217.0
noisy,0.56,0.0,0.4195161226362514,1,0.25,1.0,9.09445122999514,,315.0
noisy,0.6499999999999999,0.0,0.541866068390822,1,0.25,1.0,10.003476543974402,,110.0
noisy,0.74,0.0,0.6382815936701096,1,0.25,1.0,10.003699619239942,,270.0
noisy,0.8300000000000001,0.0,0.690043802852327,1,0.25,1.0,10.005445121617253,,237.0
noisy,0.9199999999999999,0.0,0.818081987453791,1,0.25,1.0,10.005440561083725,,94.0
noisy,1.01,0.0,0.9481455303035254,1,0.25,1.0,10.007666245690725,,62.0
noisy,1.0999999999999999,0.0,1.0485502725444416,1,0.25,1.0,10.00709085040166,,72.0
noisy,1.19,0.0,1.0895883844695964,1,0.25,1.0,10.003735840690062,,163.0
noisy,1.28,0.0,1.173455532671685,1,0.25,1.0,10.008246783302107,,86.0
noisy,1.3699999999999999,0.0,1.202090841525889,1,0.25,1.0,10.003957724170338,,129.0
noisy,1.46,0.0,1.3393848768566814,1,0.25,1.0,10.01111896561108,,46.0
noisy,1.5499999999999998,0.0,1.4556429840150058,1,0.25,1.0,10.00734744511165,,32.0
noisy,1.64,0.0,1.5167113075712135,1,0.25,1.0,10.013628500807302,,33.0
noisy,1.73,0.0,1.5943521284220321,1,0.25,1.0,10.010143065996436,,52.0
noisy,1.8199999999999998,0.0,1.6098892805584828,1,0.25,1.0,10.013406912171048,,73.0
noisy,1.91,0.0,1.7358850296751724,1,0.25,1.0,10.013045093841516,,27.0
noisy,2.0,0.0,1.7396246446212196,1,0.25,1.0,10.008320752743142,,35.0
noisy,0.2,0.0,0.16672474185858754,2,0.25,1.0,4.456806937073738,,499.0
noisy,0.29000000000000004,0.0,0.17032078729701428,2,0.25,1.0,3.5284949190637045,,390.0
noisy,0.38,0.0,0.2568716735076864,2,0.25,1.0,5.5734791865799895,,366.0
noisy,0.47000000000000003,0.0,0.39111555110579094,2,0.25,1.0,8.666359836950914,,220.0
