demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0.54323380869993,,,1,,,82.0
rotation,0.29000000000000004,-15.0,0.5670954432434441,,,1,,,90.0
rotation,0.38,-15.0,0.5944530014641134,,,1,,,81.0
rotation,0.47000000000000003,-15.0,0.6631318471648767,,,1,,,96.0
rotation,0.56,-15.0,0.6629037132677454,,,1,,,61.0
rotation,0.6499999999999999,-15.0,0.7066938324001727,,,1,,,76.0
rotation,0.74,-15.0,0.7433046929939112,,,1,,,82.0
rotation,0.8300000000000001,-15.0,0.8160534207198326,,,1,,,93.0
rotation,0.9199999999999999,-15.0,0.9460908231146061,,,1,,,74.0
rotation,1.01,-15.0,1.0465957764696405,,,1,,,37.0
rotation,1.0999999999999999,-15.0,1.1775466501162146,,,1,,,32.0
rotation,1.19,-15.0,1.2133071360352037,,,1,,,39.0
rotation,1.28,-15.0,1.2145436142722505,,,1,,,39.0
rotation,1.3699999999999999,-15.0,1.2882379425672947,,,1,,,53.0
rotation,1.46,-15.0,1.3347238717969792,,,1,,,52.0
rotation,1.5499999999999998,-15.0,1.460182901412937,,,1,,,29.0
rotation,1.64,-15.0,1.5207851178468828,,,1,,,33.0
rotation,1.73,-15.0,1.6011177263803553,,,1,,,57.0
rotation,1.8199999999999998,-15.0,1.7592056809746912,,,1,,,25.0
rotation,1.91,-15.0,1.834661443867817,,,1,,,28.0
rotation,2.0,-15.0,1.7937605860221497,,,1,,,56.0
rotation,0.2,-14.0,0.504998019329638,,,1,,,104.0
rotation,0.29000000000000004,-14.0,0.5182090012723765,,,1,,,89.0
rotation,0.38,-14.0,0.5860668553177771,,,1,,,78.0
rotation,0.47000000000000003,-14.0,0.7114969446546602,,,1,,,88.0
rotation,0.56,-14.0,0.6837099533289805,,,1,,,73.0
rotation,0.6499999999999999,-14.0,0.6708878412129581,,,1,,,103.0
rotation,0.74,-14.0,0.7453334845024262,,,1,,,69.0
rotation,0.8300000000000001,-14.0,0.7976097254843607,,,1,,,81.0
rotation,0.9199999999999999,-14.0,0.9182079511018171,,,1,,,48.0
rotation,1.01,-14.0,1.0435668327715888,,,1,,,38.0
rotation,1.0999999999999999,-14.0,1.170423936293229,,,1,,,44.0
rotation,1.19,-14.0,1.1699468022937207,,,1,,,60.0
rotation,1.28,-14.0,1.2058300461825786,,,1,,,68.0
rotation,1.3699999999999999,-14.0,1.2992131462555034,,,1,,,36.0
rotation,1.46,-14.0,1.4360574445987495,,,1,,,39.0
rotation,1.5499999999999998,-14.0,1.4377168111637744,,,1,,,19.0
rotation,1.64,-14.0,1.549129565455474,,,1,,,29.0
rotation,1.73,-14.0,1.6353004087737497,,,1,,,29.0
rotation,1.8199999999999998,-14.0,1.641980193208097,,,1,,,47.0
rotation,1.91,-14.0,1.883314970931064,,,1,,,30.0
rotation,2.0,-14.0,1.9053952483365393,,,1,,,28.0
rotation,0.2,-13.0,0.47497828976442413,,,1,,,85.0
rotation,0.29000000000000004,-13.0,0.45114323814821794,,,1,,,75.0
rotation,0.38,-13.0,0.49804336728092985,,,1,,,76.0
rotation,0.47000000000000003,-13.0,0.6614905005799971,,,1,,,40.0
rotation,0.56,-13.0,0.5759946382635446,,,1,,,79.0
rotation,0.6499999999999999,-13.0,0.699710364693905,,,1,,,32.0
rotation,0.74,-13.0,0.7125193634772101,,,1,,,73.0
rotation,0.8300000000000001,-13.0,0.7854422616387676,,,1,,,86.0
rotation,0.9199999999999999,-13.0,0.870314623355796,,,1,,,70.0
rotation,1.01,-13.0,0.9659960812513985,,,1,,,36.0
rotation,1.0999999999999999,-13.0,1.1656127008798087,,,1,,,39.0
rotation,1.19,-13.0,1.2338556211854013,,,1,,,43.0
rotation,1.28,-13.0,1.2485468059122375,,,1,,,44.0
rotation,1.3699999999999999,-13.0,1.2854515245802,,,1,,,67.0
rotation,1.46,-13.0,1.423020253643702,,,1,,,56.0
rotation,1.5499999999999998,-13.0,1.4348762003702318,,,1,,,38.0
rotation,1.64,-13.0,1.5261709715776222,,,1,,,29.0
rotation,1.73,-13.0,1.6694057716429376,,,1,,,24.0
rotation,1.8199999999999998,-13.0,1.7072415209149574,,,1,,,21.0
rotation,1.91,-13.0,1.8190781893035597,,,1,,,20.0
rotation,2.0,-13.0,1.896266415853966,,,1,,,26.0
rotation,0.2,-12.0,0.4396964016078188,,,1,,,98.0
rotation,0.29000000000000004,-12.0,0.4585171877656558,,,1,,,64.0
rotation,0.38,-12.0,0.5515169464894866,,,1,,,69.0
rotation,0.47000000000000003,-12.0,0.5551292137678635,,,1,,,83.0
rotation,0.56,-12.0,0.5844986097346869,,,1,,,67.0
rotation,0.6499999999999999,-12.0,0.6232537022991713,,,1,,,74.0
rotation,0.74,-12.0,0.7387644403236542,,,1,,,44.0
rotation,0.8300000000000001,-12.0,0.7937698182323564,,,1,,,75.0
rotation,0.9199999999999999,-12.0,0.873929201296737,,,1,,,80.0
