demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0.2641202933973119,,,1,,,60.0
rotation,0.29000000000000004,-15.0,0.34026676349700175,,,1,,,68.0
rotation,0.38,-15.0,0.4375497875918958,,,1,,,58.0
rotation,0.47000000000000003,-15.0,0.4839636220448884,,,1,,,33.0
rotation,0.56,-15.0,0.5782607055217813,,,1,,,47.0
rotation,0.6499999999999999,-15.0,0.6622492869598468,,,1,,,34.0
rotation,0.74,-15.0,0.7389872382696345,,,1,,,45.0
rotation,0.8300000000000001,-15.0,0.8260181773710302,,,1,,,28.0
rotation,0.9199999999999999,-15.0,0.8996787448657106,,,1,,,47.0
rotation,1.01,-15.0,0.9845611548244934,,,1,,,48.0
rotation,1.0999999999999999,-15.0,1.0828591658362459,,,1,,,49.0
rotation,1.19,-15.0,1.1491715545466359,,,1,,,41.0
rotation,1.28,-15.0,1.2277453027389416,,,1,,,42.0
rotation,1.3699999999999999,-15.0,1.3070485902878837,,,1,,,33.0
rotation,1.46,-15.0,1.3969397519053341,,,1,,,46.0
rotation,1.5499999999999998,-15.0,1.4783671050917981,,,1,,,59.0
rotation,1.64,-15.0,1.5741574658999966,,,1,,,43.0
rotation,1.73,-15.0,1.6458278125563197,,,1,,,62.0
rotation,1.8199999999999998,-15.0,1.7288415216032835,,,1,,,61.0
rotation,1.91,-15.0,1.8471426092001157,,,1,,,61.0
rotation,2.0,-15.0,1.8982747168391065,,,1,,,66.0
rotation,0.2,-14.0,0.0,,,0,,,4.0
rotation,0.29000000000000004,-14.0,0.34525226030441625,,,1,,,62.0
rotation,0.38,-14.0,0.4427929025468016,,,1,,,59.0
rotation,0.47000000000000003,-14.0,0.5050699156753753,,,1,,,38.0
rotation,0.56,-14.0,0.5817066039521994,,,1,,,58.0
rotation,0.6499999999999999,-14.0,0.6533188544448176,,,1,,,40.0
rotation,0.74,-14.0,0.740803988317101,,,1,,,38.0
rotation,0.8300000000000001,-14.0,0.8204587708336343,,,1,,,41.0
rotation,0.9199999999999999,-14.0,0.8920707547180161,,,1,,,32.0
rotation,1.01,-14.0,0.9908873163787925,,,1,,,33.0
rotation,1.0999999999999999,-14.0,1.070155877337956,,,1,,,58.0
rotation,1.19,-14.0,1.1501557285569486,,,1,,,41.0
rotation,1.28,-14.0,1.2369999360498698,,,1,,,44.0
rotation,1.3699999999999999,-14.0,1.3081045759237835,,,1,,,53.0
rotation,1.46,-14.0,1.3984249449044253,,,1,,,52.0
rotation,1.5499999999999998,-14.0,1.4915650065604102,,,1,,,49.0
rotation,1.64,-14.0,1.5580142628685536,,,1,,,63.0
rotation,1.73,-14.0,1.6446116532295385,,,1,,,49.0
rotation,1.8199999999999998,-14.0,1.7344103173498904,,,1,,,37.0
rotation,1.91,-14.0,1.8031029518898205,,,1,,,68.0
rotation,2.0,-14.0,1.882414368183216,,,1,,,69.0
rotation,0.2,-13.0,0.30929392432679376,,,1,,,78.0
rotation,0.29000000000000004,-13.0,0.33696275884406535,,,1,,,6.0
rotation,0.38,-13.0,0.40445723640199577,,,1,,,34.0
rotation,0.47000000000000003,-13.0,0.49449840139995915,,,1,,,39.0
rotation,0.56,-13.0,0.5656383246357074,,,1,,,38.0
rotation,0.6499999999999999,-13.0,0.6531664636042533,,,1,,,32.0
rotation,0.74,-13.0,0.7290068296016671,,,1,,,36.0
rotation,0.8300000000000001,-13.0,0.8083694432765909,,,1,,,37.0
rotation,0.9199999999999999,-13.0,0.8956758009645899,,,1,,,44.0
rotation,1.01,-13.0,0.9789612045873662,,,1,,,42.0
rotation,1.0999999999999999,-13.0,1.064044956919482,,,1,,,46.0
