demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,symmetry index,steps taken
noisy,0.2,0.0,0.22092719652619208,1,0.25,1.0,4.546792017564091,,,631.0
noisy,0.29000000000000004,0.0,0.2957686349117666,1,0.25,1.0,5.985247248554155,,,632.0
noisy,0.38,0.0,0.3876364919568649,1,0.25,1.0,7.850235478137347,,,599.0
noisy,0.47000000000000003,0.0,0.4703251398592738,1,0.25,1.0,9.464416389595868,,,620.0
noisy,0.56,0.0,0.5558529937588368,1,0.25,1.0,9.90455735995666,,,593.0
noisy,0.6499999999999999,0.0,0.6452755864485751,1,0.25,1.0,9.906084697890458,,,527.0
noisy,0.74,0.0,0.7307061328286458,1,0.25,1.0,9.90291728104543,,,465.0
noisy,0.8300000000000001,0.0,0.8220237658494242,1,0.25,1.0,9.903521928185274,,,391.0
noisy,0.9199999999999999,0.0,0.9027968542235003,1,0.25,1.0,9.907829598669773,,,376.0
noisy,1.01,0.0,0.9959192935190889,1,0.25,1.0,9.909115334695803,,,369.0
noisy,1.0999999999999999,0.0,1.0705544643244649,1,0.25,1.0,9.910331109295965,,,319.0
noisy,1.19,0.0,1.160647509680971,1,0.25,1.0,9.911486393881948,,,263.0
noisy,1.28,0.0,1.2500336419587537,1,0.25,1.0,9.910722151582977,,,224.0
noisy,1.3699999999999999,0.0,1.330842220309115,1,0.25,1.0,9.909759859563081,,,244.0
noisy,1.46,0.0,1.4079184835762575,1,0.25,1.0,9.908173383925583,,,202.0
noisy,1.5499999999999998,0.0,1.4949129397322658,1,0.25,1.0,9.908716688746285,,,206.0
noisy,1.64,0.0,1.5803845599045527,1,0.25,1.0,9.915110818248937,,,202.0
noisy,1.73,0.0,1.4730778935350992,1,0.25,0.6666666666666666,9.914927731712737,,,167.0
noisy,1.8199999999999998,0.0,1.7507048281207582,1,0.25,1.0,9.915662534410039,,,184.0
noisy,1.91,0.0,1.655386678694331,1,0.25,0.6666666666666666,9.91635339870893,,,173.0
noisy,2.0,0.0,1.6664502528761445,1,0.25,0.6666666666666666,9.912115047247884,,,4.0
noisy,0.2,0.0,-0.5824656256265032,2,0.25,0.0,0.0,,,3.0
noisy,0.29000000000000004,0.0,-0.42760425676969543,2,0.25,0.0,0.0,,,4.0
noisy,0.38,0.0,-0.6368494464416041,2,0.25,0.0,0.0,,,5.0
noisy,0.47000000000000003,0.0,-0.4917778874415107,2,0.25,0.0,0.014308233548615679,,,6.0
noisy,0.56,0.0,-0.4136829962028177,2,0.25,0.0,0.0,,,4.0
noisy,0.6499999999999999,0.0,-0.3756619992662553,2,0.25,0.0,0.0,,,3.0
noisy,0.74,0.0,-0.6386282261748472,2,0.25,0.0,0.0,,,3.0
noisy,0.8300000000000001,0.0,-0.4077856754244124,2,0.25,0.0,0.0,,,5.0
noisy,0.9199999999999999,0.0,-0.3909135378475632,2,0.25,0.0,0.0,,,5.0
noisy,1.01,0.0,-0.5679452514377678,2,0.25,0.0,0.0,,,8.0
noisy,1.0999999999999999,0.0,-0.5844948357361449,2,0.25,0.0,0.0,,,3.0
noisy,1.19,0.0,-0.4156895632962443,2,0.25,0.0,0.0,,,5.0
noisy,1.28,0.0,-0.18989027396570246,2,0.25,0.0,0.0,,,3.0
noisy,1.3699999999999999,0.0,-0.3646310078860138,2,0.25,0.0,0.0,,,5.0
noisy,1.46,0.0,-0.4278243090507514,2,0.25,0.0,0.0,,,5.0
noisy,1.5499999999999998,0.0,-0.4250719849918747,2,0.25,0.0,0.0,,,5.0
noisy,1.64,0.0,-0.27086583383849766,2,0.25,0.0,0.007812943967993775,,,5.0
noisy,1.73,0.0,-0.438720617254355,2,0.25,0.0,0.0,,,6.0
noisy,1.8199999999999998,0.0,-0.3074585786281352,2,0.25,0.0,0.0,,,4.0
noisy,1.91,0.0,-0.40802735794897105,2,0.25,0.0,0.0,,,5.0
noisy,2.0,0.0,-0.42426871283627027,2,0.25,0.0,0.0,,,3.0
noisy,0.2,0.0,-0.4636998184655036,3,0.25,0.0,0.0,,,6.0
noisy,0.29000000000000004,0.0,-0.6418999462941773,3,0.25,0.0,0.0,,,6.0
noisy,0.38,0.0,-0.4222675240845999,3,0.25,0.0,0.0,,,6.0
noisy,0.47000000000000003,0.0,-0.4716574448808217,3,0.25,0.0,0.0,,,5.0
noisy,0.56,0.0,-0.44792602442027074,3,0.25,0.0,0.0,,,5.0
noisy,0.6499999999999999,0.0,-0.4715020512176477,3,0.25,0.0,0.0,,,4.0
noisy,0.74,0.0,-0.4167305413572417,3,0.25,0.0,0.0,,,5.0
noisy,0.8300000000000001,0.0,-0.42593631831529954,3,0.25,0.0,0.0,,,6.0
noisy,0.9199999999999999,0.0,-0.5937368463996067,3,0.25,0.0,0.0,,,5.0
noisy,1.01,0.0,-0.38993113478725827,3,0.25,0.0,0.0,,,5.0
noisy,1.0999999999999999,0.0,-0.40090545966556873,3,0.25,0.0,0.0,,,5.0
noisy,1.19,0.0,-0.4053958243060077,3,0.25,0.0,0.0,,,8.0
noisy,1.28,0.0,-0.2415268078321536,3,0.25,0.0,0.002981687192008263,,,5.0
noisy,1.3699999999999999,0.0,-0.3964290947578002,3,0.25,0.0,0.0,,,7.0
noisy,1.46,0.0,-0.30050197583711413,3,0.25,0.0,0.0,,,9.0
noisy,1.5499999999999998,0.0,-0.3210591607968168,3,0.25,0.0,0.0,,,5.0
noisy,1.64,0.0,-0.3664917147010252,3,0.25,0.0,0.0,,,7.0
noisy,1.73,0.0,-0.3887125078251736,3,0.25,0.0,0.0,,,4.0
noisy,1.8199999999999998,0.0,-0.4007227712052321,3,0.25,0.0,0.0,,,4.0
noisy,1.91,0.0,-0.36827345263389305,3,0.25,0.0,0.0,,,7.0
noisy,2.0,0.0,-0.39670728507816183,3,0.25,0.0,0.0,,,4.0
noisy,0.2,0.0,-0.27011658314731674,4,0.25,0.0,0.0,,,6.0
noisy,0.29000000000000004,0.0,-0.24908161619171995,4,0.25,0.0,0.0,,,5.0
noisy,0.38,0.0,-0.32440088025424485,4,0.25,0.0,0.0,,,4.0
noisy,0.47000000000000003,0.0,-0.22559949609380084,4,0.25,0.0,0.0,,,3.0
noisy,0.56,0.0,-0.23183253529467052,4,0.25,0.0,0.0,,,4.0
noisy,0.6499999999999999,0.0,-0.3672929504585675,4,0.25,0.0,0.0,,,5.0
noisy,0.74,0.0,-0.33233274127756024,4,0.25,0.0,0.0,,,3.0
noisy,0.8300000000000001,0.0,-0.3636116407908596,4,0.25,0.0,0.0,,,2.0
noisy,0.9199999999999999,0.0,-0.2562464203046677,4,0.25,0.0,0.0,,,4.0
noisy,1.01,0.0,-0.3322399613565087,4,0.25,0.0,0.0,,,3.0
noisy,1.0999999999999999,0.0,-0.2800767790886042,4,0.25,0.0,0.0,,,5.0
noisy,1.19,0.0,-0.2704559381984484,4,0.25,0.0,0.0,,,2.0
noisy,1.28,0.0,-0.3369609945254049,4,0.25,0.0,0.0,,,2.0
noisy,1.3699999999999999,0.0,-0.3811690071601918,4,0.25,0.0,0.0,,,1.0
noisy,1.46,0.0,-0.3306643820931238,4,0.25,0.0,0.0,,,3.0
noisy,1.5499999999999998,0.0,-0.26096388980732904,4,0.25,0.0,0.0,,,3.0
noisy,1.64,0.0,-0.33630340364675826,4,0.25,0.0,0.0,,,1.0
noisy,1.73,0.0,-0.26432028727926143,4,0.25,0.0,0.0,,,4.0
noisy,1.8199999999999998,0.0,-0.3645195574997677,4,0.25,0.0,0.0,,,2.0
noisy,1.91,0.0,-0.2921018610591241,4,0.25,0.0,0.0,,,4.0
noisy,2.0,0.0,-0.3602168691052781,4,0.25,0.0,0.0,,,3.0
noisy,0.2,0.0,-0.22046064933712084,5,0.25,0.0,0.0,,,6.0
noisy,0.29000000000000004,0.0,-0.334293116160495,5,0.25,0.0,0.0,,,7.0
noisy,0.38,0.0,-0.31799730584094776,5,0.25,0.0,0.0,,,5.0
noisy,0.47000000000000003,0.0,-0.22737984494821586,5,0.25,0.0,0.0,,,4.0
noisy,0.56,0.0,-0.20521845788218993,5,0.25,0.0,0.0,,,6.0
noisy,0.6499999999999999,0.0,-0.213532985883323,5,0.25,0.0,0.0,,,11.0
noisy,0.74,0.0,-0.16259191840825776,5,0.25,0.0,0.0,,,9.0
noisy,0.8300000000000001,0.0,-0.12739462213635247,5,0.25,0.0,0.024784413302491162,,,15.0
noisy,0.9199999999999999,0.0,-0.12791526754574328,5,0.25,0.0,0.0,,,6.0
noisy,1.01,0.0,-0.191599153023717,5,0.25,0.0,0.0,,,6.0
noisy,1.0999999999999999,0.0,-0.20228953423548282,5,0.25,0.0,0.0,,,5.0
noisy,1.19,0.0,-0.2004682280751372,5,0.25,0.0,0.0,,,5.0
noisy,1.28,0.0,-0.12430163833147122,5,0.25,0.0,0.0,,,4.0
noisy,1.3699999999999999,0.0,-0.19789197330091501,5,0.25,0.0,0.0,,,2.0
noisy,1.46,0.0,-0.10826200133973334,5,0.25,0.0,0.025371785755911078,,,5.0
noisy,1.5499999999999998,0.0,-0.18758964219745725,5,0.25,0.0,0.0,,,4.0
noisy,1.64,0.0,-0.12113299574528678,5,0.25,0.0,0.0,,,6.0
noisy,1.73,0.0,-0.18098640293420662,5,0.25,0.0,0.0,,,5.0
noisy,1.8199999999999998,0.0,-0.11807085267090241,5,0.25,0.0,0.0,,,5.0
noisy,1.91,0.0,-0.1735717494375452,5,0.25,0.0,0.0,,,3.0
noisy,2.0,0.0,-0.1097027005283543,5,0.25,0.0,0.0,,,7.0
noisy,0.2,0.0,-0.28726460974419377,6,0.25,0.0,0.0,,,8.0
noisy,0.29000000000000004,0.0,-0.3013986975452772,6,0.25,0.0,0.0,,,6.0
noisy,0.38,0.0,-0.1973734538644669,6,0.25,0.0,0.0,,,8.0
noisy,0.47000000000000003,0.0,-0.16279406544946298,6,0.25,0.0,0.0,,,5.0
noisy,0.56,0.0,-0.17878296569155008,6,0.25,0.0,0.0,,,6.0
noisy,0.6499999999999999,0.0,-0.11880854426717453,6,0.25,0.0,0.0016107186333328628,,,14.0
noisy,0.74,0.0,-0.15105754459282036,6,0.25,0.0,0.00425487410229038,,,8.0
noisy,0.8300000000000001,0.0,-0.032789274044747296,6,0.25,0.0,0.039900331475482054,,,11.0
noisy,0.9199999999999999,0.0,-0.10188291150083688,6,0.25,0.0,0.0033732892133683193,,,8.0
noisy,1.01,0.0,-0.08974427081194432,6,0.25,0.0,0.0021586408158669763,,,3.0
noisy,1.0999999999999999,0.0,-0.16416389144731,6,0.25,0.0,0.0,,,8.0
noisy,1.19,0.0,-0.0958169500845404,6,0.25,0.0,0.0,,,8.0
noisy,1.28,0.0,-0.13132268678849188,6,0.25,0.0,0.0,,,7.0
noisy,1.3699999999999999,0.0,-0.05441820795058081,6,0.25,0.0,0.01720363776293121,,,12.0
noisy,1.46,0.0,-0.0497794318425669,6,0.25,0.0,0.004297122842494816,,,11.0
noisy,1.5499999999999998,0.0,-0.05425728697885573,6,0.25,0.0,0.011672139664581326,,,5.0
noisy,1.64,0.0,-0.02364779615919074,6,0.25,0.0,0.009965475920507604,,,10.0
noisy,1.73,0.0,-0.0054327886547855435,6,0.25,0.0,0.008966697798400682,,,6.0
noisy,1.8199999999999998,0.0,-0.15208526597754612,6,0.25,0.0,0.0,,,6.0
noisy,1.91,0.0,0.12660442841249078,6,0.25,0.0,0.07077943051831992,,,7.0
noisy,2.0,0.0,0.12445560042009869,6,0.25,0.0,0.04402755250068813,,,6.0
noisy,0.2,0.0,-0.12997481422105106,7,0.25,0.0,0.0,,,8.0
noisy,0.29000000000000004,0.0,-0.11361147936904348,7,0.25,0.0,0.055802520366031096,,,11.0
noisy,0.38,0.0,-0.10466960479985205,7,0.25,0.0,0.027180158536862113,,,8.0
noisy,0.47000000000000003,0.0,-0.17806010811050343,7,0.25,0.0,0.0,,,5.0
noisy,0.56,0.0,-0.1429318226634813,7,0.25,0.0,0.0,,,6.0
noisy,0.6499999999999999,0.0,-0.0033967301898374393,7,0.25,0.0,0.004965122202327164,,,5.0
noisy,0.74,0.0,0.018436594585724966,7,0.25,0.0,0.012815233129254857,,,11.0
noisy,0.8300000000000001,0.0,-0.06132743516014594,7,0.25,0.0,0.018647349093247514,,,9.0
noisy,0.9199999999999999,0.0,-0.014263119948064548,7,0.25,0.0,0.024757139401436652,,,8.0
noisy,1.01,0.0,-0.06067378189381132,7,0.25,0.0,0.05968808906383795,,,7.0
noisy,1.0999999999999999,0.0,-0.0695696936943941,7,0.25,0.0,0.018776570047246716,,,7.0
noisy,1.19,0.0,0.06070787634770535,7,0.25,0.0,0.02157399309069307,,,6.0
noisy,1.28,0.0,0.07915506213828565,7,0.25,0.0,0.049592460356233256,,,9.0
noisy,1.3699999999999999,0.0,0.11582743307081324,7,0.25,0.0,0.0625825058182285,,,7.0
noisy,1.46,0.0,-0.028478626157832893,7,0.25,0.0,0.018374134629617227,,,6.0
noisy,1.5499999999999998,0.0,0.06521645767356377,7,0.25,0.0,0.018037036136612165,,,5.0
noisy,1.64,0.0,0.12767438653183152,7,0.25,0.0,0.035616478704523315,,,5.0
noisy,1.73,0.0,0.24716747340887688,7,0.25,0.0,0.16806590971487922,,,10.0
noisy,1.8199999999999998,0.0,0.14153768571318712,7,0.25,0.0,0.03518188447852395,,,3.0
noisy,1.91,0.0,-0.022476823658063805,7,0.25,0.0,0.018096215351566122,,,5.0
noisy,2.0,0.0,0.19623434952036897,7,0.25,0.0,0.08572566419285911,,,7.0
noisy,0.2,0.0,-0.26308368166515,8,0.25,0.0,0.0,,,3.0
noisy,0.29000000000000004,0.0,-0.346670340174087,8,0.25,0.0,0.0,,,7.0
noisy,0.38,0.0,-0.13762353389520485,8,0.25,0.0,0.0,,,6.0
noisy,0.47000000000000003,0.0,-0.1644493996263414,8,0.25,0.0,0.0,,,4.0
noisy,0.56,0.0,-0.16329885660191465,8,0.25,0.0,0.006465207555120133,,,6.0
noisy,0.6499999999999999,0.0,-0.29094307940029096,8,0.25,0.0,0.0,,,5.0
noisy,0.74,0.0,-0.39026696861033616,8,0.25,0.0,0.0,,,4.0
noisy,0.8300000000000001,0.0,-0.28249256493594066,8,0.25,0.0,0.0,,,9.0
noisy,0.9199999999999999,0.0,-0.404466710471644,8,0.25,0.0,0.0,,,7.0
noisy,1.01,0.0,-0.3222626174825515,8,0.25,0.0,0.0,,,7.0
noisy,1.0999999999999999,0.0,-0.4627906675472264,8,0.25,0.0,0.0,,,13.0
noisy,1.19,0.0,-0.3835151092296387,8,0.25,0.0,0.0,,,5.0
noisy,1.28,0.0,-0.3271672088926827,8,0.25,0.0,0.0,,,3.0
noisy,1.3699999999999999,0.0,-0.2237998051087038,8,0.25,0.0,0.0,,,5.0
noisy,1.46,0.0,-0.2910252082173426,8,0.25,0.0,0.0,,,8.0
noisy,1.5499999999999998,0.0,-0.32872463207075664,8,0.25,0.0,0.0,,,7.0
noisy,1.64,0.0,-0.5208356077035053,8,0.25,0.0,0.0,,,18.0
noisy,1.73,0.0,-0.42965135762170464,8,0.25,0.0,0.0,,,9.0
noisy,1.8199999999999998,0.0,-0.5312500711584499,8,0.25,0.0,0.0,,,4.0
noisy,1.91,0.0,-0.17905216538104016,8,0.25,0.0,0.0,,,7.0
noisy,2.0,0.0,-0.13833383671497324,8,0.25,0.0,0.007230474950051166,,,5.0
noisy,0.2,0.0,-0.6014713693381591,9,0.25,0.0,0.0,,,18.0
noisy,0.29000000000000004,0.0,-0.7866218186632309,9,0.25,0.0,0.0,,,8.0
noisy,0.38,0.0,-0.5977213059216234,9,0.25,0.0,0.0,,,5.0
noisy,0.47000000000000003,0.0,-0.6188555274025177,9,0.25,0.0,0.0,,,5.0
noisy,0.56,0.0,-0.8498557233841817,9,0.25,0.0,0.0,,,10.0
noisy,0.6499999999999999,0.0,-0.6151978564608643,9,0.25,0.0,0.0,,,5.0
noisy,0.74,0.0,-0.6830525603688091,9,0.25,0.0,0.0,,,6.0
noisy,0.8300000000000001,0.0,-0.6552020012530827,9,0.25,0.0,0.0,,,3.0
noisy,0.9199999999999999,0.0,-0.7061752457046439,9,0.25,0.0,0.0,,,4.0
noisy,1.01,0.0,-0.640618536303727,9,0.25,0.0,0.0,,,3.0
noisy,1.0999999999999999,0.0,-0.7860367124408443,9,0.25,0.0,0.0,,,4.0
noisy,1.19,0.0,-0.6946707578724372,9,0.25,0.0,0.0,,,7.0
noisy,1.28,0.0,-0.6488293977855201,9,0.25,0.0,0.0,,,4.0
noisy,1.3699999999999999,0.0,-0.5597265072427009,9,0.25,0.0,0.0,,,4.0
noisy,1.46,0.0,-0.6760187211572201,9,0.25,0.0,0.0,,,4.0
noisy,1.5499999999999998,0.0,-0.8848244734356094,9,0.25,0.0,0.0,,,8.0
noisy,1.64,0.0,-0.5866342936663645,9,0.25,0.0,0.0,,,4.0
noisy,1.73,0.0,-0.7507164135118698,9,0.25,0.0,0.0,,,8.0
noisy,1.8199999999999998,0.0,-0.6334004196277121,9,0.25,0.0,0.0,,,2.0
noisy,1.91,0.0,-0.6763044237816803,9,0.25,0.0,0.0,,,3.0
noisy,2.0,0.0,-0.6979687467575219,9,0.25,0.0,0.0,,,6.0
noisy,0.2,0.0,-0.7866376506934385,10,0.25,0.0,0.0,,,14.0
noisy,0.29000000000000004,0.0,-0.8025764280241791,10,0.25,0.0,0.0,,,5.0
noisy,0.38,0.0,-1.0513184193805618,10,0.25,0.0,0.0,,,6.0
noisy,0.47000000000000003,0.0,-0.7934652571312372,10,0.25,0.0,0.0,,,7.0
noisy,0.56,0.0,-0.876841587314325,10,0.25,0.0,0.0,,,8.0
noisy,0.6499999999999999,0.0,-0.8391350214324249,10,0.25,0.0,0.0,,,13.0
noisy,0.74,0.0,-0.7989082581434572,10,0.25,0.0,0.0,,,4.0
noisy,0.8300000000000001,0.0,-0.7196633311394436,10,0.25,0.0,0.0,,,3.0
noisy,0.9199999999999999,0.0,-0.7072340093735523,10,0.25,0.0,0.0,,,8.0
noisy,1.01,0.0,-0.7798285956980312,10,0.25,0.0,0.0,,,3.0
noisy,1.0999999999999999,0.0,-0.8511942681495824,10,0.25,0.0,0.0,,,5.0
noisy,1.19,0.0,-0.7416280041884501,10,0.25,0.0,0.0,,,2.0
noisy,1.28,0.0,-0.6571079734406587,10,0.25,0.0,0.0,,,4.0
noisy,1.3699999999999999,0.0,-0.7881252172965018,10,0.25,0.0,0.0,,,2.0
noisy,1.46,0.0,-0.7352602234849502,10,0.25,0.0,0.0,,,3.0
noisy,1.5499999999999998,0.0,-0.677887349758285,10,0.25,0.0,0.0,,,2.0
noisy,1.64,0.0,-0.6993099173261182,10,0.25,0.0,0.0,,,3.0
noisy,1.73,0.0,-0.6677438867090718,10,0.25,0.0,0.0,,,2.0
noisy,1.8199999999999998,0.0,-0.6714784674627158,10,0.25,0.0,0.0,,,4.0
noisy,1.91,0.0,-0.7310287519664302,10,0.25,0.0,0.0,,,3.0
noisy,2.0,0.0,-0.8578046894916662,10,0.25,0.0,0.0,,,5.0
noisy,0.2,0.0,-1.0419484498489193,11,0.25,0.0,0.0,,,6.0
noisy,0.29000000000000004,0.0,-0.9245359377082717,11,0.25,0.0,0.0,,,7.0
noisy,0.38,0.0,-0.9125535652295915,11,0.25,0.0,0.0,,,4.0
noisy,0.47000000000000003,0.0,-0.7859808179856739,11,0.25,0.0,0.0,,,10.0
noisy,0.56,0.0,-0.8654129613145015,11,0.25,0.0,0.0,,,10.0
noisy,0.6499999999999999,0.0,-0.796223934537904,11,0.25,0.0,0.0,,,4.0
noisy,0.74,0.0,-0.9995081210051991,11,0.25,0.0,0.0,,,7.0
noisy,0.8300000000000001,0.0,-0.8700292046189414,11,0.25,0.0,0.0,,,5.0
noisy,0.9199999999999999,0.0,-0.9720208483100566,11,0.25,0.0,0.0,,,6.0
noisy,1.01,0.0,-0.7924021389510857,11,0.25,0.0,0.0,,,7.0
noisy,1.0999999999999999,0.0,-0.9366013299588487,11,0.25,0.0,0.0,,,6.0
noisy,1.19,0.0,-0.8913363572859955,11,0.25,0.0,0.0,,,4.0
noisy,1.28,0.0,-0.924678012448321,11,0.25,0.0,0.0,,,4.0
noisy,1.3699999999999999,0.0,-0.9325527656383888,11,0.25,0.0,0.0,,,4.0
noisy,1.46,0.0,-0.8120294707071624,11,0.25,0.0,0.0,,,4.0
noisy,1.5499999999999998,0.0,-0.7939599473949429,11,0.25,0.0,0.0,,,3.0
noisy,1.64,0.0,-0.8972354697622819,11,0.25,0.0,0.0,,,4.0
noisy,1.73,0.0,-1.1305199090991833,11,0.25,0.0,0.0,,,9.0
noisy,1.8199999999999998,0.0,-0.7875228184454635,11,0.25,0.0,0.0,,,4.0
noisy,1.91,0.0,-0.839668579958786,11,0.25,0.0,0.0,,,4.0
noisy,2.0,0.0,-0.831146585574085,11,0.25,0.0,0.0,,,3.0
noisy,0.2,0.0,-0.8707838672878081,12,0.25,0.0,0.0,,,9.0
noisy,0.29000000000000004,0.0,-1.0020516910360178,12,0.25,0.0,0.0,,,3.0
noisy,0.38,0.0,-0.7318196236450821,12,0.25,0.0,0.0,,,3.0
noisy,0.47000000000000003,0.0,-1.13496935738286,12,0.25,0.0,0.0,,,3.0
noisy,0.56,0.0,-0.8715248779943909,12,0.25,0.0,0.0,,,8.0
noisy,0.6499999999999999,0.0,-1.0357551811360193,12,0.25,0.0,0.0,,,4.0
noisy,0.74,0.0,-0.8952563375030218,12,0.25,0.0,0.0,,,3.0
noisy,0.8300000000000001,0.0,-0.9999253539386306,12,0.25,0.0,0.0,,,6.0
noisy,0.9199999999999999,0.0,-0.9290277390475096,12,0.25,0.0,0.0,,,4.0
noisy,1.01,0.0,-0.9222786535248266,12,0.25,0.0,0.0,,,3.0
noisy,1.0999999999999999,0.0,-1.1073605834724154,12,0.25,0.0,0.0,,,3.0
noisy,1.19,0.0,-0.9430243327277478,12,0.25,0.0,0.0,,,2.0
noisy,1.28,0.0,-0.7630801497533478,12,0.25,0.0,0.0,,,3.0
noisy,1.3699999999999999,0.0,-0.9833737835614381,12,0.25,0.0,0.0,,,4.0
noisy,1.46,0.0,-0.9420255056833461,12,0.25,0.0,0.0,,,5.0
