generator,speed_bin_centre,n_samples,mse,dtw,fft_fidelity
fft_mlp_review,0.35,16,0.0386808139822781,0.45748263769296216,1.028418092830905
fft_mlp_review,0.65,19,0.036934193352370935,0.4052640284512481,0.8590139739603928
fft_mlp_review,0.9500000000000001,20,0.017537025993589386,0.254481230806576,0.7232484322754839
fft_mlp_review,1.25,18,0.02475485531136876,0.2936005640208338,0.7465443654434045
fft_mlp_review,1.5499999999999998,10,0.04059854563701913,0.3727673041749338,0.825880588668455
fft_mlp_review,1.85,3,0.05158975874528695,0.43040515690793885,0.9190967380016772
fft_mlp_review,2.2,2,0.04292326956952701,0.4615473994207593,1.1050411369034425
fft_mlp,0.35,16,0.05493073302834675,0.31918872896957295,0.8676986934738388
fft_mlp,0.65,19,0.008661807992212242,0.1282345827696801,0.3620478658424943
fft_mlp,0.9500000000000001,20,0.013464358915144591,0.10873486945744253,0.2714666874693118
fft_mlp,1.25,18,0.009996697412619018,0.10954499818771997,0.27989150858143375
fft_mlp,1.5499999999999998,10,0.01698554716888611,0.11558285700338636,0.27675223257833853
fft_mlp,1.85,3,0.0235577576639206,0.13464103139144934,0.37874105119856766
fft_mlp,2.2,2,0.003826628771701251,0.12309338947181926,0.36232448173085696
raw_mocap,0.35,16,0.0839294687069404,0.5142717171751415,1.0622524066765764
raw_mocap,0.65,19,0.03458085601075379,0.25861080752434285,0.5831533472185108
raw_mocap,0.9500000000000001,20,0.014707070852527121,0.18902149706932278,0.5643888034563127
raw_mocap,1.25,18,0.010438442159872191,0.15323750690028148,0.44325298083775355
raw_mocap,1.5499999999999998,10,0.016477406770833508,0.17020382663960024,0.45453202078761057
raw_mocap,1.85,3,0.02219109968364266,0.17828409118746683,0.5158552082939799
raw_mocap,2.2,2,0.009994867059883897,0.19155478655970481,0.5449480981675292
cubic_spline,0.35,16,0.08194896186472293,0.5007767346564123,1.0525692389730277
cubic_spline,0.65,19,0.03250710258818217,0.24128758764899083,0.5724575019943379
cubic_spline,0.9500000000000001,20,0.009412556458088198,0.14498500581837664,0.46189888697031956
cubic_spline,1.25,18,0.008979628135493519,0.1436062613822415,0.4382370105030831
cubic_spline,1.5499999999999998,10,0.013246496330267945,0.14572370606624352,0.46200596639449565
cubic_spline,1.85,3,0.02394158145967232,0.16813437568746262,0.4726819314205925
cubic_spline,2.2,2,0.009778210969593797,0.198754279262307,0.6004101605649277
cpg_matsuoka,0.35,16,0.04890904048993969,0.5192972768038454,1.9303801275734835
cpg_matsuoka,0.65,19,0.06092371459329448,0.5844604211129208,2.087165682682984
cpg_matsuoka,0.9500000000000001,20,0.07374587024940661,0.6454379808452619,2.2974461619406257
cpg_matsuoka,1.25,18,0.08512312242622881,0.6942766133431714,2.461482493358391
cpg_matsuoka,1.5499999999999998,10,0.09691268754029132,0.7420368059199103,2.622315495526247
cpg_matsuoka,1.85,3,0.09499033215017273,0.7416758323406474,2.5270648815538874
cpg_matsuoka,2.2,2,0.10270813750359506,0.7741462007283614,2.5751763649286827
fft_mlp_review__morphology,0.752,1,0.16367072646752728,,
fft_mlp_review__morphology,0.8146666666666667,1,0.14694079661916176,,
fft_mlp_review__morphology,0.8773333333333333,1,0.07793468666587598,,
fft_mlp_review__morphology,0.94,1,0.0,,
fft_mlp_review__morphology,1.0026666666666666,1,0.06171303676773521,,
fft_mlp_review__morphology,1.0653333333333332,1,0.12055791796913368,,
fft_mlp_review__morphology,1.128,1,0.16817795978732222,,
fft_mlp__morphology,0.752,1,0.21384837437767829,,
fft_mlp__morphology,0.8146666666666667,1,0.1834514376919253,,
fft_mlp__morphology,0.8773333333333333,1,0.07634934921722833,,
fft_mlp__morphology,0.94,1,0.0,,
fft_mlp__morphology,1.0026666666666666,1,0.08473970369692163,,
fft_mlp__morphology,1.0653333333333332,1,0.1847047195485625,,
fft_mlp__morphology,1.128,1,0.29256175398796386,,
raw_mocap__morphology,0.752,1,0.0,,
raw_mocap__morphology,0.8146666666666667,1,0.0,,
raw_mocap__morphology,0.8773333333333333,1,0.0,,
raw_mocap__morphology,0.94,1,0.0,,
raw_mocap__morphology,1.0026666666666666,1,0.0,,
raw_mocap__morphology,1.0653333333333332,1,0.0,,
raw_mocap__morphology,1.128,1,0.0,,
cubic_spline__morphology,0.752,1,0.0,,
cubic_spline__morphology,0.8146666666666667,1,0.0,,
cubic_spline__morphology,0.8773333333333333,1,0.0,,
cubic_spline__morphology,0.94,1,0.0,,
cubic_spline__morphology,1.0026666666666666,1,0.0,,
cubic_spline__morphology,1.0653333333333332,1,0.0,,
cubic_spline__morphology,1.128,1,0.0,,
cpg_matsuoka__morphology,0.752,1,0.0,,
cpg_matsuoka__morphology,0.8146666666666667,1,0.0,,
cpg_matsuoka__morphology,0.8773333333333333,1,0.0,,
cpg_matsuoka__morphology,0.94,1,0.0,,
cpg_matsuoka__morphology,1.0026666666666666,1,0.0,,
cpg_matsuoka__morphology,1.0653333333333332,1,0.0,,
cpg_matsuoka__morphology,1.128,1,0.0,,
