generator,speed_bin_centre,n_samples,mse,dtw,fft_fidelity
fft_mlp_review,0.35,16,0.0386808139822781,0.45748263769296216,1.028418092830905
fft_mlp_review,0.65,19,0.036934193352370935,0.4052640284512481,0.8590139739603928
fft_mlp_review,0.9500000000000001,20,0.017537025993589386,0.254481230806576,0.7232484322754839
fft_mlp_review,1.25,18,0.02475485531136876,0.2936005640208338,0.7465443654434045
fft_mlp_review,1.5499999999999998,10,0.04059854563701913,0.3727673041749338,0.825880588668455
fft_mlp_review,1.85,3,0.05158975874528695,0.43040515690793885,0.9190967380016772
fft_mlp_review,2.2,2,0.04292326956952701,0.4615473994207593,1.1050411369034425
fft_mlp,0.35,16,0.03415708475869702,0.37776930057572206,0.9948496002382105
fft_mlp,0.65,19,0.021781741986040302,0.32807855404122105,1.01118578645115
fft_mlp,0.9500000000000001,20,0.026084548111397498,0.3225545899411132,0.9031600804964072
fft_mlp,1.25,18,0.02988268271388505,0.36804658014468655,1.020712470908884
fft_mlp,1.5499999999999998,10,0.03773465264739989,0.423861148853386,1.1055025693427818
fft_mlp,1.85,3,0.044498461272314264,0.45334030721316726,1.1755374070019613
fft_mlp,2.2,2,0.04632425283751,0.49926134887674395,1.298500956708725
raw_mocap,0.35,16,0.0839294687069404,0.5142717171751415,1.0622524066765764
raw_mocap,0.65,19,0.03458085601075379,0.25861080752434285,0.5831533472185108
raw_mocap,0.9500000000000001,20,0.014707070852527121,0.18902149706932278,0.5643888034563127
raw_mocap,1.25,18,0.010438442159872191,0.15323750690028148,0.44325298083775355
raw_mocap,1.5499999999999998,10,0.016477406770833508,0.17020382663960024,0.45453202078761057
raw_mocap,1.85,3,0.02219109968364266,0.17828409118746683,0.5158552082939799
raw_mocap,2.2,2,0.009994867059883897,0.19155478655970481,0.5449480981675292
cubic_spline,0.35,16,0.08194896186472293,0.5007767346564123,1.0525692389730277
cubic_spline,0.65,19,0.03250710258818217,0.24128758764899083,0.5724575019943379
cubic_spline,0.9500000000000001,20,0.009412556458088198,0.14498500581837664,0.46189888697031956
cubic_spline,1.25,18,0.008979628135493519,0.1436062613822415,0.4382370105030831
cubic_spline,1.5499999999999998,10,0.013246496330267945,0.14572370606624352,0.46200596639449565
cubic_spline,1.85,3,0.02394158145967232,0.16813437568746262,0.4726819314205925
cubic_spline,2.2,2,0.009778210969593797,0.198754279262307,0.6004101605649277
cpg_matsuoka,0.35,16,0.04890904048993969,0.5192972768038454,1.9303801275734835
cpg_matsuoka,0.65,19,0.06092371459329448,0.5844604211129208,2.087165682682984
cpg_matsuoka,0.9500000000000001,20,0.07374587024940661,0.6454379808452619,2.2974461619406257
cpg_matsuoka,1.25,18,0.08512312242622881,0.6942766133431714,2.461482493358391
cpg_matsuoka,1.5499999999999998,10,0.09691268754029132,0.7420368059199103,2.622315495526247
cpg_matsuoka,1.85,3,0.09499033215017273,0.7416758323406474,2.5270648815538874
cpg_matsuoka,2.2,2,0.10270813750359506,0.7741462007283614,2.5751763649286827
fft_mlp_v2_baseline,0.35,16,0.03903574541424952,0.46360827333235394,1.0695538801095392
fft_mlp_v2_baseline,0.65,19,0.03650703621573387,0.4372715312953995,1.167282081627522
fft_mlp_v2_baseline,0.9500000000000001,20,0.019566173827083016,0.3176349798818118,0.987377630703112
fft_mlp_v2_baseline,1.25,18,0.017520628065282744,0.2903288054255424,0.9100089887717034
fft_mlp_v2_baseline,1.5499999999999998,10,0.021870664767413207,0.2649512714903236,0.8240824336320711
fft_mlp_v2_baseline,1.85,3,0.028836193586314104,0.23351360156601508,0.8260607087418251
fft_mlp_v2_baseline,2.2,2,0.016886765157714034,0.2591617967883184,0.9555370010773677
fft_mlp_v2_phase,0.35,16,0.03843299879829553,0.4599062387482903,1.07329510402799
fft_mlp_v2_phase,0.65,19,0.035658125453170875,0.432964979725938,1.1787635926602331
fft_mlp_v2_phase,0.9500000000000001,20,0.021376569756108493,0.3319879405271512,1.015063994257141
fft_mlp_v2_phase,1.25,18,0.021980291390252916,0.32522065480389967,0.9893591872279425
fft_mlp_v2_phase,1.5499999999999998,10,0.02861415136199391,0.3279702849896619,0.9562632025377578
fft_mlp_v2_phase,1.85,3,0.031834973855579124,0.28789269589788824,0.9421701015528661
fft_mlp_v2_phase,2.2,2,0.021890652639578824,0.31086888983404215,1.05555747572108
fft_mlp_v2_residual,0.35,16,0.06920603821486851,0.4376990105885761,1.0297051720644612
fft_mlp_v2_residual,0.65,19,0.009245071361821422,0.172408039200575,0.5241844562183795
fft_mlp_v2_residual,0.9500000000000001,20,0.008124066837191577,0.15429311833040735,0.4596906663115008
fft_mlp_v2_residual,1.25,18,0.007197840124361009,0.16289482255335214,0.502485276984518
fft_mlp_v2_residual,1.5499999999999998,10,0.013638462254658295,0.16870192027730285,0.49257806308546115
fft_mlp_v2_residual,1.85,3,0.02122816680380052,0.16597423210498488,0.4693998581022689
fft_mlp_v2_residual,2.2,2,0.008462802058764807,0.1740864688593179,0.5018831454565273
fft_mlp_v2_phase_residual,0.35,16,0.06789893072088263,0.4239954166229445,0.9636224028931197
fft_mlp_v2_phase_residual,0.65,19,0.02763324968355006,0.27909758382222605,0.8667009016310028
fft_mlp_v2_phase_residual,0.9500000000000001,20,0.010324923169369777,0.16433526680816626,0.5050312733546874
fft_mlp_v2_phase_residual,1.25,18,0.0100615331599802,0.1752342107164372,0.5356418231488311
fft_mlp_v2_phase_residual,1.5499999999999998,10,0.015046261851328912,0.17792550334865653,0.505442702409538
fft_mlp_v2_phase_residual,1.85,3,0.022513216464292576,0.18356799258328335,0.4751077017250527
fft_mlp_v2_phase_residual,2.2,2,0.010224049703805197,0.20721496961399574,0.5500589363573378
fft_mlp_review__morphology,0.752,1,0.16367072646752728,,
fft_mlp_review__morphology,0.8146666666666667,1,0.14694079661916176,,
fft_mlp_review__morphology,0.8773333333333333,1,0.07793468666587598,,
fft_mlp_review__morphology,0.94,1,0.0,,
fft_mlp_review__morphology,1.0026666666666666,1,0.06171303676773521,,
fft_mlp_review__morphology,1.0653333333333332,1,0.12055791796913368,,
fft_mlp_review__morphology,1.128,1,0.16817795978732222,,
fft_mlp__morphology,0.752,1,0.09437605653321857,,
fft_mlp__morphology,0.8146666666666667,1,0.07626835591426988,,
fft_mlp__morphology,0.8773333333333333,1,0.04157980352460055,,
fft_mlp__morphology,0.94,1,0.0,,
fft_mlp__morphology,1.0026666666666666,1,0.0358685669224429,,
fft_mlp__morphology,1.0653333333333332,1,0.05409375092755615,,
fft_mlp__morphology,1.128,1,0.07199204738136045,,
raw_mocap__morphology,0.752,1,0.0,,
raw_mocap__morphology,0.8146666666666667,1,0.0,,
raw_mocap__morphology,0.8773333333333333,1,0.0,,
raw_mocap__morphology,0.94,1,0.0,,
raw_mocap__morphology,1.0026666666666666,1,0.0,,
raw_mocap__morphology,1.0653333333333332,1,0.0,,
raw_mocap__morphology,1.128,1,0.0,,
cubic_spline__morphology,0.752,1,0.0,,
cubic_spline__morphology,0.8146666666666667,1,0.0,,
cubic_spline__morphology,0.8773333333333333,1,0.0,,
cubic_spline__morphology,0.94,1,0.0,,
cubic_spline__morphology,1.0026666666666666,1,0.0,,
cubic_spline__morphology,1.0653333333333332,1,0.0,,
cubic_spline__morphology,1.128,1,0.0,,
cpg_matsuoka__morphology,0.752,1,0.0,,
cpg_matsuoka__morphology,0.8146666666666667,1,0.0,,
cpg_matsuoka__morphology,0.8773333333333333,1,0.0,,
cpg_matsuoka__morphology,0.94,1,0.0,,
cpg_matsuoka__morphology,1.0026666666666666,1,0.0,,
cpg_matsuoka__morphology,1.0653333333333332,1,0.0,,
cpg_matsuoka__morphology,1.128,1,0.0,,
fft_mlp_v2_baseline__morphology,0.752,1,0.07738727602255567,,
fft_mlp_v2_baseline__morphology,0.8146666666666667,1,0.04602806979985512,,
fft_mlp_v2_baseline__morphology,0.8773333333333333,1,0.0157936024275261,,
fft_mlp_v2_baseline__morphology,0.94,1,0.0,,
fft_mlp_v2_baseline__morphology,1.0026666666666666,1,0.009998449812621216,,
fft_mlp_v2_baseline__morphology,1.0653333333333332,1,0.024192021480229732,,
fft_mlp_v2_baseline__morphology,1.128,1,0.03909882628297042,,
fft_mlp_v2_phase__morphology,0.752,1,0.07175671518168013,,
fft_mlp_v2_phase__morphology,0.8146666666666667,1,0.05183236868378858,,
fft_mlp_v2_phase__morphology,0.8773333333333333,1,0.024487959130271807,,
fft_mlp_v2_phase__morphology,0.94,1,0.0,,
fft_mlp_v2_phase__morphology,1.0026666666666666,1,0.020744032975485126,,
fft_mlp_v2_phase__morphology,1.0653333333333332,1,0.03961653978221392,,
fft_mlp_v2_phase__morphology,1.128,1,0.055739102930619115,,
fft_mlp_v2_residual__morphology,0.752,1,0.03433551775838672,,
fft_mlp_v2_residual__morphology,0.8146666666666667,1,0.02059532995599374,,
fft_mlp_v2_residual__morphology,0.8773333333333333,1,0.010543900130448404,,
fft_mlp_v2_residual__morphology,0.94,1,0.0,,
fft_mlp_v2_residual__morphology,1.0026666666666666,1,0.010534878206956626,,
fft_mlp_v2_residual__morphology,1.0653333333333332,1,0.015506885930665164,,
fft_mlp_v2_residual__morphology,1.128,1,0.02515907398274395,,
fft_mlp_v2_phase_residual__morphology,0.752,1,0.0386999518116383,,
fft_mlp_v2_phase_residual__morphology,0.8146666666666667,1,0.02071414665395069,,
