speed,joint,f0_policy,f0_mocap,delta_f0_rel,centroid_policy,centroid_mocap,centroid_abs_err,spectral_mag_mae,log_power_ratio
0.5,rhip,0.25,1.0,0.75,2.826474376546843,2.431225663397754,0.39524871314908916,0.6092794714926483,-1.0498079135806597
0.5,rknee,0.25,2.25,0.8888888888888888,4.865490724891981,3.3014811581807417,1.5640095667112397,0.4693963571939909,-1.6417520846431908
0.5,rankle,0.25,0.25,0.0,3.8568287203412206,0.0,3.8568287203412206,0.5011438478046654,nan
0.5,lhip,0.25,1.0,0.75,3.317954403745983,2.983171751013032,0.3347826527329514,0.6189249230312158,-1.043575602840575
0.5,lknee,0.25,1.0,0.75,2.2061595401788363,2.731347817315363,0.5251882771365266,0.5651086950373228,-1.1933835700184594
0.5,lankle,0.25,0.25,0.0,9.978332215605622,0.0,9.978332215605622,0.25476335366941233,nan
1.0,rhip,0.75,7.25,0.896551724137931,3.9118399203000256,11.959543936764979,8.047704016464953,0.5660981207454371,-1.1133276054893975
1.0,rknee,0.5,5.0,0.9,4.824594506171511,9.59524526338436,4.770650757212849,0.26310283417077157,-1.7882910418118656
1.0,rankle,0.25,0.25,0.0,4.249160280744263,0.0,4.249160280744263,0.4138985014455623,nan
1.0,lhip,0.75,7.25,0.896551724137931,3.60404350504825,12.237701574919539,8.633658069871288,0.5290085802486364,-1.17635576607158
1.0,lknee,0.75,5.0,0.85,2.668584901466565,10.962772045182499,8.294187143715934,0.5227075310172713,-1.607522245832483
1.0,lankle,0.25,0.25,0.0,1.0590212784546853,0.0,1.0590212784546853,0.2517970209951707,nan
1.5,rhip,1.0,8.0,0.875,3.222109381741883,12.073537012851563,8.85142763110968,0.5310690622574574,-0.852381741445979
1.5,rknee,0.75,8.0,0.90625,2.9695734271270835,15.604047281097397,12.634473853970313,0.4107279993763511,-1.4506706903346007
1.5,rankle,0.25,0.25,0.0,4.282541036566871,0.0,4.282541036566871,0.3533292700488972,nan
1.5,lhip,1.0,8.0,0.875,3.139042226009774,12.248066861573848,9.109024635564074,0.5478747841291445,-0.9214241862359315
1.5,lknee,1.0,8.0,0.875,3.133513654152929,11.974504958330463,8.840991304177535,0.5574220251872509,-1.6681477274923198
1.5,lankle,0.25,0.25,0.0,1.2003035282064005,0.0,1.2003035282064005,0.2519465648909612,nan
