model_class,batch_size,hidden_size,learning_rate,best_val_loss,best_epoch,total_epochs
GaitFFTPredictor,32,256,0.001,0.02158544334577538,1076,1576
GaitFFTPredictor,32,512,0.0003,0.021592141406839353,1158,1658
GaitFFTPredictor,64,256,0.001,0.02197978725079556,1070,1570
GaitFFTPredictor,64,256,0.0003,0.021998008854730786,1994,2494
GaitFFTPredictor,64,512,0.0003,0.022204535942502886,1497,1997
GaitFFTPredictor,32,256,0.0003,0.022838050347061184,1003,1503
SimpleFCNN,64,512,0.001,0.02481834376938859,2642,3142
SimpleFCNN,32,512,0.001,0.025219901993173605,1994,2494
SimpleFCNN,32,256,0.001,0.026016779636081896,2810,3310
GaitFFTPredictor,32,512,0.001,0.0263535415437835,2400,2900
GaitFFTPredictor,64,512,0.001,0.026571613197263918,1797,2297
SimpleFCNN,32,512,0.0003,0.026788864143149196,2970,3470
SimpleFCNN,64,512,0.0003,0.027019653708962667,5678,6178
SimpleFCNN,64,256,0.001,0.027714973348274566,3223,3723
SimpleFCNN,32,256,0.0003,0.027906642703894983,3581,4081
SimpleFCNN,64,256,0.0003,0.029149301938320462,3233,3733
