Episode,Total Reward,Termination Step
1,-29.518565200269222,29
2,-43.40820159390569,51
3,-29.518341494724154,32
4,-179.38795011863112,227
5,-35.10889905691147,38
6,-40.40867046639323,41
7,-34.21010656654835,38
8,-36.28227296564728,41
9,-25.46624907577643,25
10,-195.13527144119143,301
11,-77.31341590359807,97
12,-138.58736598514952,243
13,-33.84861158579588,34
14,-33.146171636879444,37
15,-200.06422811979428,278
16,-30.13072955608368,30
17,-80.86970169685083,104
18,-28.94158372282982,26
19,-33.572729870676994,36
20,-92.48857519589365,121
21,-56.18288572039455,65
22,-31.045253640040755,36
23,-192.98459669784643,247
24,-50.18323681131005,53
25,-29.201371647417545,29
26,-102.13730902038515,134
27,-52.08595276623964,70
28,-38.68068425729871,44
29,-25.006549431127496,29
30,-36.307167273014784,42
31,-109.43410789594054,128
32,-28.440942123532295,22
33,-31.61573290079832,32
34,-36.0609083250165,40
35,-151.40939366817474,192
36,-30.38826235383749,29
37,-83.11707354150712,114
38,-39.17653026431799,41
39,-32.964658826589584,33
40,-113.88279394060373,119
41,-27.91640119999647,27
42,-175.84714651107788,254
43,-20.97347889840603,27
44,-240.41113457083702,301
45,-57.25258492399007,73
46,-27.59014654904604,29
47,-72.03162903769407,100
48,-97.60787815786898,115
49,-77.93702478986233,95
50,-35.82598819769919,34
51,-66.1272073239088,69
52,-31.670074373483658,34
53,-37.59415706992149,38
54,-38.762860836461186,44
55,-142.30820328183472,177
56,-33.75284407287836,34
57,-197.04341435804963,301
58,-86.6474641263485,100
59,-36.789460241794586,39
60,-42.66144006000832,42
61,-36.70795638859272,38
62,-176.90591080777813,236
63,-35.496539898216724,34
64,-46.73629926145077,48
65,-149.73321535810828,194
66,-35.90986870229244,45
67,-29.49878691136837,24
68,-33.75461860001087,37
69,-30.75670494325459,35
70,-32.81398904323578,36
71,-51.75000539794564,71
72,-158.2644804585725,237
73,-76.38919936306775,106
74,-125.65694645233452,157
75,-66.71730878474773,88
76,-66.90276249498129,81
77,-35.746315345168114,37
78,-58.911785680335015,66
79,-122.98415329307318,147
80,-157.62564250826836,194
81,-34.67676168680191,41
82,-31.588978558778763,33
83,-34.73606739193201,35
84,-206.57194644166157,272
85,-59.81895239651203,80
86,-103.01037610747153,152
87,-36.01189825683832,35
88,-43.44086039438844,61
89,-37.70790706016123,39
90,-47.256324138492346,56
91,-74.23173978552222,101
92,-191.87073486391455,301
93,-36.49908425984904,52
94,-45.57192408852279,57
95,-119.9580654787278,192
96,-271.4603236503899,300
97,-106.60967035777867,123
98,-47.3944080658257,50
99,-29.221911136060953,33
100,-29.71813639253378,30
101,-21.091809168457985,29
102,-123.27362115262076,161
103,-43.494596034288406,52
104,-128.0295913158916,198
105,-130.41937276907265,182
106,-125.84376673429506,139
107,-49.18693142384291,59
108,-40.49919466674328,39
109,-61.046026962809265,66
110,-57.309979259967804,61
111,-187.47992411255836,273
112,-70.49356402549893,83
113,-37.48648351430893,40
114,-53.41699696332216,69
115,-137.38057351857424,179
116,-133.50687975808978,185
117,-102.21325591951609,112
118,-57.76381105184555,65
119,-37.879284316673875,53
120,-86.40102362912148,116
121,-80.52831241674721,100
122,-40.26453576236963,50
123,-56.18978657666594,82
124,-76.72708716802299,101
125,-32.439986277371645,33
126,-63.093774408102036,84
127,-102.19700878858566,110
128,-23.27054245956242,24
129,-80.90879605710506,90
130,-28.111571244895458,32
131,-114.79987174458802,130
132,-45.35596637800336,58
133,-66.87986970320344,71
134,-75.77122028311715,100
135,-124.4182992503047,154
136,-53.37789506930858,70
137,-40.25706632062793,53
138,-111.60645883879624,142
139,-30.4350518733263,29
140,-73.24943730421364,93
141,-26.84164371341467,30
142,-41.79943325929344,49
143,-42.49268456175923,48
144,-169.2370791730791,280
145,-75.65812830825962,105
146,-53.94795656576753,56
147,-92.3836136162281,105
148,-92.62881554476917,121
149,-153.83709002286196,195
150,-43.873167210724205,56
151,-57.36367956921458,58
152,-48.217773359268904,62
153,-77.44006811827421,94
154,-91.15250751236454,164
155,-45.45944403318572,61
156,-41.19386272318661,61
157,-31.54488143324852,33
158,-71.885184712708,79
159,-34.81355324015021,40
160,-28.50837115943432,27
161,-63.678881250321865,72
162,-58.29029035568237,57
163,-69.95262551680207,79
164,-35.52019888907671,40
165,-110.64521193411201,152
166,-120.20497584273107,157
167,-148.36004229728132,226
168,-175.46701017487794,221
169,-34.396698512136936,39
170,-31.797365084290504,32
171,-42.46389429084957,46
172,-39.1941598393023,48
173,-51.87052255123854,72
174,-40.60307506099343,51
175,-122.79569444060326,154
176,-48.403761534020305,57
177,-32.2025378793478,32
178,-137.40303193964064,239
179,-36.16101163998246,45
180,-40.25734653882682,59
181,-21.842422591522336,25
182,-106.45051133818924,136
183,-78.4452336281538,114
184,-34.513560274615884,42
185,-41.70378481596708,50
186,-101.59864388778806,131
187,-129.66252165299375,228
188,-35.273206242825836,48
189,-77.37855446711183,89
190,-43.05670865718275,45
191,-127.51175979152322,155
192,-161.2749520172365,301
193,-31.447147220373154,31
194,-58.62596593052149,53
195,-29.297136213630438,29
196,-31.805581972002983,42
197,-90.90415707044303,118
198,-37.95997097156942,52
199,-63.32876526936889,83
200,-134.18945834040642,176
201,-32.39906765520573,41
202,-40.21971970796585,42
203,-24.087857420090586,31
204,-220.07053608284332,279
205,-207.37061309395358,301
206,-36.60554526746273,40
207,-64.24430718505755,96
208,-83.1190404035151,110
209,-52.932453888934106,68
210,-35.4664050322026,50
211,-70.7347369659692,105
212,-33.4160691536963,35
213,-27.07949187606573,30
214,-27.14368224143982,25
215,-44.370567749254405,52
216,-32.62644664943218,38
217,-37.84375512227416,53
218,-34.07404180802405,40
219,-53.818396650254726,57
220,-61.64615575969219,75
221,-125.29793895967305,161
222,-54.34681101888418,65
223,-98.92277961596847,119
224,-49.23002773337066,60
225,-23.68262692913413,27
226,-86.24964902549982,145
227,-36.58291919529438,38
228,-222.64605278056115,278
229,-77.32859963783994,133
230,-31.469512328505516,35
231,-117.46009366959333,155
232,-29.15388409793377,29
233,-44.99806382879615,51
234,-99.65135817043483,134
235,-41.31563120265491,52
236,-41.10930073261261,34
237,-37.141940869390965,42
238,-32.40690591931343,41
239,-53.62876886874437,55
240,-36.05837409198284,30
241,-180.49936304381117,301
242,-38.59127376973629,42
243,-199.12741259623726,259
244,-194.67066054046154,301
245,-27.500560462474823,28
246,-66.17202363535762,88
247,-42.07966498285532,49
248,-32.13183765113354,31
249,-75.93977153720334,120
250,-60.258759789168835,63
251,-56.60084994137287,71
252,-35.39263618784025,42
253,-57.51258775219321,63
254,-146.47510644048452,232
255,-39.38234235160053,50
256,-51.17407352896407,78
257,-45.55464231595397,52
258,-34.65055418852717,40
259,-61.248316172510386,70
260,-89.77645726315677,111
261,-25.753739774227142,30
262,-22.273165076971054,26
263,-48.59626692906022,52
264,-32.448863035067916,40
265,-44.253085034899414,58
266,-130.57099172100425,146
267,-84.64205603674054,98
268,-84.48540975898504,99
269,-39.17937505058944,54
270,-63.2802567332983,69
271,-30.10275487601757,31
272,-53.798501155222766,63
273,-79.04754973202944,98
274,-27.5244712382555,36
275,-24.480543978512287,36
276,-68.27119341865182,98
277,-32.22988569736481,33
278,-31.780679799616337,34
279,-22.41663733497262,27
280,-26.207431656308472,32
281,-21.538246912881732,26
282,-29.852958098053932,30
283,-51.88158253207803,63
284,-52.34523255121894,70
285,-43.69914464652538,48
286,-28.664008140563965,28
287,-49.30745388008654,75
288,-42.91285715159029,48
289,-49.788273468613625,55
290,-70.51379080861807,77
291,-60.04032143950462,67
292,-33.053166806697845,41
293,-63.38271764665842,74
294,-26.00453220307827,29
295,-59.17255890928209,64
296,-28.485676249489188,31
297,-142.54394601639797,206
298,-30.928218588232994,29
299,-30.182295924809296,30
300,-41.51788763329387,48
301,-71.20516207348555,116
302,-60.11134699732065,71
303,-39.67518721707165,46
304,-28.7456886023283,35
305,-81.07607639976777,115
306,-126.19748482853174,158
307,-27.38004979491234,37
308,-35.07073625922203,35
309,-122.39825186162489,156
310,-43.22078609466553,52
311,-41.3525967374444,47
312,-39.99919644370675,47
313,-65.605499307625,94
314,-177.61967669596197,301
315,-33.93937335140072,43
316,-113.53083730023354,144
317,-38.098884388804436,37
318,-34.4823440015316,41
319,-27.904320701461984,37
320,-29.401032842695713,27
321,-97.31798431603238,126
322,-203.30690116714686,301
323,-109.33466888219118,146
324,-45.52498512715101,59
325,-29.79333609342575,30
326,-34.88467997312546,42
327,-47.173337657004595,56
328,-77.32524281472433,95
329,-74.84747411310673,86
330,-32.390881991013885,33
331,-34.4279829475563,44
332,-85.91836321493611,173
333,-38.73981435596943,38
334,-98.06298320740461,150
335,-33.30081578157842,42
336,-179.81503077223897,301
337,-68.88663183897734,92
338,-98.56850119680166,127
339,-23.818909093737602,25
340,-120.78773915115744,135
341,-77.80365199781954,99
342,-89.46493338793516,102
343,-143.7363807298243,215
344,-39.38764626160264,61
345,-202.80151453078724,285
346,-82.82528327405453,101
347,-28.75370540469885,31
348,-27.314240388572216,32
349,-38.01124170422554,40
350,-160.85614212788641,185
351,-127.64964909292758,181
352,-44.774102829396725,49
353,-36.04867615364492,45
354,-38.044238882604986,62
355,-88.16834927303717,109
356,-41.08752904832363,49
357,-48.93566954880953,61
358,-54.420808378839865,88
359,-52.87244293093681,79
360,-138.2414066908823,187
361,-67.2668469324708,85
362,-81.04590242728591,112
363,-27.807714633643627,29
364,-187.07417916320264,276
365,-29.765816569328308,27
366,-116.93816746398807,127
367,-111.48887286242098,151
368,-54.27932774578221,83
369,-35.01415394851938,38
370,-59.77476866170764,59
371,-111.28993824124336,168
372,-46.99076435947791,55
373,-128.81485056504607,161
374,-40.06772413197905,48
375,-61.185822900384665,64
376,-88.44950337149203,100
377,-45.428989075124264,59
378,-65.22641251794994,70
379,-62.344105653464794,78
380,-68.48688479140401,88
381,-34.75225810147822,31
382,-29.036034801974893,29
383,-61.11788954772055,86
384,-34.16343542933464,35
385,-32.13990816473961,33
386,-45.580041855573654,50
387,-33.587637823075056,37
388,-29.464373767375946,25
389,-39.67096370214131,53
390,-30.770181637257338,38
391,-85.93425882607698,160
392,-131.71558381523937,165
393,-159.28873870521784,250
394,-78.11753383465111,96
395,-24.73711220920086,30
396,-57.033859483897686,57
397,-51.77307968214154,67
398,-57.676526164170355,82
399,-106.74912328831851,167
400,-25.648770371451974,27
401,-24.86244634911418,31
402,-24.10269184783101,31
403,-107.8319463658845,176
404,-59.66195195913315,70
405,-29.22445747628808,29
406,-43.462528364907485,44
407,-42.2658798918128,46
408,-75.04182378109545,101
409,-52.81580939888954,72
410,-32.255697034299374,43
411,-29.365035071969032,28
412,-40.273329973220825,44
413,-34.30254966393113,36
414,-29.72756741195917,35
415,-24.947671338915825,31
416,-100.16883340291679,137
417,-30.45418068766594,29
418,-39.440815126523376,51
419,-54.9107365347445,65
420,-25.25366858765483,25
421,-93.2032860070467,92
422,-38.473296251147985,44
423,-33.86791290342808,35
424,-49.04831445775926,72
425,-67.20688842865638,72
426,-37.5057004019618,39
427,-30.031406581401825,30
428,-53.61989812925458,67
429,-38.19484870880842,38
430,-136.76305978139862,204
431,-38.1272283680737,45
432,-33.27990139275789,36
433,-56.132320798933506,61
434,-32.720148637890816,44
435,-44.791950789513066,53
436,-83.008524261415,112
437,-39.40748678892851,47
438,-33.41666251793504,39
439,-38.55663385987282,42
440,-50.93358668498695,70
