Episode,Total Reward,Termination Step
1,-127.27044536173344,33
2,-114.89239817298949,21
3,-125.85319799184799,18
4,-118.86970242857933,23
5,-110.0206853300333,13
6,-113.78878384828568,12
7,-273.05062889680266,165
8,-124.97685594856739,21
9,-135.11432922066888,33
10,-162.81635581701994,51
11,-143.8828671015799,37
12,-130.74336571991444,30
13,-151.32049822807312,41
14,-126.57385155558586,24
15,-111.35549099743366,18
16,-135.61505864560604,30
17,-106.31428417935967,7
18,-200.5541666764766,86
19,-155.82073748670518,48
20,-176.19197112321854,51
21,-118.14964917302132,15
22,-147.31426784396172,31
23,-114.75927856564522,14
24,-127.46275782585144,17
25,-258.5186803676188,106
26,-135.96644526720047,40
27,-103.42516051232815,7
28,-156.1149036474526,50
29,-108.87037563323975,7
30,-220.49482342600822,90
31,-109.15585988759995,9
32,-141.67226102389395,33
33,-104.25221484899521,8
34,-159.6331768296659,53
35,-123.23077871650457,33
36,-133.13785650022328,28
37,-110.65903513133526,17
38,-130.80962827801704,40
39,-108.14521753787994,7
40,-137.5522717088461,39
41,-102.79023218154907,4
42,-168.44292747974396,79
43,-167.29973948094994,53
44,-124.25984144210815,21
45,-105.70739594846964,7
46,-131.3300463827327,32
47,-154.65671694651246,41
48,-102.9642725288868,10
49,-113.17260984517634,18
50,-132.60308343172073,18
51,-105.47150660306215,7
52,-138.1998202726245,41
53,-159.81737205432728,63
54,-107.42796179652214,9
55,-325.80673857126385,169
56,-107.03922591358423,8
57,-107.4498183131218,12
58,-114.18584758043289,18
59,-111.46796518564224,14
60,-109.67227393388748,9
61,-103.35471515357494,4
62,-122.81800638139248,22
63,-108.29504320770502,11
64,-163.11119893193245,50
65,-133.40860492363572,26
66,-130.88970518112183,28
67,-140.23273399472237,49
68,-188.18647686764598,93
69,-295.6388554815203,136
70,-103.06472388654947,5
71,-107.72214139066637,13
72,-108.26375365257263,9
73,-169.96386940404773,57
74,-146.57948395609856,36
75,-125.14817905426025,20
76,-150.20868507027626,35
77,-146.95619982853532,38
78,-107.55376798659563,7
79,-132.48805177211761,23
80,-131.22908606380224,23
81,-104.12719281762838,9
82,-106.90508722513914,12
83,-107.89013248682022,8
84,-144.671040058136,34
85,-135.6327893063426,20
86,-138.89366340637207,35
87,-218.56982675939798,99
88,-107.94530498981476,11
89,-144.2750692665577,54
90,-104.63922870159149,8
91,-129.932396158576,34
92,-190.4089023238048,68
93,-183.45507289469242,60
94,-111.31440402567387,15
95,-144.59731005132198,34
96,-140.32683012634516,46
97,-128.47659048438072,24
98,-135.67409779131413,33
99,-228.14281994104385,121
100,-121.17280960083008,19
101,-173.83253902196884,53
102,-113.8730699159205,16
103,-131.79826607182622,34
104,-103.53150887414813,5
105,-391.0749233327806,201
106,-147.5990608627908,39
107,-211.95925119519234,86
108,-130.66057932376862,20
109,-107.23846080899239,11
110,-126.30462363362312,22
111,-132.34939247369766,24
112,-150.72712488099933,46
113,-179.5514743924141,62
114,-236.9091992340982,118
115,-154.11270468868315,53
116,-186.64599623903632,77
117,-127.85054279118776,29
118,-131.58353602141142,29
119,-105.41608822345734,5
120,-107.7841626778245,11
121,-144.01179541274905,61
122,-211.5708839185536,91
123,-141.8716952353716,33
124,-193.5641404632479,86
125,-103.84083668189123,11
126,-103.03672575950623,3
127,-105.57239020615816,8
128,-106.40660202503204,8
129,-212.26497950404882,95
130,-105.03122669458389,8
131,-107.85667004459538,14
132,-181.75543183088303,56
133,-167.74981823563576,56
134,-141.76975773461163,40
135,-113.20685678860173,19
136,-256.294894143939,54
137,-104.08396278321743,12
138,-151.7516718886327,66
139,-120.62733339518309,27
140,-136.61133318720385,37
141,-146.5428078174591,33
142,-144.95024322904646,47
143,-142.62520590424538,30
144,-270.4065394969657,148
145,-211.02750163851306,107
146,-186.8248873129487,75
147,-136.91314147412777,31
148,-133.52959315478802,42
149,-109.77876384183764,14
150,-103.83888225257397,8
151,-201.88045406341553,77
152,-118.48587062954903,18
153,-146.34163466095924,36
154,-158.58852638304234,40
155,-180.0744862179272,63
156,-137.2098233886063,44
157,-205.90979859232903,79
158,-123.90647482126951,30
159,-145.8346238732338,34
160,-128.38467375561595,23
161,-154.40657372772694,42
162,-151.7367929238826,53
163,-172.41376124322414,52
164,-159.9533017873764,46
165,-105.42990469932556,8
166,-129.78770178556442,24
167,-124.42298197932541,25
168,-126.24336470570415,24
169,-140.61314553022385,40
170,-137.3919898569584,33
171,-191.60208136588335,62
172,-106.14876197651029,9
173,-101.4000833928585,2
174,-117.334622932598,22
175,-150.14436242729425,31
176,-186.8136390633881,62
177,-127.99830962717533,24
178,-103.21005992591381,5
179,-118.68219475448132,23
180,-163.78297621756792,72
181,-139.21153092384338,42
182,-131.02087810635567,33
183,-111.05469211935997,17
184,-149.8278923369944,43
185,-157.36226605903357,69
186,-103.653674390167,7
187,-143.99890232086182,30
188,-139.69241791591048,33
189,-188.61421157419682,63
190,-142.60827870719368,43
191,-139.54736185073853,27
192,-105.82005462795496,6
193,-111.89356203377247,20
194,-115.74162891507149,18
195,-157.30292996764183,47
196,-110.51331293582916,12
197,-122.57447017263621,29
198,-248.67347893491387,127
199,-104.45460221916437,11
200,-143.93224306032062,35
201,-142.68580526392907,39
202,-201.01029186695814,74
203,-104.09605717100203,8
204,-129.70619690977037,22
205,-189.0908014262095,66
206,-145.29406729340553,45
207,-153.08188816905022,36
208,-101.68407459557056,4
209,-242.95191472768784,104
210,-105.13677915930748,6
211,-152.45784533023834,47
212,-113.05193109437823,16
213,-184.35745909065008,69
214,-132.0969972461462,31
215,-218.5005771405995,99
216,-127.78607720509171,29
217,-198.5847583413124,67
218,-212.1623429954052,80
219,-115.17632737755775,18
220,-193.808112390514,108
221,-171.25418473035097,59
222,-135.04448816925287,28
223,-211.78652270138264,118
224,-150.0501423627138,40
225,-187.82367707416415,75
226,-104.43137663602829,8
227,-201.2280049175024,62
228,-151.94543039798737,37
229,-137.67409275472164,28
230,-125.02958750724792,23
231,-114.18097342550755,19
232,-137.11080837994814,31
233,-127.46447615325451,17
234,-104.09715072065592,8
235,-170.8928928002715,44
236,-130.56854573637247,29
237,-143.3631854839623,40
238,-179.2372237406671,52
239,-122.80346213281155,23
240,-269.4378530085087,122
241,-120.71993842720985,21
242,-106.75822442770004,6
243,-141.63451638817787,32
244,-112.71204693987966,22
245,-102.48832106590271,3
246,-230.15273137390614,117
247,-169.9357876032591,56
248,-139.82648944854736,32
249,-159.9513569623232,45
250,-126.18899734318256,28
251,-274.13234378397465,110
252,-112.01779966172762,13
253,-168.48347364366055,50
254,-170.34144981764257,63
255,-132.71369817852974,32
256,-139.63568353652954,27
257,-159.06088604405522,56
258,-105.50195479393005,8
259,-124.83782356977463,27
260,-106.47551155090332,7
261,-109.47073369473219,16
262,-137.33109401911497,30
263,-110.1425007879734,9
264,-203.6684399843216,64
265,-111.66009304486215,19
266,-253.72134339809418,118
267,-177.90000148757827,61
268,-119.9504725933075,13
269,-155.69996920228004,44
270,-120.01925039291382,24
271,-271.8710011988878,117
272,-148.75419959425926,42
273,-133.79818944260478,30
274,-130.95174935180694,31
275,-105.34492908231914,8
276,-147.69336873479187,43
277,-125.24890320748091,32
278,-129.5730885565281,23
279,-115.01941026747227,12
280,-240.40889164805412,106
281,-106.29895730316639,10
282,-138.4511903785169,29
283,-179.13296897010878,69
284,-131.72567987442017,26
285,-139.12091527879238,36
286,-105.52497039735317,7
287,-273.7911856845021,130
288,-109.86238356865942,13
289,-108.33515664935112,11
290,-186.40730133652687,64
291,-176.76447336375713,57
292,-150.1363063119352,56
293,-174.6255932599306,66
294,-121.93062162026763,25
295,-258.1976226568222,129
296,-149.50100177526474,36
297,-109.57760778442025,12
298,-138.50478275120258,33
299,-125.03448534756899,25
300,-133.24885406717658,25
301,-116.20228014886379,19
302,-158.51881036534905,59
303,-251.55002724006772,100
304,-146.46482847630978,47
305,-106.62587596476078,10
306,-287.799354352057,159
307,-151.5492189861834,49
308,-146.6930021494627,44
309,-128.98373353481293,28
310,-137.2352278828621,29
311,-121.94353306293488,21
312,-112.35581818223,14
313,-173.91195510327816,80
314,-236.07486083358526,101
315,-148.93901521712542,46
316,-273.3749232850969,136
317,-103.13820439577103,9
318,-257.91484746336937,100
319,-248.4385194182396,116
320,-147.64800840662792,45
321,-156.67469695210457,39
322,-262.0537578575313,134
323,-161.66323827765882,64
324,-182.0361191444099,78
325,-134.79278515279293,26
326,-176.60889576934278,74
327,-149.26702992618084,38
328,-160.03060695528984,55
329,-171.46261485666037,57
330,-126.35614982945845,22
331,-127.87748756073415,26
332,-178.26600632816553,70
333,-341.56584150344133,194
334,-340.9144679578021,149
335,-118.21224764361978,26
336,-110.81994854845107,17
337,-221.43497044593096,103
338,-241.49312322906917,119
339,-140.3864088654518,25
340,-128.0741325803101,32
341,-178.82393917441368,60
342,-115.03676785901189,20
343,-122.59155331342481,26
344,-227.97336047515273,115
345,-113.72607299685478,16
346,-134.5783861130476,33
347,-146.59024203941226,51
348,-139.39821533858776,36
349,-150.82120064646006,57
350,-135.35411248542368,28
351,-190.80656272545457,68
352,-256.08604795485735,131
353,-123.76061267778277,25
354,-179.30150965973735,62
355,-106.45133196376264,16
356,-159.7576312860474,60
357,-143.0697785038501,40
358,-107.73707509040833,8
359,-147.8756366148591,43
360,-140.87978495657444,40
361,-136.33835639804602,22
362,-121.6514345407486,23
363,-107.65003909915686,17
364,-106.1036211848259,9
365,-151.58691089600325,58
366,-200.7459281682968,74
367,-148.29243952035904,36
368,-162.11791840195656,57
369,-105.79185795783997,8
370,-156.0698469178751,68
371,-154.70817883312702,54
372,-194.1632413342595,100
373,-165.0971442386508,39
374,-150.95301868766546,45
375,-251.02122591249645,105
376,-117.36292123049498,18
377,-230.9436252117157,81
378,-119.05871656537056,24
379,-148.73760434798896,54
380,-177.8344569914043,73
381,-167.4803704917431,47
382,-103.74726573005319,6
383,-152.18583780527115,36
384,-225.54080772399902,80
385,-173.93844170402735,57
386,-173.7536842226982,49
387,-158.3513734973967,51
388,-221.96193778514862,109
389,-210.82028991542757,128
390,-155.875688418746,35
391,-132.81606149673462,28
392,-159.2847742959857,48
393,-212.41393046081066,66
394,-177.57174852490425,68
395,-140.19100664556026,41
396,-169.4845483340323,60
397,-130.13366636261344,24
398,-209.03850312903523,106
399,-133.81133592128754,20
400,-128.87640517950058,24
401,-149.89908211678267,38
402,-110.11134291440248,13
403,-215.986610814929,87
404,-167.64362333714962,60
405,-256.68226839229465,107
406,-183.25018879771233,54
407,-224.685491848737,93
408,-139.52189103513956,40
409,-110.85936269164085,9
410,-130.28502324223518,32
411,-111.06382853537798,16
412,-128.49887263774872,21
413,-194.1351898908615,66
414,-141.84932584315538,42
415,-205.4783485457301,71
416,-137.95469359715935,42
417,-157.8372146487236,43
418,-125.43134126998484,36
419,-246.16719338297844,122
420,-127.68602713942528,34
421,-148.06633687019348,40
422,-150.35437359835487,31
423,-172.95011533237994,52
424,-236.04850545153022,90
425,-150.86162090301514,42
426,-123.15192629396915,33
427,-128.96383428573608,25
428,-119.77253018692136,22
429,-130.57535330811515,37
430,-148.1368206590414,43
431,-140.44595500081778,37
432,-125.70457224361598,37
433,-122.54333455488086,27
434,-155.0355145484209,44
435,-139.3723932877183,31
436,-130.8548085987568,21
437,-214.6027093231678,90
438,-179.10679051280022,54
439,-193.89937927015126,78
440,-138.02548138052225,34
441,-137.84392293915153,28
442,-204.7792152389884,91
443,-128.37250695750117,38
444,-141.02816186845303,43
445,-109.79126137495041,11
446,-104.58478504419327,8
447,-103.73372110724449,9
448,-120.69538898020983,32
449,-171.09371322765946,68
450,-131.06534004211426,23
451,-123.43114495277405,27
452,-157.9333676615497,61
453,-188.09937519952655,71
454,-121.29708913899958,19
455,-148.0890249859076,40
456,-210.6904642432928,93
457,-156.98468880355358,45
458,-154.73422336252406,47
459,-163.10082173347473,45
460,-147.34751698374748,31
461,-211.33925979584455,82
462,-143.37082659825683,29
463,-276.7858982756734,157
464,-196.08904082188383,95
465,-133.26124005764723,23
466,-129.09096341580153,36
467,-162.22162859141827,67
468,-188.7927337354049,66
469,-126.38370872288942,20
470,-227.69395653903484,118
471,-117.15517484024167,24
472,-113.40216503292322,13
473,-319.0514972792007,153
474,-140.16628269851208,37
475,-138.7078095637262,41
476,-193.6914284825325,71
477,-134.63885301351547,27
478,-125.48198427259922,26
479,-128.33608961105347,28
480,-159.87198431789875,45
481,-180.48326351493597,67
482,-180.24878025613725,82
483,-267.981398075819,114
484,-186.9601734802127,60
485,-174.4293598458171,63
486,-138.54062978550792,34
487,-257.6188220400363,107
488,-156.19256210699677,42
489,-146.54316205903888,44
490,-197.7741476520896,79
491,-138.61769118905067,25
492,-155.35493024531752,60
493,-140.8614182472229,33
494,-131.2158215045929,21
