demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.16723350806235238,1,0.25,1.0,3.386127401754819,,299.0
noisy,0.29000000000000004,0.0,0.248115942239764,1,0.25,1.0,5.491405380953415,,324.0
noisy,0.38,0.0,0.3372393318368078,1,0.25,1.0,6.9286200003278475,,419.0
noisy,0.47000000000000003,0.0,0.40701074665924947,1,0.25,1.0,9.273725494323221,,389.0
noisy,0.56,0.0,0.49990891604791693,1,0.25,1.0,9.904336871009837,,374.0
noisy,0.6499999999999999,0.0,0.5954409461562132,1,0.25,1.0,9.90423494505848,,341.0
noisy,0.74,0.0,0.6827393115985867,1,0.25,1.0,9.906388558215557,,265.0
noisy,0.8300000000000001,0.0,0.7750010714947143,1,0.25,1.0,9.906866533561782,,243.0
noisy,0.9199999999999999,0.0,0.9093014945874023,1,0.25,1.0,9.909095451482264,,182.0
noisy,1.01,0.0,1.0098404511112904,1,0.25,1.0,9.909369071054934,,118.0
noisy,1.0999999999999999,0.0,1.0567620751595135,1,0.25,1.0,9.908557384395488,,131.0
noisy,1.19,0.0,1.1585834374021686,1,0.25,1.0,9.9102470641859,,80.0
noisy,1.28,0.0,1.2178026824868147,1,0.25,1.0,9.91003462304385,,102.0
noisy,1.3699999999999999,0.0,1.2976515428561723,1,0.25,1.0,9.912570347106307,,115.0
noisy,1.46,0.0,1.3874730476800383,1,0.25,1.0,9.908618793109941,,96.0
noisy,1.5499999999999998,0.0,1.450656797288482,1,0.25,1.0,9.913964031068682,,85.0
noisy,1.64,0.0,1.529876260275674,1,0.25,1.0,9.905325376661931,,83.0
noisy,1.73,0.0,1.5823795067276218,1,0.25,1.0,9.913763797501833,,72.0
noisy,1.8199999999999998,0.0,1.6719081736568142,1,0.25,1.0,9.91295014851018,,69.0
noisy,1.91,0.0,1.75102669552624,1,0.25,1.0,9.918623494219599,,54.0
noisy,2.0,0.0,1.7587008059066607,1,0.25,1.0,9.918428908340804,,53.0
noisy,0.2,0.0,0.014869630787556603,2,0.25,1.0,0.38372690596585995,,144.0
noisy,0.29000000000000004,0.0,0.020548764395167892,2,0.25,1.0,0.6017306964903234,,50.0
noisy,0.38,0.0,0.004640527105561891,2,0.25,1.0,0.17061424689296006,,166.0
noisy,0.47000000000000003,0.0,0.004492622435235914,2,0.25,0.6666666666666666,0.2856826543931223,,184.0
noisy,0.56,0.0,0.004147588634814891,2,0.25,0.6666666666666666,0.42365243326039226,,61.0
noisy,0.6499999999999999,0.0,0.0010056446997682381,2,0.25,0.3333333333333333,0.17049443536906292,,227.0
noisy,0.74,0.0,0.006300918470994447,2,0.25,0.6666666666666666,0.3710312251749823,,526.0
noisy,0.8300000000000001,0.0,-0.0016642561484277306,2,0.25,0.6666666666666666,0.11317153471005294,,142.0
noisy,0.9199999999999999,0.0,-0.007199245065233485,2,0.25,0.0,0.0,,168.0
noisy,1.01,0.0,-0.03442081635159996,2,0.25,0.0,0.0,,391.0
noisy,1.0999999999999999,0.0,-0.04762080207406838,2,0.25,0.0,0.0,,334.0
noisy,1.19,0.0,-0.039221747956347516,2,0.25,0.0,0.0,,401.0
noisy,1.28,0.0,-0.0631091399040193,2,0.25,0.0,0.0,,431.0
noisy,1.3699999999999999,0.0,-0.015800011770521493,2,0.25,0.0,0.0,,444.0
noisy,1.46,0.0,-0.03391432255921936,2,0.25,0.0,0.0,,389.0
noisy,1.5499999999999998,0.0,-0.020190593463588313,2,0.25,0.0,0.0,,476.0
noisy,1.64,0.0,-0.03654227474307594,2,0.25,0.0,0.0,,433.0
noisy,1.73,0.0,-0.053169903569989935,2,0.25,0.0,0.0,,408.0
noisy,1.8199999999999998,0.0,-0.015102871962668164,2,0.25,0.0,0.0,,283.0
noisy,1.91,0.0,-0.041099684712306496,2,0.25,0.0,0.0,,415.0
noisy,2.0,0.0,-0.03416596369725752,2,0.25,0.0,0.0,,376.0
noisy,0.2,0.0,0.017377991269792125,3,0.25,1.0,0.3987820003777487,,85.0
noisy,0.29000000000000004,0.0,0.016576622196174777,3,0.25,1.0,0.49480805402355393,,95.0
noisy,0.38,0.0,0.020279580248063638,3,0.25,1.0,0.5360985072296054,,147.0
noisy,0.47000000000000003,0.0,0.014029122727077209,3,0.25,1.0,0.3428985541408743,,84.0
noisy,0.56,0.0,0.00402067827797127,3,0.25,1.0,0.1171389649521911,,264.0
noisy,0.6499999999999999,0.0,0.006329323902915932,3,0.25,0.6666666666666666,0.378819571885951,,104.0
noisy,0.74,0.0,-0.0004466649441052361,3,0.25,0.3333333333333333,0.2614030685684775,,196.0
noisy,0.8300000000000001,0.0,0.0033230733254335687,3,0.25,0.6666666666666666,0.19462483219522347,,553.0
noisy,0.9199999999999999,0.0,-0.025513720425533654,3,0.25,0.0,0.0,,331.0
noisy,1.01,0.0,-0.02780020142921649,3,0.25,0.0,0.0,,260.0
noisy,1.0999999999999999,0.0,-0.024078233767464163,3,0.25,0.0,0.0,,334.0
noisy,1.19,0.0,-0.03780537767230994,3,0.25,0.0,0.0,,313.0
noisy,1.28,0.0,-0.04594666562139169,3,0.25,0.0,0.0,,366.0
noisy,1.3699999999999999,0.0,-0.04744020095498903,3,0.25,0.0,0.0,,460.0
noisy,1.46,0.0,-0.047952256921619675,3,0.25,0.0,0.0,,355.0
noisy,1.5499999999999998,0.0,-0.051215819720928736,3,0.25,0.0,0.0,,486.0
noisy,1.64,0.0,-0.041420070082484835,3,0.25,0.0,0.0,,400.0
noisy,1.73,0.0,-0.036844882128157126,3,0.25,0.0,0.0,,299.0
noisy,1.8199999999999998,0.0,-0.020582067710438565,3,0.25,0.0,0.0,,369.0
noisy,1.91,0.0,-0.0505077523726421,3,0.25,0.0,0.0,,399.0
noisy,2.0,0.0,-0.03099545044131215,3,0.25,0.0,0.0,,390.0
noisy,0.2,0.0,0.015805621280463724,4,0.25,1.0,0.5453197301779354,,195.0
noisy,0.29000000000000004,0.0,0.01782511353721339,4,0.25,1.0,0.3883888541624447,,76.0
noisy,0.38,0.0,0.005022311909769338,4,0.25,0.6666666666666666,0.2615301545161694,,248.0
noisy,0.47000000000000003,0.0,0.01746330279502007,4,0.25,1.0,0.5322600460691367,,180.0
noisy,0.56,0.0,0.015209744831781282,4,0.25,1.0,0.44483401089236463,,503.0
noisy,0.6499999999999999,0.0,0.011065981466846462,4,0.25,1.0,0.415149336468643,,50.0
noisy,0.74,0.0,0.003948381607248233,4,0.25,1.0,0.14309719042508326,,489.0
noisy,0.8300000000000001,0.0,0.01595583344312985,4,0.25,1.0,0.37570566715661485,,643.0
noisy,0.9199999999999999,0.0,-0.0110726007362352,4,0.25,0.0,0.0,,184.0
noisy,1.01,0.0,-0.010028046545332826,4,0.25,0.0,0.0,,126.0
noisy,1.0999999999999999,0.0,-0.02420858516220227,4,0.25,0.0,0.0,,390.0
noisy,1.19,0.0,-0.043939844875299706,4,0.25,0.0,0.0,,339.0
noisy,1.28,0.0,-0.016180052171241202,4,0.25,0.0,0.0,,405.0
noisy,1.3699999999999999,0.0,-0.029456076645878963,4,0.25,0.0,0.0,,462.0
noisy,1.46,0.0,-0.01780784724376463,4,0.25,0.0,0.0,,506.0
noisy,1.5499999999999998,0.0,-0.013446661132150308,4,0.25,0.0,0.0,,346.0
noisy,1.64,0.0,-0.03632482063793599,4,0.25,0.0,0.0,,394.0
noisy,1.73,0.0,-0.05749836507741773,4,0.25,0.0,0.0,,393.0
noisy,1.8199999999999998,0.0,-0.020658550756206498,4,0.25,0.0,0.0,,376.0
noisy,1.91,0.0,-0.04544146794632444,4,0.25,0.0,0.0,,316.0
noisy,2.0,0.0,-0.021902832797166316,4,0.25,0.0,0.0,,176.0
noisy,0.2,0.0,0.0177865193000297,5,0.25,1.0,0.42364038240365814,,107.0
noisy,0.29000000000000004,0.0,0.01426526484602892,5,0.25,1.0,0.36209137938656627,,83.0
noisy,0.38,0.0,0.010162129374125707,5,0.25,1.0,0.3398187772056605,,113.0
noisy,0.47000000000000003,0.0,0.014022067042191865,5,0.25,1.0,0.3974091518749235,,286.0
noisy,0.56,0.0,0.006702550641967107,5,0.25,0.3333333333333333,0.415924373646022,,119.0
noisy,0.6499999999999999,0.0,0.007801872308936637,5,0.25,0.6666666666666666,0.2893581309484299,,566.0
noisy,0.74,0.0,0.001226021673776324,5,0.25,0.6666666666666666,0.10379447141330089,,563.0
noisy,0.8300000000000001,0.0,0.004645803821419954,5,0.25,1.0,0.12456537756836288,,131.0
noisy,0.9199999999999999,0.0,-0.01183063096333045,5,0.25,0.0,0.0,,132.0
noisy,1.01,0.0,-0.0019328481535161774,5,0.25,0.6666666666666666,0.12560664708811847,,210.0
noisy,1.0999999999999999,0.0,-0.018668744252577415,5,0.25,0.0,0.0,,376.0
noisy,1.19,0.0,-0.03218588865983283,5,0.25,0.0,0.0,,377.0
noisy,1.28,0.0,-0.04059696325951961,5,0.25,0.0,0.0,,380.0
noisy,1.3699999999999999,0.0,-0.024265262480543937,5,0.25,0.0,0.0,,374.0
noisy,1.46,0.0,-0.04332833636316924,5,0.25,0.0,0.0,,485.0
noisy,1.5499999999999998,0.0,-0.0349750484965006,5,0.25,0.0,0.0,,418.0
noisy,1.64,0.0,-0.05632441066888227,5,0.25,0.0,0.0,,399.0
noisy,1.73,0.0,-0.01864132827970993,5,0.25,0.0,0.0,,383.0
noisy,1.8199999999999998,0.0,-0.008735117339532512,5,0.25,0.0,0.0,,388.0
noisy,1.91,0.0,-0.008151570035506263,5,0.25,0.0,0.0,,322.0
noisy,2.0,0.0,-0.04133765450775168,5,0.25,0.0,0.0,,460.0
noisy,0.2,0.0,0.017692062389396124,6,0.25,1.0,0.4818608423730139,,76.0
noisy,0.29000000000000004,0.0,0.0024638125932977843,6,0.25,0.6666666666666666,0.2289022676718956,,109.0
noisy,0.38,0.0,0.008670801881273503,6,0.25,1.0,0.2803468114530114,,148.0
noisy,0.47000000000000003,0.0,0.00426196338094226,6,0.25,0.6666666666666666,0.276414602136574,,56.0
noisy,0.56,0.0,0.005792360053673266,6,0.25,0.6666666666666666,0.30319962964573044,,166.0
noisy,0.6499999999999999,0.0,-0.0001227284831473036,6,0.25,0.6666666666666666,0.10501923361491265,,190.0
noisy,0.74,0.0,0.010512109296161455,6,0.25,1.0,0.30169406575749386,,273.0
noisy,0.8300000000000001,0.0,-0.001760898052443632,6,0.25,0.3333333333333333,0.3144347033486241,,163.0
noisy,0.9199999999999999,0.0,-0.005401526343634577,6,0.25,0.0,0.0,,238.0
noisy,1.01,0.0,-0.012098519813747502,6,0.25,0.0,0.0,,385.0
noisy,1.0999999999999999,0.0,-0.013079925951677075,6,0.25,0.0,0.0,,321.0
noisy,1.19,0.0,-0.017490011109216996,6,0.25,0.0,0.0,,390.0
noisy,1.28,0.0,-0.011556333264078964,6,0.25,0.0,0.0,,311.0
noisy,1.3699999999999999,0.0,-0.02504884213197939,6,0.25,0.0,0.0,,362.0
noisy,1.46,0.0,-0.02129352532158033,6,0.25,0.0,0.0,,443.0
noisy,1.5499999999999998,0.0,-0.007734619847910508,6,0.25,0.0,0.0,,356.0
noisy,1.64,0.0,-0.04227471206580049,6,0.25,0.0,0.0,,365.0
noisy,1.73,0.0,-0.012600337883721785,6,0.25,0.0,0.0,,409.0
noisy,1.8199999999999998,0.0,-0.005794658631020438,6,0.25,0.0,0.0,,394.0
noisy,1.91,0.0,-0.03173447807313527,6,0.25,0.0,0.0,,313.0
noisy,2.0,0.0,-0.039301385355119796,6,0.25,0.0,0.0,,233.0
noisy,0.2,0.0,0.02025330487191639,7,0.25,1.0,0.4841261720753519,,268.0
