Episode,Total Reward,Termination Step
1,-90.34391021728516,16
2,-109.78897857666016,53
3,-90.51976776123047,13
4,-94.05535125732422,8
5,-87.44894409179688,84
6,-80.70590209960938,28
7,-87.4485855102539,15
8,-95.12797546386719,26
9,-93.67578887939453,10
10,-88.05500030517578,18
11,-87.06735229492188,29
12,-92.80975341796875,10
13,-85.83013916015625,24
14,-80.82905578613281,31
15,-99.42046356201172,75
16,-67.82655334472656,55
17,-80.45526123046875,59
18,-95.73149871826172,44
19,-80.49192810058594,27
20,-98.30872344970703,45
21,-93.36079406738281,9
22,-83.61579895019531,27
23,-90.75920104980469,13
24,-83.18212127685547,21
25,-82.00434875488281,45
26,-94.57316589355469,9
27,-87.18817138671875,12
28,-90.91188049316406,14
29,-82.74552917480469,38
30,-92.3369140625,13
31,-95.15718078613281,45
32,-79.46833801269531,37
33,-94.2680435180664,23
34,-110.49561309814453,72
35,-91.45857238769531,16
36,-91.8651351928711,14
37,-80.1932373046875,28
38,-103.36837005615234,75
39,-93.32318878173828,28
40,-80.67352294921875,28
41,-93.14241790771484,54
42,-88.60453033447266,19
43,-90.97647857666016,12
44,-88.97056579589844,29
45,-86.76959991455078,21
46,-93.76390838623047,10
47,-66.60758972167969,41
48,-92.40697479248047,34
49,-91.0018539428711,12
50,-79.63868713378906,30
51,-92.4803695678711,28
52,-77.4867935180664,59
53,-90.8155746459961,12
54,-91.65440368652344,33
55,-78.75981903076172,38
56,-90.25506591796875,33
57,-98.494140625,41
58,-76.59759521484375,25
59,-82.07485961914062,29
60,-91.35999298095703,27
61,-86.82866668701172,24
62,-92.9485855102539,10
63,-85.60694122314453,17
64,-108.42328643798828,49
65,-90.12142944335938,16
66,-87.48253631591797,16
67,-65.65280151367188,72
68,-90.4827651977539,15
69,-91.16131591796875,50
70,-75.47445678710938,48
71,-84.07366943359375,22
72,-79.14341735839844,33
73,-96.89415740966797,30
74,-91.42256164550781,28
75,-97.1259994506836,29
76,-88.25215148925781,19
77,-104.41043090820312,38
78,-93.50542449951172,32
79,-88.45616912841797,21
80,-92.11152648925781,12
81,-84.05183410644531,18
82,-87.87191772460938,33
83,-95.3016586303711,37
84,-98.37986755371094,26
85,-77.91714477539062,38
86,-84.95497131347656,21
87,-95.15393829345703,54
88,-83.94996643066406,20
89,-100.12843322753906,39
90,-96.57600402832031,7
91,-91.89346313476562,37
92,-77.7820053100586,56
93,-93.75128936767578,9
94,-96.0577163696289,25
95,-89.51380157470703,15
96,-78.38150024414062,33
97,-83.60585021972656,23
98,-80.65235900878906,22
99,-81.47100830078125,26
100,-79.38433074951172,29
101,-82.08926391601562,32
102,-95.66448974609375,25
103,-94.89398193359375,9
104,-90.61067962646484,12
105,-90.31481170654297,17
106,-79.8837890625,65
107,-79.35064697265625,27
108,-86.17816162109375,19
109,-91.96780395507812,24
110,-94.00947570800781,10
111,-89.12663269042969,13
112,-90.49174499511719,12
113,-46.65972137451172,83
114,-89.49439239501953,16
115,-82.98335266113281,22
116,-89.9422378540039,15
117,-81.81745147705078,26
118,-104.80303955078125,14
119,-92.31167602539062,11
120,-91.35282897949219,11
121,-83.35870361328125,50
122,-83.6982421875,30
123,-79.23612976074219,32
124,-100.01339721679688,30
125,-99.99515533447266,41
126,-89.61213684082031,14
127,-89.37208557128906,18
128,-86.54627227783203,43
129,-92.60619354248047,34
130,-92.47080993652344,32
131,-82.9463119506836,29
132,-79.32916259765625,35
133,-99.71397399902344,51
134,-117.64703369140625,67
135,-79.8240737915039,35
136,-87.2674560546875,33
137,-80.735595703125,22
138,-91.63941192626953,12
139,-90.12055206298828,14
140,-89.29679107666016,35
141,-92.27291870117188,30
142,-83.65104675292969,28
143,-91.060302734375,35
144,-91.08547973632812,34
145,-126.22008514404297,73
146,-86.7559814453125,38
147,-87.97481536865234,28
148,-103.22089385986328,56
149,-92.16398620605469,36
150,-86.8421401977539,21
151,-85.10017395019531,18
152,-87.53199768066406,15
153,-80.68827056884766,55
154,-79.15157318115234,45
155,-98.65837097167969,53
156,-98.3862533569336,28
157,-79.9161605834961,33
158,-86.76042175292969,34
159,-97.427001953125,26
160,-84.05213165283203,28
161,-93.01628112792969,32
162,-90.8475570678711,14
163,-94.0863037109375,33
164,-82.15355682373047,24
165,-91.35333251953125,13
166,-91.35396575927734,35
167,-86.75115966796875,29
168,-89.07040405273438,29
169,-92.05720520019531,11
170,-88.07395935058594,16
171,-89.33232879638672,28
172,-92.87898254394531,27
173,-68.91869354248047,84
174,-83.56438446044922,69
175,-89.03606414794922,22
176,-81.85773468017578,22
177,-93.60418701171875,11
178,-78.5986099243164,43
179,-92.02293395996094,11
180,-86.04078674316406,20
181,-95.16545867919922,8
182,-94.68574523925781,8
183,-77.28102111816406,54
184,-88.43719482421875,24
185,-88.06460571289062,78
186,-91.29269409179688,23
187,-89.65319061279297,28
188,-80.95849609375,25
189,-86.54254913330078,17
190,-87.8553466796875,30
191,-72.84969329833984,44
192,-115.77967071533203,54
193,-89.44257354736328,32
194,-74.53687286376953,44
195,-82.91698455810547,33
196,-91.18216705322266,32
197,-78.30033874511719,39
198,-90.83967590332031,12
199,-81.50653076171875,26
200,-95.77381896972656,37
201,-93.67393493652344,10
202,-93.54916381835938,10
203,-89.91226196289062,16
204,-93.5298843383789,10
205,-86.138671875,20
206,-89.71762084960938,20
207,-90.68710327148438,58
208,-90.2432632446289,12
209,-77.67732238769531,33
210,-93.97026824951172,28
211,-96.24156951904297,28
212,-94.89134216308594,8
213,-94.06944274902344,30
214,-85.82894897460938,43
215,-83.07196044921875,36
216,-147.3316650390625,115
217,-89.8994369506836,15
218,-88.02754211425781,16
219,-89.04479217529297,22
220,-71.4390869140625,51
221,-91.57706451416016,16
222,-96.59662628173828,32
223,-91.55091094970703,27
224,-90.5119857788086,30
225,-100.67112731933594,25
226,-90.25531768798828,14
227,-91.67322540283203,35
228,-95.14161682128906,25
229,-81.11564636230469,42
230,-87.34627532958984,59
231,-96.83551025390625,27
232,-95.43058776855469,7
233,-99.4844741821289,37
234,-88.68387603759766,13
235,-92.70071411132812,36
236,-84.8695068359375,46
237,-87.60163116455078,19
238,-82.1263656616211,27
239,-90.79615020751953,36
240,-89.86508178710938,29
241,-74.46011352539062,33
242,-97.34075927734375,33
243,-93.04553985595703,14
244,-72.48282623291016,35
245,-89.12218475341797,14
246,-72.70036315917969,103
247,-90.99029541015625,31
248,-82.63368225097656,24
249,-76.41828155517578,29
250,-59.01007080078125,83
251,-83.77999877929688,40
252,-89.6604232788086,15
253,-92.01679992675781,10
254,-89.09799194335938,53
255,-83.13755798339844,36
256,-96.3530044555664,34
257,-82.35641479492188,38
258,-87.38926696777344,15
259,-91.4947280883789,11
260,-89.9580078125,20
261,-85.85224914550781,30
262,-78.97909545898438,31
263,-59.89483642578125,69
264,-76.9223403930664,33
265,-90.42431640625,13
266,-96.81563568115234,33
267,-88.38908386230469,19
268,-90.26619720458984,21
269,-90.09469604492188,12
270,-91.29126739501953,30
271,-79.39552307128906,35
272,-92.72867584228516,25
273,-89.26412200927734,16
274,-81.74034881591797,36
275,-85.7334976196289,24
276,-88.73705291748047,12
277,-65.75729370117188,78
278,-86.2082290649414,49
279,-87.6139907836914,32
280,-86.28980255126953,16
281,-89.85929107666016,13
282,-136.0629119873047,34
283,-72.31415557861328,43
284,-86.45594024658203,20
285,-90.10523223876953,12
286,-89.31275177001953,12
287,-83.62091827392578,41
288,-85.99115753173828,14
289,-89.03263854980469,27
290,-91.28656768798828,39
291,-88.13832092285156,36
292,-94.98710632324219,32
293,-84.53276062011719,53
294,-75.72578430175781,61
295,-79.90257263183594,28
296,-87.79460144042969,26
297,-93.17514038085938,11
298,-77.45403289794922,25
299,-89.91790771484375,15
300,-90.79566192626953,13
301,-79.54276275634766,75
302,-85.87821197509766,15
303,-90.10916900634766,18
304,-89.66363525390625,17
305,-87.91468048095703,22
306,-111.42890167236328,75
307,-87.29605865478516,27
308,-83.27789306640625,37
309,-91.57257843017578,28
310,-98.43852233886719,69
311,-93.85147094726562,8
312,-69.46875762939453,47
313,-92.81610870361328,34
314,-83.32376861572266,18
315,-121.55210876464844,65
316,-92.3831787109375,11
317,-71.97027587890625,40
318,-102.7087173461914,47
319,-94.8271484375,32
320,-91.48043823242188,15
321,-85.5418472290039,24
322,-80.08283996582031,44
323,-89.97589111328125,36
324,-94.52903747558594,30
325,-84.8869400024414,83
326,-78.7634048461914,34
327,-79.24747467041016,36
328,-91.48560333251953,8
329,-79.71044921875,26
330,-91.87957000732422,13
331,-100.95801544189453,27
332,-86.9260025024414,36
333,-83.5605697631836,34
334,-96.575927734375,75
335,-80.98384094238281,28
336,-91.19509887695312,41
337,-94.44982147216797,7
338,-77.29979705810547,35
339,-83.73168182373047,40
340,-93.5499267578125,40
341,-77.70506286621094,31
342,-84.78275299072266,19
343,-122.64157104492188,98
344,-90.69874572753906,16
345,-72.53482055664062,67
346,-85.10084533691406,23
347,-93.18258666992188,35
348,-94.92231750488281,57
349,-92.05016326904297,9
350,-96.4665298461914,33
351,-73.81549072265625,31
352,-89.26945495605469,30
353,-92.78860473632812,10
354,-86.74552917480469,27
355,-92.49150085449219,32
356,-94.49497985839844,64
357,-90.38345336914062,14
358,-78.5166015625,27
359,-96.5186996459961,25
360,-82.20050811767578,30
361,-101.05345153808594,36
362,-84.72663116455078,23
363,-80.93092346191406,29
364,-93.1297836303711,37
365,-85.47482299804688,41
366,-85.40579223632812,20
367,-96.34284973144531,33
368,-98.3770980834961,28
369,-90.62429809570312,15
370,-90.7615737915039,15
371,-74.82818603515625,44
372,-93.74424743652344,9
373,-112.29713439941406,80
374,-92.3018798828125,31
375,-115.43382263183594,72
376,-81.21064758300781,31
377,-96.76252746582031,44
378,-80.75528717041016,39
379,-92.2301254272461,31
380,-94.26178741455078,70
381,-68.58256530761719,69
382,-86.42427825927734,21
383,-92.0357894897461,30
384,-99.47386169433594,24
385,-94.53438568115234,28
386,-83.60135650634766,23
387,-78.1395263671875,81
388,-98.4605712890625,32
389,-91.15264892578125,33
390,-92.92090606689453,37
391,-87.21255493164062,17
392,-90.82804107666016,14
393,-80.69773864746094,32
394,-87.13639831542969,33
395,-81.50831604003906,30
396,-82.07439422607422,34
397,-111.58409118652344,27
398,-75.49620819091797,38
399,-92.0830307006836,8
400,-76.65235900878906,77
401,-90.82135009765625,30
402,-90.63176727294922,14
403,-88.66090393066406,29
404,-89.85123443603516,13
405,-88.0645751953125,26
406,-83.89964294433594,22
407,-84.83580017089844,23
408,-95.56272888183594,41
409,-79.64322662353516,32
410,-81.37989044189453,35
411,-86.23980712890625,22
412,-94.21969604492188,8
413,-118.74024963378906,67
414,-89.84111785888672,14
415,-87.66018676757812,33
416,-96.15765380859375,31
417,-97.51807403564453,35
418,-93.6014633178711,11
419,-78.1248550415039,25
420,-83.07377624511719,27
421,-87.11717224121094,15
422,-97.14118194580078,36
423,-94.04657745361328,30
424,-75.67721557617188,28
425,-94.00626373291016,9
426,-93.292236328125,27
427,-95.22106170654297,37
428,-86.86394500732422,22
429,-94.2410888671875,30
430,-93.32659149169922,42
431,-103.52438354492188,59
432,-92.22100067138672,13
433,-96.46302032470703,25
434,-81.40359497070312,22
