demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.2523325969668683,1,0.25,1.0,5.265984535996596,,356.0
noisy,0.29000000000000004,0.0,0.3037012074994524,1,0.25,1.0,6.243474288851594,,378.0
noisy,0.38,0.0,0.4086138784988089,1,0.25,1.0,8.334781041142602,,518.0
noisy,0.47000000000000003,0.0,0.47451515095084346,1,0.25,1.0,9.908448329737997,,503.0
noisy,0.56,0.0,0.5283137831025794,1,0.25,1.0,9.906125281887467,,492.0
noisy,0.6499999999999999,0.0,0.6109386955306965,1,0.25,1.0,9.903410520076516,,389.0
noisy,0.74,0.0,0.6766768998908494,1,0.25,1.0,9.903485316329249,,443.0
noisy,0.8300000000000001,0.0,0.7715251309249328,1,0.25,1.0,9.904969839628533,,457.0
noisy,0.9199999999999999,0.0,0.8830589950503743,1,0.25,1.0,9.90586174766238,,349.0
noisy,1.01,0.0,0.9987487791178893,1,0.25,1.0,9.912439278828845,,251.0
noisy,1.0999999999999999,0.0,1.0307984015328369,1,0.25,1.0,9.906060666233186,,318.0
noisy,1.19,0.0,1.1389991271018356,1,0.25,1.0,9.90891191831281,,189.0
noisy,1.28,0.0,1.2195777765987381,1,0.25,1.0,9.907752188433799,,234.0
noisy,1.3699999999999999,0.0,1.290524171373385,1,0.25,1.0,9.90965038791796,,156.0
noisy,1.46,0.0,1.3494757334169325,1,0.25,1.0,9.907154423727262,,235.0
noisy,1.5499999999999998,0.0,1.406083860392223,1,0.25,1.0,9.912035087342495,,162.0
noisy,1.64,0.0,1.488769047404693,1,0.25,1.0,9.915181391293459,,189.0
noisy,1.73,0.0,1.5432927017946156,1,0.25,1.0,9.90967708935238,,137.0
noisy,1.8199999999999998,0.0,1.5802334304092867,1,0.25,1.0,9.916309307632913,,177.0
noisy,1.91,0.0,1.7105404741574002,1,0.25,1.0,9.91463319159894,,113.0
noisy,2.0,0.0,1.8003235831072262,1,0.25,1.0,9.912654439455768,,157.0
noisy,0.2,0.0,-0.014286431790140317,2,0.25,0.0,0.0,,431.0
noisy,0.29000000000000004,0.0,-0.0164368754746452,2,0.25,0.0,0.0,,369.0
noisy,0.38,0.0,-0.015049313238410302,2,0.25,0.0,0.0,,408.0
noisy,0.47000000000000003,0.0,-0.019043046924376732,2,0.25,0.0,0.0,,233.0
noisy,0.56,0.0,-0.02225201365575587,2,0.25,0.0,0.0,,459.0
noisy,0.6499999999999999,0.0,-0.007503338642243185,2,0.25,0.0,0.0,,521.0
noisy,0.74,0.0,-0.010588961009544803,2,0.25,0.0,0.0,,452.0
noisy,0.8300000000000001,0.0,-0.013115144869277909,2,0.25,0.0,0.0,,285.0
noisy,0.9199999999999999,0.0,-0.0135634570646714,2,0.25,0.0,0.0,,414.0
noisy,1.01,0.0,-0.022590107114250028,2,0.25,0.0,0.0,,233.0
noisy,1.0999999999999999,0.0,-0.024604911652924295,2,0.25,0.0,0.0,,194.0
noisy,1.19,0.0,-0.024428593828402484,2,0.25,0.0,0.0,,191.0
noisy,1.28,0.0,-0.02872414408587079,2,0.25,0.0,0.0,,148.0
noisy,1.3699999999999999,0.0,-0.015023244635270166,2,0.25,0.0,0.0,,173.0
noisy,1.46,0.0,-0.012511309430113679,2,0.25,0.0,0.0,,125.0
noisy,1.5499999999999998,0.0,-0.010472536640724048,2,0.25,0.0,0.0,,150.0
noisy,1.64,0.0,-0.017422540809291308,2,0.25,0.0,0.0,,167.0
noisy,1.73,0.0,-0.018856714765694296,2,0.25,0.0,0.0,,130.0
noisy,1.8199999999999998,0.0,-0.009103650204460087,2,0.25,0.0,0.0,,247.0
noisy,1.91,0.0,-0.017979402826973346,2,0.25,0.0,0.0,,140.0
noisy,2.0,0.0,-0.014968607416193581,2,0.25,0.0,0.0,,114.0
noisy,0.2,0.0,-0.011669481252242318,3,0.25,0.0,0.0,,437.0
noisy,0.29000000000000004,0.0,-0.014967364334046045,3,0.25,0.0,0.0,,360.0
noisy,0.38,0.0,-0.014950164752189729,3,0.25,0.0,0.0,,445.0
noisy,0.47000000000000003,0.0,-0.018704141221696915,3,0.25,0.0,0.0,,564.0
noisy,0.56,0.0,-0.016633527835043464,3,0.25,0.0,0.0,,282.0
noisy,0.6499999999999999,0.0,-0.013778498171577553,3,0.25,0.0,0.0,,399.0
noisy,0.74,0.0,-0.008271437443849334,3,0.25,0.0,0.0,,314.0
noisy,0.8300000000000001,0.0,-0.010238673333042228,3,0.25,0.0,0.0,,670.0
noisy,0.9199999999999999,0.0,-0.010838409458467584,3,0.25,0.0,0.0,,330.0
noisy,1.01,0.0,-0.012695133905056164,3,0.25,0.0,0.0,,285.0
noisy,1.0999999999999999,0.0,-0.01594136364396395,3,0.25,0.0,0.0,,195.0
noisy,1.19,0.0,-0.019420814548886087,3,0.25,0.0,0.0,,191.0
noisy,1.28,0.0,-0.01715061294169851,3,0.25,0.0,0.0,,144.0
noisy,1.3699999999999999,0.0,-0.012933956410285294,3,0.25,0.0,0.0,,178.0
noisy,1.46,0.0,-0.01399649849945228,3,0.25,0.0,0.0,,159.0
noisy,1.5499999999999998,0.0,-0.01259514416199379,3,0.25,0.0,0.0,,167.0
noisy,1.64,0.0,-0.027555027960220985,3,0.25,0.0,0.0,,127.0
