Episode,Total Reward,Termination Step
1,-90.51828002929688,16
2,-103.78981018066406,53
3,-90.9271240234375,13
4,-94.05535125732422,8
5,-87.44894409179688,84
6,-80.70590209960938,28
7,-90.68022155761719,15
8,-95.08578491210938,26
9,-94.59254455566406,10
10,-89.38906860351562,18
11,-87.06735229492188,29
12,-92.80975341796875,10
13,-88.70475769042969,24
14,-80.82905578613281,31
15,-96.14523315429688,75
16,-67.82655334472656,55
17,-85.98490905761719,59
18,-94.73590087890625,44
19,-85.95362091064453,27
20,-98.08834838867188,45
21,-94.29396057128906,9
22,-85.78553771972656,27
23,-92.77781677246094,13
24,-83.18212127685547,21
25,-82.0776138305664,45
26,-94.57316589355469,9
27,-87.18817138671875,12
28,-93.2048110961914,14
29,-82.74552917480469,38
30,-92.3369140625,13
31,-94.98431396484375,45
32,-79.46833801269531,37
33,-94.2680435180664,23
34,-110.49561309814453,72
35,-92.80758666992188,16
36,-93.28825378417969,14
37,-80.60963439941406,28
38,-100.00448608398438,75
39,-92.31645202636719,28
40,-84.7200927734375,28
41,-93.04961395263672,54
42,-88.60453033447266,19
43,-90.97647857666016,12
44,-88.97056579589844,29
45,-87.42994689941406,21
46,-93.97752380371094,10
47,-66.60758972167969,41
48,-91.86835479736328,34
49,-92.19590759277344,12
50,-79.63868713378906,30
51,-92.4803695678711,28
52,-77.4867935180664,59
53,-93.76763153076172,12
54,-91.63822937011719,33
55,-78.75981903076172,38
56,-91.67842864990234,33
57,-93.04594421386719,41
58,-76.59759521484375,25
59,-82.07485961914062,29
60,-91.83401489257812,27
61,-87.76470947265625,24
62,-93.56294250488281,10
63,-85.60694122314453,17
64,-101.91632080078125,49
65,-90.85577392578125,16
66,-88.07172393798828,16
67,-65.65280151367188,72
68,-90.4827651977539,15
69,-91.119384765625,50
70,-75.47445678710938,48
71,-87.6567611694336,22
72,-79.14341735839844,33
73,-95.75839233398438,30
74,-91.42256164550781,28
75,-97.05514526367188,29
76,-88.25215148925781,19
77,-98.69103240966797,38
78,-93.50542449951172,32
79,-88.70684814453125,21
80,-92.11152648925781,12
81,-84.05183410644531,18
82,-87.87191772460938,33
83,-94.00955963134766,37
84,-96.60033416748047,26
85,-77.91714477539062,38
86,-88.5335922241211,21
87,-94.81373596191406,54
88,-86.90587615966797,20
89,-100.12843322753906,39
90,-96.57600402832031,7
91,-91.89346313476562,37
92,-78.66885375976562,56
93,-93.75128936767578,9
94,-95.55731201171875,25
95,-91.68533325195312,15
96,-84.22339630126953,33
97,-83.6358642578125,23
98,-80.65235900878906,22
99,-81.47100830078125,26
100,-79.38433074951172,29
101,-82.08926391601562,32
102,-94.28958129882812,25
103,-95.20204162597656,9
104,-93.46724700927734,12
105,-90.31481170654297,17
106,-79.8837890625,65
107,-79.35064697265625,27
108,-90.27042388916016,19
109,-93.26847839355469,24
110,-94.67027282714844,10
111,-89.12663269042969,13
112,-91.69935607910156,12
113,-46.65972137451172,83
114,-91.35089874267578,16
115,-82.98335266113281,22
116,-91.32727813720703,15
117,-88.3199691772461,26
118,-101.81051635742188,14
119,-93.9309310913086,11
120,-91.35282897949219,11
121,-83.35870361328125,50
122,-83.6982421875,30
123,-79.23612976074219,32
124,-97.956787109375,30
125,-97.88507080078125,41
126,-89.66010284423828,14
127,-90.20237731933594,18
128,-86.54627227783203,43
129,-92.68778991699219,34
130,-92.77528381347656,32
131,-83.9602279663086,29
132,-85.17411804199219,35
133,-99.70453643798828,51
134,-116.8471450805664,67
135,-79.8240737915039,35
136,-87.2674560546875,33
137,-80.735595703125,22
138,-92.80401611328125,12
139,-90.12055206298828,14
140,-89.29679107666016,35
141,-92.27291870117188,30
142,-83.65104675292969,28
143,-91.0317153930664,35
144,-91.1197509765625,34
145,-117.74356842041016,73
146,-86.7559814453125,38
147,-87.97481536865234,28
148,-103.22089385986328,56
149,-92.00778198242188,36
150,-90.65927124023438,21
151,-85.10017395019531,18
152,-87.53199768066406,15
153,-80.90696716308594,55
154,-82.49256896972656,45
155,-98.65837097167969,53
156,-98.09481811523438,28
157,-80.03392028808594,33
158,-86.76042175292969,34
159,-96.22120666503906,26
160,-84.4850845336914,28
161,-92.04471588134766,32
162,-90.8475570678711,14
163,-93.66740417480469,33
164,-85.73939514160156,24
165,-91.55052947998047,13
166,-91.35396575927734,35
167,-86.75115966796875,29
168,-89.07040405273438,29
169,-92.67597198486328,11
170,-90.93416595458984,16
171,-91.31072235107422,28
172,-93.0680160522461,27
173,-69.27851867675781,84
174,-83.56438446044922,69
175,-89.03606414794922,22
176,-81.85773468017578,22
177,-93.99150085449219,11
178,-78.5986099243164,43
179,-92.21957397460938,11
180,-86.04078674316406,20
181,-95.16545867919922,8
182,-95.1851806640625,8
183,-77.28102111816406,54
184,-88.43719482421875,24
185,-88.1966781616211,78
186,-91.42689514160156,23
187,-89.65319061279297,28
188,-82.38079833984375,25
189,-86.54254913330078,17
190,-87.8553466796875,30
191,-80.01152038574219,44
192,-105.90203857421875,54
193,-89.44257354736328,32
194,-74.53687286376953,44
195,-82.91698455810547,33
196,-91.18216705322266,32
197,-80.57630920410156,39
198,-93.03887176513672,12
199,-81.50653076171875,26
200,-94.05428314208984,37
201,-93.92937469482422,10
202,-93.54916381835938,10
203,-91.51441192626953,16
204,-93.5298843383789,10
205,-86.15017700195312,20
206,-89.71762084960938,20
207,-90.68710327148438,58
208,-90.2432632446289,12
209,-77.67732238769531,33
210,-93.97026824951172,28
211,-94.72943878173828,28
212,-95.98957824707031,8
213,-93.96014404296875,30
214,-86.52651977539062,43
215,-83.07196044921875,36
