demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0.32838985481868854,,,1,,,48.0
rotation,0.29000000000000004,-15.0,0.3204246029515552,,,1,,,47.0
rotation,0.38,-15.0,0.39459903433454907,,,1,,,35.0
rotation,0.47000000000000003,-15.0,0.5014312620571602,,,1,,,42.0
rotation,0.56,-15.0,0.5907159397975401,,,1,,,33.0
rotation,0.6499999999999999,-15.0,0.6797806850046165,,,1,,,52.0
rotation,0.74,-15.0,0.7556408661542117,,,1,,,59.0
rotation,0.8300000000000001,-15.0,0.8525935873072471,,,1,,,48.0
rotation,0.9199999999999999,-15.0,0.9401293246691417,,,1,,,42.0
rotation,1.01,-15.0,1.0181568938686227,,,1,,,50.0
rotation,1.0999999999999999,-15.0,1.0919307815832593,,,1,,,57.0
rotation,1.19,-15.0,1.1966381336842733,,,1,,,45.0
rotation,1.28,-15.0,1.2852534948103636,,,1,,,66.0
rotation,1.3699999999999999,-15.0,1.3502623724433296,,,1,,,62.0
rotation,1.46,-15.0,1.4435123079671568,,,1,,,42.0
rotation,1.5499999999999998,-15.0,1.5419889083903373,,,1,,,53.0
rotation,1.64,-15.0,1.6181508843445,,,1,,,52.0
rotation,1.73,-15.0,1.695065948904382,,,1,,,65.0
rotation,1.8199999999999998,-15.0,1.7630174599752928,,,1,,,46.0
rotation,1.91,-15.0,1.8609006676985291,,,1,,,51.0
rotation,2.0,-15.0,1.941660361491252,,,1,,,50.0
rotation,0.2,-14.0,0.3584205552474467,,,1,,,59.0
rotation,0.29000000000000004,-14.0,0.331361200725693,,,1,,,72.0
rotation,0.38,-14.0,0.4134259030771014,,,1,,,36.0
rotation,0.47000000000000003,-14.0,0.4889810642762911,,,1,,,31.0
rotation,0.56,-14.0,0.5791459535770106,,,1,,,34.0
rotation,0.6499999999999999,-14.0,0.6731107420000045,,,1,,,48.0
rotation,0.74,-14.0,0.7511490664072049,,,1,,,45.0
rotation,0.8300000000000001,-14.0,0.8401624793217413,,,1,,,50.0
rotation,0.9199999999999999,-14.0,0.9320463041837982,,,1,,,56.0
rotation,1.01,-14.0,1.0299435184133272,,,1,,,58.0
rotation,1.0999999999999999,-14.0,1.1108778803473154,,,1,,,43.0
rotation,1.19,-14.0,1.1986936472038925,,,1,,,38.0
rotation,1.28,-14.0,1.2840489940361104,,,1,,,48.0
rotation,1.3699999999999999,-14.0,1.3721217580787488,,,1,,,48.0
rotation,1.46,-14.0,1.4444073127929162,,,1,,,47.0
rotation,1.5499999999999998,-14.0,1.521679674617058,,,1,,,47.0
rotation,1.64,-14.0,1.6135551625691562,,,1,,,46.0
rotation,1.73,-14.0,1.6829691432621103,,,1,,,63.0
rotation,1.8199999999999998,-14.0,1.762429255887992,,,1,,,53.0
rotation,1.91,-14.0,1.8616869982580837,,,1,,,45.0
rotation,2.0,-14.0,1.9330310758397662,,,1,,,50.0
rotation,0.2,-13.0,0.23745764581696838,,,1,,,52.0
rotation,0.29000000000000004,-13.0,0.3330665826530135,,,1,,,46.0
rotation,0.38,-13.0,0.3953140137469897,,,1,,,46.0
rotation,0.47000000000000003,-13.0,0.5108254591029322,,,1,,,46.0
rotation,0.56,-13.0,0.5917675199462162,,,1,,,54.0
rotation,0.6499999999999999,-13.0,0.6641791706976751,,,1,,,41.0
rotation,0.74,-13.0,0.7397090342710572,,,1,,,62.0
rotation,0.8300000000000001,-13.0,0.8389732076481975,,,1,,,49.0
rotation,0.9199999999999999,-13.0,0.9354858440921285,,,1,,,46.0
rotation,1.01,-13.0,1.0123847239887604,,,1,,,44.0
rotation,1.0999999999999999,-13.0,1.1040516684460329,,,1,,,50.0
rotation,1.19,-13.0,1.1956739626104096,,,1,,,50.0
rotation,1.28,-13.0,1.2479910688760893,,,1,,,56.0
rotation,1.3699999999999999,-13.0,1.353828964649005,,,1,,,54.0
rotation,1.46,-13.0,1.4406746145874596,,,1,,,41.0
rotation,1.5499999999999998,-13.0,1.5170273987248377,,,1,,,46.0
rotation,1.64,-13.0,1.5893757632803955,,,1,,,45.0
rotation,1.73,-13.0,1.6768116486367342,,,1,,,54.0
rotation,1.8199999999999998,-13.0,1.7690873175121158,,,1,,,52.0
rotation,1.91,-13.0,1.8614627110903121,,,1,,,45.0
rotation,2.0,-13.0,1.9218403481920983,,,1,,,57.0
rotation,0.2,-12.0,0.245357951235697,,,1,,,46.0
rotation,0.29000000000000004,-12.0,0.31839577412133635,,,1,,,64.0
rotation,0.38,-12.0,0.4041695618011716,,,1,,,44.0
rotation,0.47000000000000003,-12.0,0.47977482109014996,,,1,,,60.0
rotation,0.56,-12.0,0.5595410422674015,,,1,,,28.0
rotation,0.6499999999999999,-12.0,0.6597122419733336,,,1,,,48.0
rotation,0.74,-12.0,0.7421634609598183,,,1,,,45.0
rotation,0.8300000000000001,-12.0,0.8304157535857892,,,1,,,42.0
rotation,0.9199999999999999,-12.0,0.9283539592591149,,,1,,,51.0
rotation,1.01,-12.0,1.0037099714358626,,,1,,,56.0
rotation,1.0999999999999999,-12.0,1.0996452834438517,,,1,,,54.0
rotation,1.19,-12.0,1.1883902960493886,,,1,,,37.0
rotation,1.28,-12.0,1.2676979643144486,,,1,,,75.0
rotation,1.3699999999999999,-12.0,1.3481288368282465,,,1,,,34.0
rotation,1.46,-12.0,1.4243352804035883,,,1,,,40.0
rotation,1.5499999999999998,-12.0,1.5241273165421294,,,1,,,54.0
rotation,1.64,-12.0,1.5939821541285972,,,1,,,49.0
rotation,1.73,-12.0,1.6719150651745913,,,1,,,67.0
rotation,1.8199999999999998,-12.0,1.7688391604892029,,,1,,,41.0
rotation,1.91,-12.0,1.8485093628611018,,,1,,,51.0
rotation,2.0,-12.0,1.930610579671483,,,1,,,37.0
rotation,0.2,-11.0,0.2296706390384344,,,1,,,53.0
rotation,0.29000000000000004,-11.0,0.3144847922334674,,,1,,,32.0
rotation,0.38,-11.0,0.40244830885974453,,,1,,,55.0
rotation,0.47000000000000003,-11.0,0.4797161865433435,,,1,,,39.0
rotation,0.56,-11.0,0.5728984873713071,,,1,,,38.0
rotation,0.6499999999999999,-11.0,0.6418313111575962,,,1,,,56.0
rotation,0.74,-11.0,0.7412542489946882,,,1,,,51.0
rotation,0.8300000000000001,-11.0,0.8347116247154368,,,1,,,36.0
rotation,0.9199999999999999,-11.0,0.9153631308129956,,,1,,,52.0
rotation,1.01,-11.0,0.9986419753381902,,,1,,,48.0
rotation,1.0999999999999999,-11.0,1.1022416213996478,,,1,,,44.0
rotation,1.19,-11.0,1.1829004434648842,,,1,,,60.0
rotation,1.28,-11.0,1.2527734292146249,,,1,,,52.0
rotation,1.3699999999999999,-11.0,1.3417578749871055,,,1,,,38.0
rotation,1.46,-11.0,1.4270963602009623,,,1,,,41.0
rotation,1.5499999999999998,-11.0,1.5155376735372854,,,1,,,49.0
rotation,1.64,-11.0,1.5953263160605389,,,1,,,45.0
rotation,1.73,-11.0,1.6807065558219836,,,1,,,41.0
rotation,1.8199999999999998,-11.0,1.7546187493784295,,,1,,,50.0
rotation,1.91,-11.0,1.8557421863770074,,,1,,,35.0
rotation,2.0,-11.0,1.9421503706643912,,,1,,,35.0
rotation,0.2,-10.0,0.2215898241284772,,,1,,,37.0
rotation,0.29000000000000004,-10.0,0.31535946490798134,,,1,,,52.0
rotation,0.38,-10.0,0.3877926672666745,,,1,,,65.0
rotation,0.47000000000000003,-10.0,0.4702328474022976,,,1,,,37.0
rotation,0.56,-10.0,0.5597019821465757,,,1,,,58.0
rotation,0.6499999999999999,-10.0,0.647719877393047,,,1,,,67.0
rotation,0.74,-10.0,0.735544978218626,,,1,,,41.0
rotation,0.8300000000000001,-10.0,0.8224255862583889,,,1,,,43.0
rotation,0.9199999999999999,-10.0,0.9175516597147139,,,1,,,42.0
rotation,1.01,-10.0,1.0002970629334877,,,1,,,55.0
rotation,1.0999999999999999,-10.0,1.0842847097108816,,,1,,,44.0
rotation,1.19,-10.0,1.1501734948966946,,,1,,,51.0
rotation,1.28,-10.0,1.2459524285340224,,,1,,,43.0
rotation,1.3699999999999999,-10.0,1.3307497608366903,,,1,,,41.0
rotation,1.46,-10.0,1.4076554703094037,,,1,,,49.0
rotation,1.5499999999999998,-10.0,1.5183445221078902,,,1,,,47.0
rotation,1.64,-10.0,1.5875697815561505,,,1,,,40.0
rotation,1.73,-10.0,1.6686394532992521,,,1,,,53.0
rotation,1.8199999999999998,-10.0,1.749472715368184,,,1,,,42.0
rotation,1.91,-10.0,1.838424463641446,,,1,,,45.0
rotation,2.0,-10.0,1.9234479447675792,,,1,,,41.0
rotation,0.2,-9.0,0.2174856593117375,,,1,,,34.0
rotation,0.29000000000000004,-9.0,0.30495612122784777,,,1,,,35.0
rotation,0.38,-9.0,0.3798653655980564,,,1,,,36.0
rotation,0.47000000000000003,-9.0,0.476352279764551,,,1,,,63.0
rotation,0.56,-9.0,0.5582424315104635,,,1,,,42.0
rotation,0.6499999999999999,-9.0,0.6512262406240489,,,1,,,41.0
rotation,0.74,-9.0,0.7387009779272674,,,1,,,47.0
rotation,0.8300000000000001,-9.0,0.8234970956621481,,,1,,,57.0
rotation,0.9199999999999999,-9.0,0.91214099599298,,,1,,,53.0
rotation,1.01,-9.0,0.9972002504901107,,,1,,,50.0
rotation,1.0999999999999999,-9.0,1.0756396632684682,,,1,,,44.0
rotation,1.19,-9.0,1.1652338094333874,,,1,,,54.0
rotation,1.28,-9.0,1.2525313735753691,,,1,,,44.0
rotation,1.3699999999999999,-9.0,1.337728065491417,,,1,,,46.0
rotation,1.46,-9.0,1.423801758580603,,,1,,,45.0
rotation,1.5499999999999998,-9.0,1.502539242634592,,,1,,,48.0
rotation,1.64,-9.0,1.5826450464963344,,,1,,,47.0
rotation,1.73,-9.0,1.667288982562962,,,1,,,45.0
rotation,1.8199999999999998,-9.0,1.751302570883377,,,1,,,54.0
rotation,1.91,-9.0,1.8483273516090668,,,1,,,46.0
rotation,2.0,-9.0,1.9360054432280756,,,1,,,57.0
rotation,0.2,-8.0,0.19981350253104843,,,1,,,35.0
rotation,0.29000000000000004,-8.0,0.291090895716295,,,1,,,34.0
rotation,0.38,-8.0,0.3814152519070126,,,1,,,40.0
rotation,0.47000000000000003,-8.0,0.4752115530570736,,,1,,,55.0
rotation,0.56,-8.0,0.558456689203401,,,1,,,36.0
rotation,0.6499999999999999,-8.0,0.6435294703755986,,,1,,,52.0
rotation,0.74,-8.0,0.7246716583898473,,,1,,,41.0
rotation,0.8300000000000001,-8.0,0.8154977629793452,,,1,,,43.0
rotation,0.9199999999999999,-8.0,0.9052035287762757,,,1,,,47.0
rotation,1.01,-8.0,0.9943408550718655,,,1,,,58.0
rotation,1.0999999999999999,-8.0,1.0721188408867837,,,1,,,41.0
rotation,1.19,-8.0,1.1718300002848119,,,1,,,45.0
rotation,1.28,-8.0,1.247279447740988,,,1,,,39.0
rotation,1.3699999999999999,-8.0,1.3264344401548938,,,1,,,44.0
rotation,1.46,-8.0,1.4174369537646558,,,1,,,43.0
rotation,1.5499999999999998,-8.0,1.5095548753686616,,,1,,,45.0
rotation,1.64,-8.0,1.58290513483137,,,1,,,31.0
rotation,1.73,-8.0,1.6642342915102493,,,1,,,41.0
rotation,1.8199999999999998,-8.0,1.76848136749022,,,1,,,49.0
rotation,1.91,-8.0,1.8353430813119667,,,1,,,34.0
rotation,2.0,-8.0,1.9233548948026682,,,1,,,64.0
rotation,0.2,-7.0,0.1997743474047101,,,1,,,44.0
rotation,0.29000000000000004,-7.0,0.29645406812098635,,,1,,,47.0
rotation,0.38,-7.0,0.36413899038224823,,,1,,,48.0
rotation,0.47000000000000003,-7.0,0.46948275818546165,,,1,,,44.0
rotation,0.56,-7.0,0.559547305555506,,,1,,,41.0
rotation,0.6499999999999999,-7.0,0.6376976727501306,,,1,,,32.0
rotation,0.74,-7.0,0.7298300272564759,,,1,,,47.0
rotation,0.8300000000000001,-7.0,0.8188316676767986,,,1,,,45.0
rotation,0.9199999999999999,-7.0,0.9032379664932254,,,1,,,43.0
rotation,1.01,-7.0,0.9796237149960124,,,1,,,49.0
rotation,1.0999999999999999,-7.0,1.0647522823704394,,,1,,,39.0
rotation,1.19,-7.0,1.1534525740848272,,,1,,,38.0
rotation,1.28,-7.0,1.2350114181934904,,,1,,,37.0
rotation,1.3699999999999999,-7.0,1.3287084251855192,,,1,,,43.0
rotation,1.46,-7.0,1.415485288602998,,,1,,,43.0
rotation,1.5499999999999998,-7.0,1.4956801324092515,,,1,,,40.0
rotation,1.64,-7.0,1.586205057914344,,,1,,,42.0
rotation,1.73,-7.0,1.6615251127920632,,,1,,,44.0
rotation,1.8199999999999998,-7.0,1.7486820735962283,,,1,,,48.0
rotation,1.91,-7.0,1.8288602715383575,,,1,,,50.0
rotation,2.0,-7.0,1.921378264706653,,,1,,,39.0
rotation,0.2,-6.0,0.20815502890085344,,,1,,,37.0
rotation,0.29000000000000004,-6.0,0.2983468857234322,,,1,,,36.0
rotation,0.38,-6.0,0.3819144212338837,,,1,,,52.0
rotation,0.47000000000000003,-6.0,0.4630979371144197,,,1,,,59.0
rotation,0.56,-6.0,0.5532215568766385,,,1,,,52.0
rotation,0.6499999999999999,-6.0,0.6453200779221219,,,1,,,48.0
rotation,0.74,-6.0,0.7220066208698209,,,1,,,43.0
rotation,0.8300000000000001,-6.0,0.8108218877492214,,,1,,,49.0
rotation,0.9199999999999999,-6.0,0.9025828274932515,,,1,,,37.0
rotation,1.01,-6.0,0.9845207552985286,,,1,,,37.0
rotation,1.0999999999999999,-6.0,1.0578031464532391,,,1,,,45.0
rotation,1.19,-6.0,1.148183199150626,,,1,,,39.0
rotation,1.28,-6.0,1.2346757998655293,,,1,,,45.0
rotation,1.3699999999999999,-6.0,1.3333110160425243,,,1,,,49.0
rotation,1.46,-6.0,1.4158550778920194,,,1,,,41.0
rotation,1.5499999999999998,-6.0,1.4915028771246857,,,1,,,44.0
rotation,1.64,-6.0,1.5677786243810754,,,1,,,50.0
rotation,1.73,-6.0,1.6624536771163927,,,1,,,55.0
rotation,1.8199999999999998,-6.0,1.747411348327989,,,1,,,47.0
rotation,1.91,-6.0,1.830098475704314,,,1,,,46.0
rotation,2.0,-6.0,1.9164949887603477,,,1,,,50.0
rotation,0.2,-5.0,0.20778844975698765,,,1,,,52.0
rotation,0.29000000000000004,-5.0,0.28971263179392553,,,1,,,43.0
rotation,0.38,-5.0,0.3832690574280335,,,1,,,50.0
rotation,0.47000000000000003,-5.0,0.4539961460136284,,,1,,,33.0
rotation,0.56,-5.0,0.5511963092786405,,,1,,,44.0
rotation,0.6499999999999999,-5.0,0.6392354164091215,,,1,,,63.0
rotation,0.74,-5.0,0.724323338921924,,,1,,,51.0
rotation,0.8300000000000001,-5.0,0.8126774699035427,,,1,,,44.0
rotation,0.9199999999999999,-5.0,0.8928390972549417,,,1,,,58.0
rotation,1.01,-5.0,0.9733522098734735,,,1,,,48.0
rotation,1.0999999999999999,-5.0,1.0591797483501597,,,1,,,53.0
rotation,1.19,-5.0,1.150771930377403,,,1,,,48.0
rotation,1.28,-5.0,1.2457060783499623,,,1,,,47.0
rotation,1.3699999999999999,-5.0,1.326476665132429,,,1,,,46.0
rotation,1.46,-5.0,1.4072404075680478,,,1,,,45.0
rotation,1.5499999999999998,-5.0,1.4945133868694584,,,1,,,40.0
rotation,1.64,-5.0,1.5814362898716403,,,1,,,43.0
rotation,1.73,-5.0,1.657904798416831,,,1,,,50.0
rotation,1.8199999999999998,-5.0,1.742755352765065,,,1,,,44.0
rotation,1.91,-5.0,1.8307526353198853,,,1,,,48.0
rotation,2.0,-5.0,1.9062055598917114,,,1,,,50.0
rotation,0.2,-4.0,0.2103929147571375,,,1,,,22.0
rotation,0.29000000000000004,-4.0,0.28683110599922235,,,1,,,30.0
rotation,0.38,-4.0,0.3730952385251325,,,1,,,28.0
rotation,0.47000000000000003,-4.0,0.47602322757364157,,,1,,,43.0
rotation,0.56,-4.0,0.5472514822348212,,,1,,,44.0
rotation,0.6499999999999999,-4.0,0.6375416871212156,,,1,,,54.0
rotation,0.74,-4.0,0.7273591131546139,,,1,,,33.0
rotation,0.8300000000000001,-4.0,0.8099660243412347,,,1,,,48.0
rotation,0.9199999999999999,-4.0,0.8941261388739249,,,1,,,47.0
rotation,1.01,-4.0,0.9756222414840888,,,1,,,69.0
rotation,1.0999999999999999,-4.0,1.054157514557346,,,1,,,50.0
rotation,1.19,-4.0,1.1537922412529658,,,1,,,40.0
rotation,1.28,-4.0,1.2362621815959118,,,1,,,47.0
rotation,1.3699999999999999,-4.0,1.3222525603512951,,,1,,,51.0
rotation,1.46,-4.0,1.4120648425172693,,,1,,,40.0
rotation,1.5499999999999998,-4.0,1.4940586809109206,,,1,,,38.0
rotation,1.64,-4.0,1.5723704420104745,,,1,,,39.0
rotation,1.73,-4.0,1.6502058843846414,,,1,,,61.0
rotation,1.8199999999999998,-4.0,1.7506459448241831,,,1,,,47.0
rotation,1.91,-4.0,1.8305922916831598,,,1,,,46.0
rotation,2.0,-4.0,1.9099878873541325,,,1,,,53.0
rotation,0.2,-3.0,0.2061222664652533,,,1,,,28.0
rotation,0.29000000000000004,-3.0,0.29057831331021905,,,1,,,52.0
rotation,0.38,-3.0,0.3734672063083311,,,1,,,25.0
rotation,0.47000000000000003,-3.0,0.4668505573421555,,,1,,,33.0
rotation,0.56,-3.0,0.542770707762061,,,1,,,40.0
rotation,0.6499999999999999,-3.0,0.6419980461720823,,,1,,,36.0
rotation,0.74,-3.0,0.7209554642590251,,,1,,,37.0
rotation,0.8300000000000001,-3.0,0.8049486140271762,,,1,,,43.0
