Episode,Total Reward,Termination Step
1,-94.16068267822266,16
2,-109.7160873413086,53
3,-95.24786376953125,13
4,-95.52688598632812,8
5,-100.21333312988281,84
6,-85.46834564208984,28
7,-93.99227905273438,15
8,-97.86443328857422,26
9,-96.73377990722656,10
10,-93.5922622680664,18
11,-92.78948974609375,29
12,-95.56987762451172,10
13,-92.103515625,24
14,-85.61263275146484,31
15,-106.49703216552734,75
16,-72.29375457763672,55
17,-90.27461242675781,59
18,-101.89449310302734,44
19,-90.13407897949219,27
20,-102.57219696044922,45
21,-96.83500671386719,9
22,-91.76124572753906,27
23,-94.17171478271484,13
24,-89.22164154052734,21
25,-88.75775146484375,45
26,-96.05303192138672,9
27,-92.4273452758789,12
28,-95.63768768310547,14
29,-87.08799743652344,38
30,-94.6715316772461,13
31,-99.4012222290039,45
32,-85.0204086303711,37
33,-96.97144317626953,23
34,-117.49574279785156,72
35,-94.81473541259766,16
36,-95.38094329833984,14
37,-88.87712860107422,28
38,-110.29194641113281,75
39,-98.27307891845703,28
40,-89.9212875366211,28
41,-99.83599853515625,54
42,-90.95243835449219,19
43,-94.60983276367188,12
44,-94.30317687988281,29
45,-92.12598419189453,21
46,-95.5728759765625,10
47,-72.98068237304688,41
48,-98.51953125,34
49,-95.47041320800781,12
50,-86.28726196289062,30
51,-96.36775970458984,28
52,-84.91134643554688,59
53,-95.40353393554688,12
54,-96.08882141113281,33
55,-82.84235382080078,38
56,-94.46182250976562,33
57,-101.82459259033203,41
58,-82.18370056152344,25
59,-88.20855712890625,29
60,-94.93460845947266,27
61,-90.46078491210938,24
62,-96.45245361328125,10
63,-87.79339599609375,17
64,-107.01065063476562,49
65,-94.60321044921875,16
66,-93.84297943115234,16
67,-72.06703186035156,72
68,-93.29825592041016,15
69,-96.75900268554688,50
70,-80.08168029785156,48
71,-92.01708984375,22
72,-83.57936096191406,33
73,-99.69800567626953,30
74,-93.59297943115234,28
75,-100.29015350341797,29
76,-90.93304443359375,19
77,-104.18885803222656,38
78,-97.0977554321289,32
79,-91.53038024902344,21
80,-94.53950500488281,12
81,-89.15211486816406,18
82,-94.1036148071289,33
83,-101.25677490234375,37
84,-100.69886016845703,26
85,-82.39837646484375,38
86,-92.4783706665039,21
87,-100.19561767578125,54
88,-92.9198989868164,20
89,-104.64102172851562,39
90,-97.1357650756836,7
91,-95.78573608398438,37
92,-88.69078826904297,56
93,-96.3187484741211,9
94,-99.20708465576172,25
95,-94.71033477783203,15
96,-88.90255737304688,33
