Episode,Total Reward,Termination Step
1,-93.4227294921875,15
2,-117.6033935546875,78
3,-92.83782958984375,22
4,-90.40723419189453,22
5,-74.47636413574219,120
6,-83.17362213134766,24
7,-89.62092590332031,59
8,-95.13015747070312,14
9,-94.50149536132812,25
10,-93.43805694580078,29
11,-93.6883316040039,27
12,-93.23766326904297,34
13,-93.38560485839844,20
14,-90.20032501220703,16
15,-93.94042205810547,18
16,-71.52776336669922,42
17,-92.87213897705078,47
18,-88.97563934326172,25
19,-95.85813903808594,10
20,-96.26213073730469,31
21,-94.14061737060547,17
22,-99.81806945800781,33
23,-95.56121063232422,11
24,-90.43217468261719,30
25,-94.90757751464844,10
26,-93.765625,12
27,-89.02841186523438,18
28,-94.41925811767578,13
29,-94.63562774658203,8
30,-97.59489440917969,28
31,-93.63823699951172,17
32,-85.58998107910156,29
33,-96.09770202636719,46
34,-86.10652160644531,24
35,-96.458984375,11
36,-104.850341796875,37
37,-100.82815551757812,39
38,-90.444091796875,45
39,-96.60736083984375,12
40,-83.79209899902344,37
41,-96.50350189208984,9
42,-90.31205749511719,40
43,-95.28114318847656,8
44,-88.02334594726562,21
45,-94.46895599365234,13
46,-99.46569061279297,48
47,-85.7237548828125,40
48,-95.22162628173828,40
49,-93.87846374511719,17
50,-94.52912902832031,15
51,-90.65775299072266,25
52,-92.65978240966797,15
53,-104.33562469482422,75
54,-96.44000244140625,10
55,-91.64726257324219,20
56,-88.78730773925781,29
57,-94.54532623291016,13
58,-99.80762481689453,65
59,-93.76882934570312,14
60,-84.661376953125,45
61,-110.78623962402344,52
62,-93.89874267578125,25
63,-94.59548950195312,10
64,-95.99710083007812,10
65,-89.08269500732422,30
66,-91.94355773925781,23
67,-95.716552734375,10
68,-77.57833862304688,36
69,-101.43754577636719,26
70,-94.41230010986328,13
71,-80.49986267089844,52
72,-98.24794006347656,37
73,-98.74333190917969,55
74,-92.5319595336914,15
75,-92.11881256103516,21
76,-71.77973175048828,66
77,-90.04475402832031,29
78,-82.11641693115234,37
79,-92.43553161621094,33
80,-95.0519027709961,12
81,-90.08106231689453,17
82,-94.14331817626953,12
83,-93.76380920410156,46
84,-99.96269989013672,26
85,-92.54583740234375,27
86,-96.53656005859375,9
87,-91.8259506225586,20
88,-84.48873901367188,47
89,-99.27935028076172,40
90,-97.93474578857422,32
91,-102.67381286621094,62
92,-92.63236236572266,23
93,-98.06694030761719,30
94,-82.09342193603516,50
95,-95.40762329101562,10
96,-94.31832885742188,13
97,-96.33953857421875,9
98,-92.40695190429688,30
99,-92.42597198486328,28
100,-83.59654235839844,39
101,-90.52371978759766,20
102,-94.50296020507812,26
103,-86.15464782714844,31
104,-92.39077758789062,29
105,-91.95355987548828,17
106,-72.96693420410156,44
107,-93.88874053955078,11
108,-92.34935760498047,23
109,-95.40787506103516,11
110,-96.98249816894531,31
111,-89.876220703125,15
112,-89.7015380859375,30
113,-88.70574188232422,18
114,-92.88107299804688,17
115,-95.55087280273438,34
116,-96.42798614501953,24
117,-94.21406555175781,16
118,-96.13540649414062,10
119,-94.40939331054688,27
120,-92.3778305053711,14
121,-92.97808837890625,11
122,-90.8676528930664,29
123,-89.18738555908203,18
124,-94.39903259277344,13
125,-92.72870635986328,22
126,-92.63125610351562,16
127,-93.41908264160156,17
128,-85.29759216308594,36
129,-96.88421630859375,9
130,-100.758056640625,30
131,-76.36017608642578,65
132,-100.46196746826172,26
133,-93.16534423828125,27
134,-97.99980926513672,30
135,-88.21485900878906,30
136,-95.24972534179688,26
137,-84.3264389038086,24
138,-84.63999938964844,61
139,-91.44683837890625,16
140,-74.86970520019531,58
141,-84.32369995117188,56
142,-64.83731079101562,71
143,-91.23007202148438,31
144,-74.12857055664062,68
145,-91.55537414550781,23
146,-97.11334228515625,35
147,-85.75406646728516,36
148,-115.64961242675781,119
149,-88.92412567138672,30
150,-95.14945220947266,12
151,-89.84566497802734,25
152,-92.63835144042969,12
153,-86.28158569335938,49
154,-109.621337890625,46
155,-96.39818572998047,9
156,-101.82292175292969,47
157,-90.67987060546875,27
158,-94.49880981445312,10
159,-90.55937194824219,27
160,-100.79173278808594,29
161,-96.66373443603516,10
162,-91.73053741455078,34
163,-95.47396087646484,13
164,-93.92076873779297,18
165,-91.70341491699219,22
166,-95.13288879394531,35
