demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.21983306353979123,1,0.25,1.0,4.45780890842403,,324.0
noisy,0.29000000000000004,0.0,0.3000795487631209,1,0.25,1.0,6.065416056937458,,287.0
noisy,0.38,0.0,0.3804790067558856,1,0.25,1.0,7.721137476479004,,328.0
noisy,0.47000000000000003,0.0,0.46959045512347125,1,0.25,1.0,9.543353221846084,,402.0
noisy,0.56,0.0,0.5540736214342555,1,0.25,1.0,9.904869494909,,339.0
noisy,0.6499999999999999,0.0,0.6337569762512368,1,0.25,1.0,9.90284906458575,,331.0
noisy,0.74,0.0,0.7258648345413086,1,0.25,1.0,9.906146607017345,,302.0
noisy,0.8300000000000001,0.0,0.8046473777987662,1,0.25,1.0,9.90802726538615,,276.0
noisy,0.9199999999999999,0.0,0.8981568299629993,1,0.25,1.0,9.906953843224402,,277.0
noisy,1.01,0.0,0.9832913126804762,1,0.25,1.0,9.909343667551935,,242.0
noisy,1.0999999999999999,0.0,1.0711846216867402,1,0.25,1.0,9.908031304207313,,281.0
noisy,1.19,0.0,1.160946986153837,1,0.25,1.0,9.907416876240147,,236.0
noisy,1.28,0.0,1.2485571552940609,1,0.25,1.0,9.912295152454362,,229.0
noisy,1.3699999999999999,0.0,1.322403033265443,1,0.25,1.0,9.91089245045537,,230.0
noisy,1.46,0.0,1.4052398945046483,1,0.25,1.0,9.914143657225255,,231.0
noisy,1.5499999999999998,0.0,1.499296155261918,1,0.25,1.0,9.912386304355957,,196.0
noisy,1.64,0.0,1.57591177964177,1,0.25,1.0,9.916764222184696,,198.0
noisy,1.73,0.0,1.6649156410180161,1,0.25,1.0,9.909431611818604,,184.0
noisy,1.8199999999999998,0.0,1.7409657412707071,1,0.25,1.0,9.91662668325285,,163.0
noisy,1.91,0.0,1.829925051914616,1,0.25,1.0,9.918668760161896,,151.0
noisy,2.0,0.0,1.89538924718224,1,0.25,1.0,9.919732343710777,,174.0
noisy,0.2,0.0,0.2166823788627439,2,0.25,1.0,4.359905698127013,,277.0
noisy,0.29000000000000004,0.0,0.3004981881562025,2,0.25,1.0,6.073598314677661,,319.0
noisy,0.38,0.0,0.3847868352227705,2,0.25,1.0,7.870842497873336,,389.0
noisy,0.47000000000000003,0.0,0.4736227178022805,2,0.25,1.0,9.550731765173856,,380.0
noisy,0.56,0.0,0.5525745665379099,2,0.25,1.0,9.905633598889082,,325.0
noisy,0.6499999999999999,0.0,0.6404744470271658,2,0.25,1.0,9.904731983600424,,327.0
noisy,0.74,0.0,0.7217612033621089,2,0.25,1.0,9.907419911391557,,288.0
noisy,0.8300000000000001,0.0,0.8075805960175432,2,0.25,1.0,9.905057286114145,,316.0
noisy,0.9199999999999999,0.0,0.89706139066264,2,0.25,1.0,9.90500179297759,,285.0
noisy,1.01,0.0,0.9897618821923748,2,0.25,1.0,9.909348056635457,,269.0
noisy,1.0999999999999999,0.0,1.0799938393244244,2,0.25,1.0,9.909224094532727,,239.0
noisy,1.19,0.0,1.1662612633350142,2,0.25,1.0,9.907184308683169,,271.0
noisy,1.28,0.0,1.2407319924944777,2,0.25,1.0,9.911112216931539,,242.0
noisy,1.3699999999999999,0.0,1.319883807065854,2,0.25,1.0,9.912861755808366,,220.0
noisy,1.46,0.0,1.4204891355508071,2,0.25,1.0,9.91372071701393,,222.0
noisy,1.5499999999999998,0.0,1.494336713849437,2,0.25,1.0,9.909837990750916,,199.0
noisy,1.64,0.0,1.5792551047834682,2,0.25,1.0,9.913818179869548,,214.0
noisy,1.73,0.0,1.651494878200413,2,0.25,1.0,9.911984539720182,,215.0
noisy,1.8199999999999998,0.0,1.7330983490143794,2,0.25,1.0,9.914703517192574,,183.0
noisy,1.91,0.0,1.819179866695216,2,0.25,1.0,9.917396501559589,,182.0
noisy,2.0,0.0,1.9101637473535018,2,0.25,1.0,9.91561782563176,,140.0
noisy,0.2,0.0,0.22032982157705647,3,0.25,1.0,4.433983902644557,,303.0
noisy,0.29000000000000004,0.0,0.29701098773878704,3,0.25,1.0,5.988379752213323,,290.0
noisy,0.38,0.0,0.3827552961960952,3,0.25,1.0,7.702536762377638,,359.0
noisy,0.47000000000000003,0.0,0.4690861666322855,3,0.25,1.0,9.412822577832568,,411.0
noisy,0.56,0.0,0.5523060451540927,3,0.25,1.0,9.90377155245935,,365.0
noisy,0.6499999999999999,0.0,0.6388717959727147,3,0.25,1.0,9.902597132620137,,299.0
noisy,0.74,0.0,0.7222556738267899,3,0.25,1.0,9.90682078127273,,314.0
noisy,0.8300000000000001,0.0,0.8090256005424944,3,0.25,1.0,9.903693131686312,,286.0
noisy,0.9199999999999999,0.0,0.8928496962772141,3,0.25,1.0,9.907309065501584,,289.0
noisy,1.01,0.0,0.9839174913114146,3,0.25,1.0,9.907295233514589,,258.0
noisy,1.0999999999999999,0.0,1.0715228338373568,3,0.25,1.0,9.90093270258792,,282.0
noisy,1.19,0.0,1.1610444699709488,3,0.25,1.0,9.906666636036746,,253.0
noisy,1.28,0.0,1.240562100643295,3,0.25,1.0,9.910525547535347,,229.0
noisy,1.3699999999999999,0.0,1.328599289375906,3,0.25,1.0,9.91266123086028,,219.0
noisy,1.46,0.0,1.4060933117997674,3,0.25,1.0,9.91469637285046,,219.0
noisy,1.5499999999999998,0.0,1.4960773391701778,3,0.25,1.0,9.91210854084975,,228.0
noisy,1.64,0.0,1.5776610889141571,3,0.25,1.0,9.91368576820809,,192.0
noisy,1.73,0.0,1.6553609507417317,3,0.25,1.0,9.91470594546728,,209.0
noisy,1.8199999999999998,0.0,1.72941680734883,3,0.25,1.0,9.913432805972631,,191.0
noisy,1.91,0.0,1.836885911659271,3,0.25,1.0,9.918783283531448,,173.0
noisy,2.0,0.0,1.9029942639143897,3,0.25,1.0,9.917044128132664,,176.0
noisy,0.2,0.0,0.2172085996444203,4,0.25,1.0,4.368809711593907,,290.0
noisy,0.29000000000000004,0.0,0.3023084643366566,4,0.25,1.0,6.079157429259813,,345.0
noisy,0.38,0.0,0.3836078037408545,4,0.25,1.0,7.696550980048818,,361.0
noisy,0.47000000000000003,0.0,0.46580847939083364,4,0.25,1.0,9.382909350186141,,383.0
noisy,0.56,0.0,0.5527726405045645,4,0.25,1.0,9.905297598623422,,328.0
noisy,0.6499999999999999,0.0,0.6346136365093319,4,0.25,1.0,9.905191198765786,,290.0
noisy,0.74,0.0,0.7242360848681751,4,0.25,1.0,9.904571247403856,,309.0
noisy,0.8300000000000001,0.0,0.809422701211223,4,0.25,1.0,9.905348168964984,,313.0
noisy,0.9199999999999999,0.0,0.8970100061996029,4,0.25,1.0,9.907521704121041,,270.0
noisy,1.01,0.0,0.9858769553339796,4,0.25,1.0,9.908228039242767,,273.0
noisy,1.0999999999999999,0.0,1.0738576405169267,4,0.25,1.0,9.909471840454904,,240.0
noisy,1.19,0.0,1.160513202780894,4,0.25,1.0,9.911178502625345,,267.0
noisy,1.28,0.0,1.2506677493449694,4,0.25,1.0,9.910650606357663,,225.0
noisy,1.3699999999999999,0.0,1.3214439427751898,4,0.25,1.0,9.912270696098028,,210.0
noisy,1.46,0.0,1.4087044288712474,4,0.25,1.0,9.904521439969496,,211.0
noisy,1.5499999999999998,0.0,1.4922483723852744,4,0.25,1.0,9.91428016694894,,197.0
noisy,1.64,0.0,1.5843251766233475,4,0.25,1.0,9.91374274357347,,192.0
noisy,1.73,0.0,1.659280595884354,4,0.25,1.0,9.916503715441907,,204.0
noisy,1.8199999999999998,0.0,1.7349278445468321,4,0.25,1.0,9.915072824797203,,202.0
noisy,1.91,0.0,1.8187416363018878,4,0.25,1.0,9.9140406658914,,193.0
noisy,2.0,0.0,1.89588340437765,4,0.25,1.0,9.914613306590027,,171.0
noisy,0.2,0.0,0.2154232817998526,5,0.25,1.0,4.352905663749872,,346.0
noisy,0.29000000000000004,0.0,0.29978156913619153,5,0.25,1.0,6.064779915577269,,282.0
noisy,0.38,0.0,0.38488429541344377,5,0.25,1.0,7.718940371165753,,385.0
noisy,0.47000000000000003,0.0,0.4654194587063723,5,0.25,1.0,9.388621542226264,,352.0
noisy,0.56,0.0,0.5502947262770861,5,0.25,1.0,9.9047678188098,,368.0
noisy,0.6499999999999999,0.0,0.6385539833500994,5,0.25,1.0,9.90622764329335,,335.0
noisy,0.74,0.0,0.7233115545382104,5,0.25,1.0,9.90274181180052,,322.0
noisy,0.8300000000000001,0.0,0.8086818250474206,5,0.25,1.0,9.907193528695435,,268.0
noisy,0.9199999999999999,0.0,0.8967443968038108,5,0.25,1.0,9.908906323032424,,279.0
noisy,1.01,0.0,0.9851264543420863,5,0.25,1.0,9.9073784122683,,294.0
noisy,1.0999999999999999,0.0,1.0804802780044513,5,0.25,1.0,9.90984637951735,,248.0
noisy,1.19,0.0,1.1531514596111732,5,0.25,1.0,9.911644407111467,,249.0
noisy,1.28,0.0,1.2453800591839619,5,0.25,1.0,9.90590446180699,,251.0
noisy,1.3699999999999999,0.0,1.324171020444023,5,0.25,1.0,9.913116610221353,,206.0
noisy,1.46,0.0,1.4086082126864354,5,0.25,1.0,9.911527650738805,,216.0
noisy,1.5499999999999998,0.0,1.494405168773862,5,0.25,1.0,9.910866569422287,,210.0
noisy,1.64,0.0,1.5801694206464951,5,0.25,1.0,9.905317053410949,,199.0
noisy,1.73,0.0,1.655795493940025,5,0.25,1.0,9.917044663743859,,205.0
noisy,1.8199999999999998,0.0,1.7367640568857041,5,0.25,1.0,9.910471790368112,,200.0
noisy,1.91,0.0,1.8331502543691578,5,0.25,1.0,9.91579623343426,,163.0
noisy,2.0,0.0,1.9049412800193968,5,0.25,1.0,9.913602153008576,,190.0
noisy,0.2,0.0,0.2180295729284447,6,0.25,1.0,4.449071505224973,,328.0
noisy,0.29000000000000004,0.0,0.3000697959503431,6,0.25,1.0,6.055274177738159,,316.0
noisy,0.38,0.0,0.38449413820835404,6,0.25,1.0,7.712017115183333,,358.0
noisy,0.47000000000000003,0.0,0.4690556372750165,6,0.25,1.0,9.442466643055587,,375.0
noisy,0.56,0.0,0.5542536458147279,6,0.25,1.0,9.90487957155582,,351.0
