Episode,Total Reward,Termination Step
1,-83.88385009765625,56
2,-96.83909606933594,31
3,-91.46014404296875,29
4,-83.46498107910156,38
5,-81.21443176269531,33
6,-91.39754486083984,11
7,-92.9249267578125,20
8,-94.27690124511719,13
9,-90.69255065917969,26
10,-97.2867202758789,8
11,-86.88182067871094,39
12,-95.31301879882812,13
13,-93.59867095947266,19
14,-81.23360443115234,34
15,-110.29408264160156,54
16,-89.15926361083984,30
17,-98.74900817871094,24
18,-98.90347290039062,31
19,-94.57637786865234,15
20,-95.48377990722656,11
21,-98.4686279296875,40
22,-115.7760238647461,74
23,-88.634521484375,27
24,-93.64088439941406,31
25,-91.65766906738281,21
26,-95.42677307128906,9
27,-72.80075073242188,69
28,-93.58747863769531,52
29,-88.53054809570312,16
30,-87.64131164550781,24
31,-94.18333435058594,61
32,-97.47820281982422,33
33,-95.05354309082031,11
34,-73.26261901855469,46
35,-96.54703521728516,36
36,-93.56554412841797,19
37,-89.8482437133789,54
38,-98.4527587890625,29
39,-89.11566925048828,31
40,-80.46797180175781,51
41,-92.61386108398438,49
42,-87.04317474365234,43
43,-92.83673095703125,17
44,-91.12195587158203,18
45,-91.01610565185547,35
46,-101.5683822631836,38
47,-93.50238800048828,11
48,-88.0638427734375,25
49,-84.41222381591797,41
50,-68.67855834960938,95
51,-96.11880493164062,29
52,-94.17488098144531,14
53,-102.02813720703125,30
54,-95.211181640625,13
55,-93.12882995605469,27
56,-97.29305267333984,26
57,-91.03333282470703,25
58,-86.13846588134766,21
59,-90.97229766845703,17
60,-92.28538513183594,18
61,-93.77525329589844,16
62,-98.10514068603516,29
63,-92.04114532470703,27
64,-128.5148162841797,100
65,-90.97822570800781,34
66,-91.43486022949219,21
67,-92.6412353515625,26
68,-92.91922760009766,13
69,-100.63468170166016,27
70,-90.21147155761719,32
71,-95.77501678466797,31
72,-91.51617431640625,17
73,-91.12173461914062,29
74,-90.46110534667969,22
75,-92.31362915039062,21
76,-82.61471557617188,41
77,-98.61251831054688,30
78,-96.28887939453125,40
79,-98.4660873413086,47
80,-85.8114242553711,31
81,-89.57804870605469,27
82,-92.12348175048828,28
83,-96.35335540771484,102
84,-96.33055877685547,45
85,-84.05583190917969,27
86,-99.70894622802734,30
87,-89.19791412353516,43
88,-109.26634216308594,47
89,-90.74026489257812,20
90,-96.4532241821289,9
91,-72.44926452636719,54
92,-97.56529235839844,31
93,-94.84383392333984,12
94,-78.49177551269531,58
95,-96.67849731445312,9
96,-98.46661376953125,26
97,-82.33622741699219,45
98,-93.61582946777344,10
99,-90.08470916748047,14
100,-67.01173400878906,94
101,-88.64521789550781,21
102,-90.48551940917969,27
103,-95.7462387084961,10
104,-93.96188354492188,17
105,-93.90337371826172,13
106,-78.45979309082031,33
107,-94.0301284790039,35
108,-99.30998229980469,23
109,-94.04314422607422,34
110,-87.92313385009766,30
111,-90.61157989501953,23
112,-97.98700714111328,29
113,-88.981689453125,39
114,-93.64757537841797,35
115,-105.81455993652344,46
116,-100.65381622314453,27
117,-89.80534362792969,43
118,-96.47840118408203,38
119,-96.63253021240234,10
120,-89.5372085571289,17
121,-87.79711151123047,29
122,-92.06827545166016,33
123,-88.27806091308594,19
124,-80.99937438964844,49
125,-91.17230987548828,27
126,-98.28511047363281,35
127,-90.8413314819336,29
128,-90.44136047363281,29
129,-94.72166442871094,13
130,-103.00200653076172,43
131,-93.2306137084961,29
132,-95.72055053710938,13
133,-90.37474060058594,21
134,-82.15093231201172,43
135,-84.3453598022461,42
136,-82.16094970703125,45
137,-89.90103912353516,13
138,-98.09162902832031,30
139,-95.0351791381836,11
140,-84.57662963867188,46
141,-95.91523742675781,32
142,-100.72293853759766,56
143,-94.22065734863281,16
144,-98.90864562988281,28
145,-93.84781646728516,14
146,-90.11520385742188,20
147,-71.93405151367188,50
148,-93.24610137939453,28
149,-90.69107055664062,25
150,-92.73477172851562,16
151,-78.24008178710938,31
152,-71.03572082519531,80
153,-95.65760803222656,10
154,-96.07828521728516,11
155,-96.0864028930664,9
156,-83.13179779052734,43
157,-93.45370483398438,35
158,-91.76695251464844,14
159,-95.54222106933594,13
160,-100.04048919677734,36
161,-92.19161987304688,29
162,-94.09847259521484,14
163,-85.41720581054688,41
164,-94.75431823730469,50
165,-91.69181060791016,18
166,-88.9055404663086,33
167,-93.3406753540039,27
168,-91.42912292480469,14
169,-105.14555358886719,54
170,-97.40605163574219,49
171,-94.63514709472656,19
172,-115.10066223144531,74
173,-89.53124237060547,28
174,-92.22400665283203,13
175,-91.65003204345703,21
176,-92.9752197265625,14
177,-93.64090728759766,35
178,-89.03738403320312,22
179,-89.50118255615234,42
180,-89.00990295410156,27
181,-95.60936737060547,9
182,-98.63117980957031,30
183,-83.44522094726562,30
184,-92.75709533691406,11
185,-88.87080383300781,29
186,-88.19226837158203,34
187,-88.95521545410156,21
188,-89.1444320678711,28
189,-95.2343978881836,9
190,-92.86302185058594,18
191,-95.78583526611328,13
192,-96.68012237548828,33
193,-88.37413024902344,27
194,-94.79280853271484,11
195,-91.62345886230469,45
196,-87.7313232421875,35
197,-95.11206817626953,10
198,-94.93982696533203,36
199,-92.96324920654297,12
200,-101.57640838623047,40
201,-99.30762481689453,27
202,-101.33350372314453,71
203,-85.93758392333984,38
204,-93.10172271728516,30
205,-96.43085479736328,9
206,-82.22805786132812,57
207,-93.08445739746094,49
208,-82.11287689208984,25
209,-90.81925964355469,15
210,-92.10073852539062,39
211,-90.03494262695312,28
212,-94.49921417236328,35
213,-92.81317901611328,45
214,-95.10503387451172,14
215,-90.6939697265625,19
216,-98.08866882324219,20
217,-97.30084991455078,8
218,-96.38151550292969,8
219,-93.10408782958984,20
220,-84.41539764404297,30
221,-88.83447265625,32
222,-97.15614318847656,70
223,-87.81747436523438,42
224,-95.92327880859375,10
225,-96.35466766357422,45
226,-92.51321411132812,31
227,-85.23457336425781,31
228,-90.5568618774414,35
229,-93.92593383789062,24
230,-93.91996765136719,15
231,-98.90617370605469,28
232,-87.68968200683594,29
233,-113.45585632324219,57
234,-98.84326934814453,26
235,-117.90013885498047,67
236,-92.49905395507812,24
237,-98.70462799072266,30
238,-90.99896240234375,32
239,-97.3747329711914,27
240,-92.70643615722656,18
241,-89.07762145996094,18
242,-97.58505249023438,21
243,-91.31794738769531,19
244,-66.59010314941406,79
245,-90.53273010253906,26
246,-94.99917602539062,13
247,-79.04467010498047,62
248,-94.36652374267578,10
249,-88.3021240234375,36
250,-89.91195678710938,19
251,-102.44754028320312,73
252,-97.10562896728516,29
253,-93.63172149658203,15
254,-79.91059875488281,29
255,-91.59362030029297,45
256,-80.92574310302734,65
257,-95.4459228515625,23
258,-89.50274658203125,28
259,-98.77985382080078,28
260,-96.72929382324219,33
261,-93.59169006347656,30
262,-100.86051940917969,27
263,-82.62125396728516,37
264,-93.09042358398438,32
265,-96.66825866699219,8
266,-98.00191497802734,32
267,-99.77656555175781,30
268,-88.50946044921875,32
269,-93.14088439941406,38
270,-111.27857971191406,72
271,-95.01130676269531,13
272,-96.1653060913086,24
273,-93.84722137451172,32
274,-91.98741149902344,23
275,-92.40176391601562,22
276,-98.29593658447266,32
277,-90.43748474121094,24
278,-87.74104309082031,42
279,-91.83157348632812,27
280,-101.45164489746094,58
281,-95.65637969970703,10
282,-89.55551147460938,43
283,-89.69190216064453,16
284,-88.97266387939453,33
285,-90.87730407714844,34
286,-85.36180877685547,25
287,-85.64685821533203,28
288,-96.36640167236328,30
289,-91.26639556884766,23
290,-95.59680938720703,11
291,-89.51853942871094,26
292,-97.07905578613281,34
293,-105.74502563476562,46
294,-87.00776672363281,19
295,-84.51483917236328,42
296,-90.40704345703125,22
297,-81.24150848388672,28
298,-83.95197296142578,39
299,-95.51026153564453,28
300,-90.4372787475586,36
301,-90.38397979736328,31
302,-74.59343719482422,44
303,-89.88658905029297,24
304,-75.33331298828125,36
305,-89.6982650756836,29
306,-91.19058227539062,32
307,-86.06745910644531,27
308,-90.6367416381836,17
309,-95.60029602050781,12
310,-91.8082046508789,42
311,-78.26060485839844,45
312,-93.72076416015625,17
313,-88.57186889648438,35
314,-94.08157348632812,16
315,-89.80583190917969,22
316,-89.42121124267578,36
