Episode,Total Reward,Termination Step
1,-1315.280251428485,506
2,-757.8667679969221,386
3,-1198.2964969351888,575
4,-1213.6059110891074,481
5,-704.4370655268431,374
6,-1637.5180571079254,777
7,-1795.7294903434813,862
8,-1033.0267735235393,413
9,-2077.400695554912,843
10,-1036.399426266551,532
11,-692.446331165731,332
12,-644.7286423295736,347
13,-807.1444926939439,332
14,-1272.1529231071472,670
15,-538.8397160084569,332
16,-876.0404807031155,360
17,-846.6137582212687,434
18,-1694.250514473766,983
19,-730.0065786093473,327
20,-675.4607209702954,390
21,-515.1452225707471,325
22,-928.9367965012789,490
23,-941.8660420551896,427
24,-919.9355754107237,463
25,-717.0827246904373,353
26,-1577.1039990112185,663
27,-1373.7968880389235,666
28,-1261.8654357269406,750
29,-708.0719238221645,376
30,-859.7532145902514,440
31,-719.9182230085135,404
32,-847.9948827698827,445
33,-527.6629504985176,346
34,-1396.6172641143203,750
35,-694.3191175013781,360
36,-705.4856208666461,428
37,-637.8904110081494,346
38,-582.3612594082952,347
39,-681.1745033077896,389
40,-646.2154105305672,365
41,-702.201267587021,392
42,-554.3518662173301,345
43,-600.6020024679601,351
44,-786.5854005366564,404
45,-764.2409633994102,402
46,-1014.4130056714639,594
47,-575.775906663388,373
48,-1615.1927829384804,944
49,-470.20754557847977,316
50,-1020.8221055865288,633
51,-934.1059994846582,422
52,-1500.8756053224206,806
53,-1133.5723791271448,619
54,-504.3656598292291,330
55,-944.4615015164018,507
56,-1047.5552082881331,603
57,-1608.436034888029,911
58,-847.662866614759,484
59,-682.6812490150332,422
60,-850.1945478413254,465
61,-661.5778478467837,367
62,-783.6167540028691,420
63,-674.6800932609476,383
64,-530.3067638529465,337
65,-661.3691061623394,399
66,-922.3791908919811,513
67,-848.1024681404233,493
68,-867.1813582167961,470
69,-550.0846265350701,384
70,-663.6371470838785,383
71,-657.2984314411879,399
72,-563.1988503262401,372
73,-571.0373114980757,349
74,-677.2072843164206,420
75,-673.2144397124648,384
76,-625.4689631462097,423
77,-669.6433286312968,405
78,-771.60619146924,391
79,-792.5108269043267,455
80,-634.5443718917668,401
81,-627.2512881159782,401
82,-699.3368684779853,403
83,-463.16411007754505,313
84,-1077.543758481741,611
85,-696.1354603432119,378
86,-733.4836424356326,395
87,-587.7600861852989,353
88,-631.0661672577262,413
89,-735.7787253111601,457
90,-1540.723381176591,851
91,-848.0578202605247,428
92,-1314.6439079232514,762
93,-636.0294284522533,397
94,-678.5974809452891,366
95,-1031.4024048671126,531
96,-1589.5434428080916,940
97,-829.8205523790093,458
98,-696.0999336987734,443
99,-781.6587186679244,430
100,-843.3229246586561,542
101,-1336.2530776262283,778
102,-1070.3244898989797,601
103,-1832.6584144495428,1068
104,-809.725401153788,437
105,-1348.43963162601,768
106,-783.3803123980761,430
107,-854.8772591352463,472
108,-805.7937576621771,483
109,-554.5820580422878,329
110,-733.9947236888111,428
111,-539.3323554471135,347
112,-1343.2418639231473,657
113,-541.7786246314645,334
114,-656.0115355737507,379
115,-857.9838481321931,453
116,-648.5632160119712,400
117,-659.7405147105455,357
118,-2611.0330057553947,1435
119,-916.6761994240806,499
120,-745.7282983076293,468
121,-652.9675246179104,411
122,-759.7563801407814,419
123,-590.0351095311344,379
124,-1115.2199462521821,677
125,-1084.2619573224802,622
126,-644.8918784707785,408
127,-324.1577844270505,322
128,-709.4634290337563,386
129,-1763.1522811492905,1124
130,-859.7479699403048,505
131,-505.870202627033,349
132,-870.3630448281765,574
133,-553.1567805334926,348
134,-725.164644792676,396
135,-651.4552482366562,402
136,-1185.0718022952788,725
137,-1545.5350317768753,938
138,-598.0684255898377,421
139,-936.8661815114319,606
140,-415.8873303104192,327
141,-710.6779822837561,437
142,-1061.1428711339831,577
143,-949.7220049696043,523
144,-789.2329547964036,479
145,-1022.7748592272401,574
146,-778.930827267468,443
147,-793.8933468163013,509
148,-1863.6245162263513,1094
149,-290.3540301457324,267
150,-636.1354353651404,373
151,-460.8854122981429,252
152,-867.3020983878523,614
153,-781.4028033614159,454
154,-620.1462515592575,386
155,-1311.4067634727107,845
156,-496.61624359874986,374
157,-1169.8623145967722,794
158,-1663.1548240482807,921
159,-498.62695474363863,331
160,-1086.9706659070216,730
161,-550.3731037194375,348
162,-901.3714447617531,607
163,-842.3676590677351,565
164,-589.633821066469,355
165,-423.0183562114835,315
166,-861.1817512754351,580
167,-1243.7055883556604,763
168,-685.5439356736606,397
169,-1054.9285017997026,665
170,-1198.4437101759831,697
171,-453.8439508974552,314
172,-1026.961767360568,605
173,-637.8798863105476,414
174,-1178.0823815613985,759
175,-905.0013631336333,637
176,-627.816967163235,360
177,-995.5013265805319,671
178,-915.2330508977175,566
179,-585.7498117610812,385
180,-701.1423066341085,426
181,-1234.3802922777832,783
182,-574.3042532391846,378
183,-718.0396222975105,522
184,-771.3988914312795,529
185,-599.5234019294148,461
186,-929.7388700172305,673
187,-524.6771409846842,389
188,-686.2795803891495,522
189,-937.963053916581,651
190,-401.35464580392,326
191,-407.3075320950011,389
192,-1672.880208145827,1202
193,-841.4198286361061,517
194,-482.5067375297658,387
195,-939.509120229166,659
196,-832.0126348603517,569
197,-641.9357741959393,450
198,-932.5922954482958,640
199,-491.8608333542943,334
200,-1011.4475381632801,704
201,-701.0932714175433,528
202,-587.8023154307157,397
203,-600.630934660323,473
204,-1040.586001132615,679
205,-1945.528479669243,1235
206,-742.0261577647179,361
207,-1095.6046582087874,801
208,-759.8363355863839,565
209,-392.437027042266,312
210,-925.326843354851,570
211,-887.9863055227324,681
212,-576.8494950644672,334
213,-923.272988290526,639
214,-1082.4825635086745,757
215,-913.8785422667861,603
216,-528.8481549901189,438
217,-508.0738382381387,482
218,-1981.9666903272737,1384
219,-1421.8493243402336,1009
220,-210.9313971363008,271
221,-410.1982886455953,386
222,-1138.5655202325433,746
223,-973.1304340555798,829
224,-934.1453066945542,696
225,-823.2499772617593,643
226,-615.2904988597147,538
