Episode,Total Reward,Termination Step
1,-30.34398494521156,76
2,-44.41582079627551,49
3,-83.43386562168598,79
4,-28.328180216252804,63
5,-16.406095538986847,60
6,-72.92553940415382,66
7,-67.9997224630788,108
8,-53.536601243540645,56
9,-23.50659249536693,59
10,-93.14379732310772,106
11,-85.56088754697703,157
12,-35.66808608616702,62
13,-34.06191503815353,124
14,-19.80647348286584,39
15,-67.3352079069009,100
16,-14.309826880693436,59
17,1.567132193595171,48
18,-50.79579761624336,52
19,-17.11378961429,32
20,-65.0865521915257,86
21,-26.130157405510545,35
22,-62.78273596148938,111
23,-28.184542103204876,61
24,-27.06751092756167,53
25,-22.734938794048503,37
26,-1.6129922419786453,33
27,-30.84294597990811,82
28,-7.827847391366959,43
29,-51.96288249082863,52
30,-35.449696461029816,56
31,-19.956797691062093,39
32,-31.382530242481153,53
33,-75.32570876576938,120
34,-33.0867815380916,49
35,-30.537881107768044,48
36,-34.063161711674184,59
37,-53.34980595856905,122
38,-94.6264328584075,93
39,-50.80171374976635,134
40,-17.51370760332793,56
41,-15.157714704982936,33
42,-26.584863293915987,51
43,-7.833767615258694,37
44,-25.880564648658037,48
45,-29.352407285943627,63
46,-32.24436816573143,92
47,-47.03636948764324,56
48,-30.41129533201456,49
49,-40.93097632215358,48
50,-72.78064622543752,111
51,-11.841888789087534,39
52,-41.32070104032755,42
53,-115.41708420217037,144
54,-30.25317469681613,110
55,-25.574075527489185,46
56,-21.741061611566693,61
57,-135.08368143439293,132
58,-18.14762545924168,44
59,-58.337424989789724,136
60,-35.64418398961425,70
61,-43.841426745057106,58
62,-15.85986258648336,42
63,-34.94232943141833,61
64,-40.14744835952297,76
65,-21.0042284745723,65
66,-51.67941009654896,91
67,-23.105612449347973,46
68,-41.219526279717684,76
69,-50.37817849870771,96
70,-25.678321573417634,97
71,-15.344351079082116,71
72,-35.84991966403322,95
73,-74.05375527590513,146
74,-6.693726718425751,47
75,-25.733203200623393,55
76,-31.167949771508574,47
77,-72.82697467319667,135
78,-144.33940572291613,167
79,-64.41570064797997,93
80,-11.656547026708722,46
81,-29.321203725412488,61
82,-24.085509087890387,61
83,-18.27536596171558,63
84,-22.05089099239558,38
85,-28.468148643150926,61
86,-79.81695138849318,114
87,-58.815057343803346,110
88,-30.87865814892575,71
89,-33.864337710663676,77
90,-56.88593436777592,92
91,-62.09853024035692,101
92,-22.850362788885832,56
93,-22.356341298669577,61
94,-30.15933296829462,46
95,-60.22091234475374,54
96,-25.21067667938769,45
97,-120.81669951742515,206
98,-64.4185861647129,107
99,-16.8253570869565,36
100,4.096805238863453,52
101,-2.2624463536776602,48
102,-35.42336822208017,61
103,-21.963334094733,43
104,-65.74580424278975,116
105,-26.25174882914871,122
106,-53.213171342387795,80
107,-37.621445305645466,63
108,-35.90549913048744,87
109,-24.17208422406111,161
110,-56.155967216938734,60
111,-10.381257243454456,31
112,-27.18982394039631,51
113,-0.5857983902096748,108
114,-27.039293438196182,45
115,-23.805933512747288,42
116,-36.38003709167242,59
117,-15.022007573395967,36
118,-78.4226807593368,125
119,-127.14955588895828,153
120,-30.42241772543639,61
121,-30.166236974298954,81
122,-72.11907393485308,79
123,-29.030985108576715,62
124,-42.275511875748634,73
125,-7.9527108911424875,37
126,-17.40094494074583,42
127,-110.67847207933664,115
128,-49.59369956632145,137
129,-30.23589086998254,58
130,-34.240230191498995,75
131,-17.998397037386894,36
132,-16.12569851987064,37
133,-51.55868369946256,56
134,-26.2577820494771,36
135,-18.185379093512893,40
136,-6.892904425039887,36
137,-28.023532036691904,74
138,-50.27077803015709,54
139,-5.472097408026457,47
140,-22.978886552155018,74
141,-25.772610211977735,58
142,-14.25785955664469,59
143,-21.51228098757565,65
144,-21.26993079856038,40
145,-120.95450315624475,115
146,-25.70106902718544,41
147,-34.994259112514555,34
148,-24.288802314549685,59
149,-34.00288469484076,71
150,-2.2641953006386757,42
