Episode,Total Reward,Termination Step
1,-38.564714290201664,53
2,-135.51417526230216,177
3,-36.11618956923485,36
4,-48.48594616912305,69
5,-120.23336164746433,147
6,-30.653046254068613,30
7,-41.74643190205097,54
8,-73.81067212671041,83
9,-30.01007415354252,29
10,-75.67862866073847,82
11,-53.25068272650242,54
12,-73.6755488961935,99
13,-52.292997889220715,58
14,-152.2438675351441,180
15,-90.8485309490934,116
16,-57.06258786097169,63
17,-54.730481561273336,65
18,-158.55348058789968,228
19,-35.974842716008425,36
20,-180.05397154204547,216
21,-37.04693262279034,43
22,-65.10467429459095,71
23,-116.62834629788995,136
24,-72.26097472663969,89
25,-148.7073430372402,171
26,-37.72363745421171,53
27,-38.29683545976877,40
28,-59.55532934889197,66
29,-71.14522073394619,104
30,-38.56810585479252,49
31,-39.99494077451527,47
32,-103.04695114865899,126
33,-29.209282524883747,29
34,-73.44828231725842,89
35,-31.437995923450217,31
36,-156.88077842397615,178
37,-29.754808184225112,40
38,-32.99171036109328,36
39,-57.38261064141989,56
40,-142.3961690980941,165
41,-102.38660907186568,121
42,-36.78726175427437,40
43,-50.96147200465202,57
44,-57.27945972979069,71
45,-85.26224069217278,105
46,-34.91799446940422,32
47,-101.31172818690538,112
48,-197.54369758814573,275
49,-40.87862832844257,44
50,-83.63559186225757,115
51,-132.64942878484726,155
52,-125.83364152163267,146
53,-42.379587188363075,44
54,-115.70841275528073,164
55,-42.10580396652222,39
56,-100.36097945645452,137
57,-133.98863341100514,173
58,-31.681556701660156,29
59,-85.65507547836751,101
60,-90.26102178171277,105
61,-35.97927908785641,40
62,-40.70983371138573,43
63,-31.410302249714732,34
64,-35.899846613407135,39
65,-35.30097223818302,38
66,-108.46255539543927,121
67,-37.09482987225056,30
68,-127.96185650490224,168
69,-68.84286229126155,74
70,-104.13233630545437,134
71,-49.98855319991708,62
72,-30.846283975988626,35
73,-178.97840524371713,252
74,-30.910858519375324,35
75,-26.56317876279354,28
76,-134.94000231847167,154
77,-35.24656763672829,37
78,-89.17268488835543,121
79,-70.61508857831359,95
80,-190.8926651845686,226
81,-61.05237552151084,75
82,-38.82674679160118,43
83,-58.06818360090256,52
84,-50.363365881145,62
85,-33.319237276911736,34
86,-125.65066472061153,156
87,-32.86950863711536,37
88,-56.22654036898166,74
89,-82.47392453555949,102
90,-41.78955873474479,55
91,-44.45441821590066,48
92,-50.34143107384443,51
93,-101.19006493501365,128
94,-102.32952081318945,127
95,-120.89483024401125,205
96,-78.55019191652536,104
97,-38.01563002169132,43
98,-39.023077577352524,39
99,-64.5814170781523,80
100,-137.97969984263182,173
101,-38.382094994187355,40
102,-97.46767998801079,158
103,-33.6024167239666,31
104,-45.98998497799039,56
105,-153.13770448602736,192
106,-88.26883007027209,99
107,-31.668357955291867,34
108,-53.21325774490833,48
109,-77.52673154696822,78
110,-31.049309112131596,30
111,-41.72547361254692,37
112,-162.73443263955414,221
113,-127.8090538715478,122
114,-102.14703173004091,116
115,-62.24836438894272,78
116,-39.16463942080736,44
117,-103.66852807160467,143
118,-189.37340740673244,301
119,-42.67956582643092,57
120,-37.82115065678954,42
121,-86.72520934790373,105
122,-36.51941459812224,42
123,-201.23884568194626,301
124,-38.238981172442436,34
125,-89.72520898282528,92
126,-161.65402566827834,216
127,-61.25245137140155,70
128,-86.63808833342046,110
129,-106.81529803946614,135
130,-85.80829429998994,95
131,-39.442920088768005,46
132,-50.56717272847891,58
133,-36.74145755916834,46
134,-94.40948877483606,105
135,-66.96066474914551,73
136,-37.10692026279867,51
137,-114.7213412374258,140
138,-46.62870378047228,58
139,-100.36791871697642,126
140,-52.43592655286193,49
141,-31.302850544452667,31
142,-33.57136233896017,39
143,-29.805699337273836,28
144,-28.968333361670375,34
145,-195.95309697976336,248
146,-72.70718185976148,74
147,-54.32043381035328,60
148,-54.38106343150139,64
149,-77.87624322553165,100
150,-26.83064379170537,25
151,-40.286411627195776,41
152,-49.17335366457701,45
153,-40.73664181865752,54
154,-122.18423978844658,201
155,-50.69326778128743,55
156,-46.67804190516472,46
157,-44.15081819007173,52
158,-87.05129989609122,110
159,-56.68946806527674,83
160,-61.89741091057658,75
161,-112.81701833661646,138
162,-86.79587897658348,109
163,-82.80412882566452,97
164,-186.2788905329071,301
165,-246.80892289010808,301
166,-28.061123587191105,27
167,-198.2443147529848,301
168,-38.34949193801731,46
169,-69.38766420073807,91
170,-211.99995068786666,301
171,-88.57554060220718,110
172,-33.47488862276077,36
173,-41.52921971678734,58
174,-142.6523116856115,183
175,-54.88141487445682,81
176,-44.434088349342346,54
177,-41.28482656367123,51
178,-39.10968432947993,40
179,-48.049292251467705,60
180,-272.3137768562883,283
181,-42.1018570587039,42
182,-65.74653056263924,85
183,-78.77533435635269,81
184,-29.79175266250968,26
185,-73.11190774478018,107
186,-40.881144599057734,41
187,-80.19484851509333,104
188,-100.18736572191119,127
189,-89.87318403273821,101
190,-36.111424185335636,41
191,-64.5890736100555,91
192,-33.12844370305538,38
193,-94.74420044571161,95
194,-28.989130705595016,30
195,-108.37698910944164,133
196,-64.02395827323198,65
197,-222.285769357346,301
198,-27.389594176085666,24
199,-65.84826193004847,75
200,-253.3563161753118,278
201,-116.58613183302805,159
202,-44.05274039506912,42
203,-159.18847920000553,243
204,-46.47209828346968,51
205,-58.5663172993809,83
206,-41.69205652363598,46
207,-215.51056807208806,301
208,-39.58447330258787,54
209,-40.64592480007559,51
210,-46.57279469817877,51
211,-46.28653398901224,53
212,-41.20684012770653,53
213,-50.88743244763464,54
214,-29.25003296136856,29
215,-56.03187348879874,57
216,-33.4884941726923,32
217,-125.84495509415865,139
218,-43.200978469103575,49
219,-28.92093511670828,30
220,-121.47878189198673,164
221,-30.451542757451534,33
222,-76.9015936627984,77
223,-71.84394289785996,79
224,-79.95782887097448,119
225,-62.93156962096691,91
226,-31.90008917823434,32
227,-33.493674740195274,29
228,-39.61637943983078,45
229,-48.43193116039038,51
230,-139.25943940505385,189
231,-29.381488397717476,26
232,-122.94640987366438,161
233,-131.824553783983,156
234,-85.26574460417032,108
235,-33.87547719478607,41
236,-130.6532345339656,179
237,-39.337920229882,40
238,-88.05449301749468,106
239,-67.69259863672778,97
240,-151.57174463849515,169
241,-132.2845475305803,196
242,-45.917832074686885,49
243,-9.765525817871094,1
244,-101.40044627897441,141
245,-29.805320627987385,34
246,-77.29375845193863,93
247,-41.46056817227509,44
248,-64.37667783349752,74
249,-34.38160028588027,46
250,-102.32629364728928,145
251,-35.63506281748414,44
252,-195.05823422595859,256
253,-60.15560500882566,84
254,-116.96224807575345,155
255,-71.09096339717507,82
256,-32.121225982904434,29
257,-45.38299833238125,46
258,-136.45043587964028,176
259,-216.21278521977365,301
260,-43.32560560107231,50
261,-111.72888948023319,133
262,-74.9374741311185,95
263,-31.87168308906257,36
264,-49.86418166896328,70
265,-44.744423530995846,52
266,-115.91375084593892,155
267,-69.68775190412998,75
268,-38.329870242625475,41
269,-42.98158937320113,57
270,-74.65435966104269,93
271,-44.96164905652404,50
272,-39.74698957800865,47
273,-30.781952410936356,28
274,-147.02441444195574,226
275,-91.9534681038931,138
276,-86.4568251138553,129
277,-221.38690883293748,301
278,-41.67212255112827,50
279,-43.83540384657681,56
280,-53.9410877157934,66
281,-39.56586040649563,49
282,-157.41821126732975,189
283,-26.946745693683624,28
284,-47.6583567103371,55
285,-163.90209698304534,201
286,-45.909176394343376,55
287,-140.98629181832075,221
288,-90.97505709971301,111
289,-103.48170616477728,128
290,-92.2058402299881,115
291,-43.39834746345878,44
292,-144.69287396781147,191
293,-26.49060072004795,30
294,-73.32316606724635,90
295,-27.87783736921847,27
296,-44.17561992909759,50
297,-64.7579814819619,72
298,-34.74625979876146,35
299,-169.97502648085356,202
300,-30.10714367032051,26
301,-167.61386501343804,212
302,-72.13028077594936,103
303,-29.218367505818605,30
304,-36.262720465660095,35
305,-38.91873361170292,41
306,-40.588066052645445,47
307,-30.855763360857964,34
308,-96.66511086188257,117
309,-31.019700974225998,34
310,-36.910117387771606,52
311,-68.45978832244873,80
312,-196.2694260030985,300
313,-59.70657652616501,98
314,-52.2050506323576,64
315,-181.41539112199098,262
316,-60.91835227701813,82
317,-40.409575283527374,48
318,-39.7022101264447,43
319,-240.52871014550328,280
320,-32.754739470779896,36
321,-31.391667634248734,35
322,-96.69446239434183,132
323,-92.4107329826802,131
324,-74.30975475627929,70
325,-76.64819048310164,124
326,-38.3271152600646,34
327,-29.733919981867075,38
328,-111.76325956149958,145
329,-198.555044203531,301
330,-34.15790846385062,34
331,-53.83477630652487,54
332,-256.25921177957207,296
333,-39.10438758227974,48
334,-62.43540905416012,68
335,-30.393016519024968,32
336,-24.094458375126123,28
337,-58.747606911696494,77
338,-51.26554921269417,51
339,-76.86629319377244,87
340,-31.45471090078354,28
341,-27.885953567922115,28
342,-117.259663723642,163
343,-33.737737856805325,40
344,-200.2508998028934,278
345,-38.583231914788485,41
346,-52.082313081249595,64
347,-161.38769792253152,208
348,-144.1229591309093,156
349,-73.42842319980264,88
350,-28.99783757328987,32
351,-35.47782610356808,31
352,-44.27821969240904,55
353,-37.9791301228106,49
354,-145.1058105416596,186
355,-35.03482214920223,44
356,-63.156890416517854,65
357,-30.54140742123127,30
358,-62.268699672073126,67
359,-28.67647232953459,45
360,-40.02725673187524,48
361,-44.85835408419371,64
362,-39.37860785797238,50
363,-34.23287274874747,35
364,-66.77460408606566,83
365,-174.2975291615585,213
366,-27.908511083573103,32
367,-68.99246775731444,83
368,-82.39944509137422,114
369,-29.160861499607563,36
370,-42.80668241530657,44
371,-33.412468913942575,39
372,-119.9909922783263,144
373,-55.554050668142736,63
374,-29.261443559080362,37
375,-33.355714693665504,33
376,-66.96313464641571,79
377,-35.17871179431677,33
378,-41.519546546041965,53
379,-30.190009474754333,25
380,-38.02368645975366,40
381,-34.382645457051694,31
382,-96.3941340027377,121
383,-107.19242320209742,136
384,-34.040660344064236,35
385,-33.143249589484185,38
386,-59.72702498733997,84
387,-31.891663312911987,30
388,-29.79709453135729,29
389,-61.72849680483341,71
390,-31.605026483535767,28
391,-84.36789558827877,102
392,-28.182550877332687,26
393,-27.60964810848236,32
394,-23.245570339262486,32
395,-135.31527207326144,182
396,-31.418967381119728,34
397,-32.0345850661397,37
398,-29.463195461779833,27
399,-25.09078301116824,30
400,-99.33319873828441,148
401,-69.38157954718918,94
402,-109.47918178141117,139
403,-60.30580975674093,88
404,-83.81096041202545,101
405,-39.452940974384546,43
406,-40.59257946256548,48
407,-55.070459969341755,63
408,-47.124337002635,56
409,-33.958955742418766,41
410,-89.01923953555524,124
411,-131.5746452906169,196
412,-31.515700086951256,34
413,-71.8513846276328,93
414,-31.95072966814041,29
415,-31.239903420209885,26
416,-58.47078946791589,53
417,-36.81893752142787,36
418,-29.454587936401367,26
419,-52.4646444581449,57
420,-43.039145197719336,55
421,-44.05743634700775,61
422,-79.15400795638561,97
423,-25.822774827480316,28
424,-44.44669786095619,48
425,-50.27835137397051,70
426,-39.63306623697281,47
427,-162.02287599816918,205
428,-47.44941073656082,50
429,-123.90468830801547,164
430,-35.263552185148,33
431,-38.67235829625861,49
432,-63.82670610304922,64
433,-66.0689113624394,77
434,-28.329148073215038,33
435,-53.59195111319423,65
436,-31.002698020078242,42
437,-86.26184562314302,103
438,-64.36522364243865,89
439,-101.2726413058117,143
440,-28.383025883696973,32
441,-91.38583409786224,116
442,-79.89261639863253,119
443,-62.90170361101627,75
444,-114.93348468840122,122
445,-120.99064937327057,141
446,-43.23866379261017,45
447,-131.9804632132873,176
448,-44.016461396822706,60
449,-102.20374604314566,129
450,-37.78548155725002,38
451,-135.1192325372249,168
452,-46.90265818638727,55
453,-169.24398709647357,301
454,-68.45669995248318,74
455,-39.65694385394454,48
456,-43.4594834856689,45
457,-89.64966529235244,148
458,-34.28673092182726,38
459,-44.55179641675204,50
460,-33.07693000882864,32
461,-32.56659261882305,36
462,-77.85751468036324,103
463,-57.50162258371711,61
464,-43.45387517660856,56
465,-73.89512655837461,94
466,-38.78307553008199,47
467,-66.06522666662931,76
468,-60.79075851663947,91
469,-137.4715385735035,213
470,-51.884848944842815,51
471,-73.06921178661287,97
472,-34.013273537158966,38
473,-33.02452762797475,39
474,-51.96721696853638,63
475,-33.633641166612506,41
476,-178.25949256654712,301
477,-46.44126266986132,51
478,-40.28182817809284,44
479,-56.203148666769266,69
480,-38.68106058612466,39
481,-106.87214085459709,134
482,-34.694373682141304,38
483,-130.61810882762074,156
484,-134.9544019298628,210
485,-93.88076904974878,123
486,-31.489170469343662,32
487,-34.1848549246788,31
488,-29.668603144586086,34
489,-173.76731960149482,218
490,-89.2727394476533,113
491,-33.135079592466354,31
492,-72.76189506053925,85
493,-29.90758152678609,36
494,-39.61791606992483,48
495,-92.97907332330942,105
496,-132.5582628324628,181
497,-89.86316673108377,111
498,-117.35320341028273,161
499,-26.596540254773572,29
500,-87.2001980394125,114
501,-46.8500807210803,62
502,-32.519097320735455,39
503,-28.946863181889057,33
504,-56.00596658885479,72
505,-34.071985706686974,35
506,-91.12004424631596,100
507,-49.18166505917907,52
508,-46.296778321266174,48
509,-132.6585143764969,195
510,-42.00158885028213,55
511,-67.21141529548913,73
512,-53.47511177510023,69
513,-41.34047146141529,51
514,-45.28586804959923,57
515,-132.67472062609158,180
516,-73.09649256523699,101
517,-32.929878272116184,29
518,-31.3260941170156,29
519,-26.970257721841335,26
520,-31.091149102896452,35
521,-36.60727762430906,39
