Speed,Angle,Distance,Success,Reward
0.3,-15.0,0,False,47.317969779453485
0.6,-15.0,0.57,True,1114.5946109193314
0.9,-15.0,0,False,13.714574608567228
1.2,-15.0,1.1,True,1139.7126783257836
1.5,-15.0,0.74,True,1120.0355333979276
1.8,-15.0,0.92,True,1096.048607490937
2.1,-15.0,0.8,True,1088.7121461820363
2.4,-15.0,1.35,True,1040.336082490671
2.7,-15.0,1.28,True,964.4814314830563
3.0,-15.0,1.19,True,1044.8998060770505
0.3,-14.49,0,False,32.739755878948316
0.6,-14.49,0.49,True,1130.3021827656344
0.9,-14.49,0,False,215.22008234740744
1.2,-14.49,0.73,True,1126.9599321043838
1.5,-14.49,1.05,True,1168.3628392925066
1.8,-14.49,0.79,True,1167.2785937188987
2.1,-14.49,0.65,True,1029.7161116467773
2.4,-14.49,1.17,True,1208.8861983597694
2.7,-14.49,1.22,True,1052.5887386177583
3.0,-14.49,0.92,True,993.9998202537537
0.3,-13.98,0,False,58.22415106588787
0.6,-13.98,0.56,True,845.6928811912313
0.9,-13.98,0.48,True,1165.3294993347786
1.2,-13.98,0.89,True,1147.1895734873399
1.5,-13.98,0.82,True,1166.9142388945713
1.8,-13.98,0.69,True,1079.5484524593132
2.1,-13.98,0.8,True,1050.482893815034
2.4,-13.98,1.43,True,1027.08653345486
2.7,-13.98,1.48,False,785.8548198937343
3.0,-13.98,0,False,23.461290486864094
0.3,-13.47,0,False,39.63459442866235
0.6,-13.47,0,False,17.08351297610355
0.9,-13.47,0,False,46.09782767283687
1.2,-13.47,0.83,True,1107.1935273731892
1.5,-13.47,0.81,True,1122.059608162447
1.8,-13.47,0.95,True,1057.0792195379584
2.1,-13.47,0.77,True,1269.4736835236606
2.4,-13.47,1.04,True,969.3916873568562
2.7,-13.47,0.36,True,927.7100511746113
3.0,-13.47,0.96,True,934.6341741160586
0.3,-12.97,0,False,31.085457952069206
0.6,-12.97,0.53,True,1129.2486932938505
0.9,-12.97,0.66,True,1070.933953033037
1.2,-12.97,0.82,True,1125.4306876043108
1.5,-12.97,0.71,True,1250.9071576668912
1.8,-12.97,0.7,True,1121.3617918680982
2.1,-12.97,0.71,True,1185.5582556572683
2.4,-12.97,0.86,True,1155.7055242289778
2.7,-12.97,1.47,True,1025.9058278403172
3.0,-12.97,-3.81,False,419.77363513980396
0.3,-12.46,0,False,43.43045448355464
0.6,-12.46,0.36,True,1118.8231252512219
0.9,-12.46,0,False,37.05367607596639
1.2,-12.46,1.07,True,1031.0021551995942
1.5,-12.46,0.7,True,1139.0908450508484
1.8,-12.46,0.76,True,1146.4682567027817
2.1,-12.46,0.63,True,1048.7484566763223
2.4,-12.46,0.73,True,1198.5961068613694
2.7,-12.46,0,False,222.91181259197654
3.0,-12.46,1.17,True,833.1315410713873
0.3,-11.95,0,False,24.141535962664022
0.6,-11.95,0,False,39.11554953349554
0.9,-11.95,0.15,True,729.3250974863649
1.2,-11.95,0.75,True,1148.1844268745224
1.5,-11.95,0.61,True,1215.1541614592204
1.8,-11.95,0.62,True,1217.4358518068223
2.1,-11.95,0.61,True,1079.6837737462292
2.4,-11.95,0.91,True,1185.74764484055
2.7,-11.95,0,False,250.50573097002638
3.0,-11.95,0.72,True,1236.5109771149976
0.3,-11.44,0,False,56.23383714905242
0.6,-11.44,0,False,36.042762467159044
0.9,-11.44,0.5,True,1014.6964160936454
1.2,-11.44,0.57,True,1134.6280966900788
1.5,-11.44,0.67,True,1129.649331764496
1.8,-11.44,0.73,True,1059.4617610759844
2.1,-11.44,0.99,True,1160.2778275984774
2.4,-11.44,0.57,True,952.9185989368415
2.7,-11.44,1.0,True,1024.9191503634108
3.0,-11.44,0,False,260.5358008569682
0.3,-10.93,0,False,37.77617341566487
0.6,-10.93,0,False,32.58862170921277
0.9,-10.93,0.6,True,1178.1611822199843
1.2,-10.93,0.62,True,981.245176424561
1.5,-10.93,0.68,True,1183.1835175846775
1.8,-10.93,0.63,True,1144.1672995791641
2.1,-10.93,0.73,True,1149.7525155890528
2.4,-10.93,0.83,True,1016.7460140682512
2.7,-10.93,0.71,True,966.1700502921068
3.0,-10.93,1.62,True,954.0690918730279
0.3,-10.42,0.02,True,960.9298448516673
0.6,-10.42,0.37,True,1052.9331804943588
0.9,-10.42,0.22,True,807.4317933033327
1.2,-10.42,0.71,True,1106.3652390348875
1.5,-10.42,0.69,True,1173.281784334907
1.8,-10.42,0.56,True,806.222931440925
2.1,-10.42,0.57,True,1026.2894995590095
2.4,-10.42,0.8,True,1147.616017269374
2.7,-10.42,0.71,True,1015.9659372855785
3.0,-10.42,0.86,True,790.1394978255834
0.3,-9.92,0,False,67.68880020903467
0.6,-9.92,0.51,True,940.2144972321659
0.9,-9.92,0.51,True,1201.7325050997174
1.2,-9.92,0.55,True,1123.2297777288843
1.5,-9.92,0.62,True,1134.7673334631556
1.8,-9.92,0.7,True,1100.388809783116
2.1,-9.92,0.69,True,1187.5864219426385
2.4,-9.92,1.06,True,931.1651176617132
2.7,-9.92,0.64,True,1086.0349578298942
3.0,-9.92,0.65,True,1092.6019824452337
0.3,-9.41,0,False,44.55480112979051
0.6,-9.41,0.04,True,812.1442613258847
0.9,-9.41,0.52,True,1164.5421426380685
1.2,-9.41,0.41,True,1099.671385439316
1.5,-9.41,0.49,True,1220.4589168308655
1.8,-9.41,0.73,True,1068.990336607482
2.1,-9.41,0.66,True,1076.8311298797048
2.4,-9.41,0.58,True,884.3356030178039
2.7,-9.41,0,False,153.8417995040155
3.0,-9.41,0,False,180.1244604069129
0.3,-8.9,-0.32,True,787.1339783531049
0.6,-8.9,0,False,35.91217451281905
0.9,-8.9,0,False,37.83064918758548
1.2,-8.9,0.43,True,1092.7057986165178
1.5,-8.9,0.5,True,1131.4748528363068
1.8,-8.9,0.53,True,1203.8890687150858
2.1,-8.9,0.72,True,1163.872180203929
2.4,-8.9,1.01,True,865.5154717079744
2.7,-8.9,1.01,True,866.0704991730462
3.0,-8.9,0.99,True,1192.1794466799297
0.3,-8.39,0,False,41.6250403394581
0.6,-8.39,0.4,True,1096.0070151939788
0.9,-8.39,0.48,True,1130.036794499524
1.2,-8.39,0.42,True,1129.7849805323906
1.5,-8.39,0.43,True,1250.5847976736484
1.8,-8.39,0.46,True,1066.6834102192877
2.1,-8.39,0.89,True,1038.356104548901
2.4,-8.39,0.66,True,1057.1267226987002
2.7,-8.39,0.59,True,923.0546952989127
3.0,-8.39,-3.89,False,557.7442274408126
0.3,-7.88,0.39,True,1063.8852874123363
0.6,-7.88,0.26,True,1136.5212141423021
0.9,-7.88,0.36,True,1082.0837735836901
1.2,-7.88,0.43,True,1185.1541240010663
1.5,-7.88,0.44,True,1158.796419183789
1.8,-7.88,0.44,True,1153.847318836645
2.1,-7.88,0.7,True,1059.3005045149262
2.4,-7.88,0.59,True,1212.311701257248
2.7,-7.88,1.06,True,893.8887690907403
3.0,-7.88,0.86,True,985.2618373167247
0.3,-7.37,0.04,True,793.4111054941103
0.6,-7.37,0.37,True,1145.3492934528354
0.9,-7.37,0.49,True,1122.2508845084194
1.2,-7.37,0.47,True,1035.3172796422548
1.5,-7.37,0.39,True,1190.7125167615623
1.8,-7.37,0.44,True,1097.0914314580941
2.1,-7.37,0.56,True,1032.0263232485252
2.4,-7.37,0.5,True,1080.134492648432
2.7,-7.37,0.77,True,971.3674581172537
3.0,-7.37,0.67,True,810.3331444038762
0.3,-6.86,0.23,True,1153.641057139105
0.6,-6.86,0.18,True,1103.5056445855168
0.9,-6.86,0.37,True,1103.3783279354843
1.2,-6.86,0.3,True,1033.8696974294037
1.5,-6.86,0.49,True,1137.94699635381
1.8,-6.86,0.55,True,1022.6193256910586
2.1,-6.86,0.74,True,1169.559370626641
2.4,-6.86,0.54,True,993.383557215198
2.7,-6.86,0,False,331.2104343658048
3.0,-6.86,0,False,116.2023826155161
0.3,-6.36,0.25,True,1055.9940953185658
0.6,-6.36,0.25,True,941.9176033345557
0.9,-6.36,0.37,True,1143.955060879322
1.2,-6.36,0.26,True,1045.0575597029592
1.5,-6.36,0.51,True,1193.5231820862612
1.8,-6.36,0.49,True,1084.3058092575309
2.1,-6.36,0.85,True,964.9251668082871
2.4,-6.36,0.59,True,1098.2164176564345
2.7,-6.36,0.73,True,886.8592505760814
3.0,-6.36,0.93,True,887.6128658409792
0.3,-5.85,0.19,True,1137.9642157054393
0.6,-5.85,0.28,True,1006.6548003641101
0.9,-5.85,0.3,True,1060.2690047287092
1.2,-5.85,0.35,True,1057.2907640267897
1.5,-5.85,0.28,True,1112.758009696753
1.8,-5.85,0.49,True,1100.0454060471484
2.1,-5.85,0.5,True,1216.08138204678
2.4,-5.85,0.62,True,1115.3703237575373
2.7,-5.85,0.77,True,1084.8789439913548
3.0,-5.85,0,False,105.00204732553979
0.3,-5.34,0.28,True,1126.9441610046392
0.6,-5.34,-0.06,True,800.5829193437966
0.9,-5.34,0.31,True,1190.7516885194418
1.2,-5.34,0.34,True,955.4032200883075
1.5,-5.34,0.45,True,1127.244803352104
1.8,-5.34,0.49,True,1102.965865810274
2.1,-5.34,0.51,True,1114.163961450714
2.4,-5.34,0.68,True,882.4133314413868
2.7,-5.34,0.52,True,975.0769919114337
3.0,-5.34,0,False,52.937769543052426
0.3,-4.83,0.13,True,1165.7138895754824
0.6,-4.83,0.34,True,1107.1049318091802
0.9,-4.83,0.25,True,1061.8518118929278
1.2,-4.83,0.38,True,1009.7914793779685
1.5,-4.83,0.31,True,1096.4017843097245
1.8,-4.83,0.53,True,1114.2455402438459
2.1,-4.83,0.6,True,1134.9555888719724
2.4,-4.83,0.59,True,1129.5992276710513
2.7,-4.83,0.46,True,879.4892348119592
3.0,-4.83,0,False,220.04599929337408
0.3,-4.32,0.13,True,1185.4388897997421
0.6,-4.32,0.19,True,1078.3135506633278
0.9,-4.32,0.18,True,1164.220270113164
1.2,-4.32,0.17,True,1084.7481647554096
1.5,-4.32,0.23,True,1172.1417206906058
1.8,-4.32,0.4,True,1025.9332647723495
2.1,-4.32,0.41,True,1165.2346193638464
2.4,-4.32,0.29,True,1057.1180792091254
2.7,-4.32,0,False,219.36619893612936
3.0,-4.32,0.55,True,884.4984420172045
0.3,-3.81,0.14,True,1109.5094338189356
0.6,-3.81,-0.03,True,664.5073649275964
0.9,-3.81,0.24,True,1104.3620387982226
1.2,-3.81,0.32,True,971.8144953375596
1.5,-3.81,0.31,True,1100.2679518613909
1.8,-3.81,0.43,True,1065.960669778281
2.1,-3.81,0.48,True,1089.9784424373463
