Episode,Total Reward,Termination Step
1,-97.34569531679153,52
2,-65.70657772570848,39
3,-57.32435820996761,37
4,-69.47088177502155,45
5,-152.41539269313216,125
6,-100.5713466014713,62
7,-123.43762028217316,97
8,-113.98181947693229,77
9,-471.71481415629387,275
10,-70.28632271289825,48
11,-52.08882558345795,30
12,-120.49042999744415,90
13,-77.2786263525486,50
14,-96.02276453375816,76
15,-136.5647557079792,105
16,-228.91848946199752,190
17,-302.69224578142166,231
18,-281.03364995121956,202
19,-301.5677811934147,199
20,-135.77010090090334,138
21,-139.4497101418674,107
22,-396.19046031683683,286
23,-87.51555088162422,56
24,-113.56106680631638,85
25,-428.76333370804787,230
26,-103.21874425560236,67
27,-117.60825175791979,99
28,-494.01698153465986,263
29,-76.57423166185617,58
30,-85.46554569900036,59
31,-54.73855636268854,24
32,-133.90163019672036,82
33,-125.93431274592876,114
34,-86.45072077820078,93
35,-316.7271377518773,224
36,-65.9950880408287,40
37,-68.12530674040318,46
38,-206.14201021194458,154
39,-47.674331963062286,25
40,-341.0357831977308,301
41,-170.85661746701226,149
42,-83.81295099295676,61
43,-351.3130600117147,300
44,-79.13645308464766,92
45,-71.94941885769367,43
46,-73.33864675462246,56
47,-210.41954359784722,142
48,-165.80185596365482,131
49,-140.5909391529858,108
50,-352.40363439079374,301
51,-481.22195652872324,287
52,-71.48477881029248,52
53,-79.54385569691658,46
54,-63.23799887299538,46
55,-372.80991282500327,286
56,-47.25713039934635,26
57,-306.2333788089454,301
58,-86.00852832943201,53
59,-49.859752118587494,27
60,-81.49419042468071,45
61,-89.9483830332756,57
62,-430.68392765522003,247
63,-53.17247211188078,36
64,-344.6696734484285,301
65,-76.78027065191418,54
66,-157.39206451177597,120
67,-230.83760157227516,136
68,-78.67153033614159,48
69,-225.80802580714226,185
70,-346.64220787398517,301
71,-109.30386295169592,88
72,-170.47682066261768,131
73,-136.65728685632348,92
74,-208.44143024086952,144
75,-535.8793928921223,273
76,-118.33180668950081,78
77,-105.5491071678698,70
78,-323.70870243012905,201
79,-80.46824903041124,59
80,-84.74126887321472,52
81,-178.70077041258628,131
82,-113.94780705869198,84
83,-189.59274359047413,167
84,-181.25966377556324,121
85,-124.7003181129694,91
86,-72.06533538922668,52
87,-91.18505622446537,72
88,-80.92049092054367,53
89,-53.722746565937996,35
90,-102.68335473537445,67
91,-63.14394085109234,38
92,-145.624921746552,123
93,-397.38752852380276,301
94,-143.14979844540358,120
95,-78.37968792021275,50
96,-47.57404860109091,25
97,-52.52138216793537,38
98,-164.94834089279175,100
99,-109.23355792462826,84
100,-104.02645751088858,77
101,-72.09663764387369,51
102,-462.32285374403,301
103,-257.91191153228283,168
104,-120.89050436019897,71
105,-90.95540080592036,65
106,-92.89540766272694,76
107,-125.75468289852142,80
108,-447.5913000050932,301
109,-102.05198629200459,62
110,-68.80394353717566,47
111,-292.5536782592535,232
112,-104.53163023013622,81
113,-85.90658096969128,68
114,-118.60946456715465,108
115,-137.36669306457043,115
116,-80.8437024615705,59
117,-64.79569646716118,45
118,-194.6232235506177,161
119,-175.96627192944288,117
120,-128.096264898777,75
121,-206.07129132002592,122
122,-85.5849539116025,78
123,-257.3908202201128,195
124,-74.15146094560623,44
125,-217.2595079820603,185
126,-63.61902244389057,41
127,-68.613250374794,42
128,-194.59323079138994,136
129,-77.14037451148033,49
130,-97.6405404061079,80
131,-84.39870272576809,56
132,-100.56923420727253,71
133,-92.57456355541945,61
134,-122.79757714644074,84
135,-155.5754919052124,101
136,-118.24712482094765,85
137,-64.05785948783159,46
138,-124.19315161556005,89
139,-84.16608203947544,53
140,-99.23187763988972,62
141,-167.74814737401903,125
142,-82.6966159157455,55
143,-85.76072282344103,74
144,-80.11279547214508,60
145,-484.23962657153606,301
146,-89.04272109270096,69
147,-152.33134670555592,126
148,-373.3030646815896,261
149,-394.6085759997368,243
150,-63.5499382019043,49
151,-280.3752101850696,234
152,-60.976547826081514,39
153,-79.14905136823654,46
154,-143.7987856566906,94
155,-57.38567307591438,39
156,-65.24124924163334,46
157,-94.16953361034393,64
158,-54.749653324484825,36
159,-284.23987594246864,192
160,-64.22860775887966,40
161,-105.04271848499775,66
162,-159.38092067837715,106
163,-66.36042469739914,40
164,-173.8613715134561,114
165,-255.2244808152318,220
166,-467.32031562924385,301
167,-96.98002599179745,73
168,-195.7281095981598,141
169,-224.86913309805095,155
170,-181.94470082223415,123
171,-113.52920906245708,79
172,-124.53596855700016,102
173,-208.03269064426422,134
174,-66.69700050354004,47
175,-143.8989049976226,117
176,-400.9462948590517,253
177,-252.85723142139614,218
178,-301.52994169387966,301
179,-250.7442974075675,186
180,-66.24352777004242,40
181,-63.95439678430557,39
182,-601.4017341963481,301
183,-170.26395360566676,143
184,-89.9436976313591,64
185,-53.223106594290584,34
186,-64.88837407808751,37
187,-111.1629299223423,79
188,-184.66582806035876,123
189,-199.9468450397253,151
190,-387.4741817265749,301
191,-88.39298882707953,89
192,-292.6787448916584,235
193,-350.66794481128454,274
194,-304.5884865373373,202
195,-81.77668043971062,58
196,-86.05590590834618,54
197,-101.3713179603219,80
198,-437.79901403188705,271
199,-73.03001390397549,74
200,-138.6592059135437,97
201,-140.97823978215456,108
202,-240.33741036057472,134
203,-77.64520099759102,69
204,-81.3168157339096,56
205,-200.94366539269686,111
206,-84.21508048474789,47
207,-221.158765880391,204
208,-97.58685404807329,68
209,-181.63806657493114,121
210,-96.11145552992821,68
211,-129.02694803476334,94
212,-382.6235040575266,301
213,-94.98147366568446,68
214,-83.82154741510749,62
215,-217.51834931969643,164
216,-238.48171517904848,178
217,-74.9792226627469,61
218,-71.40387085080147,45
219,-59.94778347015381,36
220,-198.13759353756905,112
221,-70.55468121170998,50
222,-67.13412921130657,44
223,-100.15834129229188,86
224,-140.18951418995857,90
225,-193.99714897572994,131
226,-165.34942308068275,123
227,-147.74021070823073,115
228,-55.35859331861138,41
229,-106.2984449788928,73
230,-121.4866636916995,103
231,-171.933616746217,117
232,-174.53643487393856,114
233,-172.99706551525742,120
234,-118.65686170756817,71
235,-362.01325684785843,289
236,-313.6931166741997,179
237,-120.46106571692508,102
238,-279.02691557630897,230
239,-88.84017338603735,63
240,-51.48317106068134,32
241,-137.42417815327644,93
242,-315.9723860421218,301
243,-310.28498042887077,251
244,-88.41120211780071,66
245,-493.5481298500672,301
246,-189.52778281271458,143
247,-53.98891547694802,29
248,-186.25226064957678,157
249,-274.35297809541225,167
250,-133.93607333302498,89
251,-100.54594860970974,77
252,-376.7582574747503,231
253,-104.6795573681593,74
254,-428.82131843082607,301
255,-191.86997857689857,153
256,-397.31682417169213,301
257,-178.52403676509857,129
258,-87.40029625967145,67
259,-108.41457146406174,79
260,-60.96909835934639,32
261,-53.15923544764519,30
262,-103.23912827670574,57
263,-295.7715848758817,179
264,-71.56480943411589,53
265,-156.3285367116332,143
266,-129.50921604409814,96
267,-130.92687629163265,112
268,-172.9658994707279,153
269,-56.129852537065744,29
270,-180.65420161932707,115
271,-50.28366904333234,29
272,-249.34346377663314,209
273,-61.627087879925966,40
274,-63.91409730911255,46
275,-384.99621088802814,301
276,-189.48765179514885,141
277,-48.061484187841415,23
278,-88.44649399071932,58
279,-165.11736451089382,131
280,-75.83419899642467,45
281,-72.50874674320221,40
282,-56.03685876727104,30
283,-391.7345478795469,278
284,-124.62715411186218,108
285,-131.6201037466526,94
286,-81.05967723950744,73
287,-143.0000531077385,108
288,-304.71996492147446,217
289,-145.70576259493828,79
290,-54.320549696683884,32
291,-81.29200422530994,75
292,-107.64355125278234,94
293,-69.98201516270638,45
294,-107.92541143298149,67
295,-396.82840371131897,261
296,-119.78491234779358,84
297,-244.59149008989334,190
298,-47.928069204092026,30
299,-85.22828510403633,54
300,-383.5992823988199,218
301,-85.20212492346764,54
302,-200.56380088627338,161
303,-107.88571343757212,82
304,-248.23781317844987,192
305,-65.88441893458366,42
306,-77.63279623351991,68
307,-105.30674697831273,70
308,-157.1194389462471,84
309,-347.4576464295387,301
310,-152.76927390694618,117
311,-354.4084678143263,301
312,-248.13604198396206,170
313,-192.1598754413426,143
314,-48.458314538002014,24
315,-58.15243651717901,37
316,-218.32237799465656,168
317,-195.8369143102318,125
318,-196.61801033094525,165
319,-87.7424486875534,49
320,-229.47512628883123,150
321,-399.69453850388527,270
322,-294.2949816584587,301
323,-256.9649384568911,301
324,-243.01453741639853,233
325,-142.46145743876696,123
326,-85.33972157537937,67
327,-50.56694072112441,33
328,-109.00363358855247,68
329,-88.22375807911158,62
330,-458.88436764478683,301
331,-53.12337639927864,32
332,-130.90491797029972,100
333,-50.61661469936371,32
334,-58.17879527807236,35
335,-193.47751343250275,165
336,-43.72284397482872,26
337,-459.42330425977707,301
338,-200.37433572486043,186
339,-121.6369510628283,98
340,-91.97138925641775,60
341,-379.84499886631966,257
342,-63.8967744410038,45
343,-106.6926187723875,92
344,-45.480931520462036,22
345,-77.75843304395676,61
346,-124.39869263395667,111
347,-88.4522271156311,72
348,-88.36230193078518,57
349,-103.69542916119099,78
350,-139.80304846167564,99
351,-183.80262498557568,130
352,-169.34779299795628,162
353,-192.91470234841108,113
354,-96.79688248038292,71
355,-210.61946199834347,165
356,-85.45516760647297,74
357,-153.60299152880907,107
358,-202.4271299582906,135
359,-256.21465818583965,206
360,-100.21188952215016,75
361,-143.83736001397483,107
362,-199.71307688951492,118
363,-108.90980181097984,75
364,-67.40263528376818,51
365,-118.98501874506474,80
366,-103.71104115247726,84
367,-83.96234306134284,58
368,-153.95564991235733,71
369,-118.3117576725781,90
370,-75.85865372419357,43
371,-80.88602729141712,52
372,-127.40685546770692,109
373,-214.5385338179767,145
374,-95.33797511830926,79
375,-302.80126707581803,215
376,-99.94072654470801,93
377,-205.9131032600999,112
378,-102.87637244164944,67
379,-227.53844125568867,173
380,-79.97677659988403,49
381,-112.88475178927183,83
382,-77.02615474909544,53
383,-67.66811236739159,48
384,-92.46362163033336,84
385,-135.446843855083,95
386,-60.00994798226748,53
387,-337.74782178131863,301
388,-159.20094012469053,120
389,-129.8108350969851,76
390,-60.11449747532606,38
391,-76.27620857954025,47
392,-208.43658500164747,109
393,-470.40007653832436,301
394,-68.19668483734131,51
395,-169.71373464912176,133
396,-69.43033120036125,49
397,-260.1309562623501,168
398,-97.12379460036755,65
399,-281.0633810106665,301
400,-83.33972819149494,56
401,-83.37106494605541,68
402,-468.0266850888729,281
403,-103.13444882631302,69
404,-150.81926073040813,103
405,-225.00084843486547,179
406,-49.71037748456001,29
407,-416.7561538517475,275
408,-87.88362337648869,64
409,-272.300729483366,173
410,-242.93886497057974,229
411,-175.13318839669228,106
412,-46.18716222047806,22
413,-62.118817172944546,41
414,-71.85117568168789,48
415,-110.49386475980282,68
416,-123.1513749063015,93
417,-192.78794941306114,125
418,-75.7684052363038,53
419,-62.12151654064655,46
420,-469.32670030742884,301
421,-42.15989180561155,25
422,-353.3547693192959,204
423,-174.39219871163368,133
424,-123.7840126156807,87
425,-157.18739058077335,126
426,-56.99703651666641,31
427,-408.06587271392345,301
428,-71.6675637960434,55
429,-48.503499299287796,27
430,-400.1580014526844,301
431,-188.9040489695035,144
432,-459.862142175436,301
433,-92.42931711673737,76
434,-198.856867313385,133
435,-60.97081369161606,40
436,-120.22294819355011,80
437,-211.14823740700376,223
438,-86.44398663565516,60
439,-151.65822181478143,118
440,-135.21752062253654,140
441,-347.9396097101271,301
442,-204.96868858486414,160
443,-65.56363868713379,39
444,-51.52192934602499,32
445,-83.15936587005854,53
446,-353.5997784435749,189
447,-46.71200668811798,26
448,-188.30389922857285,122
449,-151.38718120357953,111
450,-94.14959228783846,90
451,-64.51189306238666,42
452,-78.20827515423298,100
453,-102.69919436983764,59
454,-417.3125851005316,266
455,-92.64046995714307,58
456,-349.7573081403971,301
457,-79.55496962741017,59
458,-68.96314162015915,41
459,-177.80382186174393,108
460,-139.46733613312244,109
461,-157.18311074376106,116
462,-291.3067890703678,233
463,-120.86621007882059,103
464,-455.5852549225092,301
465,-114.22049809619784,87
466,-160.09461292624474,117
467,-63.526024769991636,39
468,-237.22561413794756,149
469,-41.97012186050415,16
470,-504.7344380021095,301
471,-63.62338970601559,39
472,-104.69795775413513,83
473,-418.5940088480711,301
474,-168.29941504448652,129
475,-174.01132014393806,115
476,-111.3895033299923,92
477,-167.32272964715958,102
478,-99.66573160886765,69
479,-80.34129704535007,52
480,-91.59432577341795,58
481,-58.382115077227354,47
482,-329.24444998055696,184
483,-90.57333508133888,63
484,-107.63874910771847,86
485,-137.47295518731698,148
486,-284.9088070206344,176
487,-266.69610646367073,182
488,-65.15172654390335,34
489,-123.82188158482313,101
490,-132.99089302122593,103
491,-166.0223546922207,124
492,-311.63674715161324,182
493,-133.72490076720715,75
494,-120.66697406768799,74
495,-107.19285599887371,82
496,-67.68478684872389,37
497,-372.0365111231804,301
498,-146.44277235213667,148
499,-97.58763486891985,67
500,-56.29502883553505,36
501,-324.75757044553757,239
502,-53.213341414928436,28
503,-75.61932911904296,64
504,-152.47436179220676,129
505,-357.8163778632879,274
506,-114.48556342348456,75
507,-365.3014181032777,241
508,-49.23995295166969,27
509,-87.41401690244675,57
510,-50.361981600522995,32
511,-129.49403912574053,138
512,-105.56800200603902,74
513,-99.35592921078205,72
514,-84.3031802996993,61
515,-230.52080661989748,215
516,-97.01119952392764,59
517,-309.6273130271584,301
518,-96.36219612136483,56
519,-89.7394143268466,58
520,-91.64224077900872,63
521,-142.01756083592772,131
522,-136.41206488013268,86
523,-172.13021275401115,122
524,-140.18694276735187,100
525,-313.80515549657866,211
526,-329.89604829996824,301
527,-112.20139928907156,95
528,-116.86640839278698,76
529,-405.9263270199299,261
530,-130.01133736409247,109
531,-82.62502017617226,62
532,-359.74330657022074,301
533,-209.3703870177269,143
534,-92.42285175388679,70
535,-80.73109728097916,49
536,-243.96833067387342,210
537,-69.96583689749241,43
538,-76.50117149949074,45
539,-223.6409538909793,185
540,-110.61364449560642,70
541,-319.7851315625012,232
542,-93.93699488788843,80
543,-177.79688721429557,136
544,-93.20102001726627,67
545,-400.0708188265562,236
546,-75.45997685752809,74
547,-164.67771320790052,105
548,-289.90318733640015,215
549,-109.70455116033554,68
550,-134.83060935139656,92
551,-299.14598977565765,244
552,-299.35424200445414,208
553,-306.5618967991322,228
554,-153.11600332171656,125
555,-222.04960073530674,166
556,-321.7928529381752,214
557,-107.58719932567328,83
558,-65.42424236331135,49
559,-391.7242517247796,301
560,-103.39382406324148,84
561,-149.98476588726044,100
562,-143.886557854712,98
563,-65.07551957666874,35
564,-124.78562954068184,91
565,-272.2500812187791,160
566,-111.45319801010191,113
567,-238.21730350493453,169
568,-273.8176623964682,159
569,-44.851303309202194,29
570,-312.40402806177735,301
571,-103.6332138851285,64
572,-54.05846790969372,34
573,-101.4448729082942,72
574,-76.17131035774946,56
575,-139.58006608486176,82
576,-147.83680149912834,104
577,-346.7264962643385,283
578,-40.12479240447283,25
579,-220.65614381060004,169
580,-165.71050643920898,105
581,-138.14359682798386,93
582,-154.2611532062292,118
583,-105.16195350885391,66
584,-213.74821703881025,166
585,-54.85901710949838,32
586,-133.48393028974533,79
587,-187.3659058138728,184
588,-217.22372751682997,154
589,-105.73436737060547,97
590,-73.4703008485958,58
591,-338.51830733474344,301
592,-195.16887222230434,135
593,-226.9922663718462,158
594,-26.295032750815153,7
595,-58.05162167549133,37
596,-61.594348423182964,44
597,-437.8359432518482,301
598,-97.31124443560839,76
599,-164.92309871315956,114
600,-216.92893928289413,183
601,-208.24648479558527,144
602,-280.31650695577264,205
603,-308.74171397835016,219
604,-93.17270222306252,57
605,-62.45565714687109,33
606,-140.21198801323771,122
607,-312.78838360961527,301
608,-109.12515024840832,74
609,-62.79276868700981,34
610,-257.7255688793957,201
611,-277.09949296712875,204
612,-80.18419954180717,52
613,-156.8424048796296,115
614,-314.49180457368493,276
615,-284.4349345136434,209
616,-206.62301918223966,152
617,-375.8168465793133,218
618,-196.06991685181856,120
619,-129.95895671844482,82
620,-204.59380662441254,154
621,-382.1022840643418,301
622,-131.7903656065464,112
623,-353.52400133386254,224
624,-77.60330130904913,65
625,-166.76837049401365,118
626,-333.09967029094696,256
627,-81.81059605255723,46
628,-65.36047710105777,44
629,-53.904579896479845,48
630,-56.73905711621046,28
631,-49.05069865658879,28
632,-445.6569307874888,301
633,-90.22774895094335,63
634,-430.4472978413105,301
635,-67.76882407069206,48
636,-241.06438709795475,186
637,-75.00094872806221,56
638,-44.43869802355766,26
639,-135.3512692800723,82
640,-185.5836048349738,160
641,-65.9604652938433,47
642,-28.311518102884293,9
643,-109.70066656079143,95
644,-89.11302959918976,67
645,-96.69387687183917,62
646,-96.31741914525628,82
647,-112.57014743983746,80
648,-396.02994775772095,217
649,-52.14887334406376,27
650,-121.73494240641594,92
651,-67.75385855138302,45
652,-48.11966882646084,27
653,-396.3502229079604,301
654,-302.53308425843716,218
655,-93.93384166038595,65
