Speed Value,Angle,Ground Noise,Mean Speed,Success,Reward,Ground Resolution,AVG Success
0.1,-20.0,0.03,1.625552770059524,,1408.5364418036022,0.1,1.0
1.3,-20.0,0.03,1.9969866863319385,,1644.0814495804145,0.1,1.0
2.5,-20.0,0.03,0.0,,4.3853039025167,0.1,0.0
0.1,-10.0,0.03,0.78881066374764,,1583.8891180435837,0.1,1.0
1.3,-10.0,0.03,1.2523342120502265,,1703.6290606184032,0.1,1.0
2.5,-10.0,0.03,1.8701230646549754,,1583.3213511548968,0.1,1.0
0.1,0.0,0.03,0.2525870988066258,,1695.1172142992352,0.1,1.0
1.3,0.0,0.03,0.7818595702657016,,1719.2037415121144,0.1,1.0
2.5,0.0,0.03,0.6000018640583106,,-8.08790014370552,0.1,0.5
0.1,10.0,0.03,0.0,,1724.5447875354907,0.1,0.0
1.3,10.0,0.03,0.07651592012783301,,1299.1711078209455,0.1,0.5
2.5,10.0,0.03,0.7543436944480659,,1356.3400731492518,0.1,0.5
0.1,20.0,0.03,0.0,,3.1690389623137456,0.1,0.0
1.3,20.0,0.03,0.0,,-1.7123328115197438,0.1,0.0
2.5,20.0,0.03,0.0,,551.2431744031653,0.1,0.0
