Episode,Total Reward,Termination Step
1,-43.74377903030836,230
2,-33.09651717543602,23
3,-34.61889050900936,26
4,-72.20450404286385,58
5,-86.44002479314804,81
6,-187.2248329585418,223
7,-95.3917928203009,118
8,-61.39222935959697,76
9,-125.24248946458101,92
10,-61.588197233737446,137
11,-81.63558023516089,160
12,-64.94114553928375,36
13,-133.83849707990885,96
14,-43.8671191255562,35
15,-38.34523181151599,42
16,-108.96891589835286,93
17,-127.80419455561787,109
18,-47.48238177597523,34
19,-144.36386486142874,115
20,-32.77090686187148,33
21,-156.76775279268622,165
22,-78.15394971799105,85
23,-173.30168820917606,118
24,-136.70023036550265,241
25,-136.28696479345672,166
26,-37.40004547871649,40
27,-247.73535852879286,217
28,-298.0646170573309,301
29,-123.73187925759703,162
30,-57.8203512057662,47
31,-36.69813250750303,31
32,-139.45731700700708,212
33,-49.268881782889366,32
34,-135.70690106600523,105
35,-61.169076040387154,67
36,-35.79681209474802,28
37,-74.73058938980103,73
38,-131.84083439409733,92
39,-272.2218943834305,172
40,-360.82645870465785,257
41,-156.9107821919024,186
42,-37.615588046610355,45
43,-256.6283220387995,194
44,-164.41721271187998,301
45,-251.0846049124375,173
46,-46.88500409014523,40
47,-50.18438430130482,56
48,-310.60013042762876,223
49,-39.41745927557349,41
50,-127.86667910218239,81
51,-426.6024159626104,301
52,-50.87932810280472,62
53,-179.6923197284341,193
54,-46.53515524417162,37
55,-33.77083686552942,60
56,-150.41506324568763,301
57,-77.56398349860683,91
58,-35.085598420351744,29
59,-244.4292193427682,138
60,-197.20684224367142,138
61,-30.232290443964303,40
62,-123.2081718146801,114
63,-242.37014377862215,266
64,-52.02488520368934,86
65,-57.364380608312786,83
66,-55.65182423591614,56
67,-493.7018254995346,301
68,-125.94178304821253,90
69,-119.45191430888372,189
70,-40.44387952052057,37
71,-160.88009537756443,135
72,-53.637900952249765,64
73,-37.354909013956785,35
74,-76.25731799658388,151
75,-130.9586026603356,150
76,-48.55714839696884,35
77,-135.3042019167915,158
78,-72.51066721044481,83
79,-124.26331917895004,146
80,-202.51868565380573,146
81,-350.3271879181266,249
82,-110.29367098794319,91
83,-33.70961117371917,34
84,-75.88895061612129,81
85,-62.504655928350985,125
86,-68.04783593676984,95
87,-49.63108141173143,63
88,-53.81398395821452,73
89,-30.223144080489874,37
90,-41.51227777916938,34
91,-249.6254118825309,258
92,-80.75891953660175,128
93,-74.31472842395306,51
94,-210.25239094160497,175
95,-35.177873864769936,29
96,-111.01018861323246,270
97,-83.29246056266129,49
98,-28.93174164928496,39
99,-54.98202008008957,45
100,-40.1993999928236,35
101,-33.262378758750856,34
102,-45.07521153241396,52
103,-101.10163997858763,82
104,-71.1193058649078,96
105,-88.965292096138,99
106,-40.23773758113384,39
107,-85.46167505159974,78
108,-165.63596765324473,159
109,-378.0294325631112,254
110,-190.4056291268207,301
111,-368.567653780221,283
112,-63.97105787519831,86
113,-188.0185423977673,141
114,-259.310877032578,292
115,-53.9695633968804,50
116,-101.86680076178163,159
117,-436.6679565012455,301
118,-541.9379442222416,301
119,-44.54884437844157,40
120,-43.14407295361161,51
121,-36.03920379281044,37
122,-64.46175043284893,66
123,-54.492325101047754,46
124,-37.18419739603996,35
125,-84.4036962678656,66
126,-156.9499462917447,153
127,-265.54730582097545,207
128,-362.67393312230706,190
129,-61.72000630199909,55
130,-60.31346029881388,61
131,-198.6303069256246,122
132,-49.791081108152866,40
133,-149.86219555139542,132
134,-159.63524240255356,91
135,-58.681699961423874,42
136,-62.077500980347395,57
137,-135.10193645954132,84
138,-86.39925317466259,82
139,-121.83077004924417,105
140,-90.9212348498404,99
141,-32.86994908750057,37
142,-139.1600559875369,100
143,-141.192638249835,241
144,-38.94067327352241,52
145,-50.77408270537853,47
146,-128.57087904401124,121
147,-75.81190402526408,100
148,-127.22267106920481,105
149,-65.74221321940422,41
150,-134.65176824852824,112
151,-70.21251218859106,80
152,-37.309622921049595,37
153,-54.950438448926434,87
154,-45.695573911070824,37
155,-45.45244039222598,41
156,-93.67772964388132,151
157,-148.1125390860252,121
158,-181.38548424094915,113
159,-63.46099300030619,50
160,-37.110285863280296,35
161,-295.5970100015402,229
162,-102.44281506724656,73
163,-62.367871925234795,39
164,-43.12248040642589,91
165,-143.87363543361425,177
166,-37.66907063126564,46
167,-189.4725743853487,149
168,-29.74715780839324,49
169,-75.6306748315692,57
170,-253.23138975113397,301
171,-314.30810434906743,276
172,-130.8847300230991,106
173,-106.26539029809646,106
174,-145.01409094245173,158
175,-42.4125257874839,150
176,-56.229286909103394,38
177,-40.37916500121355,43
178,-62.19214120041579,74
179,-40.431090608239174,31
180,-97.6498614801094,121
181,-96.45365979208145,95
182,-201.0948455557227,195
183,-36.03236259985715,107
184,-43.40959666669369,47
185,-37.89487934112549,34
186,-96.64491919148713,82
187,-30.36208639293909,39
188,-52.86138969636522,54
189,-87.6501016318798,77
190,-77.3890366118867,68
191,-39.661294154822826,39
192,-62.02208252996206,53
193,-169.30583757907152,147
194,-57.591999074444175,42
195,-50.618381679058075,48
196,-48.24717990937643,47
197,-120.42915320396423,84
198,-75.58263106900267,73
199,-108.03662893921137,84
200,-136.8066552276723,133
201,-101.32678369805217,122
202,-77.67851987481117,55
203,-112.65123933879659,112
204,-153.61582723259926,89
205,-63.3670505778864,66
206,-52.55868833512068,44
207,-80.18972818739712,76
208,-44.652502957731485,41
209,-52.268597945570946,56
210,-73.67647568881512,62
211,-48.11886047758162,57
212,-42.49018084257841,35
213,-44.30219057574868,52
214,-41.98258863762021,73
215,-49.6323286741972,36
216,-84.0886539556086,95
217,-50.16095261275768,31
218,-20.064280077815056,12
219,-122.09756640158594,74
220,-32.64411265403032,28
221,-156.53718795999885,154
222,-64.64096683543175,52
223,-54.156436674296856,38
224,-55.29687384143472,52
225,-114.05022313259542,116
226,-25.550290746614337,110
227,-31.365305537357926,32
228,-79.7240379108116,84
229,-31.120210014283657,52
230,-61.38848255202174,51
231,-669.8145937621593,301
232,-236.90868517383933,173
233,-55.02506341552362,96
234,-51.75699354149401,50
235,-9.6850004196167,1
236,-208.7583851741947,132
237,-1.7813529893755913,94
238,-65.40254710800946,88
239,-43.267278011888266,35
240,-33.738189866766334,32
241,-59.9572935490869,66
242,-76.00222089141607,99
243,-53.69255181308836,50
244,-56.764841427793726,45
245,-104.69739544112235,91
246,-85.13425974547863,67
247,-56.005914859473705,73
