Episode,Total Reward,Termination Step
1,-32.15525817871094,24
2,-34.881011962890625,15
3,-44.06201934814453,12
4,-43.062950134277344,9
5,-35.53365707397461,23
6,-36.287132263183594,28
7,-24.327760696411133,45
8,-42.1115608215332,11
9,-40.99740219116211,14
10,-7.7822113037109375,38
11,-35.74903869628906,17
12,-51.18638610839844,30
13,-20.12623405456543,84
14,-48.29732131958008,33
15,-38.73672866821289,13
16,-33.657081604003906,31
17,-37.25642395019531,19
18,-45.02674865722656,27
19,-45.30238723754883,28
20,-69.24622344970703,66
21,-37.77399444580078,21
22,-25.298723220825195,29
23,-23.44969367980957,61
24,-34.777496337890625,24
25,-27.519136428833008,36
26,-4.645191192626953,66
27,-34.244083404541016,48
28,-36.05127716064453,23
29,-22.65195655822754,53
30,-41.968971252441406,14
31,-36.098838806152344,31
32,-50.06856155395508,30
33,-49.858741760253906,35
34,-32.417266845703125,27
35,-31.3070125579834,33
36,-43.6265754699707,36
37,-40.621246337890625,33
38,-41.62404251098633,22
39,-9.515815734863281,56
40,-41.885684967041016,38
41,-39.5325813293457,29
42,-49.11317443847656,29
43,-40.939918518066406,10
44,-44.34577178955078,27
45,-28.70223045349121,27
46,-26.2416934967041,29
47,-48.49858474731445,36
48,-38.01146697998047,28
49,-19.250274658203125,41
50,-37.248653411865234,17
51,-43.06214904785156,9
52,-30.183338165283203,25
53,-43.619747161865234,8
54,-40.527835845947266,14
55,-41.55560302734375,55
56,-50.4152946472168,31
57,-26.042593002319336,30
58,-37.686256408691406,19
59,-35.336334228515625,17
60,-34.239013671875,19
61,-41.133060455322266,30
62,-43.375247955322266,26
63,-31.924835205078125,40
64,-41.26353454589844,12
65,-33.90885925292969,30
66,-34.26859664916992,28
67,-39.69686508178711,58
68,-41.758392333984375,44
69,-36.59366989135742,15
70,-24.301956176757812,37
71,-33.22821044921875,21
72,-90.31063079833984,34
73,-31.036985397338867,36
74,-44.801788330078125,17
75,-31.961767196655273,26
76,-25.827346801757812,49
77,-42.779747009277344,17
78,-26.5402889251709,27
79,22.11803436279297,133
80,-40.24143600463867,11
81,-34.85482406616211,30
82,-37.534385681152344,16
83,-39.7996711730957,35
84,-34.97755432128906,42
85,-35.55970001220703,31
86,-37.690547943115234,29
87,-42.06645202636719,25
88,-21.08559799194336,29
89,-26.631412506103516,25
90,-25.76015281677246,32
91,-41.689632415771484,9
92,-42.520782470703125,67
93,-4.262294769287109,51
94,-17.359264373779297,50
95,-41.82208251953125,9
96,-36.92317199707031,16
97,-28.079151153564453,46
98,-13.01125717163086,58
99,-39.23291015625,12
100,-34.581966400146484,25
101,-31.234148025512695,26
102,-30.816051483154297,20
103,-39.236942291259766,34
104,-27.32387351989746,39
105,-22.72868537902832,51
106,-39.57611846923828,11
107,-61.45724105834961,54
108,-42.17898178100586,9
109,-45.55447006225586,42
110,-46.276424407958984,37
111,-29.117286682128906,27
112,-36.05430603027344,18
113,-44.19621276855469,7
114,-28.398883819580078,63
115,-36.31020736694336,25
116,-26.584959030151367,41
117,-4.7682647705078125,71
118,-38.068763732910156,24
119,-36.71089553833008,15
120,18.161449432373047,76
121,-33.7197151184082,27
122,-41.571414947509766,12
123,-14.99636459350586,80
124,-36.81098175048828,33
125,-23.80240249633789,42
126,-40.66264724731445,23
127,-39.34160614013672,14
128,-26.8941650390625,41
129,-41.384193420410156,17
130,-47.787696838378906,23
131,-44.85591506958008,23
132,-31.196962356567383,33
133,-49.9964485168457,26
134,-38.43824768066406,25
135,-21.79698944091797,36
136,-23.15505027770996,41
137,-32.09718322753906,18
138,-41.66950988769531,44
139,-42.887451171875,8
140,-43.10606384277344,37
141,-8.617828369140625,57
142,-35.83080291748047,35
143,-46.22519302368164,28
144,-34.20301818847656,29
145,-15.473804473876953,30
146,-36.84286117553711,14
147,-31.778820037841797,28
148,-45.23236083984375,30
149,-99.56573486328125,38
150,-36.94208908081055,22
151,-34.25653839111328,20
152,-46.93070602416992,28
153,-50.61509704589844,30
154,-44.779178619384766,31
155,-39.01322937011719,32
156,-42.742435455322266,38
157,-36.49375915527344,66
158,-39.29141616821289,10
159,-40.22891616821289,15
160,-32.74476623535156,24
161,-45.3267822265625,10
162,-41.305763244628906,11
163,-38.51860809326172,44
164,-55.45395278930664,58
165,-36.6957893371582,17
166,-32.5048942565918,29
167,-28.581880569458008,32
168,-34.40571594238281,21
169,-35.9415283203125,17
170,-38.95266342163086,15
171,-39.380882263183594,18
172,-40.52412033081055,31
173,-36.511474609375,17
174,-40.26009750366211,20
175,-25.081287384033203,81
176,-41.782527923583984,14
177,-41.327850341796875,11
178,-43.3054084777832,36
179,-34.769432067871094,20
180,-36.3729362487793,17
181,-41.8116569519043,12
182,-42.75416564941406,28
183,-41.19721221923828,30
184,-40.57437515258789,36
185,-44.33571243286133,9
186,-33.171531677246094,41
187,-45.41697692871094,27
188,15.954093933105469,65
189,-46.369163513183594,31
190,-39.32820510864258,41
191,-19.715084075927734,56
192,-41.20278549194336,37
193,-43.40538024902344,40
194,-46.493072509765625,9
195,-37.911842346191406,14
196,-43.16038513183594,10
197,-34.03812026977539,20
198,-37.49623489379883,12
199,-39.71548843383789,44
200,-12.610336303710938,53
201,-36.79210662841797,17
202,-54.157344818115234,39
203,-39.02014923095703,33
204,-32.56574630737305,18
205,-16.21002960205078,55
206,-29.122314453125,30
207,-81.07534790039062,86
208,-35.411231994628906,23
209,-23.807266235351562,56
210,-40.37419128417969,10
211,-20.78961181640625,52
212,-50.839195251464844,27
213,-22.663326263427734,68
214,-38.0067024230957,13
215,-46.25625991821289,28
216,-43.03742980957031,18
217,-47.63100051879883,34
218,-38.90656280517578,18
219,-42.81912612915039,10
220,-44.66073226928711,35
221,-38.33942413330078,14
222,-27.947587966918945,24
223,-41.53288650512695,39
224,-46.76852035522461,29
225,-3.7391700744628906,104
226,-42.283695220947266,9
227,-39.31779098510742,12
228,-22.1916446685791,37
229,-44.37082290649414,41
230,-38.65775680541992,41
231,-37.681915283203125,14
232,-32.84288024902344,30
233,-30.097135543823242,23
234,-39.18932342529297,14
235,-12.496345520019531,36
236,-44.86555099487305,36
237,-35.88633728027344,18
238,-36.82430648803711,32
239,-37.20680618286133,30
240,-41.168296813964844,15
241,-24.337949752807617,37
242,-37.97385787963867,16
243,-21.9444637298584,43
244,-19.4716739654541,44
245,-26.776426315307617,41
246,-37.52570724487305,15
247,-29.1875,34
248,-96.1172866821289,34
249,-32.267452239990234,44
250,-27.076353073120117,33
251,-47.7629508972168,32
252,-50.07356262207031,31
253,-33.1232795715332,35
254,-38.14850997924805,32
255,-40.80194091796875,10
256,-36.438133239746094,38
257,-43.44862365722656,27
258,-41.564781188964844,28
259,-22.697235107421875,78
260,-45.54759216308594,30
261,-36.6226921081543,21
262,-38.563350677490234,33
263,-14.327552795410156,83
264,-27.770212173461914,23
265,-40.28739929199219,12
266,-31.736906051635742,26
267,-30.630292892456055,29
