Episode,Total Reward,Termination Step
1,-204.57062790692726,834
2,-308.282902888488,975
3,-254.65386316736112,837
4,-411.58748620189726,1073
5,-239.93904079543427,714
6,-73.12747415388003,606
7,-261.1580912368372,824
8,-144.11848971870495,580
9,-263.5548125933856,761
10,-235.25908849516418,734
11,-308.6218384676613,874
12,-308.7453533287626,829
13,-309.15569051218336,928
14,-258.4952169191092,715
15,-194.47749858070165,960
16,-831.2178253903985,2247
17,-146.24833515193313,840
18,-243.8336091528181,1014
19,-75.52171865483979,1205
20,-61.622528179199435,315
21,-263.6586598583963,1087
22,-564.4409543809743,2173
23,-343.4395927172154,1480
24,-283.60220088175265,1005
25,-79.84843003377318,369
26,-319.6553439758718,1446
27,-847.1010175137781,3001
28,-225.09810877218843,813
29,-476.83241976215504,1433
30,-303.16449380104314,1463
31,-269.2903770051198,1182
32,-203.00519123254344,699
33,-56.80234905681573,294
34,-287.4191208969569,943
35,-752.7154248132138,3001
36,-389.53234372721636,1458
37,-405.5612234591972,1111
38,-72.31920780055225,395
39,-296.24924471322447,879
40,-304.851047353819,824
41,-251.25214541330934,678
42,-93.266781616956,734
43,-1092.6856426869053,2786
44,-337.48720316402614,756
45,-1307.9721466228366,3001
46,-413.8453571195714,1311
47,-276.16396904503927,1115
48,-71.66716891794931,338
49,-298.71467439242406,797
50,-59.389644768089056,277
51,-297.3067053668492,1162
52,-696.5579562336206,2023
53,-1090.261942868874,3001
54,-344.9546141922474,1300
55,-750.6531715585152,3001
56,-68.28239217028022,344
57,-425.46569011732936,1171
58,-58.05133311613463,314
59,-120.6730676451698,406
60,-368.34705594182014,938
61,-101.38831229880452,497
62,-121.77802470326424,414
63,-35.390577723272145,314
64,-99.14135169517249,288
65,-280.84873326157685,799
66,-341.0752813257277,934
67,-90.81945472583175,514
68,-310.1877156908158,838
69,-447.42792703025043,1608
70,-339.49694119393826,1017
71,-216.71388352289796,797
72,-345.7182463770732,958
73,-114.47113278508186,498
74,-254.53271628916264,719
75,-54.14979109913111,400
76,-296.65943659003824,814
77,-149.88776522874832,681
78,-333.43161334842443,1171
79,-154.6207261281088,613
80,-288.7035321369767,1004
81,-216.7540317028761,836
82,-146.07793731987476,699
83,-94.02502105385065,424
84,-101.9354851692915,413
85,-117.76677554449998,486
86,-259.9100486920215,1071
87,-4.421319950371981,420
88,-47.59160621650517,459
89,-175.20485414937139,549
90,-16.00113713182509,217
91,-47.26307292794809,338
92,-152.23668819642626,630
93,-97.00359177426435,517
94,-86.4086539298296,434
95,-83.56696809828281,405
96,-78.16433244821383,466
97,-368.1665932536125,1141
98,-108.2539719021006,540
99,-215.7472966313362,770
100,-15.821639899164438,296
101,-9.071322658564895,355
102,-171.77525520056952,880
103,-174.94052734947763,963
104,-3.7371319399680942,278
105,-84.89951190073043,453
106,-104.3085098862648,548
107,-28.132743902038783,342
108,-126.36400873353705,632
109,-223.66840890049934,592
110,-196.857803724939,894
111,-155.8565823994577,762
112,-117.57421808317304,634
113,-244.5309625370428,1237
114,-221.58601605868898,1046
115,-403.62297196523286,1397
116,-96.1006941642845,500
117,-70.4685872127302,494
118,-146.54857448337134,645
119,-421.79804268153384,1634
120,-465.4584540198557,1576
121,-130.87429172592238,503
122,-155.83732057519956,703
123,-292.04792824666947,928
124,-506.73025035392493,1751
125,-102.35309563018382,335
126,-122.40302340686321,644
127,-85.01175260660239,447
128,-369.11208085808903,1114
129,-96.02788083069026,563
130,-46.479985350277275,325
131,-222.6781758130528,546
132,-93.39050815999508,523
133,-225.91437154635787,761
134,-13.691130176186562,346
135,-132.8827107786201,417
136,-100.38931682473049,568
137,-97.01523237349465,554
138,-244.56792571698315,1003
139,-223.3602715022862,639
140,-77.72749320138246,337
141,-71.46308059524745,397
142,-37.63667890429497,333
143,-311.4676036032615,1482
144,-196.82713119499385,478
145,-229.52776177227497,981
146,-340.82172653079033,968
147,-113.79304057802074,347
148,-231.52279739826918,1059
149,-194.8657345236279,732
150,-225.58804432861507,709
151,-124.71349158138037,691
152,-124.04982524225488,652
153,-15.185710666235536,482
154,-127.43174393265508,718
155,-246.81328567536548,970
156,-25.29813660052605,198
157,-28.893206235952675,285
158,-126.17916894117661,1118
159,-433.2635097502498,1998
160,-229.02058198815212,754
161,-131.30733372014947,585
162,-277.6908975429833,1324
163,-208.2189931096509,871
164,-389.64286077418365,1131
165,-165.76954538957216,607
166,-767.3180834012455,2903
167,-313.3700810648734,858
168,-693.5309805533616,3001
169,-636.2939176904038,2018
170,-770.3992469306395,3001
171,-149.8193179089576,1104
172,-648.8715694679413,1899
173,-161.5492368011037,750
174,-167.9553954449948,692
175,-994.7137750051916,3001
176,-146.0461058318615,734
177,-287.6147818444297,1315
178,-141.06743737868965,578
179,-60.16480142343789,414
180,-748.8197213994572,2904
181,-469.0859457330662,2986
182,-345.433334839523,1994
183,-95.20303630363196,418
184,-288.0902432310395,1098
185,-146.80375601655396,1006
186,-369.73976142995525,1877
187,-821.8938846295932,2508
188,-506.33985273726285,1651
189,-153.3257006937638,908
190,-269.3315768700704,2303
191,-96.20792449638247,471
192,-307.1031533727946,1817
193,-960.4126272806898,3001
194,-518.4225271656178,1335
195,-484.0445221681148,1424
196,-259.1517552603036,1135
197,-434.54385045790923,1980
198,-306.6269571259618,789
199,-214.9456091374159,968
200,-275.10918939486146,966
201,-113.62332778376731,1866
202,-218.23640539500047,1057
203,-265.52165384590626,1008
204,-565.001226662891,2241
205,-134.62250782672345,911
206,-41.99686376878526,1315
207,-242.7085073441267,1284
208,-158.96895014715847,2654
209,-315.90623269596836,1477
210,10.028085379395634,623
211,8.310513999313116,792
212,-221.78535831614863,907
213,-150.9572978587821,1850
214,-82.31657645618543,972
215,-239.91365016973577,2632
216,-164.20220793411136,1474
217,-516.9508632399375,2221
218,-216.2376934965141,2237
219,-72.28900351052289,2394
220,-262.402467829379,3001
