Episode,Total Reward,Termination Step
1,-55.713645935058594,26
2,-51.50725555419922,14
3,-58.02721405029297,25
4,-52.238380432128906,11
5,-53.85459899902344,30
6,-59.032005310058594,31
7,-50.41252517700195,8
8,-56.54206848144531,20
9,-76.44694519042969,59
10,-59.80086898803711,27
11,-60.890594482421875,29
12,-61.018314361572266,33
13,-66.48210144042969,42
14,-59.27299118041992,30
15,-60.87847137451172,36
16,-64.26068115234375,42
17,-60.613224029541016,26
18,-60.1417236328125,29
19,-61.237648010253906,26
20,-65.90531158447266,45
21,-64.69428253173828,28
22,-67.74515533447266,50
23,-74.68132781982422,64
24,-50.73241424560547,7
25,-60.30622100830078,37
26,-61.02701187133789,55
27,-57.17068099975586,28
28,-60.52078628540039,24
29,-51.33210754394531,19
30,-53.600276947021484,15
31,-73.84355163574219,64
32,-62.80913543701172,36
33,-58.24454116821289,52
34,-50.821102142333984,22
35,-58.752685546875,35
36,-51.50193786621094,13
37,-63.38517761230469,31
38,-58.04875564575195,22
39,-54.93951416015625,22
40,-60.46522903442383,38
41,-62.619163513183594,47
42,-63.51915740966797,31
43,-60.215087890625,32
44,-56.16684341430664,31
45,-52.9249267578125,14
46,-53.354156494140625,21
47,-58.595298767089844,25
48,-62.30057144165039,31
49,-56.59224319458008,20
50,-63.00570297241211,29
51,-65.22278594970703,68
52,-61.4039421081543,41
53,-57.866676330566406,18
54,-61.87718963623047,30
55,-51.806907653808594,13
56,-52.87468719482422,15
57,-61.61335372924805,26
58,-55.67742919921875,34
59,-54.70058822631836,17
60,-55.17913055419922,18
61,-52.03853988647461,13
62,-85.77944946289062,95
63,-61.21033477783203,30
64,-66.43502807617188,42
65,-62.245819091796875,32
66,-51.8056640625,15
67,-55.04905319213867,23
68,-52.687862396240234,19
69,-63.907569885253906,34
70,-77.60432434082031,75
71,-51.176025390625,12
72,-62.57203674316406,34
73,-54.505157470703125,17
74,-49.950069427490234,21
75,-80.79693603515625,71
76,-55.947513580322266,36
77,-57.34029769897461,21
78,-56.02067184448242,19
79,-72.8161392211914,63
80,-62.80866241455078,35
81,-54.54228210449219,19
82,-55.44948196411133,23
83,-54.28211212158203,25
84,-72.10314178466797,69
85,-54.59115982055664,23
86,-53.67730712890625,16
87,-51.34629440307617,13
88,-58.18941879272461,28
89,-71.9028549194336,59
90,-62.162349700927734,31
91,-52.56083679199219,11
92,-54.02398681640625,16
93,-63.906280517578125,36
94,-75.9697265625,70
95,-67.77116394042969,46
96,-63.351707458496094,36
97,-61.846153259277344,28
98,-60.27003479003906,36
99,-50.43028259277344,12
100,-52.28584289550781,10
101,-57.89073181152344,34
102,-52.951026916503906,12
103,-68.64533233642578,48
104,-59.679351806640625,32
105,-57.37532043457031,22
106,-60.04547119140625,39
107,-111.07457733154297,119
108,-61.79595947265625,44
109,-66.67169189453125,60
110,-61.8316650390625,48
111,-59.00288772583008,34
112,-58.6935920715332,24
113,-53.95832061767578,22
114,-57.13876724243164,24
115,-65.08779907226562,34
116,-58.08382034301758,33
117,-53.09144592285156,11
118,-66.17771911621094,46
119,-50.48125076293945,9
120,-63.81858444213867,31
121,-51.851993560791016,11
122,-55.12229919433594,19
123,-57.33346939086914,26
124,-59.51760482788086,25
125,-62.78824996948242,31
126,-57.58713150024414,23
127,-71.06392669677734,50
128,-51.18513870239258,12
129,-68.88170623779297,38
130,-58.565032958984375,24
131,-56.18830490112305,26
132,-59.89288330078125,26
133,-51.790931701660156,8
134,-52.39455795288086,14
135,-55.20323944091797,22
136,-60.54205322265625,31
137,-50.48677062988281,15
138,-52.29674530029297,8
139,-53.14237594604492,16
140,-58.002464294433594,34
141,-54.02655029296875,22
142,-55.98455810546875,18
143,-72.6921615600586,80
144,-79.21134948730469,86
145,-53.78951644897461,19
146,-52.86113357543945,9
147,-51.109161376953125,11
148,-53.22684860229492,14
149,-52.03840255737305,20
150,-68.39137268066406,50
151,-61.08662414550781,28
152,-66.63921356201172,40
153,-66.3763427734375,65
154,-57.6776123046875,28
155,-61.85061264038086,26
156,-61.48879623413086,25
157,-53.98169708251953,12
158,-55.95732879638672,27
159,-60.45609664916992,30
160,-54.45907211303711,18
161,-80.2762451171875,62
162,-50.99885940551758,10
163,-51.254615783691406,7
164,-80.647705078125,65
165,-54.13070297241211,17
166,-55.98759841918945,16
167,-58.554443359375,34
168,-62.25116729736328,28
169,-51.6504020690918,11
170,-54.21652603149414,20
171,-54.114498138427734,28
172,-65.18768310546875,44
173,-57.653194427490234,34
174,-64.51966857910156,30
175,-84.52407836914062,73
176,-59.33234405517578,30
177,-57.9804801940918,23
178,-66.061767578125,51
179,-55.45903015136719,20
180,-50.884403228759766,9
181,-51.128700256347656,11
182,-52.40795135498047,9
183,-51.01179504394531,9
184,-50.71451950073242,9
185,-53.64780807495117,16
186,-69.10971069335938,42
187,-69.3268051147461,52
188,-60.3076057434082,29
189,-63.968719482421875,39
190,-63.48988342285156,51
191,-72.60311126708984,57
192,-51.54903793334961,25
193,-53.475303649902344,12
194,-69.02091979980469,55
195,-62.072811126708984,34
196,-65.5400390625,29
197,-60.42457962036133,38
198,-51.79845428466797,7
199,-54.1937370300293,16
200,-59.88774108886719,31
201,-49.60980224609375,12
202,-76.20153045654297,76
203,-56.38113021850586,31
204,-60.98723220825195,32
205,-57.01844787597656,28
206,-54.17522048950195,17
