demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no
rotation,0.2,-15.0,0.02996922137802492,,,1,,
rotation,0.29000000000000004,-15.0,0.1151438782695348,,,1,,
rotation,0.38,-15.0,0.28115586946943966,,,1,,
rotation,0.47000000000000003,-15.0,0.34967541116060197,,,1,,
rotation,0.56,-15.0,0.4436200112596969,,,1,,
rotation,0.6499999999999999,-15.0,0.5803702861052216,,,1,,
rotation,0.74,-15.0,0.6690234092515516,,,1,,
rotation,0.8300000000000001,-15.0,0.664032788988031,,,1,,
rotation,0.9199999999999999,-15.0,0.8352427971368384,,,1,,
rotation,1.01,-15.0,0.9369739655784546,,,1,,
rotation,1.0999999999999999,-15.0,1.0402517073024813,,,1,,
rotation,1.19,-15.0,1.1290738147695805,,,1,,
rotation,1.28,-15.0,1.275936752207387,,,1,,
rotation,1.3699999999999999,-15.0,1.301447540164157,,,1,,
rotation,1.46,-15.0,1.3589322191585527,,,1,,
rotation,1.5499999999999998,-15.0,1.4656818630760855,,,1,,
rotation,1.64,-15.0,1.5917053319728722,,,1,,
rotation,1.73,-15.0,1.643670420403228,,,1,,
rotation,1.8199999999999998,-15.0,1.6522367736751116,,,1,,
rotation,1.91,-15.0,1.810615205318243,,,1,,
rotation,2.0,-15.0,1.9427402405037741,,,1,,
rotation,0.2,-14.0,0.049526061002162995,,,1,,
rotation,0.29000000000000004,-14.0,0.19339744125722091,,,1,,
rotation,0.38,-14.0,0.306020853442947,,,1,,
rotation,0.47000000000000003,-14.0,0.3413069384263705,,,1,,
rotation,0.56,-14.0,0.474612799627908,,,1,,
rotation,0.6499999999999999,-14.0,0.5667834960208222,,,1,,
rotation,0.74,-14.0,0.6850618497520472,,,1,,
rotation,0.8300000000000001,-14.0,0.7340424072730559,,,1,,
rotation,0.9199999999999999,-14.0,0.8575099222441542,,,1,,
rotation,1.01,-14.0,0.957516202016381,,,1,,
rotation,1.0999999999999999,-14.0,1.026269666841098,,,1,,
rotation,1.19,-14.0,1.1542165821749375,,,1,,
rotation,1.28,-14.0,1.2038992568625728,,,1,,
rotation,1.3699999999999999,-14.0,1.2803903419949634,,,1,,
rotation,1.46,-14.0,1.3936428223776645,,,1,,
rotation,1.5499999999999998,-14.0,1.4471912756594094,,,1,,
rotation,1.64,-14.0,1.5442200961853711,,,1,,
rotation,1.73,-14.0,1.657753626204861,,,1,,
rotation,1.8199999999999998,-14.0,1.647536290378951,,,1,,
rotation,1.91,-14.0,1.8142251904387328,,,1,,
rotation,2.0,-14.0,1.9501448339987837,,,1,,
rotation,0.2,-13.0,0.08789416468668533,,,1,,
rotation,0.29000000000000004,-13.0,0.18378343031149091,,,1,,
rotation,0.38,-13.0,0.26617398447802415,,,1,,
rotation,0.47000000000000003,-13.0,0.3832182175757008,,,1,,
rotation,0.56,-13.0,0.5009212146429814,,,1,,
rotation,0.6499999999999999,-13.0,0.5739504932503645,,,1,,
rotation,0.74,-13.0,0.6857132988636213,,,1,,
rotation,0.8300000000000001,-13.0,0.741251883924908,,,1,,
rotation,0.9199999999999999,-13.0,0.8856398007930634,,,1,,
rotation,1.01,-13.0,0.9611634571019884,,,1,,
rotation,1.0999999999999999,-13.0,1.0436035692477752,,,1,,
rotation,1.19,-13.0,1.1680716154560538,,,1,,
rotation,1.28,-13.0,1.2246611614510763,,,1,,
rotation,1.3699999999999999,-13.0,1.2768975031142777,,,1,,
rotation,1.46,-13.0,1.4144275495309149,,,1,,
rotation,1.5499999999999998,-13.0,1.4588006448597595,,,1,,
rotation,1.64,-13.0,1.5787841238441707,,,1,,
rotation,1.73,-13.0,1.6749517648631276,,,1,,
rotation,1.8199999999999998,-13.0,1.6934387872237717,,,1,,
rotation,1.91,-13.0,0.0,,,0,,
rotation,2.0,-13.0,1.886988446305236,,,1,,
rotation,0.2,-12.0,0.0775798057583413,,,1,,
rotation,0.29000000000000004,-12.0,0.22421729825583284,,,1,,
rotation,0.38,-12.0,0.3142620386604294,,,1,,
rotation,0.47000000000000003,-12.0,0.3299994986473285,,,1,,
rotation,0.56,-12.0,0.45590176030536494,,,1,,
rotation,0.6499999999999999,-12.0,0.5854440916287577,,,1,,
rotation,0.74,-12.0,0.6862561312433902,,,1,,
rotation,0.8300000000000001,-12.0,0.740025124030545,,,1,,
rotation,0.9199999999999999,-12.0,0.8700772579370072,,,1,,
rotation,1.01,-12.0,0.9716011928037425,,,1,,
rotation,1.0999999999999999,-12.0,1.0355876133200195,,,1,,
rotation,1.19,-12.0,1.1530103714107527,,,1,,
rotation,1.28,-12.0,1.2499306477719587,,,1,,
rotation,1.3699999999999999,-12.0,1.2734174386031405,,,1,,
rotation,1.46,-12.0,1.403806444428659,,,1,,
rotation,1.5499999999999998,-12.0,1.482005156509887,,,1,,
rotation,1.64,-12.0,1.5817021001606166,,,1,,
rotation,1.73,-12.0,0.0,,,0,,
rotation,1.8199999999999998,-12.0,0.0,,,0,,
rotation,1.91,-12.0,1.8385355660833096,,,1,,
rotation,2.0,-12.0,1.860018676681238,,,1,,
rotation,0.2,-11.0,0.133723152168403,,,1,,
rotation,0.29000000000000004,-11.0,0.206873993306949,,,1,,
rotation,0.38,-11.0,0.24637383902936696,,,1,,
rotation,0.47000000000000003,-11.0,0.32868283217180366,,,1,,
rotation,0.56,-11.0,0.5224526815528929,,,1,,
rotation,0.6499999999999999,-11.0,0.5860437662205402,,,1,,
rotation,0.74,-11.0,0.6700137857695777,,,1,,
rotation,0.8300000000000001,-11.0,0.730323779989409,,,1,,
rotation,0.9199999999999999,-11.0,0.8287459471289242,,,1,,
rotation,1.01,-11.0,0.9735233432736687,,,1,,
rotation,1.0999999999999999,-11.0,1.0647866448452217,,,1,,
rotation,1.19,-11.0,1.117488999421897,,,1,,
rotation,1.28,-11.0,1.2069080159874719,,,1,,
rotation,1.3699999999999999,-11.0,1.2621145813803123,,,1,,
rotation,1.46,-11.0,1.383922392104041,,,1,,
rotation,1.5499999999999998,-11.0,1.460250852870655,,,1,,
rotation,1.64,-11.0,1.5818083572672972,,,1,,
rotation,1.73,-11.0,1.6566873556917718,,,1,,
rotation,1.8199999999999998,-11.0,1.6927796312228707,,,1,,
rotation,1.91,-11.0,1.837682571446072,,,1,,
rotation,2.0,-11.0,1.8436120547072608,,,1,,
rotation,0.2,-10.0,0.15635518094315748,,,1,,
rotation,0.29000000000000004,-10.0,0.2317406157279772,,,1,,
rotation,0.38,-10.0,0.2988886360668998,,,1,,
rotation,0.47000000000000003,-10.0,0.3980211612131079,,,1,,
rotation,0.56,-10.0,0.49238974781297395,,,1,,
rotation,0.6499999999999999,-10.0,0.5885752506139968,,,1,,
rotation,0.74,-10.0,0.7273559744502888,,,1,,
rotation,0.8300000000000001,-10.0,0.7605341151644329,,,1,,
rotation,0.9199999999999999,-10.0,0.8614568914680579,,,1,,
rotation,1.01,-10.0,0.9620057784332606,,,1,,
rotation,1.0999999999999999,-10.0,1.0534082055842047,,,1,,
rotation,1.19,-10.0,1.118879495179983,,,1,,
rotation,1.28,-10.0,1.1977559143106098,,,1,,
rotation,1.3699999999999999,-10.0,1.2447016873368308,,,1,,
rotation,1.46,-10.0,1.389247973254608,,,1,,
rotation,1.5499999999999998,-10.0,1.4322476372264035,,,1,,
rotation,1.64,-10.0,1.527578727782365,,,1,,
rotation,1.73,-10.0,1.6281061669461594,,,1,,
rotation,1.8199999999999998,-10.0,0.0,,,0,,
rotation,1.91,-10.0,0.0,,,0,,
