Episode,Total Reward,Termination Step
1,-90.80290985107422,14
2,-93.91609954833984,28
3,-83.58914184570312,50
4,-91.95722961425781,12
5,-82.6035385131836,16
6,-87.45319366455078,13
7,-93.98845672607422,22
8,-91.42127227783203,41
9,-90.13137817382812,38
10,-92.79588317871094,12
11,-89.80311584472656,27
12,-93.98307037353516,27
13,-93.66822052001953,11
14,-90.60049438476562,40
15,-85.21416473388672,25
16,-73.44022369384766,32
17,-89.90465545654297,24
18,-76.7042236328125,45
19,-83.6533432006836,33
20,-97.90977478027344,28
21,-90.45512390136719,18
22,-79.4206771850586,55
23,-93.73890686035156,31
24,-60.306068420410156,65
25,-93.09432983398438,19
26,-89.20647430419922,17
27,-75.92896270751953,30
28,-93.48483276367188,16
29,-88.98523712158203,27
30,-93.18795013427734,42
31,-92.33161163330078,21
32,-89.76976013183594,14
33,-87.05679321289062,17
34,-79.7655258178711,36
35,-88.33185577392578,23
36,-92.302001953125,27
37,-77.9413833618164,43
38,-85.57051086425781,38
39,-84.20001220703125,22
40,-92.22842407226562,16
41,-89.57378387451172,13
42,-71.08252716064453,79
43,-85.51817321777344,22
44,-87.03829193115234,50
45,-95.59651184082031,7
46,-75.58927917480469,42
47,-90.47128295898438,8
48,-90.31702423095703,23
49,-92.92575073242188,38
50,-92.14006805419922,12
51,-76.29369354248047,56
52,-94.01319122314453,8
53,-89.87566375732422,22
54,-91.35321807861328,30
55,-87.27629852294922,31
56,-93.3642578125,14
57,-86.82089233398438,31
58,-80.55094146728516,28
59,-86.9526596069336,31
60,-95.48393249511719,29
61,-87.8487777709961,30
62,-93.67356872558594,12
63,-63.24960708618164,53
64,-91.33403015136719,15
65,-110.08154296875,59
66,-92.82653045654297,13
67,-93.17424011230469,11
68,-97.4914321899414,49
69,-98.66509246826172,110
70,-93.2667007446289,10
71,-93.05210876464844,21
72,-75.294921875,84
73,-89.69115447998047,22
74,-88.75271606445312,34
75,-89.2254867553711,50
76,-92.22428131103516,10
77,-102.23185729980469,77
78,-91.555419921875,37
79,-84.34426879882812,30
80,-82.23741912841797,26
81,-80.34506225585938,34
82,-88.36996459960938,13
83,-93.33126831054688,16
84,-92.10712432861328,45
85,-71.65341186523438,43
86,-98.14622497558594,44
87,-93.09040832519531,8
88,-94.14498138427734,27
89,-85.66619873046875,52
90,-94.35196685791016,10
91,-90.57614135742188,30
92,-111.65348815917969,77
93,-91.4285888671875,24
94,-96.61463165283203,29
95,-93.6314926147461,23
96,-91.84785461425781,16
97,-86.71605682373047,21
98,-85.26240539550781,21
99,-76.58767700195312,43
100,-83.30205535888672,36
101,-83.27664947509766,29
102,-85.72891235351562,28
103,-84.40264129638672,22
104,-65.90319061279297,73
105,-90.22538757324219,17
106,-52.58144760131836,64
107,-86.70268249511719,25
108,-92.61141204833984,15
109,-84.95408630371094,23
110,-95.41639709472656,33
111,-84.95751953125,20
112,-88.30523681640625,42
113,-89.6334457397461,13
114,-93.3861312866211,13
115,-92.73764038085938,11
116,-98.25975799560547,27
117,-85.0989990234375,31
118,-91.58468627929688,35
119,-86.63980102539062,27
120,-85.90618896484375,32
121,-92.80778503417969,11
122,-78.93394470214844,36
123,-77.60740661621094,27
124,-94.15747833251953,11
125,-88.71656799316406,23
126,-90.22750854492188,15
127,-90.64988708496094,19
128,-87.53526306152344,36
129,-85.02439880371094,25
130,-77.4439697265625,77
131,-91.56493377685547,13
132,-86.9364013671875,24
133,-92.04185485839844,13
134,-81.35945892333984,32
135,-76.54920959472656,34
136,-69.70399475097656,54
137,-83.67588806152344,30
138,-98.74461364746094,42
139,-88.47944641113281,20
140,-88.97225952148438,44
141,-94.98568725585938,28
142,-88.05101013183594,16
143,-92.52047729492188,13
144,-86.60286712646484,24
145,-91.53974151611328,32
146,-86.54026794433594,35
147,-87.04071044921875,17
148,-95.75872039794922,56
149,-86.2500991821289,23
150,-86.7060775756836,32
151,-66.54130554199219,31
152,-88.71731567382812,28
153,-96.0648422241211,8
154,-98.75061798095703,40
155,-77.13874816894531,43
156,-94.52290344238281,26
157,-92.66215515136719,30
158,-80.46011352539062,34
159,-90.970703125,27
160,-89.2015380859375,20
161,-65.7823486328125,68
162,-85.08191680908203,26
163,-73.98723602294922,54
164,-94.85565185546875,29
165,-96.54276275634766,54
166,-93.39043426513672,8
167,-81.20085906982422,36
168,-90.2055435180664,31
169,-91.0445327758789,18
170,-88.4324951171875,23
171,-97.14421081542969,29
172,-80.48114013671875,39
173,-84.65563201904297,22
174,-87.77388763427734,13
175,-89.86833190917969,32
176,-89.76251220703125,30
177,-90.32052612304688,18
178,-80.49259185791016,31
179,-94.96162414550781,31
180,-87.85596466064453,34
181,-91.64790344238281,51
182,-92.27930450439453,20
183,-82.08757781982422,37
184,-90.35385131835938,40
185,-94.80821228027344,7
186,-94.34367370605469,28
187,-88.44363403320312,29
188,-88.87505340576172,33
189,-84.48576354980469,22
190,-77.95747375488281,36
191,-94.95040130615234,31
192,-86.41607666015625,30
193,-86.36316680908203,14
194,-87.19825744628906,16
195,-88.1025619506836,21
196,-91.63788604736328,34
197,-108.24826049804688,53
198,-85.2113265991211,29
199,-87.67298889160156,31
200,-93.62113189697266,24
201,-80.19298553466797,28
202,-95.50537872314453,9
203,-96.95909118652344,26
204,-86.86305236816406,19
205,-90.24170684814453,13
206,-75.5730972290039,56
207,-83.97400665283203,37
