Episode,Total Reward,Termination Step
1,2.9563546180725098,46
2,-5.750563621520996,35
3,-5.571802139282227,10
4,-4.875532150268555,23
5,-5.361263751983643,28
6,-5.06376838684082,44
7,-5.8571929931640625,45
8,-5.125083923339844,10
9,-4.292635917663574,58
10,-4.550595283508301,19
11,-3.9942092895507812,33
12,-5.230717182159424,28
13,-5.004802703857422,22
14,-5.391263961791992,36
15,-4.50280237197876,39
16,-4.932887554168701,32
17,-5.024486064910889,9
18,-5.3221235275268555,45
19,-4.789498329162598,52
20,-5.136798858642578,31
21,-5.055732727050781,12
22,-5.102156639099121,24
23,-4.73467493057251,21
24,-4.906887054443359,11
25,-4.568395614624023,14
26,-4.987198829650879,31
27,-4.689853191375732,58
28,-4.3799519538879395,36
29,-4.325384616851807,34
30,-4.689657688140869,26
31,-4.23543643951416,36
32,-5.049834251403809,26
33,-3.9012951850891113,43
34,-4.91184139251709,25
35,-4.439271926879883,41
36,-4.428770065307617,31
37,-4.948765277862549,10
38,-4.43212366104126,28
39,-4.685466766357422,26
40,-4.884866714477539,27
41,-4.841383457183838,34
42,-4.937037944793701,11
43,-4.862688064575195,9
44,-4.694884777069092,27
45,-4.74021577835083,18
46,-4.6597700119018555,28
47,-4.917932033538818,29
48,-4.274610996246338,67
49,-5.058012008666992,39
50,-4.749682426452637,17
51,-5.085193634033203,35
52,-4.5953755378723145,23
53,-2.7657341957092285,86
54,-4.820298671722412,14
55,-4.322528839111328,38
56,-4.777499198913574,24
57,-4.98968505859375,22
58,-5.183791637420654,27
59,-4.741501808166504,57
60,-4.721409320831299,33
61,-4.820682048797607,29
62,-4.96437406539917,12
63,-5.003118515014648,26
64,-3.976909637451172,30
65,-4.662117958068848,34
66,-4.858283996582031,9
67,-3.745453357696533,41
68,-4.38258171081543,56
69,-4.48946475982666,22
70,-4.874311923980713,15
71,-4.811093807220459,24
72,-4.9461140632629395,26
73,-4.9715895652771,12
74,-4.46759033203125,25
75,-4.6139068603515625,43
76,-4.882488250732422,12
77,-4.688141345977783,17
78,-4.711380958557129,13
79,-4.541300296783447,47
80,-4.888059139251709,45
81,-4.941298007965088,38
82,-4.935884952545166,14
83,-4.977627277374268,32
84,-5.041703224182129,11
85,-4.569621562957764,30
86,-4.892063140869141,17
87,-4.496490955352783,32
88,-4.969668388366699,13
89,-4.879938125610352,29
90,-4.924605369567871,18
91,-5.0617289543151855,44
92,-4.881345748901367,32
93,-4.102762222290039,41
94,-4.372280120849609,39
95,-3.8950400352478027,53
96,-4.448575496673584,36
97,-4.85387659072876,31
98,-4.090677261352539,34
99,-4.349804401397705,42
100,-3.9993932247161865,72
101,-5.020533084869385,8
102,-4.957508563995361,12
103,-4.975350856781006,8
104,-4.676926136016846,47
105,-4.275481224060059,36
106,-4.836492538452148,15
107,-5.032681941986084,30
108,-4.976601600646973,30
109,-4.896730422973633,15
110,-4.866823196411133,10
111,-3.7486038208007812,53
112,-4.780640125274658,17
113,-4.473852157592773,23
114,-4.897421836853027,15
115,-4.717069149017334,24
116,-4.938059329986572,10
117,-4.484817981719971,40
118,-4.518534183502197,29
119,-4.982509613037109,11
120,-4.373392105102539,28
121,-4.8593902587890625,26
122,-5.317975997924805,23
123,-4.844933032989502,16
124,-4.56723690032959,38
125,-4.797890663146973,31
126,-4.868571758270264,16
127,-5.057530879974365,29
128,-4.7200398445129395,27
129,-4.0127339363098145,57
130,-4.672059535980225,19
131,-4.716704845428467,28
132,-4.953495979309082,33
133,-4.769218921661377,30
134,-1.8186204433441162,133
135,-4.723938941955566,41
136,-4.572333812713623,53
137,-4.751174449920654,13
138,-4.904932022094727,42
139,-4.665327548980713,26
140,-4.530970096588135,21
141,-4.258147239685059,30
142,-4.453132152557373,42
143,-4.236814498901367,93
144,-5.021740913391113,9
145,-4.598872661590576,24
146,-3.738356828689575,59
147,-4.605641841888428,31
148,-4.5121612548828125,14
149,-5.244512557983398,25
150,-4.830204486846924,12
151,-4.679090976715088,18
152,-4.618979454040527,17
153,-5.006651401519775,27
154,-4.751601219177246,34
155,-4.170936107635498,33
156,-3.8990206718444824,38
157,-5.021407604217529,9
158,-4.673462867736816,30
159,-4.9423723220825195,16
160,-4.645676136016846,31
161,-4.86647891998291,20
162,-5.2780442237854,88
163,-5.368320465087891,52
164,-5.082024097442627,39
165,-4.8050336837768555,34
166,-4.954995632171631,65
167,-5.187427520751953,27
168,-4.638861656188965,22
169,-5.124444961547852,25
170,-4.953396797180176,26
171,-4.9118852615356445,13
172,-5.163783550262451,65
173,-5.056020259857178,25
174,-4.956164836883545,39
175,-4.394431114196777,37
176,-5.018939971923828,32
177,-4.914494037628174,12
178,-4.547940254211426,23
179,-4.192885398864746,36
180,-4.779987812042236,10
181,-4.664682865142822,22
182,-4.73170804977417,17
183,-4.464701175689697,32
184,-4.987517356872559,11
185,-4.435464382171631,17
186,-4.919053077697754,25
187,-4.205097198486328,38
188,-4.336512565612793,33
189,-4.539068222045898,42
190,-4.289102554321289,36
191,-5.029078006744385,9
192,-4.973520755767822,9
193,-4.986577033996582,10
194,-5.043490409851074,9
195,-6.103705406188965,88
196,-4.942153453826904,33
197,-5.020918846130371,7
