demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
noisy,0.2,0.0,0.16497511841654505,1,0.25,1.0,3.8085983366726763,,322.0
noisy,0.29000000000000004,0.0,0.20899987522150906,1,0.25,1.0,4.513145061303871,,303.0
noisy,0.38,0.0,0.2771482558434653,1,0.25,1.0,5.957266068990206,,218.0
noisy,0.47000000000000003,0.0,0.39095841720900154,1,0.25,1.0,9.728727243346327,,279.0
noisy,0.56,0.0,0.44078893444335726,1,0.25,1.0,9.57734504233619,,325.0
noisy,0.6499999999999999,0.0,0.524639727981924,1,0.25,1.0,10.003611559451242,,251.0
noisy,0.74,0.0,0.6167778521577157,1,0.25,1.0,10.003282095957326,,303.0
noisy,0.8300000000000001,0.0,0.7110592596488948,1,0.25,1.0,10.002802651753045,,222.0
noisy,0.9199999999999999,0.0,0.8468078740323249,1,0.25,1.0,10.007981915465763,,71.0
noisy,1.01,0.0,0.9198726815396339,1,0.25,1.0,10.004863787538836,,71.0
noisy,1.0999999999999999,0.0,1.0131138960165667,1,0.25,1.0,10.004867439172761,,56.0
noisy,1.19,0.0,1.1322145370871812,1,0.25,1.0,10.009848102331414,,68.0
noisy,1.28,0.0,1.1984887471765528,1,0.25,1.0,10.007738229868785,,65.0
noisy,1.3699999999999999,0.0,1.2342969920882583,1,0.25,1.0,10.007358171898908,,81.0
noisy,1.46,0.0,1.3624969140087497,1,0.25,1.0,10.012653067272247,,108.0
noisy,1.5499999999999998,0.0,1.431076902999555,1,0.25,1.0,10.011014723211527,,38.0
noisy,1.64,0.0,1.5398901522938466,1,0.25,1.0,10.01500171885013,,35.0
noisy,1.73,0.0,1.5640242742078965,1,0.25,1.0,10.008878139460258,,47.0
noisy,1.8199999999999998,0.0,1.6493911138876445,1,0.25,1.0,10.01288838613879,,63.0
noisy,1.91,0.0,1.6168977520347039,1,0.25,1.0,10.011584951747453,,58.0
noisy,2.0,0.0,1.757655243766096,1,0.25,1.0,10.010646443739443,,47.0
noisy,0.2,0.0,0.15879162273227596,2,0.25,1.0,4.242803645301375,,447.0
noisy,0.29000000000000004,0.0,0.18906514896407964,2,0.25,1.0,3.988453880913495,,374.0
noisy,0.38,0.0,0.3437606960008939,2,0.25,1.0,7.789893707943882,,244.0
