demo type,cmd speed,angle,mean speed,noise level,resolution,success,max range,trial_no,steps taken
rotation,0.2,-15.0,0.19899003256946368,,,1,,,61.0
rotation,0.29000000000000004,-15.0,0.2057322401824185,,,1,,,59.0
rotation,0.38,-15.0,0.43407746639778083,,,1,,,33.0
rotation,0.47000000000000003,-15.0,0.6302023727766414,,,1,,,49.0
rotation,0.56,-15.0,0.6391890398283547,,,1,,,35.0
rotation,0.6499999999999999,-15.0,0.8244261515133379,,,1,,,60.0
rotation,0.74,-15.0,0.8673712819590235,,,1,,,44.0
rotation,0.8300000000000001,-15.0,0.9936032508636075,,,1,,,39.0
rotation,0.9199999999999999,-15.0,0.9586502980837966,,,1,,,34.0
rotation,1.01,-15.0,1.1668522382230473,,,1,,,44.0
rotation,1.0999999999999999,-15.0,1.12728885568178,,,1,,,24.0
rotation,1.19,-15.0,1.2601734718834523,,,1,,,21.0
rotation,1.28,-15.0,1.40338175014431,,,1,,,45.0
rotation,1.3699999999999999,-15.0,1.4073547916581555,,,1,,,32.0
rotation,1.46,-15.0,1.4689231542435646,,,1,,,42.0
rotation,1.5499999999999998,-15.0,1.543732114618411,,,1,,,33.0
rotation,1.64,-15.0,1.7279748518624565,,,1,,,36.0
rotation,1.73,-15.0,1.663966288163597,,,1,,,19.0
rotation,1.8199999999999998,-15.0,1.788397675335957,,,1,,,57.0
rotation,1.91,-15.0,1.8385166218425317,,,1,,,28.0
rotation,2.0,-15.0,1.989914456527896,,,1,,,28.0
rotation,0.2,-14.0,0.10376001394513973,,,1,,,47.0
rotation,0.29000000000000004,-14.0,0.2554026294721647,,,1,,,49.0
rotation,0.38,-14.0,0.4231572507792696,,,1,,,42.0
rotation,0.47000000000000003,-14.0,0.561832827885184,,,1,,,45.0
rotation,0.56,-14.0,0.648669132588747,,,1,,,48.0
rotation,0.6499999999999999,-14.0,0.7663636185960784,,,1,,,48.0
rotation,0.74,-14.0,0.8420122186032403,,,1,,,50.0
rotation,0.8300000000000001,-14.0,0.8567023417595161,,,1,,,33.0
rotation,0.9199999999999999,-14.0,0.9685256896316262,,,1,,,29.0
rotation,1.01,-14.0,1.07628456565522,,,1,,,32.0
rotation,1.0999999999999999,-14.0,1.2133894794024236,,,1,,,45.0
rotation,1.19,-14.0,1.2342989980736696,,,1,,,28.0
rotation,1.28,-14.0,1.289756578109945,,,1,,,34.0
rotation,1.3699999999999999,-14.0,1.3769552769653826,,,1,,,36.0
rotation,1.46,-14.0,1.3981120293674536,,,1,,,26.0
rotation,1.5499999999999998,-14.0,1.5248627797273533,,,1,,,30.0
rotation,1.64,-14.0,1.6179296889463037,,,1,,,28.0
rotation,1.73,-14.0,1.685428639733552,,,1,,,33.0
rotation,1.8199999999999998,-14.0,1.75108342017995,,,1,,,24.0
rotation,1.91,-14.0,1.8580271187418207,,,1,,,29.0
rotation,2.0,-14.0,1.8840574854766272,,,1,,,36.0
rotation,0.2,-13.0,0.17896458512550226,,,1,,,43.0
