Episode,Total Reward,Termination Step
1,-545.3215191988274,372
2,-477.93622012995183,323
3,-367.22172105591744,334
4,-1088.9314122251235,695
5,-504.7497141750064,363
6,-788.967148237396,536
7,-457.2777087595314,384
8,-458.34814198408276,331
9,-388.21599854156375,279
10,-1048.2986170956865,743
11,-486.1595305519586,353
12,-420.23870712239295,371
13,-427.3433492127806,329
14,-337.08430381678045,280
15,-483.3417049385607,307
16,-1449.8549108256702,1176
17,-625.0884262458421,430
18,-423.09250410087407,311
19,-612.8617127947509,473
20,-312.83641178905964,257
21,-388.0960938963108,277
22,-947.826652017422,705
23,-427.6236295066774,342
24,-733.999386517331,517
25,-461.5126787684858,399
26,-868.8115094192326,672
27,-368.82840170152485,310
28,-1368.348983457312,911
29,-1131.735980235855,957
30,-359.28543079434894,303
31,-307.73188603669405,312
32,-426.1772603355348,330
33,-421.133570600301,437
34,-634.7887558415532,475
35,-386.5438642501831,368
36,-342.1757697481662,300
37,-434.1980900876224,361
38,-277.897581350524,289
39,-415.96166225976776,391
40,-451.6459515336901,407
41,-503.51395179517567,597
42,-792.6374941971153,658
43,-306.2645557470387,266
44,-894.3747775629163,838
45,-295.3673502933234,306
46,-366.88913803361356,405
47,-942.9564470127225,790
48,-633.073941632174,593
49,-969.7618441004306,820
50,-733.6500215269625,672
51,-520.3942742422223,462
52,-585.2215073588304,534
53,-303.9995168489404,361
54,-778.6307314387523,907
55,-306.9437716654502,271
56,-599.6875289496966,629
57,-323.7353249983862,390
58,-273.72324312618,283
59,-337.6113747963682,358
60,-330.02113628592633,349
61,-332.7502083517611,427
62,-328.68108506919816,371
63,-394.09110357880127,484
64,-341.55110139469616,526
65,-271.61241831164807,338
66,-353.00918908044696,387
67,-340.41153187822783,376
68,-516.6200196307618,627
69,-508.91866442374885,619
70,-446.71434807241894,428
71,-449.00202660728246,487
72,-280.27105436031707,366
73,-296.2263904642314,331
74,-333.8619256466627,307
75,-272.47808049432933,299
76,-459.5154462575447,686
77,-383.38035039044917,432
78,-697.3155775130726,829
79,-271.4171410779236,344
80,-434.2135107591748,533
81,-407.3957382021472,466
82,-311.1979925450869,429
83,-417.4525279130321,488
84,-300.7794880839065,351
85,-462.1038385424763,584
86,-387.9019710700959,452
87,-379.8461010957981,748
88,-510.85598654672503,683
89,-421.2754726074636,584
90,-377.72082887776196,465
91,-442.57790916902013,596
92,-449.9642088045366,680
93,-440.50542252883315,588
94,-358.7656275331974,444
95,-336.68057234061416,504
96,-416.95453354902565,499
97,-293.4697686320578,386
98,-338.82226518541574,470
99,-418.1358674039948,633
100,-352.86309637501836,522
101,-400.29195624939166,582
102,-351.9199880165979,465
103,-379.13409470324405,495
104,-412.5819026072277,741
105,-326.3170729051344,497
106,-297.9403712898493,394
107,-383.13585733796936,666
108,-294.83207620840403,445
109,-416.2217799038626,733
110,-227.87314216885716,321
111,-286.1926859905943,379
112,-283.4603916152264,515
113,-225.80853406712413,366
114,-390.37910434638616,668
115,-496.24078462447505,903
116,-320.3783679706976,535
117,-323.6393325990066,575
118,-347.70893121138215,637
119,-261.8147499943152,461
120,-327.1040945155546,458
121,-427.1139193056151,731
122,-263.3900783038698,492
123,-377.62683459278196,532
124,-237.67808761354536,429
125,-214.57805691473186,329
126,-196.1008012428647,324
127,-318.7778919734992,528
128,-254.34570035384968,447
129,-329.2087183952608,669
130,-231.9718571845442,392
131,-322.8551719149109,574
132,-321.09616039227694,500
133,-253.8772705802694,397
134,-502.702507247217,858
135,-356.0134836291545,529
136,-172.67927316139685,413
137,-292.46161701949313,537
138,-262.0243887184188,493
139,-318.5235519167036,620
140,-175.7011397127062,325
141,-153.401156259235,326
142,-276.15746791288257,542
143,-210.75530761107802,355
144,-172.27295320341364,306
145,-263.20522012971924,577
146,-205.02546953468118,384
147,-315.11191590642557,717
148,-324.2443942016689,699
149,-302.75791688723257,584
150,-349.8843644642475,589
151,-259.4676285540918,643
152,-349.8194071397338,861
153,-313.29308243934065,664
154,-384.7405531347613,981
155,-302.53071525722044,707
156,-327.90899489755975,610
157,-262.4579492742196,469
158,-286.87784267030656,503
159,-284.8384315139556,741
160,-333.9207700959814,747
161,-280.20824872422963,535
162,-150.9572059456259,342
163,-313.3887726251851,740
164,-348.6579049977008,709
165,-355.90483920439146,634
166,-226.05110195005545,505
167,-281.2626110611018,479
168,-158.54269628413022,395
169,-451.5105672311038,814
170,-263.044131033108,516
171,-127.27823078632355,246
172,-281.5250038630329,641
173,-271.8646279643872,603
174,-122.49411705287639,261
175,-296.122410988959,644
176,-276.40973827335984,494
177,-286.58403847843874,673
178,-179.7359141674824,309
179,-282.09786880319007,778
180,-259.97531147906557,770
181,-274.10951089602895,648
182,-152.84906622336712,434
183,-309.8731840024702,558
184,-272.0725575265242,551
185,-71.95830749440938,288
186,-256.04643597919494,667
187,-294.18890417326475,604
188,-212.4028729913989,662
189,-294.37999616074376,610
190,-190.65478785976302,508
191,-603.6642707074061,1271
192,-248.40585459407885,655
193,-250.00708823185414,545
194,-253.8195603027416,778
195,-232.95883380109444,446
196,-204.20824991061818,587
197,-260.1457181146834,778
198,-252.35235867847223,595
199,-216.69306259325822,518
200,-296.46726801333716,709
201,-510.7616325924755,1501
202,-310.4395057182992,803
203,-333.10578463957063,901
204,-207.78026744932868,449
205,-301.5967647509533,769
206,-359.00075029814616,665
207,-225.28236258029938,585
208,-269.7080728274882,832
209,-310.54333834405406,1000
210,-306.2770876457944,873
211,-357.36736924003344,1041
212,-332.676558069099,990
213,-388.20636385458056,1134
214,-233.40093006542884,737
215,-228.30265456147026,721
216,-271.24578910288983,821
217,-146.4527651479002,615
218,-186.01290166925173,440
219,-272.03683111892315,1087
220,-241.47811783349607,671
221,-291.51503856209456,681
222,-232.4123120000586,529
223,-157.48697543668095,599
224,-341.38004673691466,891
225,-374.98254813376116,1004
226,-1143.1823591392022,2469
227,-707.0348650497617,1848
228,-223.20841300371103,680
229,-246.7603473518393,805
