Episode,Total Reward,Termination Step
1,212.53009923547506,64
2,269.8382983803749,125
3,210.45639289729297,59
4,221.42536562681198,67
5,182.9268104955554,41
6,278.01770305633545,141
7,195.7422885224223,49
8,326.01139091607183,301
9,175.10575738549232,34
10,221.41923674941063,69
11,184.2804113328457,41
12,332.4107413291931,187
13,226.593713209033,74
14,175.4609707891941,35
15,208.04329895973206,61
16,275.17554362118244,126
17,244.01312336325645,93
18,186.41987079381943,43
19,178.0120660662651,35
20,275.19223414361477,139
21,213.6395363509655,70
22,292.3174706995487,145
23,178.8977528810501,36
24,172.67001593112946,32
25,184.35031452775002,43
26,184.05659452080727,43
27,248.82582174241543,114
28,228.34774480760098,91
29,185.20611330866814,40
30,176.42491617798805,33
31,322.31143936514854,202
32,214.05779571086168,69
33,147.52025604248047,17
34,159.9737607240677,22
35,189.36556899547577,40
36,242.6892133653164,93
37,213.1896135210991,68
38,182.0674365758896,36
39,166.78665435314178,27
40,165.7231144309044,28
41,330.7412249147892,184
42,182.22797027230263,40
43,231.30032201111317,88
44,204.32312733330764,57
45,192.41221721470356,44
46,185.82931125164032,39
47,189.16187661886215,43
48,347.3830076009035,211
49,194.16524606198072,50
50,244.67516139149666,103
51,186.7874745130539,41
52,178.96866282820702,34
53,159.43773317337036,23
54,165.1807137131691,28
55,190.7581193447113,43
56,315.4316260814667,175
57,169.0909829735756,31
58,197.5767090022564,48
59,248.62663872539997,97
60,182.5164976119995,38
61,274.46622482687235,138
62,276.2786601781845,133
63,290.30450746417046,163
64,169.40407872200012,33
65,219.88187067210674,76
66,245.66136013902724,98
67,181.16560903191566,37
68,200.01705785095692,57
69,222.00402449071407,74
70,174.86777013540268,34
71,209.48261114954948,62
72,202.69179095327854,55
73,310.0777255743742,172
74,211.05860167741776,62
75,237.5583874285221,95
76,160.66453343629837,25
77,293.1755339950323,152
78,219.86394848674536,74
79,169.05964595079422,27
80,177.89954029023647,34
81,190.75178706645966,45
82,206.5223497748375,56
83,175.94149094820023,35
84,185.11635687947273,40
85,190.72459047287703,44
86,202.04319539666176,54
87,209.767315402627,58
88,199.12440346181393,50
89,251.95831376314163,106
90,221.97139892727137,69
91,298.01945312321186,158
92,233.12807378917933,88
93,284.9657501131296,146
94,206.82629469782114,56
95,207.09405870735645,59
96,206.4731479138136,53
97,303.5360121652484,155
98,267.2119955867529,126
99,202.46438013762236,56
100,261.40363504737616,121
101,206.70338075747713,66
102,175.25399205088615,34
103,185.18332198262215,39
104,168.9227676987648,29
105,186.47896879166365,42
106,238.07361586019397,88
107,193.14007093012333,49
108,214.18472077697515,62
109,198.21562224812806,58
110,235.3505329042673,81
111,298.44015270471573,153
112,191.70063164271414,43
113,217.96313007175922,65
114,290.77409523166716,141
115,276.64898109436035,157
116,383.04976829886436,301
117,182.46980771422386,38
118,204.45679099671543,52
119,222.17522284388542,80
120,220.37233732640743,79
121,220.31171694397926,76
122,218.8464399576187,72
123,186.94849461317062,43
124,181.96701556444168,36
125,211.93113383464515,58
126,193.0185424350202,45
127,219.1608301103115,64
128,187.17782667279243,40
129,200.66829063743353,52
130,191.19038781523705,46
131,208.35995142534375,56
132,192.05989526212215,46
133,232.0826864093542,78
134,186.30234507471323,41
135,171.04968506097794,32
136,245.8560998365283,102
137,185.53265327215195,44
138,196.99893098324537,48
139,183.62737557291985,38
140,247.35161022096872,99
141,284.75874423980713,141
142,197.29836800694466,46
143,373.918129786849,301
144,171.61039274930954,31
145,195.94269570708275,49
146,169.2611308991909,33
147,222.65997956693172,77
148,179.7091807425022,35
149,151.45517134666443,23
150,235.55174484848976,82
151,194.867538318038,47
152,163.5042138695717,26
153,208.39411168545485,57
154,191.29450535029173,48
155,193.57739493250847,45
156,192.5035769045353,45
157,229.59391394257545,87
158,236.3054077476263,85
159,285.054935246706,167
160,166.00021487474442,30
161,214.75367548316717,74
162,205.21953200455755,55
163,241.42971661686897,105
164,159.35813850164413,24
165,193.38535887748003,43
166,202.38524530828,49
167,193.13681322336197,45
168,204.578316308558,50
169,298.5800180733204,163
170,197.12455506296828,50
171,211.45871075987816,58
172,323.1532577909529,179
173,193.36235877871513,49
174,193.01885056495667,45
175,184.22650334239006,40
176,170.7697804570198,28
177,216.98535562679172,61
178,217.00306655839086,62
179,247.78188826143742,91
180,294.7839795947075,148
181,180.37684127688408,37
182,184.50577142834663,37
183,218.4842669814825,69
184,243.79595452547073,105
185,182.80011236667633,37
186,276.4005767554045,142
187,290.1535266786814,140
188,175.59397134184837,33
189,187.7167958766222,43
190,264.51061019301414,121
191,190.0272427201271,43
192,173.4366640150547,32
193,206.4803582802415,57
194,277.6776764392853,169
195,287.8859898298979,134
196,183.0559489428997,41
197,257.4338712692261,123
198,209.42717768251896,58
199,180.8684738278389,35
200,171.4256256222725,31
201,178.48604530096054,39
202,168.89309352636337,29
203,183.16047923266888,40
204,221.8729309439659,74
205,250.03664761781693,103
206,163.10645323991776,26
207,174.18937361240387,32
208,202.40036979317665,54
209,241.05216270685196,97
210,252.386405184865,107
211,258.4282767176628,127
212,189.14152064919472,47
213,167.2668370604515,29
214,185.82926689088345,41
215,272.33704325556755,144
216,226.8342614248395,73
217,168.8974635899067,32
218,193.55589003115892,51
219,225.6510026231408,74
220,197.6337259877473,49
221,176.82930272817612,34
222,167.7941356897354,31
223,197.93206323683262,52
224,194.49622249603271,45
225,184.05566316843033,43
226,197.5751703903079,50
227,219.4310959689319,64
228,216.430409938097,64
229,228.4497854411602,91
230,202.57559847459197,49
231,203.6476324312389,54
232,211.23749813437462,57
233,246.65201569814235,101
234,199.63688668608665,56
235,192.47535257786512,44
236,308.45569798350334,161
237,181.1716416478157,38
238,183.48783254623413,39
239,177.81748992204666,35
240,194.4698074311018,46
241,250.61767871677876,103
242,174.80863338708878,35
243,175.97665351629257,33
244,215.75859447568655,71
245,201.85593473911285,51
246,173.9735773205757,32
247,190.23203271627426,46
248,203.53341157734394,56
249,215.11525559425354,63
250,189.60194355249405,51
251,227.48141139745712,80
252,165.8222118616104,29
253,204.85713005065918,61
254,193.35630238056183,44
255,312.6710484921932,173
256,156.0413601398468,21
257,192.89383471012115,45
258,251.62832576036453,111
259,200.9739717617631,49
260,200.6746819447726,54
261,183.8721375465393,37
262,190.9562920331955,44
263,188.7928186058998,44
264,310.5048692524433,188
265,205.29917106032372,57
266,260.1376344822347,122
267,197.2206042651087,48
268,178.2917308807373,35
269,169.2085084915161,30
270,184.58778512477875,40
271,310.562223918736,188
272,215.91889713704586,73
273,234.0595369488001,96
274,255.43025320768356,113
275,215.22311390936375,67
276,246.22984209284186,105
277,209.1589021421969,62
278,181.6645799279213,38
279,163.18409740924835,29
280,262.69638711214066,113
281,209.213969938457,61
282,161.00173938274384,26
283,198.08604343608022,53
284,259.9149403870106,126
285,180.74309876561165,36
286,281.7899640612304,153
287,239.79752978682518,90
288,198.4646567106247,46
289,218.30005994439125,65
290,234.92816543579102,91
291,185.2443417981267,39
292,209.77072411682457,57
293,204.31433606147766,52
294,188.27943314611912,44
295,260.27769017219543,108
296,275.4459298327565,120
297,185.89700666069984,45
298,280.85742078721523,197
299,197.99829394370317,53
300,209.6028777360916,63
301,187.66881893575191,39
302,176.23169684410095,32
303,317.29243022948503,182
304,217.68567879498005,63
305,230.92904198169708,84
306,229.62409763410687,85
307,198.23274017125368,55
308,199.59824487566948,53
309,279.2188610062003,131
310,162.8028216958046,25
311,296.4225536584854,154
312,238.47201627492905,98
313,214.46563279628754,64
314,173.28407979011536,32
315,193.24194782972336,47
316,192.70334041118622,42
317,177.38322839140892,34
318,199.2150840163231,50
319,215.84332618117332,66
320,228.7935333084315,78
321,199.85267410427332,54
322,163.15628564357758,24
323,177.062466442585,34
324,226.17809370160103,79
325,182.3659553527832,37
326,282.4683909267187,141
327,397.72384563833475,240
328,212.0416749790311,56
329,181.2275606393814,34
330,184.19431091845036,39
331,171.16963076591492,30
332,226.9039344638586,80
