batch_size,hidden_size,num_epochs,learning_rate,final_train_loss,final_val_loss
32,128,1000,0.001,0.004125206644288065,0.002904084152744516
32,128,1000,0.0001,0.0039350155139421675,0.0028800264952461357
32,128,5000,0.001,0.003924119839778148,0.00278468806013141
32,128,5000,0.0001,0.003545044314348164,0.002673136934880977
32,128,10000,0.001,0.003904401870074787,0.002790396549212544
32,128,10000,0.0001,0.0035391696629110824,0.0026512073393425216
32,256,1000,0.001,0.003717360561459909,0.0027507317110734143
32,256,1000,0.0001,0.003900667897095824,0.0027986599861279777
32,256,5000,0.001,0.0034851368701498565,0.002678677437665022
32,256,5000,0.0001,0.0032799254001230583,0.0025480003237886273
32,256,10000,0.001,0.0034638260326308383,0.0026589822125337695
32,256,10000,0.0001,0.0032152376148545324,0.0025279600436434796
32,512,1000,0.001,0.003436436495247228,0.00261713948060313
32,512,1000,0.0001,0.0036111418384304887,0.002698202321872763
32,512,5000,0.001,0.003279855897911038,0.0025104751020831907
32,512,5000,0.0001,0.00301211555705837,0.002433999190511911
32,512,10000,0.001,0.003270204269584515,0.0025004281419450823
32,512,10000,0.0001,0.0028617715984872805,0.002392455994192025
64,128,1000,0.001,0.004062043271002139,0.0029404057169576054
64,128,1000,0.0001,0.0046117823002026475,0.0033415693303813104
64,128,5000,0.001,0.003836427391271183,0.0028169260461531256
64,128,5000,0.0001,0.0035243124885897693,0.002692485655374501
64,128,10000,0.001,0.003805511796408503,0.002747319308716966
64,128,10000,0.0001,0.003581633029418639,0.002652642390002375
64,256,1000,0.001,0.003837632635021256,0.0027470712630969026
64,256,1000,0.0001,0.004597797765168234,0.0031056941709602655
64,256,5000,0.001,0.0035414615798205254,0.0026879234968320183
64,256,5000,0.0001,0.0033595638964796287,0.002644477863593594
64,256,10000,0.001,0.003505985976417879,0.0026963563332253176
64,256,10000,0.0001,0.0032726100144059855,0.002562098614061656
64,512,1000,0.001,0.003428569839948404,0.0026392387914592804
64,512,1000,0.0001,0.004017908538325694,0.0028955091722309588
64,512,5000,0.001,0.0033190416259118553,0.002652524964398016
64,512,5000,0.0001,0.0031277301163206072,0.0025000591863594624
64,512,10000,0.001,0.003316946395632996,0.0025939403243524875
64,512,10000,0.0001,0.002921192551662254,0.0024248213102312194
128,128,1000,0.001,0.004129408920321483,0.0029602069407701492
128,128,1000,0.0001,0.006161246242197339,0.004394369665533304
128,128,5000,0.001,0.0038033158813715563,0.0028051375411450863
128,128,5000,0.0001,0.0037348868791013956,0.0027803152333945036
128,128,10000,0.001,0.0039193072321857345,0.0028177089989185333
128,128,10000,0.0001,0.003688595964345023,0.0027298058848828077
128,256,1000,0.001,0.00395412168625003,0.0029209600761532784
128,256,1000,0.0001,0.005310331416001058,0.003697226522490382
128,256,5000,0.001,0.003629556973011809,0.0027259259950369596
128,256,5000,0.0001,0.0035244209532433912,0.0026669211219996214
128,256,10000,0.001,0.003433794829566829,0.0025957217440009117
128,256,10000,0.0001,0.003263640755620796,0.002549493219703436
128,512,1000,0.001,0.0035049807604634227,0.0025761041324585676
128,512,1000,0.0001,0.004851735102788251,0.003321463242173195
128,512,5000,0.001,0.0033065509784908726,0.0025601661764085293
128,512,5000,0.0001,0.0031885020774589843,0.0025422298349440098
128,512,10000,0.001,0.0033253467739614065,0.0025831509847193956
128,512,10000,0.0001,0.0029824442657776147,0.0024607451632618904
