Episode,Total Reward
1,-997.624446567148
2,-998.2151595819741
3,-999.1997391344048
4,-997.6747045423836
5,-994.8251294000074
6,-1000.5765494653024
7,-1003.4271104279906
8,-996.7084341446462
9,-998.4791924866731
10,-986.9037542898441
11,-997.0697121789417
12,-996.658379022032
13,-996.2433475516737
14,-993.8295229263604
15,-988.8469954282045
16,-997.6224858327769
17,-995.7583196964115
18,-994.1309630088508
19,-992.8749224860221
20,-996.45287216836
21,-994.9231157954782
22,-995.2402445357293
23,-996.5126317795366
24,-996.8741116914898
25,-995.8239473942667
26,-996.6564066838473
27,-997.4262305889279
28,-996.6272143926471
29,-996.5634983815253
30,-996.3263032380491
31,-996.4855576958507
32,-996.4717180244625
33,-996.4336560759693
34,-996.7321955468506
35,-996.374270061031
36,-996.5951546970755
37,-996.7991015296429
38,-995.5470824111253
39,-995.2099664267153
40,-996.1725579705089
41,-995.914543768391
42,-995.8872749190778
43,-991.1733680232428
44,-995.2099661957473
45,-982.7570793572813
46,-996.6156427152455
47,-990.1792136970907
48,-985.4795209895819
49,-996.3394966768101
50,-1005.0213589251507
51,-1002.8397978126595
52,-1000.4226452790899
53,-1011.9255359871313
54,-1012.6306808087975
55,-996.8489474774833
56,-983.4487683055486
57,-476.2790199444862
58,-922.5141621212824
59,-988.2936313478858
60,-990.8215817110613
61,-979.8525367472321
62,-994.6460859715007
63,-989.9793866835535
64,-980.6421161089092
65,-993.0947385746986
66,-986.8160147611052
67,-980.5121630299836
68,-984.8544280547649
69,-974.0714830029756
70,-984.736048322171
71,-964.1161629948765
72,-996.068948386237
73,-997.906904021278
74,-992.6533591914922
75,-995.6739183757454
76,-997.3347399178892
77,-995.6516889277846
78,-992.2996987011284
79,-995.4397272448987
80,-994.7355734799057
81,-976.2863654699177
82,-943.2810152568854
83,-983.2567988727242
84,-976.2556844558567
85,-984.9559864718467
86,-989.9802389983088
87,-996.447173429653
88,-1000.1356311247218
89,-989.7911909632385
90,-1000.2739540422044
91,-991.014640388079
92,-999.483260308858
93,-999.7006464457518
94,-976.9416649872437
95,-1002.4979870552197
96,-1001.9051305260509
97,-1003.5231485744007
98,-1003.6741784112528
99,-1000.652390614443
100,-1003.0024389792234
101,-1003.6044759136857
102,-1003.0003805970773
103,-1004.659696502611
104,-1005.3755348110572
105,-1004.9495967291296
106,-1002.8378860559314
107,-1005.2794837011024
108,-1005.0098830880597
109,-1002.8662515003234
110,-1004.4128984119743
111,-1006.9983854666352
112,-1003.1880254726857
113,-1002.895599768497
114,-1003.3937119431794
115,-1004.7365174852312
116,-1002.0186119406717
117,-1002.9148268708959
118,-1003.3092533480376
119,-1003.7381990775466
120,-1003.9151283698156
121,-1003.7885059006512
122,-1003.4153982382268
123,-1003.4468657961115
124,-1005.1115009821951
125,-1003.5473720021546
126,-1005.3076165411621
127,-1003.7422030083835
128,-1004.129476647824
129,-1007.9918822888285
130,-1004.3945737583563
131,-1003.7997840736061
132,-1006.9656546423212
133,-1003.8392129354179
134,-1004.6155005265027
135,-1004.509376142174
136,-1004.7946561360732
137,-1005.2596045518294
138,-1004.7860882207751
139,-1006.4291624892503
140,-1005.8190539767966
141,-1004.5681269178167
142,-1006.1373639535159
143,-1007.5320162633434
144,-1003.4842200167477
145,-1005.4376701973379
146,-1006.8318197121844
147,-1004.7097895191982
148,-1003.880347003229
149,-1004.66147624515
150,-1004.0539007978514
151,-1011.6763803465292
152,-1005.2555187633261
153,-1036.165144068189
154,-1004.0753384018317
155,-1012.0941982846707
156,-1004.1063219746575
157,-1003.2260726839304
158,-1004.6643182765692
159,-1002.9340039398521
160,-1002.445614753291
161,-1006.9357264433056
162,-1003.1492931162938
163,-1003.4002240458503
164,-1003.0203689401969
165,-1008.3456816030666
166,-1002.3128807656467
167,-1003.2979798084125
168,-1000.9360038742307
169,-1002.449642312713
170,-1003.8785986434668
171,-1002.7982239462435
172,-1004.3361570471898
173,-1003.043141566217
174,-1002.0868032481521
175,-1003.0246419347823
176,-1002.1429191650823
177,-1003.7465912345797
178,-1003.8169830134138
179,-1004.5589779363945
180,-1018.7501505119726
181,-1007.9136109817773
182,-1004.7446044282988
183,-1004.222399123013
184,-1002.8000582065433
185,-1003.7102042250335
186,-1004.0579538829625
187,-1003.0998897757381
188,-1005.2650670725852
189,-1003.5178993716836
190,-1003.0339935766533
191,-1007.6657408038154
192,-1004.6028762497008
193,-1004.5679925577715
194,-1003.2193839838728
195,-1004.0644812695682
196,-1004.3672987865284
197,-1006.6364571861923
198,-1004.6028218194842
199,-1010.5727374758571
200,-1005.1749568739906
201,-1005.1686538048089
202,-1025.0039601877797
203,-1002.3506280370057
204,-1020.5043281659018
205,-1002.6743457638659
206,-1001.1894471626729
207,-1002.0455458103959
208,-1001.7376688625664
209,-1010.0655800886452
210,-1004.1287464434281
211,-1005.2961981194094
212,-1011.065400055144
213,-1003.1346921389922
214,-999.7687368609477
215,-1009.9664624575526
216,-1003.3387405331305
217,-1007.5318562234752
218,-1001.360559067456
219,-1001.1607786864042
220,-1001.5710554467514
221,-1002.3058747482028
222,-1001.0830866772521
223,-992.1249292786233
224,-1007.8451855396852
225,-1002.5913825975731
226,-1002.0279291057959
227,-1001.3501636097208
228,-1003.0244561955333
229,-1002.6103224353865
230,-1021.8687178837135
231,-1007.4430516841821
232,-1012.1694592414424
233,-1000.5105447330279
234,-1001.7211707208771
235,-996.0396681974526
236,-1004.1351895794505
237,-1001.7190160281025
238,-1063.5403239547159
239,-999.8906264998368
240,-1112.737450403918
241,-976.3236764507601
242,-991.6647469262534
243,-978.9268622975796
244,-990.9780540145002
245,-986.8551973421127
246,-977.5341561529785
247,-964.3814273755997
248,-997.6890186639503
249,-995.7689277213067
250,-975.2180789317936
251,-999.2380062718876
252,-996.8303294125944
253,-998.1322804708034
254,-997.4729799386114
255,-997.8504606392235
256,-997.3984667528421
257,-998.2539136316627
258,-993.7487603314221
259,-995.8815929275006
260,-995.4677083939314
261,-998.4228438194841
262,-997.0661387499422
263,-852.5093080010265
264,-995.1313692647964
265,-993.4699011240155
266,-994.7638906314969
267,-994.3163790795952
268,-997.256729381159
269,-995.3200303018093
270,-997.165020884946
271,-994.0343284532428
272,-994.0951971504837
273,-994.7175702862442
274,-993.9577205460519
275,-970.7137659769505
276,-994.575300341472
277,-995.0327876284719
278,-994.5352836679667
279,-996.6247969102114
280,-995.5508872717619
281,-994.9565840214491
282,-995.0851829033345
283,-994.8111293003894
284,-993.8776756450534
285,-994.8164455685765
286,-989.8442789502442
287,-995.7209094818681
288,-993.2527728676796
289,-995.6052088076249
290,-992.4068551040255
